CellsPerSensor,MSE,Weight&Biases,ObjectiveFunctionValue,Architecture
1,0.357076914,186,0.568471513,"[19, 5, 4]"
1,0.342526327,81,0.419409816,[20]
1,0.248134333,171,0.380493945,"[20, 5]"
1,0.354911815,131,0.492438387,"[15, 5]"
1,0.353482625,155,0.520783461,"[18, 5]"
1,0.25153189,73,0.301892134,[18]
1,0.530617477,174,0.8197844,"[15, 6, 4]"
1,0.135877217,77,0.164720757,[19]
1,0.262947646,184,0.416528525,"[19, 6]"
1,0.344895156,69,0.409829195,[17]
1,0.527768394,53,0.602542101,[13]
1,0.198811807,81,0.243437122,[20]
1,0.194524655,215,0.332972171,"[20, 7]"
1,0.200129395,77,0.242612164,[19]
1,0.340550991,184,0.539457966,"[19, 6]"
1,0.31030781,61,0.361428683,[15]
1,0.237260636,69,0.281930128,[17]
1,0.483134012,331,1.105213793,"[19, 13]"
1,0.305862263,142,0.436214842,"[19, 4]"
1,0.235393668,69,0.279711662,[17]
1,0.570346745,204,0.949793413,"[17, 8]"
1,0.53983908,49,0.610190434,[12]
1,0.379999419,135,0.532546237,"[18, 4]"
1,0.567761875,184,0.899376817,"[19, 6]"
1,0.27305727,81,0.334347728,[20]
1,0.193020168,73,0.231665537,[18]
1,0.226372178,73,0.271695092,[18]
1,0.14250444,171,0.218519042,"[20, 5]"
1,0.207436195,171,0.31808664,"[20, 5]"
1,0.174907924,171,0.268207165,"[20, 5]"
1,0.452402991,128,0.62301672,"[17, 4]"
1,0.400429367,147,0.578267977,"[17, 5]"
1,0.292442573,215,0.500580446,"[20, 7]"
1,0.217996987,142,0.310903086,"[19, 4]"
1,0.359248257,148,0.520096136,"[15, 6]"
1,0.376852075,155,0.555213507,"[18, 5]"
1,0.236622348,81,0.289734621,[20]
1,0.337951508,69,0.401578254,[17]
1,0.229973356,281,0.46426869,"[20, 10]"
1,0.412190858,168,0.627338639,"[19, 4, 5]"
1,0.238350907,121,0.322545428,"[16, 4]"
1,0.16391512,65,0.192837667,[16]
1,0.312795107,77,0.379194159,[19]
1,0.182843025,247,0.339043357,"[19, 9]"
1,0.378180387,57,0.436099878,[14]
1,0.184309844,215,0.315487252,"[18, 8]"
1,0.186262145,310,0.404299146,"[19, 12]"
1,0.366274139,242,0.670740326,"[19, 6, 8]"
1,0.20483696,77,0.248319034,[19]
1,0.362045402,69,0.430208348,[17]
