CellsPerSensor,MSE,Weight&Biases,ObjectiveFunctionValue,Architecture
1,0.378791013,61,0.441193977,[15]
1,0.297326036,69,0.353304151,[17]
1,0.570338575,80,0.696613108,"[15, 2]"
1,0.384306315,214,0.656183141,"[15, 6, 9]"
1,0.246741355,73,0.296142466,[18]
1,0.263382638,69,0.312970166,[17]
1,0.323737947,131,0.4491848,"[15, 5]"
1,0.447890145,121,0.60610182,"[12, 6]"
1,0.414698014,77,0.502728658,[19]
1,0.59076272,61,0.688086425,[15]
1,0.273998506,77,0.332161951,[19]
1,0.268484112,61,0.312714845,[15]
1,0.212237712,61,0.247202275,[15]
1,0.296931046,57,0.34240695,[14]
1,0.245001215,157,0.362767875,"[16, 6]"
1,0.249920564,57,0.288196668,[14]
1,0.311164959,81,0.381009072,[20]
1,0.713484843,93,0.900239819,"[12, 4]"
1,0.399701901,61,0.465549777,[15]
1,0.522293838,155,0.769491831,"[18, 5]"
1,0.294744694,57,0.339885752,[14]
1,0.556205566,123,0.756451143,"[14, 5]"
1,0.400544525,112,0.529972402,"[11, 6]"
1,0.320458008,123,0.43582956,"[14, 5]"
1,0.463933357,53,0.529662979,[13]
1,0.331920388,139,0.469841379,"[16, 5]"
1,0.501149232,69,0.595501511,[17]
1,0.650341427,107,0.849796999,"[12, 5]"
1,0.398288195,103,0.515262176,"[16, 3]"
1,0.307757512,95,0.390259606,"[16, 2, 3]"
1,0.209280347,69,0.248681939,[17]
1,0.672011137,139,0.951248102,"[14, 6]"
1,0.845097561,103,1.093295794,"[10, 6]"
1,0.434929627,114,0.578352903,"[15, 4]"
1,0.27083606,65,0.318624628,[16]
1,0.595062984,108,0.779511355,"[13, 2, 10]"
1,0.616360574,139,0.872473377,"[16, 5]"
1,0.488892392,45,0.547105913,[11]
1,0.278464858,73,0.334217463,[18]
1,0.422843615,128,0.582309683,"[17, 4]"
1,0.281394537,57,0.324490977,[14]
1,0.172314651,69,0.204756645,[17]
1,0.318222478,57,0.366959231,[14]
1,0.243344871,109,0.31957106,"[17, 3]"
1,0.397272047,69,0.472067179,[17]
1,0.181500075,73,0.217838958,[18]
1,0.262308836,61,0.30552224,[15]
1,0.224632788,135,0.314809286,"[18, 4]"
1,0.3173695,53,0.362334099,[13]
1,0.457244297,100,0.587113299,"[13, 4]"
1,0.3470587,128,0.477944172,"[17, 4]"
1,0.330691743,57,0.381338202,[14]
1,0.164936171,69,0.195989004,[17]
1,0.199095557,155,0.293326082,"[18, 5]"
1,0.785245438,79,0.956706186,"[10, 4]"
1,0.225913832,65,0.265775948,[16]
1,0.549878664,145,0.790130121,"[13, 7]"
1,0.602447821,184,0.95432192,"[19, 6]"
1,0.277675154,57,0.32020196,[14]
1,0.618039913,49,0.698582331,[12]
1,0.120532431,77,0.146118634,[19]
1,0.457023804,53,0.521774487,[13]
1,0.246345071,114,0.327580321,"[15, 4]"
1,0.182507114,61,0.212573786,[15]
1,0.280004528,114,0.372339389,"[15, 4]"
1,0.565231948,135,0.792138441,"[12, 7]"
1,0.452093129,53,0.516145239,[13]
1,0.200388678,61,0.233401203,[15]
1,0.236745908,69,0.281318491,[17]
1,0.388492409,156,0.573795827,"[13, 6, 4]"
1,0.365224021,49,0.412819694,[12]
1,0.229900084,155,0.338710174,"[18, 5]"
1,0.408328349,131,0.566553563,"[15, 5]"
1,0.368226185,57,0.42462116,[14]
1,0.472948799,53,0.53995572,[13]
1,0.249248946,61,0.290310831,[15]
1,0.257274338,61,0.299658346,[15]
1,0.192552533,61,0.224274111,[15]
1,0.337670387,65,0.397251759,[16]
1,0.092733201,81,0.113548103,[20]
1,0.316031924,61,0.368095801,[15]
1,1.013471893,72,1.213346147,"[9, 4]"
1,0.406427421,121,0.549992899,"[16, 4]"
1,0.358871423,65,0.422193682,[16]
1,0.436054911,53,0.497834741,[13]
1,0.229081399,57,0.264165921,[14]
1,0.507522911,53,0.579428258,[13]
1,0.915146477,128,1.260273622,"[10, 5, 6]"
1,0.38804052,53,0.443017719,[13]
1,0.319879289,65,0.376321452,[16]
1,0.295768245,61,0.344493834,[15]
1,0.246979575,65,0.290558706,[16]
1,0.289122299,118,0.38832778,"[14, 3, 6]"
1,0.681454593,107,0.890452375,"[14, 4]"
1,0.142300685,73,0.170791296,[18]
1,0.188716715,81,0.231076084,[20]
1,0.249162492,77,0.302053835,[19]
1,0.193430048,77,0.234490703,[19]
1,0.128399511,81,0.157220076,[20]
1,0.279185324,65,0.328447104,[16]
