CellsPerSensor,MSE,Weight&Biases,ObjectiveFunctionValue,Architecture
1,0.36532156,107,0.406578878,"[14, 4]"
1,0.960616955,177,1.146622267,"[11, 11]"
1,0.246852446,290,0.329900395,"[15, 10, 7]"
1,0.34452196,139,0.395898487,"[14, 6]"
1,0.398974479,123,0.451194023,"[14, 5]"
1,0.362300791,123,0.40972032,"[14, 5]"
1,0.679048001,247,0.869303068,"[16, 11]"
1,0.491415477,175,0.585396827,"[16, 7]"
1,0.339083247,223,0.423793218,"[17, 9]"
1,0.415352918,206,0.510366229,"[15, 6, 8]"
1,0.41407222,100,0.457620575,"[13, 4]"
1,0.240878012,247,0.308367,"[16, 11]"
1,0.307145008,199,0.374772799,"[15, 9]"
1,0.375597046,97,0.413855502,"[15, 3]"
1,0.854652161,189,1.032454811,"[14, 6, 7]"
1,0.316911051,81,0.34364912,[20]
1,0.370414049,135,0.423952505,"[18, 4]"
1,0.232067625,182,0.278391617,"[15, 8]"
1,0.521761219,165,0.615361591,"[15, 7]"
1,0.445464365,100,0.492314262,"[13, 4]"
1,0.236063094,121,0.266426689,"[19, 3]"
1,0.39731214,289,0.530448152,"[19, 11]"
1,0.418485402,197,0.509608104,"[14, 6, 8]"
1,0.628479675,139,0.722201141,"[14, 6]"
1,0.228752599,81,0.248052661,[20]
1,0.425399379,240,0.540788599,"[16, 7, 8]"
1,0.368822246,114,0.413358316,"[15, 4]"
1,0.514612295,193,0.624164398,"[16, 8]"
1,0.700046188,339,0.982545168,"[16, 10, 10]"
1,0.493268537,246,0.630840921,"[17, 8, 5]"
1,0.349204215,265,0.45516359,"[16, 12]"
1,0.452167855,165,0.533283657,"[15, 7]"
1,0.414885643,123,0.46918771,"[14, 5]"
1,0.367808549,165,0.433790872,"[15, 7]"
1,0.4532601,121,0.51156064,"[16, 4]"
1,0.711708135,272,0.934178847,"[13, 11, 6]"
1,0.928934884,45,0.971691768,[11]
1,0.350448073,204,0.429753825,"[17, 8]"
1,0.291938116,215,0.361962947,"[18, 8]"
1,0.339098001,128,0.385402852,"[17, 4]"
1,0.402199291,131,0.458494233,"[15, 5]"
1,0.465859622,310,0.635164708,"[19, 12]"
1,0.472331857,53,0.498040713,[13]
1,0.326321235,139,0.374983596,"[14, 6]"
1,0.249921141,185,0.300709726,"[17, 7]"
1,0.352815795,77,0.381055904,[19]
1,0.462878136,91,0.506976075,"[14, 3]"
1,0.545772675,157,0.638551636,"[16, 6]"
1,0.421763996,182,0.505954076,"[15, 8]"
1,0.497288963,155,0.580663417,"[14, 7]"
1,0.29846849,185,0.359122791,"[17, 7]"
1,0.425486375,157,0.497817193,"[16, 6]"
1,0.198431596,61,0.210912728,[15]
1,0.680989508,180,0.815292463,"[13, 6, 7]"
1,1.146234155,125,1.298853459,"[11, 7]"
1,0.50291293,223,0.628550926,"[17, 9]"
1,0.228476178,77,0.246763886,[19]
1,0.354016194,258,0.458216902,"[19, 6, 10]"
1,0.415166111,281,0.549868252,"[18, 9, 5]"
1,0.658885825,103,0.730369277,"[10, 6]"
1,0.516604265,171,0.612946182,"[14, 8]"
1,0.347291312,65,0.370615058,[16]
1,0.244990682,208,0.301635754,"[17, 6, 6]"
