/tmp/tmp.1ux1V2G6pW ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k0.mat
  Evaluating with: datasets/N1dataset100k0.mat
Gen 0 Train time: 8.247077067693075 minutes:
 Average MSE:        1.4777898441553767
 Average Error:      1.8791990238340313
 Structure           |Error               |MSE                 |weights&biases
 [3, 0, 0, 0, 0]     |1.3367761624919225  |1.3195105420690787  |13        
 [6, 9, 7, 4, 0]     |1.6679369798256054  |1.3820771122207556  |188       
 [2, 0, 0, 0, 0]     |3.961313903636126   |3.9258220314978365  |9         
 [4, 14, 1, 10, 0]   |2.566189059570928   |2.2578701155874965  |128       
 [7, 19, 10, 0, 0]   |1.1006833477233953  |0.7497100195075979  |384       
 [7, 9, 17, 0, 0]    |1.067615320784642   |0.8060798185851965  |281       
 [15, 15, 10, 10, 0] |1.35799149687571    |0.7710568039988281  |566       
 [16, 0, 0, 0, 0]    |0.7003479829291208  |0.6562733078448723  |65        
 [19, 0, 0, 0, 0]    |0.6034960481380958  |0.5587708676626799  |77        
 [9, 9, 0, 0, 0]     |0.7327728458767958  |0.6453777197285409  |127       
 [13, 11, 6, 4, 0]   |1.316148396819002   |0.9769787182656305  |298       
 [1, 2, 4, 3, 0]     |5.004396076792882   |4.817796864473657   |38        
 [11, 8, 19, 5, 6]   |2.3754241311963447  |1.5252769545314373  |443       
 [19, 0, 0, 0, 0]    |0.6572391233187754  |0.6085310356740823  |77        
 [15, 0, 0, 0, 0]    |0.6760768221433179  |0.6360687861463455  |61        
 [19, 0, 0, 0, 0]    |0.6356105767606686  |0.5885053838676755  |77        
 [15, 0, 0, 0, 0]    |0.6723829811537048  |0.6325935346992803  |61        
 [16, 9, 10, 16, 18] |2.2647134379259892  |1.0155681742460276  |802       
 [4, 4, 15, 0, 0]    |1.525617719597292   |1.3490483123987889  |123       
 [19, 18, 9, 16, 8]  |3.2209090039511503  |1.3187227032637057  |893       
 [12, 10, 2, 9, 0]   |1.2523952144589827  |1.0000578910421258  |225       
 [20, 5, 12, 1, 16]  |2.154896083455435   |1.5979834670410296  |299       
 [8, 14, 0, 0, 0]    |0.8166400725299126  |0.6924239760040117  |165       
 [1, 16, 15, 0, 0]   |7.7302172766757105  |5.692428568032367   |306       
 [19, 1, 10, 0, 0]   |1.5821855312192734  |1.420213395495367   |108       
Gen 1 Train time: 8.16810248295466 minutes:
 Average MSE:        0.9097427373100261
 Average Error:      1.144541174897077
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6090747291511597  |0.563936111809183   |77        
 [19, 0, 0, 0, 0]    |0.582106345583605   |0.5389663590958159  |77        
 [19, 0, 0, 0, 0]    |0.589898303324054   |0.5461808537074283  |77        
 [13, 5, 0, 0, 0]    |0.8236817277013688  |0.7342020054276858  |115       
 [17, 0, 0, 0, 0]    |0.6507709692747944  |0.6073819082445174  |69        
 [19, 1, 5, 0, 0]    |1.2944000603067585  |1.1794489217344506  |93        
 [12, 7, 1, 5, 0]    |1.3805859561510254  |1.187093657197678   |151       
 [14, 5, 1, 5, 0]    |1.2092233238623247  |1.0523000290904445  |139       
 [11, 5, 4, 2, 0]    |1.3512135174000184  |1.1864944158270565  |130       
