/tmp/tmp.WcfwLfhs7a ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k2.mat
  Evaluating with: datasets/N1dataset100k2.mat
Gen 0 Train time: 8.2366695245107 minutes:
 Average MSE:        2.2365592287904885
 Average Error:      3.0326911007836257
 Structure           |Error               |MSE                 |weights&biases
 [4, 20, 9, 0, 0]    |2.7351463769419815  |2.0040797029191215  |311       
 [3, 0, 0, 0, 0]     |3.560486636270852   |3.5144998716147073  |13        
 [6, 0, 0, 0, 0]     |1.681849549209213   |1.6403245358841283  |25        
 [12, 19, 0, 0, 0]   |0.9301033216310165  |0.6869734728878532  |303       
 [7, 1, 18, 12, 18]  |2.480668855110676   |1.4369577763282202  |546       
 [16, 13, 20, 6, 0]  |1.6363056395152162  |0.8273239380544162  |682       
 [11, 18, 19, 3, 1]  |16.8863555309256    |8.589202840358897   |676       
 [1, 3, 5, 2, 10]    |6.915184541842808   |6.370765607610236   |82        
 [6, 1, 7, 18, 0]    |3.4274278994218257  |2.800533952505288   |202       
 [5, 3, 0, 0, 0]     |1.0517658673879455  |1.0135616663764604  |37        
 [18, 4, 15, 1, 7]   |1.3891426435141168  |1.089465003873438   |243       
 [3, 8, 1, 0, 0]     |3.961250241494148   |3.7605292030387623  |52        
 [4, 0, 0, 0, 0]     |2.1560421812185653  |2.119699254271508   |17        
 [18, 1, 0, 0, 0]    |1.35708635170786    |1.2590280231823467  |75        
 [12, 18, 0, 0, 0]   |0.734197239105768   |0.5499226932631622  |289       
 [1, 17, 12, 14, 0]  |12.378767503613906  |7.893050642685007   |450       
 [20, 5, 18, 0, 0]   |0.7584420584257715  |0.5663806655912328  |292       
 [12, 13, 0, 0, 0]   |0.9480406830986496  |0.7615816704263451  |219       
 [8, 16, 10, 2, 12]  |1.6881170940764838  |1.1214402114214308  |409       
 [11, 11, 14, 6, 0]  |1.8719334667790357  |1.21770974485671    |430       
 [14, 20, 3, 0, 0]   |1.0691180973715086  |0.7102303681171428  |409       
 [2, 0, 0, 0, 0]     |3.200573364473961   |3.171897439418677   |9         
 [16, 3, 9, 0, 0]    |0.9815649155145587  |0.8490755340554547  |145       
 [5, 0, 0, 0, 0]     |1.19095932223445    |1.1662099543627635  |21        
 [10, 0, 0, 0, 0]    |0.8267481387047005  |0.793536946658895   |41        
Gen 1 Train time: 8.22532043059667 minutes:
 Average MSE:        1.2933437107743544
 Average Error:      1.5887418996351088
 Structure           |Error               |MSE                 |weights&biases
 [12, 18, 0, 0, 0]   |0.8746161971722335  |0.6550982067248705  |289       
 [20, 5, 18, 0, 0]   |1.1163170463165883  |0.833630446359941   |292       
 [10, 0, 0, 0, 0]    |0.7407444535190333  |0.7109881043348315  |41        
 [14, 2, 8, 1, 4]    |2.16579200962366    |1.9247308097368259  |118       
 [1, 17, 5, 3, 20]   |7.228495526611115   |5.652121305031622   |246       
 [12, 16, 0, 0, 0]   |0.7292911639492635  |0.5617590684339901  |261       
 [15, 3, 9, 0, 0]    |0.9509018738621628  |0.8275014629483269  |139       
 [9, 9, 0, 0, 0]     |0.8333176763894752  |0.7339309375666316  |127       
 [18, 4, 14, 0, 0]   |0.7466533563951889  |0.6022068733802106  |215       
