/tmp/tmp.ja5tDwDIQ4 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k3.mat
  Evaluating with: datasets/N1dataset100k3.mat
Gen 0 Train time: 8.385757482051849 minutes:
 Average MSE:        1.8757318561264638
 Average Error:      2.5591444728059387
 Structure           |Error               |MSE                 |weights&biases
 [3, 20, 11, 15, 0]  |2.6864933382164695  |1.6035769879784723  |516       
 [18, 0, 0, 0, 0]    |0.707584947299411   |0.6577715543232893  |73        
 [7, 11, 2, 0, 0]    |1.181165619217938   |1.0309717084833532  |136       
 [3, 9, 11, 18, 9]   |9.247822488734954   |5.324869036393794   |552       
 [4, 0, 0, 0, 0]     |2.4015564216594916  |2.3610750292489415  |17        
 [17, 17, 10, 2, 0]  |1.5656880478595245  |0.8925483211674804  |562       
 [16, 3, 0, 0, 0]    |0.8162198408503756  |0.7363339347219144  |103       
 [16, 5, 7, 7, 0]    |0.8528111723029514  |0.6715162089250426  |239       
 [18, 20, 4, 13, 19] |3.085726158531641   |1.2940631710258603  |869       
 [16, 1, 3, 16, 16]  |2.7780374851818515  |1.8180140751410303  |424       
 [1, 3, 0, 0, 0]     |6.433134827827484   |6.350045326994978   |13        
 [6, 11, 19, 4, 0]   |1.75469575720515    |1.1668356173007062  |408       
 [13, 0, 0, 0, 0]    |0.6655243232326422  |0.6311699659746463  |53        
 [3, 0, 0, 0, 0]     |3.663461421816646   |3.616144648734077   |13        
 [9, 15, 19, 0, 0]   |1.0502973835991585  |0.6364008458165177  |501       
 [17, 2, 2, 0, 0]    |0.9043905833007748  |0.8216063014001417  |96        
 [13, 9, 0, 0, 0]    |0.8396890139955783  |0.7048828380613614  |175       
 [9, 20, 13, 19, 18] |4.064043403793227   |1.2932758140253908  |1145      
 [14, 0, 0, 0, 0]    |0.6784910060722237  |0.6408985804543482  |57        
 [2, 10, 10, 19, 0]  |6.836228600774203   |4.698466624676319   |375       
 [17, 7, 0, 0, 0]    |0.8294473768102109  |0.6893572680968746  |185       
 [11, 11, 12, 10, 0] |1.2075896238153794  |0.7699931397510328  |450       
 [7, 15, 0, 0, 0]    |1.082545482675783   |0.9252560178977418  |157       
 [3, 20, 0, 0, 0]    |2.738438901490257   |2.453187045378899   |110       
 [5, 18, 1, 1, 0]    |5.907528593885132   |5.105036341189378   |146       
Gen 1 Train time: 8.111804163455963 minutes:
 Average MSE:        1.2213810421825533
 Average Error:      1.461204631043651
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.8049861399602286  |0.7634327654635585  |53        
 [14, 0, 0, 0, 0]    |0.6909555768370114  |0.652672540075966   |57        
 [18, 0, 0, 0, 0]    |0.7983438228455563  |0.7421410803631936  |73        
 [14, 5, 0, 0, 0]    |0.781585777625845   |0.691127902328877   |123       
 [11, 8, 0, 0, 0]    |0.7602719889636866  |0.6622719349572435  |138       
 [18, 12, 0, 0, 0]   |0.714350147636532   |0.5318562494263339  |295       
 [15, 3, 4, 4, 0]    |0.9484571305933795  |0.8295111831191566  |134       
 [16, 9, 5, 1, 0]    |1.7687834883817413  |1.3651878191125828  |259       
 [17, 6, 4, 4, 0]    |0.8905050299230518  |0.7203871322131485  |212       
 [12, 9, 10, 2, 0]   |1.2927133026949515  |0.978967675260186   |278       
 [13, 5, 0, 0, 0]    |0.6996689369214125  |0.6236612023150315  |115       
 [7, 2, 0, 0, 0]     |0.9874700295065133  |0.948750775829291   |40        
 [14, 7, 6, 5, 0]    |1.0670609551104526  |0.8427441202545134  |236       
 [12, 11, 0, 0, 0]   |0.6037108525175972  |0.4987452090853262  |191       
 [15, 6, 1, 0, 0]    |1.5797591467648051  |1.3597112984509114  |150       
 [1, 0, 0, 0, 0]     |5.804014732935724   |5.775067088689229   |5         
 [14, 8, 10, 0, 0]   |0.9298635027174337  |0.7148250333194013  |263       
 [8, 13, 11, 0, 0]   |1.0787466115446929  |0.7935805930095168  |307       
 [11, 8, 10, 0, 0]   |1.0575646372099097  |0.840270641082521   |230       
 [17, 3, 1, 0, 0]    |1.0894006536608316  |0.9749468580696934  |111       
 [15, 1, 2, 8, 8]    |1.9713634785961487  |1.6631700076146287  |170       
 [15, 2, 0, 0, 0]    |0.6843687572514239  |0.6317519867750968  |80        
 [17, 12, 5, 1, 0]   |2.1331649347057144  |1.5183234940813677  |340       
 [8, 15, 10, 0, 0]   |1.3639671241390263  |0.9805883371644363  |330       
 [7, 17, 3, 11, 4]   |6.029039017047607   |4.430833126502625   |308       
Gen 2 Train time: 8.174522988001506 minutes:
 Average MSE:        0.9764085075721858
 Average Error:      1.3863604481158291
 Structure           |Error               |MSE                 |weights&biases
 [12, 11, 0, 0, 0]   |0.7762320104620982  |0.6412705598088578  |191       
 [15, 2, 0, 0, 0]    |0.9712863806252179  |0.8966103349778504  |80        
 [14, 0, 0, 0, 0]    |0.7203592769284851  |0.680447100799804   |57        
 [15, 6, 0, 0, 0]    |0.6521042728613056  |0.5623950151022475  |148       
 [16, 3, 2, 2, 0]    |1.1057051528255561  |0.9846030428635032  |116       
 [11, 1, 0, 0, 0]    |1.1455944109482308  |1.0929971902356717  |47        
 [14, 7, 0, 0, 0]    |0.7838902972094315  |0.6713355480122979  |155       
 [14, 3, 0, 0, 0]    |0.6124047780678656  |0.5591364086152956  |91        
 [11, 9, 6, 0, 0]    |1.0675677285512934  |0.8670860212959418  |208       
 [15, 4, 2, 2, 0]    |0.9941087617645228  |0.8746699532758131  |128       
 [10, 7, 0, 0, 0]    |0.7918813080460234  |0.7058561879848816  |115       
 [15, 4, 2, 2, 18]   |1.2146811516288976  |0.9964877979710902  |198       
 [11, 18, 13, 12, 5] |2.041563710574374   |0.9789409440654531  |735       
 [13, 11, 8, 2, 0]   |1.4846364237795562  |1.0889020661208295  |310       
 [14, 6, 9, 3, 0]    |0.9182518882959694  |0.7303119277067167  |229       
 [20, 12, 5, 0, 0]   |0.8722417912823788  |0.5947057045926445  |383       
 [13, 6, 0, 0, 0]    |0.6351479177856023  |0.5577204845662458  |130       
 [16, 6, 0, 0, 0]    |0.7040581117894362  |0.6017613257899466  |157       
 [13, 5, 0, 0, 0]    |0.6613033295120126  |0.5894633987798714  |115       
 [1, 16, 15, 12, 16] |12.064749250662262  |5.9493853735482585  |707       
 [9, 0, 0, 0, 0]     |0.944167287616135   |0.9098714828529151  |37        
 [15, 4, 0, 0, 0]    |0.6551090135280586  |0.5845262292906865  |114       
 [13, 11, 0, 0, 0]   |0.7420501319907604  |0.604509148669009   |205       
 [8, 9, 3, 5, 13]    |1.4395376600398986  |1.1244814461281012  |247       
 [13, 8, 0, 0, 0]    |0.6603791561203572  |0.5627379962507104  |160       
Increasing Epochs
Gen 3 Train time: 9.446185902754467 minutes:
 Average MSE:        0.8422645458875347
 Average Error:      1.022832661334175
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 0, 0, 0]    |0.7575876304537931  |0.691690924162521   |91        
 [13, 6, 0, 0, 0]    |0.580878403934579   |0.5100666724153821  |130       
 [15, 6, 0, 0, 0]    |0.6490711974715843  |0.559779196512187   |148       
 [14, 12, 19, 0, 0]  |1.0359839800307031  |0.6353061186905188  |489       
 [13, 13, 5, 2, 0]   |1.3515460635803027  |0.9952604367990986  |306       
 [6, 8, 3, 0, 0]     |0.9919941331184646  |0.8931166443082581  |105       
 [18, 8, 4, 1, 0]    |1.7627972609147808  |1.3742414417465676  |249       
 [15, 4, 2, 2, 9]    |1.1788231020924917  |1.0025197388833926  |162       
 [14, 1, 0, 0, 0]    |1.3372925445896005  |1.2606747341279392  |59        
 [16, 6, 4, 0, 0]    |0.8749593099226353  |0.7286382508692708  |183       
 [4, 6, 8, 0, 0]     |1.7428754073399277  |1.5660182983183613  |107       
 [12, 2, 0, 0, 0]    |0.6131870370917683  |0.574597621423489   |65        
 [14, 6, 5, 2, 0]    |1.0174543132027813  |0.8481512792976098  |182       
 [14, 7, 4, 1, 0]    |1.5496165889746734  |1.2866057361716419  |186       
 [13, 2, 0, 0, 0]    |1.1844748717013038  |1.1043970502081866  |70        
 [16, 6, 0, 0, 0]    |0.7628232916979386  |0.6519881635748951  |157       
 [13, 8, 7, 0, 0]    |0.7500648447186103  |0.6007384583824253  |222       
 [13, 0, 0, 0, 0]    |0.7455245201537106  |0.7070405537292354  |53        
 [12, 7, 0, 0, 0]    |0.6814545878383378  |0.595397716487167   |135       
 [12, 6, 0, 0, 0]    |0.5278401462433727  |0.46768429480809803 |121       
 [13, 7, 0, 0, 0]    |0.6682100036215665  |0.5780165496122642  |145       
 [14, 9, 5, 2, 0]    |1.0203223523207692  |0.801010365783634   |242       
 [14, 6, 8, 0, 0]    |0.700875993641998   |0.5755528010925108  |197       
 [7, 10, 8, 19, 17]  |1.6180916767461173  |0.7891865698244579  |718       
 [14, 5, 1, 1, 9]    |1.467067271952562   |1.2589340299592524  |153       
Gen 4 Train time: 9.482281219959258 minutes:
 Average MSE:        0.9067252217551868
 Average Error:      1.1345727776432595
 Structure           |Error               |MSE                 |weights&biases
 [12, 6, 0, 0, 0]    |0.5625761613652317  |0.4984615838269968  |121       
 [13, 6, 0, 0, 0]    |0.6132224721454123  |0.5384678509286978  |130       
 [12, 2, 0, 0, 0]    |0.7438115109017801  |0.697001565751645   |65        
 [13, 3, 0, 0, 0]    |0.6539809420270465  |0.6006895290162795  |85        
 [14, 3, 0, 0, 0]    |0.7250843442445473  |0.6620148481910517  |91        
 [15, 6, 0, 0, 0]    |0.5302109633310947  |0.457270432260132   |148       
 [9, 8, 2, 0, 0]     |1.0384568893754607  |0.9136898032130347  |128       
 [14, 6, 4, 0, 0]    |0.6335884952982898  |0.5372156961459559  |165       
 [13, 4, 3, 1, 0]    |1.2816434257899418  |1.1412717157680363  |116       
 [15, 9, 10, 0, 0]   |0.8232985482179274  |0.6099145655806464  |300       
 [13, 7, 0, 0, 0]    |0.9210145437254117  |0.7966981126016988  |145       
 [13, 5, 0, 0, 0]    |0.5993955936352064  |0.53428093897336    |115       
 [15, 6, 4, 0, 0]    |0.9213974103062583  |0.7742473853908617  |174       
 [14, 9, 12, 1, 0]   |1.979404776470935   |1.4488877332636165  |312       
 [14, 7, 2, 0, 0]    |1.0806928237466302  |0.9153967866700917  |166       
 [12, 4, 13, 0, 0]   |0.8402336472324842  |0.7110053857205563  |167       
 [15, 7, 0, 0, 0]    |0.6100286395610112  |0.5172394427970979  |165       
 [13, 8, 4, 0, 0]    |0.9711244475934034  |0.8014756767590268  |192       
 [16, 5, 1, 1, 5]    |1.3320386049075945  |1.1384988021163678  |157       
 [15, 5, 2, 12, 0]   |0.806431079123357   |0.669558431168909   |186       
 [4, 17, 1, 20, 9]   |6.4625708819304215  |4.5359167267868346  |354       
 [6, 3, 13, 11, 9]   |1.973333858237883   |1.3726242605546979  |363       
 [14, 15, 4, 0, 0]   |0.9257390860984044  |0.6615545408829602  |336       
 [14, 7, 8, 0, 0]    |0.7158588014202767  |0.574490144826661   |220       
 [13, 4, 0, 0, 0]    |0.6191814943954778  |0.560258584684451   |100       
Increasing Epochs
Gen 5 Train time: 10.989406534036 minutes:
 Average MSE:        1.5097786291024673
 Average Error:      1.9567388786243671
 Structure           |Error               |MSE                 |weights&biases
 [15, 6, 0, 0, 0]    |0.7015793951751104  |0.6050639000012363  |148       
 [12, 6, 0, 0, 0]    |0.49026599811622806 |0.43439232356467483 |121       
 [13, 5, 0, 0, 0]    |0.7842268291782758  |0.699033244672921   |115       
 [14, 5, 2, 3, 0]    |0.9133496865213262  |0.7924416026306487  |142       
 [12, 8, 2, 0, 0]    |1.1248972615031805  |0.957616119527805   |161       
 [14, 6, 2, 0, 0]    |0.7935797877386757  |0.6837238353237141  |149       
 [14, 15, 4, 10, 0]  |1.3460749168036128  |0.9095483589834086  |392       
 [13, 6, 0, 0, 0]    |0.5863526894151264  |0.5148736174834055  |130       
 [13, 6, 9, 0, 0]    |0.7432956877997844  |0.6109981493549604  |196       
 [14, 19, 2, 0, 0]   |1.135521065672383   |0.7843433832218291  |370       
 [1, 4, 10, 4, 9]    |7.951267506464011   |6.775623220042161   |160       
 [14, 8, 10, 1, 0]   |1.6450183595160752  |1.2620678732402542  |265       
 [14, 3, 0, 0, 0]    |0.5531288782645427  |0.5050164622653714  |91        
 [9, 5, 7, 0, 0]     |0.9445123625185285  |0.8318638418543609  |127       
 [14, 7, 5, 0, 0]    |0.7577058676868214  |0.6247148296072164  |193       
 [14, 5, 1, 6, 0]    |1.211610270767593   |1.0512188254946175  |142       
 [14, 10, 4, 1, 0]   |1.4254851975145033  |1.1179674337136456  |243       
 [8, 11, 15, 16, 16] |2.3159174275217294  |0.9918393860982861  |848       
 [15, 6, 1, 6, 0]    |1.118422536391131   |0.9464087156049276  |167       
