/tmp/tmp.jLIDUSAXxM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k4.mat
  Evaluating with: datasets/N1dataset100k4.mat
Gen 0 Train time: 8.472399512926737 minutes:
 Average MSE:        2.046780357684125
 Average Error:      3.001526619295677
 Structure           |Error               |MSE                 |weights&biases
 [14, 7, 4, 0, 0]    |0.7732130504094362  |0.6432636206216472  |184       
 [1, 6, 0, 0, 0]     |4.865588166790488   |4.759714111943513   |22        
 [18, 19, 15, 13, 1] |18.32082717949878   |7.163785267673873   |939       
 [18, 18, 18, 0, 0]  |1.2106721244629381  |0.5678918292562132  |757       
 [8, 7, 20, 0, 0]    |1.1103530932908914  |0.849317720829837   |268       
 [14, 0, 0, 0, 0]    |0.6622016012219683  |0.6255117052392867  |57        
 [6, 10, 3, 1, 0]    |1.7491305722916461  |1.5405181927863885  |127       
 [2, 5, 15, 0, 0]    |5.113359832473903   |4.503508184565524   |127       
 [11, 8, 3, 15, 0]   |1.0585576638861798  |0.8393791958751258  |232       
 [18, 7, 0, 0, 0]    |0.7380691674615095  |0.6073088910298814  |195       
 [12, 0, 0, 0, 0]    |0.5927346873250791  |0.5643907841886838  |49        
 [17, 9, 11, 6, 19]  |1.8611547113932796  |1.0759425925609118  |548       
 [2, 20, 16, 5, 10]  |5.589109780257918   |3.198941655019233   |558       
 [10, 20, 3, 0, 0]   |1.1722486604271374  |0.8537847520439892  |317       
 [5, 19, 16, 0, 0]   |2.5640036473150616  |1.6089309650141501  |466       
 [16, 2, 17, 1, 5]   |3.0856243012782536  |2.6110540844742416  |167       
 [2, 6, 7, 9, 0]     |4.180543884468374   |3.5802812327950178  |155       
 [15, 20, 12, 1, 0]  |2.6370168134731427  |1.401647433940583   |632       
 [18, 15, 0, 0, 0]   |0.8123178827127677  |0.5695757268016086  |355       
 [6, 16, 0, 0, 0]    |0.9974752101111227  |0.86111434151101    |147       
 [5, 15, 13, 16, 12] |2.923645487813354   |1.3755192446955873  |754       
 [10, 0, 0, 0, 0]    |0.8044157419367366  |0.772101661699451   |41        
 [1, 7, 3, 20, 0]    |7.198300564298711   |6.245398580160111   |142       
 [2, 6, 10, 0, 0]    |4.129394630488921   |3.717795249265227   |105       
 [10, 20, 4, 0, 0]   |0.8882070273043364  |0.6328319181120242  |339       
Gen 1 Train time: 7.972800906499227 minutes:
 Average MSE:        1.0402079975963965
 Average Error:      1.2511950097128013
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.7753492583422115  |0.7382729327191848  |49        
 [14, 0, 0, 0, 0]    |0.6689153341863098  |0.6318534575807142  |57        
 [18, 7, 0, 0, 0]    |0.6870034967317326  |0.5652902873165442  |195       
 [6, 2, 1, 10, 16]   |2.760536326253402   |2.154211970972058   |248       
 [15, 8, 0, 0, 0]    |0.5760996184181945  |0.48023741412640053 |182       
 [12, 8, 12, 8, 0]   |1.2602561124919387  |0.878372043096386   |361       
 [3, 11, 1, 1, 12]   |6.404803239700149   |5.772170704623063   |104       
 [18, 11, 0, 0, 0]   |0.6379267832460266  |0.4845514012122587  |275       
 [12, 14, 4, 3, 19]  |1.458255141790393   |0.9883094840154321  |389       
 [9, 0, 0, 0, 0]     |0.6936054192615259  |0.6684109898911071  |37        
 [15, 16, 0, 0, 0]   |0.8366594706330697  |0.6087557637861009  |318       
 [12, 10, 2, 0, 0]   |1.3295538114803476  |1.098387731364544   |191       
 [18, 15, 0, 0, 0]   |0.8125200009848101  |0.5697174467663519  |355       
 [16, 4, 1, 0, 0]    |1.2027151739357083  |1.063517324721864   |123       
 [4, 15, 0, 0, 0]    |1.6512541399071108  |1.4896408996832264  |103       
 [15, 9, 9, 5, 0]    |1.5865467756437541  |1.1349173343978274  |335       
 [12, 12, 0, 0, 0]   |0.6751639487911759  |0.5500204990204651  |205       
 [12, 10, 2, 17, 0]  |1.0460552090414563  |0.8089858485164345  |257       
