/tmp/tmp.OqX9giHtRn ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k5.mat
  Evaluating with: datasets/N1dataset100k5.mat
Gen 0 Train time: 8.023235980669657 minutes:
 Average MSE:        1.6320322176364401
 Average Error:      1.9162713634478388
 Structure           |Error               |MSE                 |weights&biases
 [13, 7, 13, 4, 0]   |0.9851364995389962  |0.7283489132212086  |302       
 [6, 19, 9, 7, 0]    |2.256566347419457   |1.4990691407701053  |409       
 [3, 11, 7, 3, 0]    |3.1523676083348757  |2.672872648077822   |165       
 [6, 11, 0, 0, 0]    |1.1799032387062662  |1.060173351621989   |107       
 [5, 0, 0, 0, 0]     |1.715523426805696   |1.679873073691325   |21        
 [2, 2, 16, 5, 0]    |7.00369312474016    |6.022109415423126   |151       
 [7, 8, 17, 0, 0]    |1.1953496805271355  |0.9253703550784618  |256       
 [3, 0, 0, 0, 0]     |2.9070419178211315  |2.8694949569201893  |13        
 [2, 8, 4, 0, 0]     |4.850101022900165   |4.5176842758005575  |71        
 [20, 16, 18, 11, 0] |1.524624514973017   |0.605771855453261   |923       
 [13, 0, 0, 0, 0]    |0.6976074987837684  |0.661597008404295   |53        
 [6, 2, 0, 0, 0]     |1.0956830789496015  |1.057997515535502   |35        
 [13, 0, 0, 0, 0]    |0.6956603754114655  |0.6597503955161659  |53        
 [13, 9, 0, 0, 0]    |0.684532188466139   |0.5746353515504106  |175       
 [11, 6, 14, 0, 0]   |1.0772676364024898  |0.866258313915243   |218       
 [16, 0, 0, 0, 0]    |0.6389613332634537  |0.5987498757574283  |65        
 [5, 2, 0, 0, 0]     |1.5735353321991     |1.5270303350133845  |30        
 [10, 11, 5, 0, 0]   |0.9212090125144657  |0.7415087421667597  |217       
 [4, 4, 19, 3, 0]    |6.294116457095739   |5.199774718825526   |191       
 [19, 3, 9, 0, 0]    |0.7107164773981404  |0.6038184566585174  |163       
 [12, 18, 0, 0, 0]   |0.7837120266390244  |0.5870098734734912  |289       
