/tmp/tmp.jHqWR4uDoH ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k6.mat
  Evaluating with: datasets/N1dataset100k6.mat
Gen 0 Train time: 8.494029196103414 minutes:
 Average MSE:        1.101353009767904
 Average Error:      1.5190818829112533
 Structure           |Error               |MSE                 |weights&biases
 [4, 16, 16, 13, 0]  |2.6206296686446504  |1.4396710074572556  |599       
 [4, 0, 0, 0, 0]     |1.463870246996073   |1.4391947884591345  |17        
 [8, 5, 0, 0, 0]     |0.8158743735740699  |0.7569221357457318  |75        
 [18, 18, 20, 5, 5]  |2.43761141490226    |0.9743532431245974  |917       
 [19, 16, 0, 0, 0]   |0.8825475418165832  |0.595149514649046   |394       
 [19, 16, 16, 12, 20]|2.456338262680225   |0.7903113714529642  |1134      
 [12, 0, 0, 0, 0]    |0.6869645202679584  |0.6541146529715361  |49        
 [13, 17, 18, 0, 0]  |1.283252516744391   |0.690318553412012   |620       
 [18, 0, 0, 0, 0]    |0.7189580402496034  |0.6683439909697486  |73        
 [18, 6, 0, 0, 0]    |0.5991528142092178  |0.5029630364015565  |175       
 [3, 14, 0, 0, 0]    |2.615391853874038   |2.4143109725175718  |80        
 [7, 2, 9, 0, 0]     |0.9753266349156331  |0.9057582380956237  |74        
 [10, 4, 0, 0, 0]    |0.8127381233460067  |0.7510024740902856  |79        
 [12, 10, 1, 2, 20]  |2.1138751861088214  |1.6266502584526414  |262       
 [17, 1, 19, 0, 0]   |1.3994960399829983  |1.2325832870794038  |127       
 [12, 14, 5, 3, 14]  |1.4804109525532496  |1.0103731518286723  |382       
 [20, 16, 0, 0, 0]   |1.028865075431623   |0.6807612145319341  |413       
 [19, 13, 14, 4, 0]  |1.33579028499869    |0.7494041090532939  |578       
 [8, 6, 5, 16, 11]   |1.2924580835942476  |0.8594573273534529  |408       
 [3, 4, 8, 3, 0]     |4.269402203968282   |3.8785982724296106  |96        
 [17, 16, 12, 18, 0] |1.7370097694690236  |0.7836170078224671  |796       
 [5, 6, 8, 2, 17]    |2.1993398136429327  |1.8115036216795801  |194       
 [5, 1, 15, 0, 0]    |1.127466243064537   |1.0544010201831586  |67        
 [15, 20, 0, 0, 0]   |0.8354008463231571  |0.5678808724588776  |386       
 [8, 10, 0, 0, 0]    |0.7888765614230623  |0.6961811219774388  |125       
Gen 1 Train time: 8.419439888000488 minutes:
 Average MSE:        1.0212828826727538
 Average Error:      1.3961234234399518
 Structure           |Error               |MSE                 |weights&biases
 [18, 6, 0, 0, 0]    |0.7239762344292182  |0.6077469328616608  |175       
 [12, 0, 0, 0, 0]    |0.7165060150895862  |0.6822435068837762  |49        
 [18, 0, 0, 0, 0]    |0.6840892354101427  |0.6359299210489785  |73        
 [10, 3, 0, 0, 0]    |0.6908721575331738  |0.6461003264622096  |67        
 [11, 2, 0, 0, 0]    |0.9188547627384441  |0.8653448270620363  |60        
 [11, 14, 9, 0, 0]   |0.7956666579297205  |0.5629440960595746  |346       
 [15, 1, 10, 4, 0]   |2.162525907422611   |1.8989041185551354  |130       
 [8, 14, 19, 5, 10]  |2.2283658902267067  |1.2156373804472402  |606       
 [12, 12, 0, 0, 0]   |0.7504143605752392  |0.6113230450392062  |205       
 [17, 13, 0, 0, 0]   |0.8424625300858769  |0.6247360162816077  |299       
 [14, 11, 0, 0, 0]   |0.787931889434557   |0.6329627992086017  |219       
 [18, 20, 0, 0, 0]   |0.8862142760912315  |0.5622568466327919  |455       
 [14, 9, 7, 2, 0]    |1.4652650548454342  |1.1230364701934674  |266       
 [12, 13, 19, 0, 0]  |1.0047713454427991  |0.6149342045642651  |491       
 [11, 11, 9, 0, 0]   |0.8751461220877573  |0.6594399202618211  |283       
 [13, 5, 0, 0, 0]    |0.6775275857867754  |0.6039251515332629  |115       
 [8, 6, 5, 16, 11]   |1.879364643157909   |1.2497377933056097  |408       
 [7, 4, 10, 8, 6]    |1.6812197854101638  |1.3067192317474525  |252       
 [16, 12, 11, 8, 17] |1.5397530959879988  |0.7942333861505417  |662       
 [7, 13, 9, 0, 0]    |0.9827246117806646  |0.756974017690782   |261       
 [15, 3, 0, 0, 0]    |0.6652558510015865  |0.6037569431917913  |97        
 [12, 14, 9, 0, 0]   |0.8908002052397186  |0.6196285377229578  |363       
 [3, 20, 6, 19, 5]   |8.682448801158332   |5.514073315907465   |454       
 [9, 3, 4, 1, 9]     |1.6661151326154862  |1.4985450168066552  |106       
 [18, 2, 0, 0, 0]    |0.7048134345176595  |0.6409382611999568  |95        
Increasing Epochs
Gen 2 Train time: 9.538648744424185 minutes:
 Average MSE:        0.6991199850353967
 Average Error:      0.9022007188862677
 Structure           |Error               |MSE                 |weights&biases
 [15, 3, 0, 0, 0]    |0.8229683896386223  |0.746889904874359   |97        
 [13, 5, 0, 0, 0]    |0.598454201497101   |0.5334418138933128  |115       
 [18, 0, 0, 0, 0]    |0.5842066474077453  |0.5430789843368257  |73        
 [13, 12, 0, 0, 0]   |0.931544419763755   |0.7475819079974632  |220       
 [11, 7, 5, 0, 0]    |0.8125174187537065  |0.6903076394065168  |163       
 [12, 4, 0, 0, 0]    |0.6313790787632256  |0.5753085127920162  |93        
 [15, 7, 5, 0, 0]    |0.8141937231537884  |0.6646086205157443  |203       
 [11, 8, 0, 0, 0]    |0.7300307884612577  |0.6359288647627552  |138       
 [11, 9, 5, 10, 0]   |1.3001677477525442  |1.0004934145646334  |262       
 [16, 4, 0, 0, 0]    |0.5760145650876715  |0.5103684658877977  |121       
 [18, 11, 0, 0, 0]   |0.6745359357593896  |0.5123586929163005  |275       
 [13, 5, 19, 0, 0]   |0.8983707569406438  |0.7045665934739377  |243       
 [18, 15, 15, 11, 12]|2.155021223812382   |0.8657150831397857  |912       
 [11, 8, 5, 0, 0]    |0.8133706177547635  |0.6793842478477382  |180       
 [14, 11, 0, 0, 0]   |0.575996828878598   |0.46271076222579577 |219       
 [15, 13, 0, 0, 0]   |0.7110692535244227  |0.5444465793706355  |267       
 [15, 0, 0, 0, 0]    |0.6529315298126342  |0.6142931572302289  |61        
 [13, 7, 5, 15, 0]   |0.8405768580132508  |0.6333912957299324  |283       
 [15, 7, 0, 0, 0]    |0.7271938807911084  |0.6165831131740391  |165       
