/tmp/tmp.Ug4N90rVdE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k7.mat
  Evaluating with: datasets/N1dataset100k7.mat
Gen 0 Train time: 9.025496768951417 minutes:
 Average MSE:        1.6269885238925557
 Average Error:      2.5150910345662543
 Structure           |Error               |MSE                 |weights&biases
 [6, 6, 1, 19, 0]    |1.6715299623292397  |1.4751200143328995  |125       
 [1, 1, 20, 15, 20]  |14.025610356859536  |6.957950549236573   |701       
 [1, 8, 13, 0, 0]    |7.17290903738487    |6.1737800226485415  |150       
 [4, 17, 18, 4, 8]   |3.8426415593525154  |2.2258971240670657  |546       
 [16, 4, 3, 16, 20]  |1.3483064485173353  |0.7732516932380904  |556       
 [9, 17, 16, 3, 12]  |2.258805774440715   |1.24338345341518    |597       
 [9, 14, 11, 12, 0]  |1.4323096680143346  |0.8783486168600063  |489       
 [9, 13, 3, 15, 0]   |1.1544750183593475  |0.8769070409053941  |275       
 [17, 12, 5, 0, 0]   |0.8148250219544078  |0.5811293661194981  |338       
 [7, 7, 11, 16, 11]  |2.57541188230268    |1.4769947892527941  |556       
 [20, 14, 1, 20, 19] |3.253810904105343   |1.42166240594204    |828       
 [16, 17, 12, 0, 0]  |1.137878388481664   |0.6460783263964058  |566       
 [18, 16, 2, 12, 0]  |1.3281926537621698  |0.8545494663543597  |441       
 [20, 0, 0, 0, 0]    |0.587631414685844   |0.5419099835179557  |81        
 [3, 4, 0, 0, 0]     |1.9409833559101066  |1.8836186284349572  |30        
 [8, 0, 0, 0, 0]     |0.9267001886465753  |0.8966181656939917  |33        
 [8, 4, 0, 0, 0]     |1.1938489968137285  |1.1187170510998983  |65        
 [10, 0, 0, 0, 0]    |0.8224490860249476  |0.789410590665688   |41        
 [6, 12, 0, 0, 0]    |1.1492536944952867  |1.0244058340329434  |115       
 [2, 18, 14, 13, 0]  |7.344079164228361   |4.3012016308807945  |535       
 [17, 20, 0, 0, 0]   |0.7529949397541169  |0.4888513754848403  |432       
 [6, 0, 0, 0, 0]     |1.246446688784269   |1.2156718103861919  |25        
 [15, 11, 12, 13, 12]|2.2929272109685876  |1.121681904528996   |715       
 [13, 14, 0, 0, 0]   |0.7595853662238354  |0.591565678024703   |250       
 [17, 9, 10, 5, 19]  |1.8436690817565333  |1.116007575794081   |502       
Gen 1 Train time: 8.885986268520355 minutes:
 Average MSE:        1.543564637169836
 Average Error:      1.9938090168842983
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.5513665049353875  |0.5084667125252766  |81        
 [17, 20, 0, 0, 0]   |0.7559109979923179  |0.49074450783604034 |432       
 [13, 14, 0, 0, 0]   |0.6236099858554659  |0.4856679453153846  |250       
 [12, 14, 6, 8, 6]   |2.131746425267275   |1.3936714023983063  |425       
 [1, 8, 5, 3, 12]    |8.085640467161515   |7.008261774538264   |143       
 [18, 18, 1, 6, 0]   |1.3984344155772017  |0.9060627963449628  |434       
 [8, 16, 12, 16, 8]  |1.8106983083724275  |0.87696567771068    |725       
 [7, 14, 0, 0, 0]    |1.1667276420313275  |1.0062222211507814  |148       
 [14, 7, 2, 8, 0]    |0.9403011226964184  |0.7729390271380906  |196       
 [17, 1, 8, 3, 19]   |2.3055309110936792  |1.872568429347174   |208       
 [7, 1, 6, 20, 5]    |11.48454081986816   |8.576293734379204   |292       
 [11, 14, 2, 8, 0]   |1.1005456683727426  |0.8451899524940707  |264       
 [6, 10, 3, 3, 8]    |3.0852907927966537  |2.5925602815611506  |174       
 [12, 10, 1, 0, 0]   |1.2471739660934686  |1.0427695106251473  |179       
 [14, 14, 0, 0, 0]   |0.7242075108756587  |0.5545061892304588  |267       
 [15, 12, 5, 3, 10]  |1.5008668654758444  |1.0356640876079364  |371       
 [14, 10, 0, 0, 0]   |0.6856172647016255  |0.5596544551216798  |203       
 [8, 13, 2, 8, 0]    |1.1075571066329926  |0.9049792942361972  |202       
 [13, 0, 0, 0, 0]    |0.6097119944849935  |0.578238668940285   |53        
 [6, 6, 0, 0, 0]     |0.9084419971741441  |0.8495705964500571  |67        
 [19, 6, 3, 0, 0]    |0.7162529265747615  |0.5852466334280209  |202       
 [19, 8, 1, 6, 12]   |1.2899895404881547  |0.9227786493076147  |335       
 [17, 15, 1, 0, 0]   |4.0779328038824385  |2.9054555513313143  |339       
 [17, 7, 7, 0, 0]    |0.8650290155582473  |0.6797758084594026  |241       
 [14, 0, 0, 0, 0]    |0.6721003681445427  |0.634862021768392   |57        
Gen 2 Train time: 8.819653018315632 minutes:
 Average MSE:        0.8708290864980348
 Average Error:      1.2131168765863987
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.5670838054058702  |0.5229611078656952  |81        
 [13, 0, 0, 0, 0]    |0.6914923407988177  |0.6557975147981963  |53        
 [13, 14, 0, 0, 0]   |1.0271897131315777  |0.7999761529497645  |250       
 [11, 7, 10, 0, 0]   |0.7164227392991954  |0.5818835901192495  |208       
 [17, 7, 0, 0, 0]    |0.6857171883561524  |0.5699024927538332  |185       
 [17, 7, 16, 0, 0]   |0.7531071326880296  |0.5457753761835571  |322       
 [13, 12, 1, 4, 0]   |1.1779717728142411  |0.9331345493455725  |233       
 [18, 19, 1, 3, 0]   |2.1741844157026886  |1.3932701541534254  |445       
 [17, 4, 1, 4, 17]   |1.4378517070902024  |1.1321858328078003  |239       
 [13, 14, 1, 4, 0]   |1.5841935907123736  |1.21783598663241    |263       
 [17, 5, 0, 0, 0]    |0.6666092205511377  |0.5754797253919841  |147       
 [15, 4, 4, 0, 0]    |0.7928568106921631  |0.6934246892844522  |134       
 [15, 17, 0, 0, 0]   |0.6947959064646038  |0.49701397413598186 |335       
 [13, 15, 4, 12, 16] |1.6543243063607507  |0.9097300710983808  |598       
 [14, 5, 0, 0, 0]    |0.6479827713807009  |0.5729876186974097  |123       
 [6, 11, 15, 13, 5]  |6.1878333832129     |3.5380828284540584  |559       
 [17, 3, 2, 0, 0]    |0.9984222640036514  |0.8890702884838196  |116       
 [14, 7, 0, 0, 0]    |0.6848846505971778  |0.5865456095969848  |155       
 [15, 7, 0, 0, 0]    |0.594419181419419   |0.504004281514618   |165       
 [17, 14, 4, 0, 0]   |0.9807125869245248  |0.6787680317088662  |368       
 [17, 7, 15, 0, 0]   |0.822792700313079   |0.6016670901662534  |313       
 [17, 10, 3, 5, 11]  |1.1115577138996624  |0.7739580370268428  |362       
 [18, 20, 1, 3, 6]   |2.0375515961341693  |1.2457638663820316  |492       
 [16, 4, 4, 0, 0]    |0.9469617522364178  |0.822426160403824   |141       
 [14, 14, 0, 0, 0]   |0.6910026644704647  |0.5290821324958579  |267       
Increasing Epochs
Gen 3 Train time: 10.067769793669383 minutes:
 Average MSE:        0.8087284749972499
 Average Error:      1.0613303026640235
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.6075489420191221  |0.5602778015738803  |81        
 [15, 7, 0, 0, 0]    |0.8433834249302793  |0.7150994961304872  |165       
 [14, 5, 0, 0, 0]    |0.7151140685981616  |0.6323493854473805  |123       
 [16, 17, 12, 2, 0]  |1.8412793207485203  |1.0288694859942769  |582       
 [16, 5, 1, 2, 9]    |1.678846487836914   |1.4022904608226108  |180       
 [14, 4, 0, 0, 0]    |0.6633049785595774  |0.5959965522580644  |107       
 [17, 7, 0, 0, 0]    |0.6475891992234251  |0.5382141576509563  |185       
 [15, 11, 0, 0, 0]   |0.6409522119724944  |0.507732585172325   |233       
 [15, 8, 3, 2, 0]    |1.2522103484841933  |1.0140074664828655  |211       
 [16, 9, 2, 3, 20]   |1.0521285473567046  |0.7556441612067316  |331       
 [19, 12, 18, 8, 10] |1.4417159751506734  |0.6582529846131194  |784       
 [17, 4, 0, 0, 0]    |0.565982803432321   |0.49798188213768635 |128       
 [20, 17, 4, 20, 14] |1.8229446781135665  |0.7426377887982765  |898       
 [8, 1, 9, 3, 5]     |2.4086847248484897  |2.164265063415958   |107       
 [16, 5, 1, 0, 0]    |1.5974632702148566  |1.3873797760112065  |141       
 [19, 7, 2, 0, 0]    |0.8342607949395506  |0.672193373451828   |216       
 [15, 11, 2, 5, 6]   |1.132267888836062   |0.8362920395436294  |303       
 [15, 4, 0, 0, 0]    |0.5304573400721628  |0.47330478193560754 |114       
 [14, 4, 0, 0, 0]    |0.6437226308394373  |0.5784013100940953  |107       
 [14, 10, 0, 0, 0]   |0.6064088038935939  |0.49499831202727035 |203       
 [11, 7, 2, 20, 0]   |1.0130791286247642  |0.8179077983953889  |214       
 [16, 7, 4, 8, 4]    |1.0448217048578474  |0.7896592572516137  |280       
 [15, 11, 2, 0, 0]   |1.03660568290947    |0.8089255519169221  |248       
 [15, 5, 2, 0, 0]    |0.9080910462237403  |0.7894564295265262  |140       
 [15, 13, 2, 0, 0]   |1.0043935639146615  |0.7560739730725382  |284       
Gen 4 Train time: 9.829820708433788 minutes:
 Average MSE:        1.2199349418336858
 Average Error:      1.6040577654862875
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.6264496284352044  |0.5589546649308896  |114       
 [17, 4, 0, 0, 0]    |0.6051274569629551  |0.5324234378220611  |128       
 [14, 10, 0, 0, 0]   |0.6455216676373094  |0.52692529166111    |203       
 [17, 2, 0, 0, 0]    |0.7091700892918675  |0.6481326602654192  |90        
 [18, 6, 5, 18, 0]   |0.9118530642655815  |0.655552809303154   |330       
 [16, 8, 0, 0, 0]    |0.5327017961352623  |0.4392030285050498  |193       
 [3, 4, 15, 10, 17]  |9.036699886636406   |5.676268433859574   |465       
 [18, 11, 3, 10, 7]  |1.0491726685523222  |0.6866036505466868  |424       
 [17, 6, 1, 6, 0]    |0.9269826767398331  |0.7704192736951856  |185       
 [15, 8, 1, 0, 0]    |1.1880973298413553  |0.9884207071258903  |184       
 [17, 6, 1, 1, 0]    |1.6051938381443402  |1.35424556505969    |170       
