/tmp/tmp.971e53FiyA ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k8.mat
  Evaluating with: datasets/N1dataset100k8.mat
Gen 0 Train time: 8.594660039742788 minutes:
 Average MSE:        1.7218514339156799
 Average Error:      2.440790438074861
 Structure           |Error               |MSE                 |weights&biases
 [2, 18, 20, 4, 3]   |15.322310572434406  |8.902302699865484   |543       
 [4, 7, 8, 7, 18]    |2.8367927943246554  |2.0252114528407104  |337       
 [15, 11, 16, 9, 0]  |2.288711466743052   |1.286581860264945   |576       
 [17, 10, 16, 11, 0] |1.1154419808441072  |0.6085055302548447  |606       
 [8, 0, 0, 0, 0]     |0.7904096960860376  |0.7647518588362893  |33        
 [19, 14, 2, 4, 3]   |1.4833128643395752  |0.9962849261194627  |398       
 [11, 8, 9, 0, 0]    |0.7138676614954754  |0.5728922176076344  |220       
 [9, 15, 9, 0, 0]    |1.1721245016966966  |0.8418258758776702  |331       
 [4, 5, 9, 14, 11]   |2.477541989361305   |1.6475130943209038  |408       
 [8, 0, 0, 0, 0]     |0.8696091446244693  |0.8413803791954091  |33        
 [18, 16, 0, 0, 0]   |0.8310458140061268  |0.5711688781505273  |375       
 [14, 5, 14, 18, 16] |1.9771805724622755  |0.8955402393914798  |792       
 [13, 16, 0, 0, 0]   |0.7309390922120123  |0.5524318818882462  |280       
 [2, 6, 0, 0, 0]     |3.560098616210047   |3.451428646157402   |31        
 [17, 0, 0, 0, 0]    |0.6352632584354532  |0.5929081479712223  |69        
 [5, 19, 11, 0, 0]   |1.736418989871344   |1.2102475684793883  |361       
 [19, 0, 0, 0, 0]    |0.6632183937534523  |0.6140671815015188  |77        
 [13, 13, 13, 14, 12]|2.637547282583946   |1.1946454247777822  |792       
 [10, 10, 5, 19, 8]  |2.0645383592955584  |1.2800596092840333  |478       
 [13, 16, 8, 0, 0]   |0.9804367580393064  |0.6519697361172485  |408       
 [3, 11, 5, 0, 0]    |3.2223554159648526  |2.8608322751211146  |119       
 [7, 13, 0, 0, 0]    |1.2249920587484278  |1.066022424161659   |139       
 [2, 2, 6, 0, 0]     |7.0998195684834045  |6.841926683431671   |37        
 [11, 9, 11, 4, 15]  |1.6940341287229124  |1.1469574524863566  |390       
 [5, 8, 20, 15, 0]   |2.891749971132624   |1.628829803788992   |574       
Gen 1 Train time: 8.282684473196666 minutes:
 Average MSE:        0.9014346190862357
 Average Error:      1.1900507091337056
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6737689670861379  |0.6288465531902243  |69        
 [19, 0, 0, 0, 0]    |0.6297044160417192  |0.583036929584231   |77        
 [11, 8, 9, 0, 0]    |1.0803474611286599  |0.8669991458867876  |220       
 [17, 5, 8, 6, 0]    |0.8125917594009806  |0.6328470985388543  |250       
 [15, 4, 5, 0, 0]    |0.8251432639255434  |0.7173450918775215  |140       
 [15, 13, 18, 6, 0]  |1.2926436686842158  |0.6912107402051358  |626       
 [12, 20, 14, 16, 9] |3.001060007965152   |1.1117835885197969  |993       
 [3, 8, 0, 0, 0]     |2.491010066066743   |2.3695220715701533  |50        
 [19, 16, 0, 0, 0]   |0.8263096117285673  |0.5572252383796259  |394       
 [15, 12, 5, 0, 0]   |0.9894394681965072  |0.7271542214203599  |308       
 [8, 7, 0, 0, 0]     |0.87652260638681    |0.797085934697716   |95        
 [11, 8, 7, 0, 0]    |0.9644633683083038  |0.7896358198511846  |200       
 [12, 13, 9, 0, 0]   |0.991623837822564   |0.7051029634735623  |341       
 [4, 12, 4, 4, 9]    |2.215482426993347   |1.8156983867233687  |199       
 [9, 11, 5, 0, 0]    |0.8136987067611232  |0.6642045494052627  |203       
 [14, 0, 0, 0, 0]    |0.8280327602723622  |0.7821548345944654  |57        
 [5, 5, 8, 6, 0]     |1.8857219424655347  |1.61657666068308    |154       
 [16, 8, 0, 0, 0]    |0.7009958061663325  |0.5779584061312535  |193       
 [12, 7, 3, 0, 0]    |0.8821845142963566  |0.7555162073844097  |155       
 [11, 8, 0, 0, 0]    |0.763465882892069   |0.6650541317798322  |138       
 [5, 8, 9, 5, 0]     |1.579635705737087   |1.2932963309469945  |200       
 [18, 2, 0, 0, 0]    |1.0629992420336323  |0.9666627400656301  |95        
 [18, 13, 8, 6, 0]   |1.413166643774474   |0.8797064848363467  |474       
 [17, 15, 11, 0, 0]  |1.1231982805970622  |0.6751504145799444  |509       
 [15, 12, 14, 0, 0]  |1.028057313611361   |0.6660909328301473  |434       
Gen 2 Train time: 7.982054495811463 minutes:
 Average MSE:        1.0599189488818492
 Average Error:      1.3520276896761163
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.5879360920776571  |0.5443640622237569  |77        
 [17, 0, 0, 0, 0]    |0.6564819846575694  |0.6127121512715983  |69        
 [16, 8, 0, 0, 0]    |0.6557210397812888  |0.5406301773634257  |193       
