/tmp/tmp.599RfoztRW ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k9.mat
  Evaluating with: datasets/N1dataset100k9.mat
Gen 0 Train time: 8.704489807287851 minutes:
 Average MSE:        1.3025065338333832
 Average Error:      1.881604251852161
 Structure           |Error               |MSE                 |weights&biases
 [10, 12, 14, 0, 0]  |1.4166508520327248  |0.9893526198800082  |359       
 [7, 5, 11, 16, 15]  |2.4284300010870026  |1.3461450086703741  |590       
 [16, 9, 6, 13, 0]   |1.1783011120180213  |0.817155121853068   |366       
 [12, 16, 2, 15, 0]  |1.2396825717449114  |0.883252074810002   |339       
 [11, 0, 0, 0, 0]    |0.6203771960200544  |0.5930790371818514  |45        
 [17, 13, 20, 0, 0]  |1.0330274270568214  |0.574930417048001   |586       
 [2, 0, 0, 0, 0]     |1.9566583942694726  |1.9391274761859603  |9         
 [19, 13, 0, 0, 0]   |0.647653929980555   |0.4651484002614742  |331       
 [13, 10, 4, 19, 5]  |1.9495143548237157  |1.27580875192078    |424       
 [8, 11, 15, 0, 0]   |1.0848223524337481  |0.7885308433250748  |319       
 [2, 14, 20, 0, 0]   |4.424630762963874   |3.0593021413733585  |369       
 [3, 0, 0, 0, 0]     |2.7655726130451512  |2.7298528505834696  |13        
 [17, 2, 15, 7, 0]   |1.303082222661886   |1.0128138008351377  |252       
 [14, 0, 0, 0, 0]    |0.5766485915796514  |0.5446988397146972  |57        
 [19, 12, 8, 17, 0]  |1.1795426703379215  |0.6657285965692626  |572       
 [11, 7, 14, 17, 0]  |1.2708076663142467  |0.7692437851334436  |502       
 [15, 7, 3, 11, 0]   |1.104826749342763   |0.8716986800002555  |237       
 [12, 7, 16, 0, 0]   |0.9519868405046571  |0.7252752309399245  |272       
 [5, 12, 20, 5, 0]   |1.8399533871972205  |1.1638578714107914  |458       
 [6, 0, 0, 0, 0]     |1.1162109774290851  |1.0886516302014202  |25        
 [13, 14, 8, 15, 2]  |6.965918119326346   |4.120726231227496   |525       
 [12, 18, 9, 3, 0]   |1.3203808853728178  |0.821125141455408   |475       
 [6, 10, 20, 16, 19] |3.9915596099669206  |1.4876267043710014  |987       
 [5, 7, 7, 2, 0]     |3.1712309178209845  |2.779079658149716   |132       
 [7, 3, 14, 16, 0]   |1.5026360909734664  |1.0504524327326066  |358       
Gen 1 Train time: 8.494586396217347 minutes:
 Average MSE:        1.028467511639955
 Average Error:      1.2927308767862256
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7108359464629904  |0.6714514193214802  |57        
 [11, 0, 0, 0, 0]    |0.7251129949649359  |0.6932061972309359  |45        
 [19, 13, 0, 0, 0]   |0.6220667576664403  |0.4467715608443452  |331       
 [11, 6, 8, 0, 0]    |0.8251188854740972  |0.6961237731837168  |170       
 [17, 7, 3, 0, 0]    |0.8354626130789957  |0.6806073757068718  |205       
 [18, 13, 14, 9, 0]  |1.2401712317817897  |0.6526263362389193  |642       
 [14, 3, 0, 0, 0]    |0.6159649709382982  |0.5623869277602177  |91        
 [18, 11, 3, 7, 0]   |1.065155919011682   |0.7619465967729189  |335       
 [19, 13, 4, 18, 0]  |1.0671450571561245  |0.6590122945234662  |482       
 [17, 10, 2, 6, 0]   |0.942287093581574   |0.7135910209233073  |278       
 [14, 5, 3, 7, 20]   |1.2430612024633225  |0.8812420457622592  |344       
 [11, 4, 2, 3, 13]   |1.388787776228226   |1.1763674559423893  |166       
 [12, 4, 8, 0, 0]    |0.6996948331570042  |0.6101130618913816  |137       
 [13, 7, 0, 0, 0]    |0.7245251240563291  |0.6267303842275501  |145       
 [17, 12, 0, 0, 0]   |0.6686943890941943  |0.5053883472800609  |280       
 [17, 19, 0, 0, 0]   |0.8005421236103458  |0.529688529007875   |413       
 [6, 4, 4, 1, 0]     |2.1643073984018084  |2.011941953985285   |73        
 [9, 15, 7, 9, 0]    |1.188091651952679   |0.8198354464465194  |371       
 [13, 0, 0, 0, 0]    |0.6493173554377617  |0.6157996016550372  |53        
 [14, 7, 10, 6, 0]   |0.8867204473778454  |0.6568986640685522  |300       
 [16, 15, 1, 8, 0]   |1.3276689889477509  |0.9412229531393068  |344       
 [1, 17, 4, 5, 6]    |8.664122833560091   |7.258626960580725   |177       
 [13, 8, 1, 8, 0]    |1.1778076140004952  |0.9788809535494624  |185       
 [15, 6, 4, 9, 0]    |0.8253753639447259  |0.6597350199366422  |224       
 [14, 12, 8, 0, 0]   |1.2602333473061287  |0.9014929110196471  |335       
Increasing Epochs
Gen 2 Train time: 9.892791477839152 minutes:
 Average MSE:        1.0728279082396188
 Average Error:      1.5262900719339385
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 0, 0, 0]    |0.5925689575590648  |0.5410259531805415  |91        
 [19, 13, 0, 0, 0]   |0.6908388538106554  |0.49616403578087553 |331       
 [13, 0, 0, 0, 0]    |0.6456724507596008  |0.6123428469108662  |53        
 [16, 13, 2, 5, 0]   |0.9712516140707568  |0.7066853826500592  |318       
 [14, 2, 0, 0, 0]    |0.5985142041937862  |0.5552676544159026  |75        
 [14, 2, 9, 0, 0]    |1.0563998873470153  |0.947305912025778   |109       
 [16, 12, 4, 0, 0]   |0.7934767142547173  |0.5825553450694377  |309       
 [17, 10, 9, 9, 0]   |1.283260405843224   |0.8347725648993514  |430       
 [14, 5, 6, 5, 0]    |0.9520894560070448  |0.7841960060109718  |194       
 [14, 3, 2, 4, 10]   |1.0289466711003514  |0.8698240141006964  |168       
 [14, 10, 0, 0, 0]   |0.5605551954272927  |0.45756900914537957 |203       
 [5, 9, 13, 18, 13]  |2.7647791332799674  |1.3565717596657345  |712       
 [12, 0, 0, 0, 0]    |0.6888152505234238  |0.6558768833969524  |49        
 [16, 7, 6, 0, 0]    |0.6205971636007589  |0.49704580339035787 |222       
 [18, 14, 1, 4, 5]   |1.8040239103044273  |1.2411267986768797  |374       
 [16, 11, 5, 3, 0]   |1.0789754585960067  |0.7858510105213299  |317       
 [3, 15, 19, 10, 14] |3.7268885271621883  |1.7745976310800367  |742       
 [15, 10, 0, 0, 0]   |0.6386531538496214  |0.5145853917094746  |216       
 [10, 8, 1, 4, 0]    |1.2854808726472007  |1.1175433830834873  |140       
 [13, 3, 2, 4, 10]   |1.0439030251837054  |0.8877781461604235  |162       
 [18, 12, 8, 8, 0]   |1.0056082646145905  |0.6303957998410281  |467       
 [16, 10, 8, 0, 0]   |0.7755502942251291  |0.5659879761615927  |315       
 [15, 8, 2, 4, 11]   |1.6435841472822972  |1.254678435252428   |270       
 [17, 17, 1, 4, 1]   |11.028565548241888  |7.46696612029079    |390       
 [17, 8, 2, 9, 0]    |0.8782526384637405  |0.6839838425700886  |250       
Gen 3 Train time: 9.790520576635997 minutes:
 Average MSE:        1.2560962243393374
 Average Error:      1.5078064237191138
 Structure           |Error               |MSE                 |weights&biases
 [14, 10, 0, 0, 0]   |0.5543840977640272  |0.45253167639714353 |203       
 [14, 3, 0, 0, 0]    |0.5501737948371996  |0.5023184187590223  |91        
 [14, 2, 0, 0, 0]    |0.7685351476821842  |0.7130034772766989  |75        
 [17, 10, 3, 5, 0]   |0.8093079138649616  |0.6055756268981624  |290       
 [15, 7, 5, 2, 5]    |1.041433508438847   |0.8274539172276034  |230       
 [13, 1, 0, 0, 0]    |1.0412809677740444  |0.9855569708447632  |55        
 [17, 19, 12, 0, 0]  |1.21367771552885    |0.6361347825714769  |646       
 [1, 1, 0, 0, 0]     |5.98881493810815    |5.947039617745082   |7         
 [14, 3, 13, 0, 0]   |0.738618728881442   |0.6338306843397171  |153       
 [18, 14, 0, 0, 0]   |0.7399299001074736  |0.529300038777921   |335       
 [15, 1, 1, 2, 0]    |1.7586218407107561  |1.6397281358303317  |70        
 [14, 4, 3, 3, 0]    |0.8051639712330765  |0.7048929502382293  |133       
 [16, 6, 4, 4, 0]    |0.9616831197143082  |0.7850010057690898  |203       
 [14, 5, 1, 0, 0]    |1.1428394678443332  |1.0085522905240514  |125       
 [13, 1, 2, 0, 0]    |1.3570073292781815  |1.2779813745280735  |60        
 [13, 1, 2, 14, 5]   |6.474710482525208   |5.40813279356561    |180       
 [19, 13, 4, 4, 0]   |0.9578053902579153  |0.643321510526234   |398       
 [15, 9, 3, 0, 0]    |0.8205142801072132  |0.6565056595720125  |223       
 [5, 6, 0, 0, 0]     |1.005549526080008   |0.9488867574304972  |58        
 [10, 5, 18, 12, 8]  |2.2803644425023255  |1.336875631728435   |534       
 [15, 4, 6, 0, 0]    |0.7718003227239844  |0.6669571942023244  |146       
 [7, 6, 4, 4, 17]    |1.70871687385247    |1.3712774116622883  |220       
 [16, 6, 15, 7, 5]   |1.54567123459764    |1.0227123575852133  |413       
 [17, 12, 1, 2, 3]   |1.5447913435254355  |1.1478479581551313  |297       
 [15, 6, 2, 0, 0]    |1.1137642550378115  |0.9509873663283239  |158       
Gen 4 Train time: 9.945170307159424 minutes:
 Average MSE:        0.8940200476788435
 Average Error:      1.1393293553689852
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 0, 0, 0]    |0.6190950606021669  |0.5652447550600326  |91        
 [14, 10, 0, 0, 0]   |0.7332043311826627  |0.5984987420634245  |203       
 [14, 3, 13, 0, 0]   |0.7181536409405774  |0.6162689841181773  |153       
 [15, 9, 3, 1, 3]    |1.7882818499672333  |1.4165938579202149  |233       
 [15, 9, 11, 8, 4]   |2.319195205867927   |1.4996327300186927  |436       
 [16, 9, 19, 0, 0]   |0.7756306817097117  |0.5142330057221022  |411       
 [15, 7, 3, 0, 0]    |0.7723569046368327  |0.6419091321064394  |185       
 [10, 4, 6, 14, 6]   |1.9261984788750293  |1.4283906064491823  |299       
 [11, 13, 11, 10, 20]|1.5891783446510162  |0.78601226550459    |704       
 [17, 3, 7, 0, 0]    |0.6058051525473236  |0.5261352999587258  |141       
 [12, 10, 2, 2, 0]   |1.263373111850218   |1.037470165830464   |197       
 [15, 3, 3, 1, 3]    |1.3782476378018134  |1.2236190042221806  |119       
 [14, 5, 14, 2, 0]   |1.3771288903207477  |1.0898072193664972  |234       
 [14, 6, 0, 0, 0]    |0.6178754631762503  |0.5376925461525973  |139       
 [14, 6, 9, 0, 0]    |0.826680222911348   |0.6734528251251196  |205       
 [14, 6, 11, 0, 0]   |0.7011809004180912  |0.5621484237660821  |221       
 [16, 7, 3, 0, 0]    |0.6336635193041014  |0.5214003052291635  |195       
 [16, 7, 2, 3, 0]    |1.2277240604462138  |1.0092041984955693  |196       
 [10, 5, 3, 10, 6]   |1.4596296901071486  |1.176075168981977   |216       
 [16, 10, 1, 0, 0]   |1.1777822931911075  |0.9348522885032734  |231       
 [16, 11, 2, 1, 2]   |1.8370651215917218  |1.4037809228508527  |269       
 [15, 5, 3, 1, 3]    |1.2533056493634445  |1.0712054254500705  |157       
 [16, 12, 0, 0, 0]   |0.595186591525538   |0.4566306943642419  |265       
 [14, 3, 2, 2, 0]    |1.0417408935391252  |0.9388432466156299  |104       
 [10, 6, 1, 0, 0]    |1.2455501876972814  |1.1213993780957885  |105       
Increasing Epochs
Gen 5 Train time: 11.15775861342748 minutes:
 Average MSE:        0.845402085206842
 Average Error:      1.0604474726346438
 Structure           |Error               |MSE                 |weights&biases
 [16, 12, 0, 0, 0]   |0.7386467451563997  |0.5666941778142894  |265       
 [17, 3, 7, 0, 0]    |0.6550840238481945  |0.5689334729760571  |141       
 [14, 6, 0, 0, 0]    |0.582995286803965   |0.5073388390358673  |139       
 [14, 5, 7, 0, 0]    |0.5760071855317739  |0.4874170565244148  |167       
 [14, 5, 5, 0, 0]    |0.527448686554466   |0.452619394662769   |153       
 [15, 7, 1, 0, 0]    |1.1272915654232882  |0.953913684524877   |167       
 [15, 8, 10, 0, 0]   |0.7137182957242025  |0.5426629129396429  |274       
 [16, 10, 2, 0, 0]   |0.7415456113479973  |0.5815730991425481  |243       
 [12, 13, 10, 12, 10]|1.2984440704307159  |0.6998891446597406  |618       
 [16, 10, 2, 10, 0]  |1.0386152945985132  |0.7841839770850012  |281       
 [15, 6, 10, 0, 0]   |0.7464339003157291  |0.5978303792231128  |222       
 [14, 5, 6, 0, 0]    |0.6496734042081475  |0.5536151562525077  |160       
 [10, 5, 4, 11, 4]   |1.5922159828421152  |1.2816223621960365  |217       
 [16, 3, 20, 0, 0]   |0.7065765127025548  |0.5784959203521769  |200       
 [14, 9, 2, 5, 3]    |1.4201943134349875  |1.1238875508044937  |234       
 [16, 6, 10, 0, 0]   |0.6504488697081086  |0.5162869385253412  |231       
 [13, 9, 1, 0, 0]    |1.1486644791204563  |0.9623278798067529  |177       
 [16, 11, 10, 0, 0]  |0.6985551227900232  |0.48444993445430595 |366       
 [3, 3, 11, 2, 11]   |3.308730641872096   |2.893782945829947   |134       
 [15, 9, 0, 0, 0]    |0.5812903593384958  |0.47639645199132225 |199       
 [19, 6, 5, 18, 9]   |1.1037040669524807  |0.6687612601039825  |501       
 [13, 10, 1, 1, 0]   |2.4216783625924854  |1.994634524945485   |194       
 [10, 13, 3, 1, 11]  |1.1792979369246879  |0.9156869711230163  |253       
 [13, 8, 7, 1, 0]    |1.3434298698792622  |1.073823826958361   |224       
 [14, 2, 7, 0, 0]    |0.9604962277649495  |0.8682242682390025  |101       
Gen 6 Train time: 11.275933078924815 minutes:
 Average MSE:        1.078736877520744
 Average Error:      1.4101282627686476
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 5, 0, 0]    |0.6448965080852141  |0.5534048610803042  |153       
 [14, 5, 7, 0, 0]    |0.6913914771647519  |0.5850551992586576  |167       
 [15, 9, 0, 0, 0]    |0.8827536112835016  |0.7234606279666487  |199       
 [16, 11, 1, 5, 0]   |0.9027957800189813  |0.6940169408163006  |263       
 [15, 6, 8, 0, 0]    |0.549386511342528   |0.44710891459423135 |206       
 [17, 7, 8, 9, 5]    |1.1248158812130566  |0.7707581494405449  |378       
 [14, 14, 7, 0, 0]   |1.0596215455955629  |0.7355857281505872  |365       
 [14, 11, 10, 6, 5]  |1.4806482406968167  |0.9593301412102907  |434       
 [14, 9, 4, 1, 0]    |1.3686702003235087  |1.0939988050789313  |224       
 [15, 6, 5, 0, 0]    |0.8247419650142763  |0.6875060075330082  |182       
 [16, 7, 11, 0, 0]   |0.8164375466715733  |0.6251242440196781  |267       
 [16, 8, 5, 0, 0]    |0.6506440974127796  |0.514380256897543   |235       
 [20, 2, 5, 1, 1]    |7.720298894484108   |6.799527198886759   |127       
 [15, 8, 5, 5, 0]    |1.2639326988616688  |0.9804222328454738  |254       
 [15, 12, 8, 0, 0]   |0.7456236302209481  |0.5254320916295323  |350       
 [15, 8, 6, 0, 0]    |0.6819745167507179  |0.5396885919703613  |234       
 [14, 16, 7, 0, 0]   |1.3069885056757162  |0.8682510658019247  |409       
 [14, 8, 1, 3, 2]    |4.559055551715985   |3.777700481242668   |188       
 [14, 5, 20, 0, 0]   |0.8929099913674584  |0.6898580020311367  |258       
 [16, 9, 6, 0, 0]    |0.6435176362790406  |0.4922316472667608  |268       
 [7, 20, 19, 12, 14] |2.9006495011378224  |1.04910212345409    |1017      
 [15, 8, 5, 0, 0]    |0.7261089653758699  |0.5803898852262142  |224       
 [13, 4, 9, 6, 5]    |1.2054410644138172  |0.9472857665742526  |241       
 [15, 8, 9, 0, 0]    |0.6902391426793616  |0.5300853976130796  |264       
 [17, 3, 7, 0, 0]    |0.919663105431125   |0.7987175774296176  |141       
Result:  [15, 6, 8]
Fold 0
Fold 0 Train time: 19.10630770921707 minutes, MSE: 0.05220406810839875
Fold 1
Fold 1 Train time: 19.173999524116518 minutes, MSE: 0.35203947188537466
Fold 2
Fold 2 Train time: 19.143515916665397 minutes, MSE: 1.0793090743771208
Fold 3
Fold 3 Train time: 19.23557686408361 minutes, MSE: 0.38701831980607976
Fold 4
Fold 4 Train time: 19.099993872642518 minutes, MSE: 0.206193656917808
Total Time: 165.02571867704393 minutes
CellsPerSensor: 1
 Resulting Network Architecture: [15, 6, 8]
 MSE after 5-Fold CV: 0.41535291821895637
 Weights and Biases: 206
 Objective Function Value: 0.5103662290503455
~/workspace/SolarCellResearch
