/tmp/tmp.mFfoiZSgw6 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k10.mat
  Evaluating with: datasets/N1dataset100k10.mat
Gen 0 Train time: 8.235999302069347 minutes:
 Average MSE:        1.4802937106918028
 Average Error:      2.0777426667768593
 Structure           |Error               |MSE                 |weights&biases
 [15, 14, 13, 3, 1]  |10.51365055064189   |6.300786489879609   |512       
 [6, 0, 0, 0, 0]     |1.5931996795285412  |1.5538634392845494  |25        
 [9, 0, 0, 0, 0]     |1.1080144726188863  |1.067767104884188   |37        
 [4, 0, 0, 0, 0]     |2.7123459211815617  |2.666625762954909   |17        
 [10, 14, 0, 0, 0]   |1.0437493794807788  |0.8554046926197796  |199       
 [2, 5, 16, 0, 0]    |3.9623748421971157  |3.4654536692198006  |134       
 [10, 19, 0, 0, 0]   |1.0797787561091894  |0.8333981037585643  |259       
 [20, 17, 0, 0, 0]   |0.8531340860579506  |0.5522035501852227  |435       
 [13, 14, 2, 17, 0]  |1.148631076566755   |0.8224816267593352  |334       
 [11, 14, 0, 0, 0]   |0.7600293545292686  |0.6123824814043461  |216       
 [20, 16, 8, 11, 0]  |1.3526943702708518  |0.7111289034964658  |643       
 [18, 17, 14, 3, 5]  |2.449196751668812   |1.2162351129723903  |700       
 [11, 0, 0, 0, 0]    |0.7449733857364711  |0.7121926807967449  |45        
 [19, 16, 12, 6, 15] |2.2526007740294425  |1.032605735885896   |780       
 [8, 0, 0, 0, 0]     |0.9186948693840524  |0.8888727106256799  |33        
 [15, 11, 16, 4, 4]  |2.0793867377630195  |1.2536671954709622  |506       
 [9, 0, 0, 0, 0]     |1.0999699814721915  |1.0600148207450912  |37        
 [19, 16, 16, 0, 0]  |1.315536562716411   |0.6758694214663754  |666       
 [5, 12, 17, 0, 0]   |2.3419877085556253  |1.6904588769367677  |326       
 [3, 0, 0, 0, 0]     |2.4931986016616405  |2.460996785154971   |13        
 [19, 7, 16, 5, 0]   |1.175728213514563   |0.7756047059074145  |416       
 [15, 18, 20, 8, 17] |2.1656884266558745  |0.7563419357357329  |1052      
 [15, 16, 1, 0, 0]   |2.901401213948448   |2.1068496976731033  |320       
 [14, 8, 5, 3, 0]    |1.4600241247245884  |1.1611988459992653  |229       
 [8, 12, 10, 2, 6]   |2.4175768284075514  |1.7749384174779075  |309       
Gen 1 Train time: 8.375427667299906 minutes:
