/tmp/tmp.QFUAlVewr8 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k11.mat
  Evaluating with: datasets/N1dataset100k11.mat
Gen 0 Train time: 7.961430803934733 minutes:
 Average MSE:        1.6750050892928352
 Average Error:      2.0500936607073372
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.6427995760162708  |0.597547019404953   |73        
 [10, 10, 13, 15, 0] |1.519391446838349   |0.913300690503938   |509       
 [4, 2, 4, 20, 0]    |3.483437744021832   |2.983268953799576   |155       
 [4, 15, 20, 18, 0]  |3.015716236779438   |1.3496392840824283  |804       
 [1, 0, 0, 0, 0]     |4.753698766334718   |4.729989594825904   |5         
 [15, 19, 6, 12, 0]  |1.494309642817915   |0.8484571663568131  |566       
 [7, 0, 0, 0, 0]     |1.0651732637984437  |1.0347268459634384  |29        
 [11, 10, 0, 0, 0]   |0.6938092957380151  |0.5888651044639652  |164       
 [17, 18, 0, 0, 0]   |0.7672950995159842  |0.5174285626920192  |394       
 [4, 3, 12, 13, 7]   |5.456511290309137   |3.8451385176965376  |350       
 [18, 3, 1, 8, 0]    |0.9515462781108799  |0.8272345932387758  |140       
 [8, 0, 0, 0, 0]     |0.8183360579421491  |0.7917716907611135  |33        
 [11, 0, 0, 0, 0]    |0.6709630793409026  |0.6414390142528853  |45        
 [2, 15, 8, 18, 0]   |5.2810194534237835  |3.6844422501743503  |360       
 [15, 1, 3, 0, 0]    |1.2733609294714     |1.1860871807267794  |71        
 [16, 6, 11, 0, 0]   |0.8076927403922929  |0.6359892841692713  |239       
 [15, 7, 4, 5, 15]   |1.5520250937335325  |1.1270015273288094  |320       
 [8, 0, 0, 0, 0]     |0.9172106638324918  |0.8874366845241889  |33        
 [1, 1, 7, 0, 0]     |6.196653614007846   |6.031582455026945   |27        
 [12, 15, 15, 0, 0]  |1.0494170708148975  |0.6448321938250756  |487       
 [8, 8, 8, 19, 0]    |1.2827047136516814  |0.8958080723720989  |359       
 [7, 0, 0, 0, 0]     |1.0032038532290832  |0.9745287402430709  |29        
 [6, 16, 9, 0, 0]    |1.4296904672934023  |1.066580742944635   |293       
 [2, 0, 0, 0, 0]     |2.9996867138452425  |2.9728106570891755  |9         
 [3, 0, 0, 0, 0]     |2.126688426423743   |2.099220405854137   |13        
Gen 1 Train time: 8.023460229237875 minutes:
 Average MSE:        1.007569460650228
 Average Error:      1.3806301786794553
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.668334824518424   |0.6212846076074695  |73        
 [11, 0, 0, 0, 0]    |0.7132328672580324  |0.6818488250592806  |45        
 [11, 10, 0, 0, 0]   |0.7483549444734048  |0.6351602886564074  |164       
 [14, 3, 6, 0, 0]    |0.7151022797086303  |0.6355085731927737  |118       
