/tmp/tmp.VUdvOIlv47 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k12.mat
  Evaluating with: datasets/N1dataset100k12.mat
Gen 0 Train time: 8.368597952524821 minutes:
 Average MSE:        1.812065360220822
 Average Error:      2.295706129154753
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 0, 0, 0]    |0.7818192783287979  |0.713814847836675   |91        
 [14, 1, 1, 0, 0]    |1.632560186891886   |1.5359505641609523  |61        
 [2, 2, 17, 0, 0]    |5.0696543366410385  |4.6752032470551645  |81        
 [14, 12, 0, 0, 0]   |0.8993846358945264  |0.7110272757421667  |235       
 [4, 0, 0, 0, 0]     |2.2420164123129216  |2.2042242766132665  |17        
 [15, 0, 0, 0, 0]    |0.5655344594286871  |0.5320679623246718  |61        
 [14, 6, 10, 6, 0]   |0.9760022635769855  |0.7413441116175462  |275       
 [5, 18, 13, 4, 5]   |2.7831238005810404  |1.7622192744886636  |457       
 [7, 12, 18, 12, 14] |2.062912139726542   |0.9494415062553964  |776       
 [20, 4, 14, 0, 0]   |1.063085889525019   |0.8455025415058917  |229       
 [18, 0, 0, 0, 0]    |0.7624053496663521  |0.7087326458659456  |73        
 [5, 7, 11, 7, 6]    |2.2763398844888383  |1.7135527370575532  |284       
 [15, 0, 0, 0, 0]    |0.6751203302187798  |0.635168896315082   |61        
 [2, 9, 9, 5, 11]    |3.335023474548      |2.594722872872629   |251       
 [1, 13, 0, 0, 0]    |7.684583608222402   |7.361150166238639   |43        
 [10, 20, 18, 19, 0] |2.2749952983178257  |0.8294254769857818  |1009      
 [10, 19, 2, 11, 0]  |1.1935095463671908  |0.8632060686927264  |324       
 [15, 7, 14, 14, 7]  |1.5487683497752767  |0.8568092208106257  |592       
 [5, 5, 18, 10, 6]   |2.5820464230572804  |1.7033250827656758  |416       
 [10, 0, 0, 0, 0]    |0.710042552973978   |0.6815195258469273  |41        
 [3, 3, 17, 0, 0]    |2.46467485309116    |2.214573631076017   |107       
 [4, 6, 16, 9, 17]   |3.76866044175475    |2.2972657647721526  |495       
 [9, 10, 12, 0, 0]   |0.8835094265418751  |0.6731054213239663  |272       
 [18, 2, 16, 0, 0]   |0.9649545250094667  |0.8247505491000826  |157       
 [2, 15, 9, 0, 0]    |8.191925761928209   |6.673530338196348   |205       
Gen 1 Train time: 8.119065578778585 minutes:
 Average MSE:        1.1883807274179587
 Average Error:      1.4616346505641082
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6168975620652286  |0.5803915629521305  |61        
 [15, 0, 0, 0, 0]    |0.6594052367640227  |0.6203837711775947  |61        
 [10, 0, 0, 0, 0]    |0.809250765689598   |0.776742458341437   |41        
 [12, 2, 7, 0, 0]    |0.9749649025259001  |0.8901602235113231  |91        
 [16, 2, 7, 0, 0]    |0.8961208320628454  |0.8019732563355653  |111       
 [17, 1, 8, 0, 0]    |1.1908176519358662  |1.0839807815292446  |94        
 [17, 1, 16, 0, 0]   |1.149007471892783   |1.021118404695817   |118       
 [15, 6, 0, 0, 0]    |0.677987093620532   |0.5847171650674724  |148       
 [14, 10, 9, 10, 0]  |1.1902297659436991  |0.7962407963638626  |402       
 [15, 2, 0, 0, 0]    |0.9501972504851598  |0.8771426142144876  |80        
 [15, 12, 13, 0, 0]  |0.9120506498727919  |0.5992599790091738  |420       
 [14, 0, 0, 0, 0]    |0.9299452496753852  |0.8784207676789396  |57        
 [15, 10, 8, 6, 20]  |1.1775437490061285  |0.7085254499293882  |508       
 [16, 3, 5, 3, 0]    |1.1235526088251346  |0.9757934318946603  |141       
 [12, 1, 1, 0, 0]    |1.6535541252304842  |1.5681976819262422  |53        
