/tmp/tmp.YmK2DEfK5c ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k13.mat
  Evaluating with: datasets/N1dataset100k13.mat
Gen 0 Train time: 8.371582957108815 minutes:
 Average MSE:        1.7939439774818218
 Average Error:      2.3193389149438612
 Structure           |Error               |MSE                 |weights&biases
 [8, 19, 10, 16, 9]  |2.1861730108614355  |1.0493306991803142  |734       
 [3, 8, 0, 0, 0]     |3.596496107627823   |3.4210929226778717  |50        
 [15, 0, 0, 0, 0]    |0.6743427468725219  |0.6344373278320597  |61        
 [9, 7, 0, 0, 0]     |0.8522882886256002  |0.7673360465627089  |105       
 [9, 15, 9, 19, 0]   |1.7681770309357931  |1.0397175500977243  |531       
 [19, 17, 14, 0, 0]  |1.2367331161108912  |0.6366554396719986  |664       
 [9, 18, 4, 0, 0]    |0.9907791551103153  |0.7428481568927621  |288       
 [1, 15, 6, 1, 0]    |7.506034126190814   |6.538496507524135   |138       
 [15, 4, 18, 1, 2]   |10.534569432108103  |8.41202454918508    |225       
 [14, 6, 4, 1, 0]    |1.6707824892723397  |1.4138154930512339  |167       
 [14, 7, 20, 8, 12]  |1.4976165610475873  |0.8252036167414445  |596       
 [9, 0, 0, 0, 0]     |0.9567628230086275  |0.9220094997226045  |37        
 [16, 0, 0, 0, 0]    |0.6457042000487515  |0.605068396831819   |65        
 [12, 17, 12, 0, 0]  |0.9061297671452493  |0.5573439348362869  |486       
 [6, 20, 17, 0, 0]   |1.4036959174957326  |0.8237474400618954  |533       
 [8, 0, 0, 0, 0]     |0.9500184661294272  |0.9191794983018475  |33        
 [20, 18, 4, 17, 18] |2.585464067078626   |1.0079363420188527  |942       
 [13, 11, 15, 0, 0]  |0.9248902731442742  |0.6268298341124571  |389       
 [15, 18, 5, 0, 0]   |1.0536498956857092  |0.6826726804056322  |434       
 [4, 0, 0, 0, 0]     |2.2073222970812894  |2.1701149763292915  |17        
 [9, 14, 19, 8, 0]   |1.6011441641363324  |0.8604657008072101  |621       
 [10, 6, 11, 3, 17]  |1.5221625260147797  |1.1332980818749026  |295       
 [6, 11, 8, 0, 0]    |1.65560032685069    |1.3554909023986184  |200       
 [1, 9, 11, 1, 11]   |7.589637940673255   |6.358445238544778   |177       
 [4, 4, 9, 0, 0]     |1.4672981443405508  |1.34503860138201    |87        
Gen 1 Train time: 8.53684360186259 minutes:
 Average MSE:        1.4409765133242427
 Average Error:      2.0884565107192414
 Structure           |Error               |MSE                 |weights&biases
