/tmp/tmp.7p04ZVp92Q ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k14.mat
  Evaluating with: datasets/N1dataset100k14.mat
Gen 0 Train time: 8.23045236269633 minutes:
 Average MSE:        2.014806095717156
 Average Error:      2.5074074937196653
 Structure           |Error               |MSE                 |weights&biases
 [3, 2, 0, 0, 0]     |1.9729765430285888  |1.9339089899419712  |20        
 [3, 17, 2, 5, 0]    |2.7764488686811046  |2.428254595427661   |134       
 [17, 3, 0, 0, 0]    |0.6656068856583998  |0.596869940466157   |109       
 [4, 15, 5, 6, 0]    |2.8290905427650515  |2.2932162243885967  |210       
 [8, 10, 19, 10, 8]  |2.7694975858775313  |1.4898358212546972  |620       
 [3, 9, 16, 0, 0]    |2.5213533332326654  |2.0193906235024475  |222       
 [5, 17, 0, 0, 0]    |1.6867655994070183  |1.4737539434899167  |135       
 [17, 2, 20, 19, 0]  |1.3943456940180738  |0.7916984288727871  |566       
 [15, 18, 0, 0, 0]   |1.3599022151094597  |0.9563921957180771  |352       
 [14, 2, 13, 19, 5]  |9.167173634945943   |5.655502811441842   |483       
 [7, 4, 12, 0, 0]    |1.1473696285923953  |1.0115380993154295  |126       
 [8, 1, 9, 0, 0]     |1.4242999999836399  |1.3400145403975787  |61        
 [1, 0, 0, 0, 0]     |6.625794382049548   |6.592748094704068   |5         
 [1, 14, 0, 0, 0]    |6.149961140615109   |5.873470955129699   |46        
 [7, 12, 12, 10, 0]  |2.0018893459243463  |1.3232507619850882  |414       
 [3, 9, 13, 0, 0]    |2.3111667014111172  |1.9131526101502991  |189       
 [9, 0, 0, 0, 0]     |0.7442033437530537  |0.7171710022217859  |37        
 [12, 3, 4, 5, 18]   |1.4605875702308013  |1.14549722470083    |243       
 [8, 18, 7, 10, 10]  |2.2121704858053617  |1.3151808094244946  |520       
 [15, 7, 0, 0, 0]    |0.7342806102627578  |0.622591906475625   |165       
 [7, 15, 10, 0, 0]   |1.6807476470439828  |1.2302762312493951  |312       
 [9, 0, 0, 0, 0]     |0.7999585670606337  |0.7709009803443581  |37        
 [2, 13, 0, 0, 0]    |4.307894273329018   |4.061081092280371   |59        
 [15, 14, 7, 19, 0]  |1.4373367681372404  |0.8325949035568196  |546       
 [8, 16, 1, 16, 0]   |2.504365976068789   |1.981859606488913   |234       
Gen 1 Train time: 8.16322672367096 minutes:
 Average MSE:        1.1256448822886822
 Average Error:      1.430828942059762
 Structure           |Error               |MSE                 |weights&biases
 [17, 3, 0, 0, 0]    |0.701441817408117   |0.6290042137751017  |109       
 [15, 7, 0, 0, 0]    |0.7888176091093486  |0.6688334844374992  |165       
 [9, 0, 0, 0, 0]     |0.9273381605322464  |0.8936536547034152  |37        
 [12, 9, 0, 0, 0]    |0.7724309820289692  |0.656250555990241   |163       
 [6, 1, 0, 0, 0]     |1.8523564691237773  |1.8030119925319568  |27        
 [12, 4, 5, 0, 0]    |0.8810323881876729  |0.7821874269569467  |119       
 [8, 8, 10, 0, 0]    |0.9002583713443781  |0.7392837421093119  |197       
 [16, 5, 0, 0, 0]    |0.6654402904403683  |0.579084792006608   |139       
 [11, 2, 2, 3, 9]    |1.7104875518361162  |1.520103535363197   |118       
 [9, 5, 0, 0, 0]     |0.7614022044380414  |0.7007573923504833  |83        
 [7, 4, 12, 0, 0]    |1.5047180050661086  |1.3265817334886048  |126       
 [10, 10, 1, 3, 0]   |1.5103726314881223  |1.2857682456030814  |161       
 [12, 4, 0, 0, 0]    |0.7126594817859061  |0.6493706877277334  |93        
 [12, 4, 6, 0, 0]    |0.8036015698331979  |0.7091758962899155  |125       
 [8, 8, 5, 0, 0]     |1.0373807128302763  |0.8955645216742258  |147       
 [8, 8, 5, 4, 0]     |1.2125780660971202  |1.0230094517426245  |170       
 [13, 1, 10, 10, 0]  |1.483010848238492   |1.2214936072676807  |194       
 [14, 4, 0, 0, 0]    |0.7327011355552135  |0.6583507809255092  |107       
 [17, 20, 19, 4, 10] |2.699875779289017   |1.0431090912625502  |951       
 [13, 10, 1, 8, 0]   |1.5466262091975516  |1.247418130182193   |215       
 [2, 5, 20, 6, 8]    |6.718217468984688   |4.820235866175778   |332       
 [6, 16, 7, 0, 0]    |1.096742219140846   |0.8481855709781108  |257       
 [16, 11, 14, 0, 0]  |1.0996144696251464  |0.7239446326305958  |418       
 [6, 14, 10, 5, 5]   |2.4066211643090734  |1.684087303249538   |357       
 [11, 9, 3, 3, 0]    |1.2449979456042615  |1.0326557477941505  |187       
Gen 2 Train time: 8.308023869991302 minutes:
 Average MSE:        1.332112024930468
 Average Error:      1.714032712493632
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.6945532196200852  |0.6044196789693177  |139       
 [17, 3, 0, 0, 0]    |0.9900782956732198  |0.8878333234349878  |109       
 [12, 4, 0, 0, 0]    |0.6959669090565517  |0.6341605239535251  |93        
 [15, 4, 3, 0, 0]    |0.9788041818295258  |0.8612041669036167  |128       
 [12, 9, 2, 2, 0]    |1.1765248879854837  |0.980752723657172   |182       
 [9, 4, 3, 0, 0]     |0.94849360842664    |0.8703322634414696  |86        
 [9, 7, 3, 0, 0]     |1.4898763424939945  |1.314811257485016   |125       
 [14, 7, 2, 0, 0]    |0.9799644559850518  |0.8300752020816017  |166       
 [12, 18, 2, 2, 0]   |1.5688770522045279  |1.1426614081315087  |317       
 [11, 5, 10, 5, 13]  |1.493897662669527   |1.1067066083394161  |300       
 [8, 8, 10, 8, 0]    |1.0665558802613475  |0.8036709606350645  |283       
 [10, 6, 3, 2, 0]    |1.355514061757235   |1.1926536277151847  |128       
 [14, 5, 3, 0, 0]    |1.0311885622024668  |0.8973691894541517  |139       
 [12, 4, 3, 0, 0]    |0.885494608457065   |0.7956396389931714  |107       
 [11, 2, 16, 0, 0]   |1.0647911931171656  |0.9424981873836249  |122       
 [3, 2, 12, 19, 1]   |11.753649411242218  |8.517848458099364   |322       
 [16, 1, 2, 20, 14]  |5.260176023651901   |3.394527210430334   |438       
 [8, 11, 13, 3, 14]  |2.1140325823543926  |1.4284605129436692  |392       
 [15, 4, 3, 4, 0]    |1.0376397615466442  |0.897581525955961   |145       
 [11, 6, 3, 0, 0]    |1.1455987400403267  |1.0059450192977628  |130       
 [9, 7, 5, 0, 0]     |0.9802079947962474  |0.8495992678535357  |143       
 [12, 18, 4, 2, 5]   |1.788084795342337   |1.2264761026143847  |377       
 [13, 4, 0, 0, 0]    |0.8360382225205598  |0.7564786666448763  |100       
