/tmp/tmp.DokpL0eLQx ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k16.mat
  Evaluating with: datasets/N1dataset100k16.mat
Gen 0 Train time: 8.18082062403361 minutes:
 Average MSE:        1.794940137614057
 Average Error:      2.2102543229155844
 Structure           |Error               |MSE                 |weights&biases
 [7, 13, 0, 0, 0]    |1.084661354900685   |0.943902712420079   |139       
 [17, 0, 0, 0, 0]    |0.6298265286377493  |0.5878339029986491  |69        
 [9, 4, 19, 0, 0]    |1.0265433112692037  |0.8557278802688156  |182       
 [8, 18, 0, 0, 0]    |0.8601994080978396  |0.7007591393855922  |205       
 [18, 0, 0, 0, 0]    |0.694986323399102   |0.6460598630883793  |73        
 [8, 16, 15, 0, 0]   |1.2767070241704461  |0.8230684797010467  |439       
 [14, 0, 0, 0, 0]    |0.6982213105385203  |0.6595357090400079  |57        
 [9, 10, 4, 4, 0]    |1.1507364617251892  |0.9459194504283923  |196       
 [3, 9, 17, 10, 9]   |3.773818701299542   |2.279799286651987   |504       
 [12, 20, 15, 0, 0]  |1.4304771628124913  |0.7641494214696485  |627       
 [20, 0, 0, 0, 0]    |0.7194740087173218  |0.6634943919974771  |81        
 [10, 7, 19, 5, 18]  |1.605791371049381   |0.9876930586735224  |486       
 [1, 7, 1, 10, 0]    |6.781937966081847   |6.412587764111301   |56        
 [2, 3, 16, 0, 0]    |6.575356175473593   |5.973474478252909   |96        
 [2, 20, 8, 1, 0]    |8.760898765108832   |6.8571952225282615  |245       
 [15, 2, 0, 0, 0]    |0.8510442062825291  |0.7856128183170425  |80        
 [9, 9, 5, 9, 16]    |1.3328815375895926  |0.895245916170683   |398       
 [1, 3, 7, 0, 0]     |6.609479895594498   |6.31864613641484    |45        
 [18, 19, 0, 0, 0]   |0.9222762406348688  |0.5969568238485097  |435       
 [19, 18, 0, 0, 0]   |0.8707420508310697  |0.5630372447847473  |436       
 [16, 19, 3, 7, 9]   |1.5603460048954176  |0.9083800730370333  |541       
 [10, 11, 0, 0, 0]   |0.8380036679702115  |0.7119605321665977  |163       
 [18, 17, 16, 17, 0] |1.8324732922983726  |0.693271612195365   |972       
 [4, 0, 0, 0, 0]     |2.5052180328885836  |2.4629892876679023  |17        
 [8, 0, 0, 0, 0]     |0.8642572706227137  |0.8362022347326485  |33        
Gen 1 Train time: 7.873521037896475 minutes:
 Average MSE:        0.8617558645933758
 Average Error:      1.0592514814336356
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7093710272349824  |0.6620749057928899  |69        
 [18, 0, 0, 0, 0]    |0.6236459620689079  |0.5797418039814908  |73        
 [14, 0, 0, 0, 0]    |0.6744135064025321  |0.6370469984485135  |57        
 [13, 0, 0, 0, 0]    |0.7442557316517459  |0.7058372600739047  |53        
 [18, 10, 8, 0, 0]   |0.8132203462066654  |0.57824757150495    |341       
 [17, 9, 0, 0, 0]    |0.9983577494399741  |0.7988008602352151  |223       
 [19, 9, 0, 0, 0]    |1.1623395089958994  |0.9079506901759764  |247       
 [13, 8, 8, 0, 0]    |0.9549316839423353  |0.7572093768047982  |232       
 [13, 9, 0, 0, 0]    |0.7323763985136473  |0.6147985095779481  |175       
 [17, 15, 3, 0, 0]   |0.810450517328544   |0.5581290942245662  |373       
 [14, 6, 0, 0, 0]    |0.8477161844992696  |0.7377063839289507  |139       
 [17, 11, 0, 0, 0]   |0.779776282948372   |0.6006467923235002  |261       
 [17, 20, 0, 0, 0]   |0.8274396781213682  |0.5371815976777324  |432       
 [12, 2, 10, 0, 0]   |0.9319990049003253  |0.8407814415785155  |103       
 [11, 9, 12, 0, 0]   |0.9979905127502581  |0.7588041976500756  |274       
 [14, 4, 6, 0, 0]    |0.838599349024946   |0.7297726581683519  |139       
 [12, 2, 10, 8, 0]   |0.8769532112350741  |0.7259300352630108  |189       
 [5, 1, 17, 5, 16]   |5.640910185217081   |4.358140313842125   |258       
 [17, 1, 0, 0, 0]    |1.4980020842635167  |1.3953318558191719  |71        
 [19, 9, 0, 0, 0]    |0.7935632430723788  |0.6198845420545662  |247       
