/tmp/tmp.bJCwls0VOL ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k18.mat
  Evaluating with: datasets/N1dataset100k18.mat
Gen 0 Train time: 8.695030164718627 minutes:
 Average MSE:        1.2181985198903063
 Average Error:      1.6046156403744474
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.8460146515598285  |0.7991404224605997  |57        
 [19, 7, 16, 12, 9]  |1.3156351282748961  |0.682713170002686   |656       
 [13, 3, 6, 0, 0]    |0.9061182785167524  |0.8101098435240118  |112       
 [10, 19, 8, 17, 0]  |1.9402649675581032  |1.0972691969716393  |570       
 [14, 0, 0, 0, 0]    |0.7046382919292297  |0.6655971516049073  |57        
 [10, 0, 0, 0, 0]    |0.7637531230453232  |0.7330724955875068  |41        
 [16, 3, 0, 0, 0]    |0.7770877440617152  |0.7010318146799744  |103       
 [8, 10, 20, 6, 6]   |2.068787498508405   |1.2435406654587156  |509       
 [6, 9, 2, 19, 0]    |1.5703778334530651  |1.3143158297232493  |178       
 [12, 5, 0, 0, 0]    |0.6658846687340262  |0.5983144701081675  |107       
 [15, 0, 0, 0, 0]    |0.6162889408973343  |0.5798189580131559  |61        
 [6, 1, 6, 11, 19]   |2.721098961774561   |1.8946532282361759  |362       
 [19, 17, 18, 6, 0]  |2.2835597535389183  |0.9838670732886639  |842       
 [14, 0, 0, 0, 0]    |0.6930952094605944  |0.6546936243628257  |57        
 [13, 14, 8, 0, 0]   |0.8798349769769678  |0.6113895783281263  |364       
 [11, 8, 4, 19, 0]   |1.0553433503191947  |0.7976113458246613  |280       
 [2, 0, 0, 0, 0]     |5.240053926847019   |5.1931050284528055  |9         
 [18, 16, 2, 14, 0]  |1.2255963865571635  |0.7822566242210209  |449       
 [20, 11, 4, 2, 0]   |1.1577273355837951  |0.8142066217847157  |352       
 [5, 0, 0, 0, 0]     |3.084079683691399   |3.0199893145139987  |21        
 [6, 3, 0, 0, 0]     |1.6469229659464268  |1.5776062676430587  |43        
 [16, 2, 20, 0, 0]   |0.9033485954475234  |0.7674770067589124  |163       
 [10, 4, 11, 9, 15]  |1.3708349875805173  |0.9161456083761221  |403       
 [20, 14, 0, 0, 0]   |0.9898117429121557  |0.6843809906115725  |369       
 [18, 18, 4, 15, 4]  |4.689232006186273   |2.532656666720381   |616       
Gen 1 Train time: 8.785229082902273 minutes:
 Average MSE:        0.8738003732945573
 Average Error:      1.1812092689771732
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7077017068806273  |0.6658222126624438  |61        
 [12, 5, 0, 0, 0]    |0.691146723995321   |0.6210130753129407  |107       
 [14, 0, 0, 0, 0]    |0.6661037353326973  |0.6291976379781541  |57        
 [17, 6, 2, 1, 0]    |1.7762573503723633  |1.4866251315603836  |178       
 [13, 3, 16, 18, 0]  |1.0314929841109044  |0.6446854547870071  |470       
 [13, 11, 7, 17, 11] |1.8512453644742295  |0.992884021926628   |623       
 [16, 9, 1, 7, 0]    |1.3918726140227897  |1.102576865088781   |233       
 [16, 10, 17, 0, 0]  |0.8236815464491275  |0.5395761815673132  |423       
 [13, 4, 2, 10, 0]   |1.031204266978014   |0.8911231108659237  |146       
 [13, 15, 0, 0, 0]   |0.7498856209989736  |0.575316710231752   |265       
 [13, 10, 9, 9, 0]   |1.3602052495866577  |0.9320541241826106  |378       
 [10, 2, 0, 0, 0]    |1.294248314330415   |1.22498680727757    |55        
 [12, 15, 17, 17, 6] |3.3340420685479564  |1.3233751463763563  |924       
 [11, 4, 2, 10, 0]   |1.1228708306905484  |0.9840177411129577  |132       
 [14, 5, 12, 10, 0]  |0.9460840166425026  |0.6801622533849006  |330       
 [15, 3, 3, 0, 0]    |0.8118761065400895  |0.7280339999745363  |109       
 [13, 3, 0, 0, 0]    |0.8693006413483605  |0.7984633179165346  |85        
 [16, 17, 5, 6, 19]  |1.6612583340182467  |0.8972464977730882  |616       
 [15, 5, 0, 0, 0]    |0.5825939776848771  |0.5110617924783531  |131       
 [13, 0, 0, 0, 0]    |0.6563887396404976  |0.622505961093495   |53        
 [12, 2, 6, 5, 8]    |1.0983355219598796  |0.9247756346413721  |172       
 [17, 13, 6, 1, 0]   |2.120352374823311   |1.4529301193882445  |378       
 [15, 2, 0, 0, 0]    |0.8229348537293107  |0.7596646154888218  |80        
 [16, 1, 10, 0, 0]   |1.1184870778015303  |1.0161052626205298  |96        
 [14, 7, 4, 0, 0]    |1.0106617034701002  |0.8408056566732311  |184       
Gen 2 Train time: 8.90035014152527 minutes:
 Average MSE:        0.8783164565795184
 Average Error:      1.14176736225507
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.6932465816266118  |0.6081282234386952  |131       
 [13, 0, 0, 0, 0]    |0.7542454870648242  |0.715311344437255   |53        
 [14, 0, 0, 0, 0]    |0.6527984478446939  |0.6166295423257695  |57        
 [16, 10, 3, 3, 10]  |1.126681259992472   |0.8230620990951371  |314       
 [13, 6, 4, 9, 6]    |1.2689408982560624  |0.9754880337010935  |263       
 [14, 9, 2, 0, 0]    |1.0507306578047093  |0.860265502746573   |200       
 [15, 10, 3, 3, 10]  |1.798812396429936   |1.331261071939035   |301       
 [15, 5, 4, 0, 0]    |0.7677670822572351  |0.6581852382727298  |154       
 [15, 3, 0, 0, 0]    |0.7134967381337713  |0.647538250049803   |97        
 [13, 1, 0, 0, 0]    |1.3343874609179447  |1.2629779133741945  |55        
 [14, 6, 12, 3, 4]   |1.9384674677226188  |1.4709341803679226  |276       
 [15, 3, 12, 15, 0]  |0.8643611603164114  |0.6078880222589375  |352       
 [13, 5, 6, 5, 0]    |1.0644493783532285  |0.8837842120416184  |186       
 [13, 8, 0, 0, 0]    |0.7669649502137617  |0.6535644186794365  |160       
 [15, 7, 10, 5, 0]   |1.0370535344443912  |0.7698062280082363  |298       
 [13, 5, 1, 5, 0]    |1.2567213513865048  |1.1024183068929743  |131       
 [14, 8, 0, 0, 0]    |0.7212631946392422  |0.6078961805930133  |171       
