/tmp/tmp.NBVZChqnBK ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k19.mat
  Evaluating with: datasets/N1dataset100k19.mat
Gen 0 Train time: 8.602416181564331 minutes:
 Average MSE:        1.6149586405496745
 Average Error:      2.2055665851510167
 Structure           |Error               |MSE                 |weights&biases
 [10, 2, 18, 0, 0]   |1.1088187733521517  |0.9785291330109244  |125       
 [15, 17, 12, 16, 7] |2.309810233245168   |0.9696359095255473  |868       
 [11, 11, 17, 15, 0] |1.4033817823644548  |0.7289755276284803  |655       
 [19, 8, 13, 15, 0]  |1.2636554465072893  |0.7218114446268848  |560       
 [18, 6, 9, 0, 0]    |0.8351168845059188  |0.6562696107444994  |241       
 [7, 0, 0, 0, 0]     |0.9279482470176093  |0.9014242053258297  |29        
 [2, 0, 0, 0, 0]     |3.999085594233992   |3.9632553020548373  |9         
 [13, 0, 0, 0, 0]    |0.578719321358763   |0.5488458372139707  |53        
 [9, 0, 0, 0, 0]     |0.9950271867380511  |0.958883953882966   |37        
 [16, 18, 6, 0, 0]   |0.8806526111194317  |0.5476646987920751  |475       
 [11, 14, 13, 12, 20]|2.4915694576710896  |1.0702719940357575  |845       
 [13, 9, 0, 0, 0]    |0.6212741113121395  |0.5215329145631256  |175       
 [8, 11, 11, 0, 0]   |1.3007625932567632  |0.9959588900261709  |267       
 [19, 19, 2, 0, 0]   |1.5700252383737576  |0.9715055422221586  |480       
 [8, 18, 17, 18, 0]  |2.505385248143101   |1.0686995274608053  |852       
 [20, 10, 1, 1, 20]  |4.7704248173455115  |3.381892152101537   |344       
 [3, 6, 2, 17, 12]   |4.568362570900238   |3.294171982127397   |327       
 [2, 9, 4, 12, 15]   |6.133615930642023   |4.348297766777452   |344       
 [15, 0, 0, 0, 0]    |0.5670479003145791  |0.5334918426821461  |61        
 [6, 2, 9, 1, 16]    |2.3726361917085104  |2.1085524178619317  |118       
 [2, 0, 0, 0, 0]     |3.7680078634960665  |3.7342479402583457  |9         
 [19, 9, 20, 7, 17]  |2.103723103720432   |1.0057250070925858  |738       
 [10, 12, 12, 15, 0] |1.6081524993229244  |0.9475135930963203  |529       
 [18, 11, 19, 0, 0]  |0.9584641798024944  |0.5749782365997509  |511       
 [2, 12, 6, 0, 0]    |5.497496842322953   |4.841830584030368   |127       
Gen 1 Train time: 8.21603170633316 minutes:
 Average MSE:        0.7876941349297626
 Average Error:      0.9989569279100036
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6086886562338694  |0.5726684335728549  |61        
 [13, 0, 0, 0, 0]    |0.7716854562454709  |0.7318510626264876  |53        
 [13, 9, 0, 0, 0]    |0.709092117987011   |0.5952523568163035  |175       
 [15, 17, 0, 0, 0]   |0.7650964316795182  |0.5473026173127987  |335       
 [14, 3, 5, 0, 0]    |0.7664517282475523  |0.6845568670313622  |113       
 [17, 10, 1, 0, 0]   |2.989156734823364   |2.34196733860766    |244       
 [13, 1, 9, 0, 0]    |1.0586385565757799  |0.9762697983942099  |81        
 [9, 6, 6, 8, 0]     |1.0563332388620703  |0.8700572217303708  |194       
 [17, 3, 5, 0, 0]    |0.6782318620244013  |0.5949570445261386  |131       
 [13, 6, 10, 16, 0]  |1.0911134390441515  |0.7417067560359059  |386       
 [19, 6, 0, 0, 0]    |0.5760348257992011  |0.4792239958334152  |184       
 [13, 5, 0, 0, 0]    |0.6485498987705967  |0.5780954223983126  |115       
 [16, 10, 10, 0, 0]  |0.6554482015768928  |0.46699533991061076 |339       
 [15, 9, 3, 0, 0]    |0.8483711481002498  |0.6787943533080792  |223       
 [13, 6, 10, 0, 0]   |0.967934587347583   |0.7893142337526537  |204       
 [17, 10, 1, 11, 0]  |1.0725239499661372  |0.8138450417854276  |276       
 [14, 0, 0, 0, 0]    |0.6734160223606298  |0.636104780938245   |57        
 [12, 9, 3, 2, 0]    |1.2185806962183847  |1.003693622429378   |194       
 [19, 10, 7, 6, 10]  |1.269084708271667   |0.7987525654149583  |463       
 [17, 6, 10, 0, 0]   |0.8971846768520867  |0.7057504633338438  |240       
 [15, 9, 13, 8, 0]   |1.2046569599031869  |0.7758429570889459  |440       
 [18, 6, 10, 9, 0]   |0.856264609768523   |0.6052123885829347  |347       
 [11, 0, 0, 0, 0]    |0.6434723353031008  |0.6151579321790285  |45        
 [13, 10, 10, 10, 0] |1.1787322549933519  |0.7822659558700857  |410       
 [16, 14, 1, 0, 0]   |1.7691801007953065  |1.3067148237640527  |303       
Increasing Epochs
Gen 2 Train time: 9.631020172437031 minutes:
 Average MSE:        1.0460068374801066
 Average Error:      1.4721858487078958
 Structure           |Error               |MSE                 |weights&biases
 [19, 6, 0, 0, 0]    |0.6238707552979671  |0.5190204182927671  |184       
 [15, 0, 0, 0, 0]    |0.6860169693399213  |0.6454207076357044  |61        
 [11, 0, 0, 0, 0]    |0.7231207505228471  |0.6913016165611031  |45        
 [13, 0, 0, 0, 0]    |0.5889056476831239  |0.558506345500617   |53        
 [16, 10, 3, 0, 0]   |0.8601804727958003  |0.6665680395934285  |255       
 [18, 8, 5, 0, 0]    |1.1286421480524809  |0.8728559620197467  |257       
 [16, 2, 3, 0, 0]    |0.7182066808338873  |0.6531177169046006  |95        
