/tmp/tmp.lmj3ZcrNju ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k20.mat
  Evaluating with: datasets/N1dataset100k20.mat
Gen 0 Train time: 8.505116132895152 minutes:
 Average MSE:        1.8577370787974896
 Average Error:      2.837310665269783
 Structure           |Error               |MSE                 |weights&biases
 [14, 20, 3, 0, 0]   |1.0023819044786082  |0.6658965653673883  |409       
 [5, 13, 0, 0, 0]    |1.5456753045938514  |1.3888289432846856  |107       
 [19, 6, 9, 5, 0]    |1.208006352223012   |0.8984999377519932  |296       
 [20, 15, 0, 0, 0]   |0.8703526620970933  |0.5886892693984427  |391       
 [5, 3, 9, 0, 0]     |1.4395397393183578  |1.3301921919554351  |79        
 [8, 10, 5, 13, 4]   |3.9655119566657     |2.9143154807017373  |308       
 [3, 15, 0, 0, 0]    |3.276256424192647   |3.009281772470138   |85        
 [14, 20, 13, 9, 1]  |18.541884348457128  |8.732329667193214   |753       
 [15, 8, 17, 4, 0]   |2.0810587023128257  |1.3907967101582486  |403       
 [20, 19, 2, 6, 16]  |1.6348047377220698  |0.8568635174491088  |646       
 [13, 14, 18, 17, 0] |2.0674783117037383  |0.8872128651140045  |846       
 [4, 19, 0, 0, 0]    |1.7875638110743717  |1.5743676403293019  |127       
 [20, 20, 0, 0, 0]   |0.8813178969548542  |0.5340120463152158  |501       
 [19, 11, 15, 18, 0] |1.8716935704812079  |0.87183392488456    |764       
 [12, 0, 0, 0, 0]    |0.7709310473172889  |0.7340659955542277  |49        
 [13, 13, 4, 6, 15]  |1.6286462798611407  |1.0615702358829817  |428       
 [5, 1, 8, 1, 0]     |6.426057262548688   |6.124892294629934   |48        
 [19, 5, 15, 0, 0]   |0.9175444100414755  |0.7053548306425331  |263       
 [5, 10, 20, 0, 0]   |1.8683865656860061  |1.3621648822796146  |316       
 [19, 0, 0, 0, 0]    |0.7370125372095313  |0.6823924301830846  |77        
 [17, 14, 0, 0, 0]   |0.7911703740804832  |0.5756577702919782  |318       
 [20, 4, 0, 0, 0]    |0.8623672005081983  |0.7429889456597409  |149       
 [10, 20, 14, 5, 0]  |1.7894077696967903  |0.9578009590108844  |625       
 [1, 20, 12, 19, 0]  |11.808034475861147  |6.731380086937466   |562       
 [8, 0, 0, 0, 0]     |1.159682986658356   |1.1220380064913322  |33        
Gen 1 Train time: 8.324412751197816 minutes:
 Average MSE:        0.8612151306562968
 Average Error:      1.1419013349816114
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.652527419889334   |0.6041685172755595  |77        
 [12, 0, 0, 0, 0]    |0.7197468565966001  |0.6853293750110985  |49        
 [17, 14, 0, 0, 0]   |0.8685198512368196  |0.6319374655533396  |318       
 [18, 7, 0, 0, 0]    |0.733999943144955   |0.603960592230816   |195       
 [16, 3, 5, 3, 0]    |0.9043873406195474  |0.7854507389627551  |141       
 [20, 10, 8, 0, 0]   |0.848826467362199   |0.5880751635574901  |367       
 [13, 12, 5, 0, 0]   |0.904268970229197   |0.6848000169486123  |278       
 [11, 7, 8, 0, 0]    |0.8531594231990824  |0.7055279777243317  |190       
 [12, 9, 8, 0, 0]    |1.070775802002963   |0.8406191581354406  |242       
 [12, 2, 2, 8, 20]   |2.840872678114099   |2.119353916774929   |293       
 [14, 3, 11, 18, 8]  |1.884302233890533   |1.1337804554582989  |508       
 [16, 3, 8, 17, 0]   |1.0636040651443481  |0.7863629713324619  |302       
 [13, 20, 4, 0, 0]   |1.0852984458344521  |0.7217005436986892  |408       
 [13, 17, 5, 2, 0]   |1.665263361590581   |1.1365340065697502  |382       
 [20, 20, 1, 3, 8]   |2.255359052288119   |1.3038340397064545  |548       
 [20, 12, 0, 0, 0]   |0.7397897684646074  |0.5345183436602141  |325       
 [6, 12, 0, 0, 0]    |1.1319114524184901  |1.0089475465862503  |115       
 [9, 2, 5, 0, 0]     |0.8562209216476562  |0.7999333637452576  |68        
 [20, 8, 0, 0, 0]    |0.8872595549648117  |0.700040059077618   |237       
 [20, 10, 0, 0, 0]   |0.7990994607699563  |0.6033427357482718  |281       
 [15, 4, 9, 0, 0]    |0.9503725198878848  |0.8066210940690304  |164       
 [14, 10, 3, 15, 0]  |1.2431569440911114  |0.9200328223575532  |301       
 [19, 6, 12, 3, 0]   |1.0180399009754608  |0.7511718034150277  |304       
 [20, 10, 8, 11, 0]  |1.0092056689693547  |0.6313869035849452  |469       
 [19, 1, 0, 0, 0]    |1.5615652712081285  |1.4429486552232305  |79        
Gen 2 Train time: 8.385449389616648 minutes:
 Average MSE:        1.290757371722492
 Average Error:      1.824206295991699
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.652503475357644   |0.6041463472766184  |77        
 [12, 0, 0, 0, 0]    |0.7590013220644849  |0.72270673628602    |49        
 [18, 7, 0, 0, 0]    |0.77264165068491    |0.6357563284411556  |195       
 [20, 11, 4, 0, 0]   |0.9663214531779871  |0.685053231952716   |344       
 [19, 9, 4, 14, 16]  |1.5673591803234221  |0.856751088589399   |604       
 [16, 11, 4, 0, 0]   |1.1606165697185604  |0.870185727291202   |288       
 [15, 6, 7, 6, 0]    |0.8227713446245276  |0.6439868653729819  |245       
 [13, 8, 3, 0, 0]    |1.0305528496477472  |0.8590702368356178  |182       
 [19, 8, 0, 0, 0]    |0.730245770609907   |0.5825302698803225  |226       
 [16, 4, 4, 0, 0]    |0.7806692268227029  |0.6780028794667998  |141       
 [10, 4, 1, 1, 16]   |1.7834931166676726  |1.566077156824155   |130       
 [3, 6, 2, 5, 13]    |5.479029747012866   |4.697018904403614   |154       
 [10, 10, 8, 11, 0]  |1.688328788111746   |1.2029046298216437  |339       
 [14, 11, 7, 19, 0]  |1.7747726860351254  |1.1170288529672308  |463       
 [18, 7, 3, 2, 0]    |1.4197349571768396  |1.1370875404859402  |222       
 [17, 11, 7, 0, 0]   |1.188712426111916   |0.8452445598825313  |341       
 [15, 4, 4, 0, 0]    |1.1104066791660494  |0.9711506492678087  |134       
 [2, 6, 9, 5, 0]     |4.956388999564401   |4.295970332401286   |143       
 [16, 18, 5, 0, 0]   |0.8191037308073169  |0.5196786975495147  |455       
 [4, 1, 20, 13, 13]  |3.797635171529102   |2.244266069049908   |526       
 [3, 17, 15, 17, 16] |8.46242553514607    |3.3589749022424074  |924       
 [17, 2, 5, 0, 0]    |0.9627355830836389  |0.86417802744142    |108       
 [12, 8, 8, 12, 0]   |1.0920453770606144  |0.78274557694257    |333       
 [12, 10, 0, 0, 0]   |0.7281151972654126  |0.6100001930729346  |177       
 [11, 8, 5, 0, 0]    |1.0995465620218148  |0.9184184893164986  |180       
Gen 3 Train time: 8.418650567531586 minutes:
 Average MSE:        1.1597741276305675
 Average Error:      1.6064533732566968
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.5902789931150104  |0.5465333305222464  |77        
 [12, 10, 0, 0, 0]   |0.6995474107912748  |0.5860666790763325  |177       
 [19, 8, 0, 0, 0]    |0.9520888070532614  |0.7594984757796641  |226       
 [19, 4, 2, 1, 10]   |1.2595667649430184  |1.051027045306523   |181       
 [19, 9, 2, 7, 8]    |1.755390156732069   |1.2357661520174488  |351       
 [16, 4, 6, 3, 0]    |1.041671956938856   |0.877943597788468   |171       
 [17, 7, 4, 3, 0]    |0.8940963247189301  |0.7118117747384577  |228       
 [12, 9, 4, 6, 0]    |1.0490346688328762  |0.8334932945786772  |230       
 [16, 18, 15, 0, 0]  |1.211417744008038   |0.629261331602084   |655       
 [16, 9, 0, 0, 0]    |0.6967093862197906  |0.5641771931135577  |211       
 [16, 12, 6, 3, 0]   |1.2925642168536144  |0.9063117024994407  |355       
 [15, 6, 3, 0, 0]    |0.9013713213563324  |0.7635031833612045  |166       
 [5, 18, 15, 19, 11] |3.3292376649358335  |1.2953013209233064  |944       
 [15, 16, 0, 0, 0]   |0.8079630115042721  |0.5878761401063622  |318       
 [15, 5, 6, 12, 0]   |0.9076267450215937  |0.7012280957364138  |258       
 [10, 7, 18, 12, 4]  |2.4593175708314656  |1.4389071491069239  |536       
 [18, 7, 2, 1, 0]    |1.6055010428519143  |1.3039992444526811  |208       
 [9, 4, 4, 0, 0]     |0.8917726308648897  |0.8133904088352389  |92        
 [16, 5, 0, 0, 0]    |0.6090730210333363  |0.5300324142809514  |139       
 [16, 4, 4, 0, 0]    |0.9416019791639305  |0.8177712547772439  |141       
 [19, 4, 10, 0, 0]   |0.7667944649342285  |0.6290550625849948  |198       
 [18, 13, 3, 0, 0]   |1.0670640493289514  |0.7542065556579929  |347       
 [10, 3, 12, 7, 2]   |9.382547055852571   |7.522144478284669   |221       
 [16, 16, 2, 0, 0]   |1.663472665293495   |1.1640524219056796  |357       
 [6, 14, 18, 6, 5]   |3.385624678237869   |1.9709948837276183  |541       
Gen 4 Train time: 8.22931745449702 minutes:
 Average MSE:        0.8827484906258696
 Average Error:      1.1238843236509022
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6623721699641512  |0.6132836714811245  |77        
 [16, 5, 0, 0, 0]    |0.8450865801640485  |0.735418028532686   |139       
 [16, 9, 0, 0, 0]    |0.8350666409585706  |0.6762153099659084  |211       
 [14, 8, 11, 0, 0]   |0.8849251676486121  |0.6735101626886841  |273       
 [16, 12, 2, 2, 0]   |1.6981181418515214  |1.2744575824105748  |287       
