/tmp/tmp.DERHgjeZKn ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k22.mat
  Evaluating with: datasets/N1dataset100k22.mat
Gen 0 Train time: 8.363797120253246 minutes:
 Average MSE:        1.7063957412889021
 Average Error:      2.509093285006669
 Structure           |Error               |MSE                 |weights&biases
 [12, 3, 0, 0, 0]    |0.8967607935184582  |0.8286427758881121  |79        
 [10, 2, 18, 12, 5]  |7.21945845137629    |4.8152113740242175  |405       
 [19, 10, 7, 4, 17]  |1.5900693351030708  |0.9947912351714961  |469       
 [4, 0, 0, 0, 0]     |3.288647072197778   |3.2332126000243315  |17        
 [5, 0, 0, 0, 0]     |1.8231950531434438  |1.785307172147284   |21        
 [19, 16, 6, 11, 11] |1.8217352998916405  |0.9046469773242247  |700       
 [7, 0, 0, 0, 0]     |1.19940114690215    |1.1651180216008774  |29        
 [13, 14, 4, 20, 5]  |4.843626839737442   |2.9202341083573637  |506       
 [13, 14, 8, 8, 9]   |1.8991047619476966  |1.1313171769531716  |518       
 [11, 0, 0, 0, 0]    |0.8338399395432475  |0.7971488824552089  |45        
 [15, 5, 0, 0, 0]    |0.7215775892742885  |0.6329806869136458  |131       
 [20, 10, 0, 0, 0]   |0.7886673735467644  |0.5954662142965609  |281       
 [5, 15, 16, 16, 8]  |4.466521616484076   |2.0515794170303234  |778       
 [4, 19, 10, 5, 18]  |7.162765989878048   |4.3924897950478075  |489       
 [5, 13, 20, 0, 0]   |1.7587857222369847  |1.1860442858482898  |394       
 [4, 17, 13, 17, 0]  |2.3530557344369734  |1.3082819605952278  |587       
 [12, 4, 0, 0, 0]    |0.6200624820582444  |0.5649969034289646  |93        
 [17, 9, 0, 0, 0]    |0.690588726176849   |0.5525502945695077  |223       
 [9, 0, 0, 0, 0]     |0.9750225627920762  |0.9396059751895978  |37        
 [11, 12, 15, 12, 13]|2.3426081983730045  |1.1098944529127768  |747       
 [6, 18, 18, 0, 0]   |1.7185064826545844  |1.0371282436895544  |505       
 [16, 0, 0, 0, 0]    |0.7200446138011078  |0.6747303797731662  |65        
 [16, 13, 16, 0, 0]  |0.8451719527455586  |0.5075220209598372  |510       
 [2, 0, 0, 0, 0]     |4.063301659464126   |4.026896015663814   |9         
 [11, 16, 11, 12, 2] |8.084812727882817   |4.504096562357189   |585       
Gen 1 Train time: 8.15243702729543 minutes:
 Average MSE:        0.8369626645281818
 Average Error:      1.1101536554279727
 Structure           |Error               |MSE                 |weights&biases
 [12, 4, 0, 0, 0]    |0.8175710405534506  |0.7449654181826566  |93        
 [17, 9, 0, 0, 0]    |0.6759139019889497  |0.5408087498259826  |223       
 [16, 0, 0, 0, 0]    |0.6806805938320803  |0.6378436374324522  |65        
 [14, 2, 0, 0, 0]    |0.9310991813125742  |0.863821200588589   |75        
 [12, 4, 17, 0, 0]   |0.9535951815593552  |0.7877960553901378  |191       
 [10, 0, 0, 0, 0]    |0.8727135241610003  |0.8376558625891304  |41        
 [14, 0, 0, 0, 0]    |0.6736940000155588  |0.6363673569825072  |57        
 [7, 19, 3, 1, 12]   |1.7336357243382483  |1.318138848032503   |274       
 [18, 8, 14, 6, 6]   |1.4665498053414854  |0.9156808160788431  |471       
 [18, 5, 15, 0, 0]   |0.735076149522305   |0.5696226355225406  |255       
 [12, 2, 0, 0, 0]    |0.7420211601838544  |0.6953238863458424  |65        
 [16, 7, 0, 0, 0]    |0.6844224342196634  |0.5745432175776475  |175       
 [17, 5, 20, 15, 20] |3.450337847546855   |1.3791566002194897  |917       
 [11, 5, 0, 0, 0]    |0.6598082714423653  |0.5976165305525445  |99        
 [14, 15, 0, 0, 0]   |1.024439664530815   |0.7719355586923395  |283       
 [12, 1, 10, 0, 0]   |1.2176128993104753  |1.1239983709247245  |80        
 [17, 12, 4, 4, 5]   |1.204519560976788   |0.8320030126909019  |370       
 [7, 7, 9, 0, 0]     |0.9543894910085117  |0.8140907608686632  |159       
 [14, 7, 0, 0, 0]    |0.5472809639848084  |0.4686997239044528  |155       
 [15, 5, 0, 0, 0]    |0.5813985120882372  |0.5100131088083076  |131       
 [4, 14, 15, 5, 17]  |2.9243522997152143  |1.7613367189300981  |507       
 [14, 5, 0, 0, 0]    |0.6581771804389328  |0.582002164188885   |123       
 [9, 2, 0, 0, 0]     |0.9216537983630164  |0.8767042122057491  |50        
 [14, 2, 6, 0, 0]    |1.0358554254766388  |0.9400968128770602  |97        
 [11, 14, 5, 3, 9]   |1.607042773788136   |1.1438453537925013  |340       
Gen 2 Train time: 8.144343789418539 minutes:
 Average MSE:        0.8031115150537912
 Average Error:      0.9970239447030381
 Structure           |Error               |MSE                 |weights&biases
 [14, 7, 0, 0, 0]    |0.6956604172422204  |0.5957741397008208  |155       
 [15, 5, 0, 0, 0]    |0.6998851167099396  |0.6139516644097089  |131       
 [14, 5, 0, 0, 0]    |0.6526579299097963  |0.5771216915014     |123       
 [14, 1, 0, 0, 0]    |1.5783469584881524  |1.4879183618453014  |59        
 [12, 5, 0, 0, 0]    |0.678884990878492   |0.6099955933121144  |107       
 [16, 5, 8, 0, 0]    |0.8557166106023195  |0.7076426672046435  |190       
 [13, 5, 2, 0, 0]    |0.9519458506230032  |0.8409297740523435  |124       
 [15, 5, 15, 0, 0]   |0.7469728718171382  |0.5929018484189471  |231       
 [12, 5, 18, 2, 0]   |1.4314658688588948  |1.1148267396072964  |250       
 [14, 6, 9, 0, 0]    |0.8837504357574227  |0.7199449208672026  |205       
 [13, 1, 5, 0, 0]    |0.9379904867850537  |0.8754515469760307  |69        
 [13, 5, 9, 0, 0]    |0.8338721033092167  |0.7014011920629838  |173       
 [14, 4, 0, 0, 0]    |0.7205750360636153  |0.6474551692190735  |107       
 [10, 18, 0, 0, 0]   |0.8693632293798197  |0.6790949959284295  |247       
 [12, 5, 8, 0, 0]    |0.8790886004514008  |0.7506096098264063  |158       
 [20, 15, 6, 12, 16] |1.7804916180110006  |0.8161880607748065  |780       
 [16, 4, 0, 0, 0]    |0.6345193527421215  |0.5622056945484104  |121       
 [15, 0, 0, 0, 0]    |0.6589721435186944  |0.6199763069873997  |61        
 [8, 18, 8, 3, 9]    |2.420433336323914   |1.604715670793503   |411       
 [16, 6, 3, 0, 0]    |0.6893734938620883  |0.5786994193547281  |175       
 [13, 3, 14, 0, 0]   |0.889999268763235   |0.7644989417357883  |152       
 [16, 7, 5, 2, 3]    |1.9361593299258457  |1.5352700347687658  |232       
 [15, 6, 13, 0, 0]   |1.0475548309539469  |0.8191064041509423  |246       
 [16, 4, 8, 0, 0]    |0.707530052560897   |0.5999102770193767  |165       
 [10, 4, 7, 0, 0]    |0.7443886840377257  |0.6621971512783579  |117       
Increasing Epochs
Gen 3 Train time: 9.373158574104309 minutes:
 Average MSE:        0.8618324906231956
 Average Error:      1.051204838967089
 Structure           |Error               |MSE                 |weights&biases
 [16, 4, 0, 0, 0]    |0.6110647473671925  |0.5414241176773738  |121       
 [14, 5, 0, 0, 0]    |0.5499107645492048  |0.48626610674190107 |123       
 [15, 0, 0, 0, 0]    |0.6328680780790675  |0.595416995569165   |61        
 [15, 3, 8, 0, 0]    |0.7810586417444203  |0.6831061279422448  |134       
 [12, 13, 10, 0, 0]  |0.7990582688527076  |0.5597184393039009  |356       
 [12, 4, 4, 0, 0]    |0.8007537810722459  |0.7151937681550719  |113       
 [13, 5, 4, 0, 0]    |0.7535061790049125  |0.6563782467535546  |138       
 [13, 6, 0, 0, 0]    |0.6279841617454913  |0.5514300231191948  |130       
 [12, 6, 4, 5, 0]    |0.8919290695193522  |0.7502350901460921  |173       
 [14, 6, 1, 6, 0]    |0.9633832864503415  |0.8225846090877035  |158       
 [11, 11, 4, 0, 0]   |0.7906903756896447  |0.6358142475729336  |218       
 [15, 6, 2, 0, 0]    |1.11734918297374    |0.9540483562647892  |158       
 [13, 4, 8, 0, 0]    |0.7904833036583515  |0.6844698076831307  |144       
 [10, 9, 6, 19, 16]  |1.9147562632759514  |0.9906344692175623  |659       
 [15, 5, 10, 0, 0]   |0.79245131868525    |0.6514046793461381  |196       
 [11, 5, 13, 1, 0]   |5.410748146414347   |4.487911159202315   |187       
 [15, 5, 9, 0, 0]    |0.8672636795882546  |0.717909171709582   |189       
 [4, 14, 0, 0, 0]    |1.7252898294003327  |1.5657971469929213  |97        
 [15, 14, 0, 0, 0]   |0.6706380600290129  |0.5048339622603127  |284       
 [15, 6, 10, 0, 0]   |0.8945233349231712  |0.716437482695846   |222       
 [14, 6, 9, 0, 0]    |0.7459622915043618  |0.6076961789181377  |205       
 [15, 5, 1, 0, 0]    |1.1697012733961796  |1.0240326330535332  |133       
 [15, 5, 0, 0, 0]    |0.5094120393029268  |0.4468652953653162  |131       
 [18, 5, 0, 0, 0]    |0.6349397814493222  |0.5437720656213281  |155       
 [13, 11, 4, 0, 0]   |0.8343951155014449  |0.6524320851798403  |246       
Gen 4 Train time: 9.448078890641531 minutes:
 Average MSE:        0.8785015652381516
 Average Error:      1.0491996805279065
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.616207167638567   |0.5405478801597123  |131       
 [14, 5, 0, 0, 0]    |0.5876537112278539  |0.5196408230078011  |123       
 [16, 4, 0, 0, 0]    |0.5801663368039349  |0.5140470766208843  |121       
 [15, 6, 2, 9, 0]    |0.9675839555438143  |0.7985536843526606  |192       
 [14, 6, 2, 3, 0]    |1.0085421866971307  |0.8602828131194187  |159       
 [14, 8, 9, 0, 0]    |0.6037311206452242  |0.46877782443846866 |253       
 [14, 6, 1, 3, 0]    |1.035219453793787   |0.8919131085312964  |149       
 [14, 3, 6, 0, 0]    |0.8170784182826962  |0.7261343650044273  |118       
 [15, 10, 0, 0, 0]   |0.5759280872817815  |0.46404559126340195 |216       
 [15, 3, 1, 3, 1]    |6.733204754870671   |6.0378695109362805  |109       
 [13, 11, 4, 0, 0]   |1.0326734846437429  |0.8074703487341811  |246       
 [15, 7, 0, 0, 0]    |0.7155697994996585  |0.6067271278312126  |165       
 [15, 3, 9, 0, 0]    |0.8329040211526542  |0.724816424222624   |139       
 [15, 5, 5, 0, 0]    |0.8463124358764232  |0.7204590663409783  |161       
 [14, 9, 4, 0, 0]    |0.8225135772861589  |0.6587637614223478  |222       
 [16, 5, 5, 0, 0]    |0.6827761809989232  |0.5766105638735051  |169       
 [15, 5, 9, 0, 0]    |0.6734033067207549  |0.5574341708670559  |189       
 [13, 5, 2, 0, 0]    |0.7613493199399789  |0.6725606411047691  |124       
 [15, 18, 18, 0, 0]  |1.1415385414756298  |0.5702827151094825  |694       
 [15, 6, 1, 3, 0]    |1.117448394387492   |0.9541330679087899  |158       
 [14, 13, 2, 0, 0]   |1.0679028838792166  |0.816847225341401   |268       
 [17, 9, 4, 0, 0]    |0.7921640699751383  |0.6120221835092108  |258       
 [15, 3, 0, 0, 0]    |0.6160071421424269  |0.5590609816723522  |97        
 [14, 9, 5, 0, 0]    |0.7546812670448223  |0.597823462561413   |233       
 [14, 8, 2, 0, 0]    |0.8474323953891807  |0.7057147130201133  |183       
Increasing Epochs
Gen 5 Train time: 11.026337758700054 minutes:
 Average MSE:        0.9706812435419263
 Average Error:      1.2208824973918109
 Structure           |Error               |MSE                 |weights&biases
 [15, 10, 0, 0, 0]   |0.6432605973996586  |0.5182977716291288  |216       
 [16, 4, 0, 0, 0]    |0.5774756783642633  |0.51166306186967    |121       
 [14, 5, 0, 0, 0]    |0.7317423671864935  |0.6470531856592538  |123       
 [16, 4, 3, 5, 0]    |0.6386492056353751  |0.5458560682172455  |157       
 [15, 8, 5, 18, 0]   |1.2364851093843867  |0.8757039212258817  |345       
 [15, 6, 5, 0, 0]    |0.7978819915544795  |0.6651154976533905  |182       
 [16, 20, 7, 2, 6]   |1.6091174438228657  |0.9045532144794463  |576       
 [9, 4, 3, 3, 3]     |3.1413626005755635  |2.814139848939463   |110       
 [20, 6, 1, 11, 19]  |1.4345660540593594  |0.9029053052712677  |463       
 [5, 2, 13, 3, 2]    |6.575580723475044   |5.8378518608410515  |119       
 [14, 9, 7, 0, 0]    |0.6340190965998052  |0.4913118579775693  |255       
 [16, 11, 16, 0, 0]  |1.1178162192068948  |0.7170404514611544  |444       
 [14, 17, 2, 0, 0]   |0.9634677786028947  |0.6885163362988981  |336       
 [16, 9, 7, 0, 0]    |0.8976183327230719  |0.679084086562365   |279       
 [14, 6, 8, 0, 0]    |0.5774722981818083  |0.4742148422644353  |197       
 [14, 7, 5, 0, 0]    |0.6465024124507137  |0.5330295853030604  |193       
 [15, 12, 9, 0, 0]   |0.6885225117013262  |0.47844823076352416 |364       
 [14, 13, 8, 0, 0]   |0.7653021835716798  |0.5350021507786628  |358       
 [10, 2, 15, 5, 11]  |0.9891576281322159  |0.766514565123706   |255       
 [10, 6, 2, 0, 0]    |0.8901257695505138  |0.7950164186603177  |113       
