/tmp/tmp.8d4zvvo9f6 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k23.mat
  Evaluating with: datasets/N1dataset100k23.mat
Gen 0 Train time: 8.339708813031514 minutes:
 Average MSE:        1.50882835366248
 Average Error:      1.9322114063317186
 Structure           |Error               |MSE                 |weights&biases
 [3, 3, 0, 0, 0]     |1.7299827618539512  |1.6872693352743091  |25        
 [16, 16, 1, 0, 0]   |1.581391934152581   |1.1267139982149248  |339       
 [1, 13, 0, 0, 0]    |5.466421039175047   |5.236346976327831   |43        
 [9, 10, 10, 13, 0]  |1.43429773400091    |0.9672244947799913  |394       
 [14, 0, 0, 0, 0]    |0.652586337875076   |0.6164291845064149  |57        
 [7, 13, 0, 0, 0]    |0.9229761752671126  |0.803199737316637   |139       
 [7, 12, 3, 0, 0]    |1.0596016842475549  |0.9029329940096904  |160       
 [18, 2, 0, 0, 0]    |0.7293197798955621  |0.663223668409352   |95        
 [9, 19, 1, 12, 12]  |2.062627802194857   |1.3417581443569206  |430       
 [10, 17, 4, 16, 0]  |1.4636630029280036  |0.9949549689192063  |386       
 [18, 2, 17, 3, 0]   |1.0624629488820738  |0.8690016539560208  |201       
 [14, 0, 0, 0, 0]    |0.7151641047455275  |0.6755397719664443  |57        
 [8, 6, 19, 2, 13]   |1.645657259591199   |1.2142660914426675  |304       
 [9, 17, 17, 3, 7]   |1.9127284748066804  |1.0571015156097858  |593       
 [15, 19, 0, 0, 0]   |0.86358269633701    |0.5971030202726013  |369       
 [8, 10, 12, 0, 0]   |0.9942752273926865  |0.767404511743689   |259       
 [5, 11, 0, 0, 0]    |1.197602917576623   |1.0912479944315134  |93        
 [12, 15, 7, 20, 0]  |1.174900596210321   |0.6957141166615113  |524       
 [3, 12, 10, 9, 0]   |3.1972987405932085  |2.378110606877982   |296       
 [18, 14, 1, 5, 14]  |1.5665226617146248  |1.004870118432305   |444       
 [1, 0, 0, 0, 0]     |5.288346985854518   |5.2619712452262535  |5         
 [6, 1, 0, 0, 0]     |1.7693923082939773  |1.7222578939446378  |27        
 [2, 7, 13, 5, 0]    |5.036491944152026   |4.094766917599701   |207       
 [10, 15, 17, 0, 0]  |0.9596334910623452  |0.5908436503682106  |485       
 [11, 9, 17, 19, 18] |3.8183565494894776  |1.3604562309133978  |1032      
Gen 1 Train time: 8.352662666638691 minutes:
 Average MSE:        1.3353033957335918
 Average Error:      1.9760256104782101
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.642712851018605   |0.6071027473778241  |57        
 [14, 0, 0, 0, 0]    |0.6163944326781714  |0.5822425254983434  |57        
 [18, 2, 0, 0, 0]    |0.9243295399607159  |0.8405602661697467  |95        
 [12, 7, 0, 0, 0]    |0.6057840680871129  |0.5292831793348182  |135       
 [11, 6, 2, 0, 0]    |0.9522219623749913  |0.8428577164485935  |122       
 [18, 8, 9, 4, 7]    |1.405204894620457   |0.9706232622939958  |370       
 [7, 13, 4, 13, 19]  |2.239575687602897   |1.315591563628501   |532       
 [20, 15, 12, 10, 0] |1.3120850949307594  |0.6463704725633056  |708       
 [14, 8, 9, 4, 7]    |1.449256135061798   |1.0460805962048452  |326       
 [1, 18, 12, 15, 15] |17.04444188655847   |8.3130299848492     |718       
 [12, 15, 6, 0, 0]   |0.8790629339553344  |0.629456338674464   |334       
 [16, 1, 9, 2, 15]   |2.712625321569172   |2.3023191000320646  |164       
 [16, 1, 9, 2, 0]    |2.0156822311178955  |1.8129542813561066  |106       
 [11, 16, 0, 0, 0]   |0.9327653731183398  |0.7322732183729899  |242       
 [18, 19, 0, 0, 0]   |0.7492734667978587  |0.48497824103732085 |435       
 [7, 11, 6, 0, 0]    |1.2590239526384848  |1.0432457639144705  |188       
 [9, 11, 18, 1, 7]   |4.776947341156158   |3.22135381595566    |394       
 [11, 5, 6, 0, 0]    |0.8942554347516548  |0.7805442677859785  |136       
 [8, 13, 12, 0, 0]   |1.3911869280814138  |1.0081906491912171  |322       
 [8, 8, 9, 0, 0]     |1.0519821429022649  |0.8725599992195784  |187       
 [11, 3, 10, 1, 7]   |2.4089174661642176  |2.090027998764263   |142       
 [14, 10, 0, 0, 0]   |0.704561602288765   |0.5751183056922831  |203       
 [12, 8, 9, 0, 0]    |0.7465815212611554  |0.5925912180376087  |231       
 [11, 7, 0, 0, 0]    |0.6317615125009779  |0.5575275779542721  |125       
 [16, 1, 0, 0, 0]    |1.054006480757579   |0.9857018029823514  |67        
Gen 2 Train time: 8.42169375816981 minutes:
 Average MSE:        1.4268346097783726
 Average Error:      1.730106645169744
 Structure           |Error               |MSE                 |weights&biases
 [12, 7, 0, 0, 0]    |0.7106401214628777  |0.6208975816060337  |135       
 [14, 0, 0, 0, 0]    |0.5973644760509325  |0.5642669413279513  |57        
 [11, 7, 0, 0, 0]    |0.7431180337345695  |0.6557993630255124  |125       
 [12, 8, 9, 3, 0]    |3.338870210122069   |2.5873456103743724  |255       
 [11, 6, 2, 0, 0]    |1.015105572612839   |0.8985190414561796  |122       
 [15, 12, 3, 0, 0]   |1.041850676250955   |0.7874138021351245  |280       
 [14, 16, 0, 0, 0]   |0.756289858182996   |0.5608338605958704  |299       
 [10, 17, 7, 7, 9]   |1.961350306248583   |1.2124379506487637  |481       
 [13, 9, 0, 0, 0]    |0.6837758890460496  |0.5740004706924129  |175       
 [15, 5, 0, 0, 0]    |0.7290764199568956  |0.6395587944755777  |131       
 [12, 8, 9, 0, 0]    |0.7411020754016026  |0.5882419656068782  |231       
