/tmp/tmp.Jzzly4uhaz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k26.mat
  Evaluating with: datasets/N1dataset100k26.mat
Gen 0 Train time: 8.178919525941213 minutes:
 Average MSE:        1.853370941634221
 Average Error:      2.4563841219166873
 Structure           |Error               |MSE                 |weights&biases
 [5, 6, 0, 0, 0]     |1.171241022572282   |1.105241529386156   |58        
 [7, 8, 8, 0, 0]     |1.2506134398670183  |1.059327404666009   |166       
 [3, 0, 0, 0, 0]     |4.982119041390407   |4.917770664538954   |13        
 [5, 0, 0, 0, 0]     |1.3325925407648416  |1.3048998879607336  |21        
 [13, 4, 0, 0, 0]    |0.585629535024781   |0.5298995163974224  |100       
 [6, 3, 0, 0, 0]     |0.970940141372896   |0.93007462049439    |43        
 [4, 16, 0, 0, 0]    |1.5700521801765153  |1.4079135470237012  |109       
 [1, 2, 17, 18, 17]  |12.551988898076953  |6.091407252401731   |723       
 [2, 12, 1, 11, 3]   |9.196869207357643   |8.18139867032588    |117       
 [12, 3, 12, 0, 0]   |0.9800347213091692  |0.8554160860778437  |136       
 [10, 0, 0, 0, 0]    |0.9423330932699606  |0.9044787530343245  |41        
 [12, 4, 7, 0, 0]    |0.851277870279368   |0.7467560787548146  |131       
 [10, 16, 0, 0, 0]   |0.822344552474755   |0.6579700876715362  |223       
 [4, 8, 11, 17, 14]  |4.043256225029905   |2.170701448828608   |622       
 [7, 0, 0, 0, 0]     |0.81729848212716    |0.7939372019218884  |29        
 [4, 10, 5, 0, 0]    |3.4153962934419715  |3.02011083553565    |123       
 [13, 6, 1, 8, 0]    |1.0525859630791197  |0.9014505943871647  |155       
 [18, 0, 0, 0, 0]    |0.6611903626423346  |0.6146431099173691  |73        
 [9, 17, 1, 10, 0]   |1.4495920378471434  |1.133468231467695   |246       
 [5, 1, 17, 5, 19]   |5.313904130090708   |4.020180516272864   |279       
 [19, 3, 12, 17, 0]  |0.8328972266482425  |0.5560789369928938  |404       
 [15, 14, 18, 4, 17] |2.128120506192325   |1.0379412653752407  |718       
 [9, 5, 17, 10, 16]  |1.8302932739737954  |1.053877493212577   |552       
 [20, 1, 20, 0, 0]   |1.6163991461753302  |1.4024222581873986  |142       
 [20, 2, 0, 0, 0]    |1.0406331567325615  |0.936907550022682   |105       
Gen 1 Train time: 8.131824509302776 minutes:
 Average MSE:        0.9845230322137022
 Average Error:      1.2573065330742472
 Structure           |Error               |MSE                 |weights&biases
 [13, 4, 0, 0, 0]    |0.7705644101908032  |0.6972355113474484  |100       
 [18, 0, 0, 0, 0]    |0.6324732830457732  |0.5879476888884889  |73        
 [7, 0, 0, 0, 0]     |0.878056493723802   |0.8529585347351194  |29        
 [9, 5, 0, 0, 0]     |0.7547540436174928  |0.6946387499123875  |83        
 [3, 4, 9, 9, 9]     |5.435270673807419   |4.190874072310828   |260       
 [12, 10, 0, 0, 0]   |0.9933117621998968  |0.8321765140999849  |177       
 [9, 0, 0, 0, 0]     |0.8167053048888296  |0.7870394119343377  |37        
 [16, 4, 10, 9, 0]   |0.8876590279270228  |0.6742410525423403  |275       
 [9, 2, 0, 0, 0]     |0.8967207924921756  |0.8529872033801563  |50        
 [16, 4, 10, 9, 15]  |1.2187151785008872  |0.791992918445241   |431       
 [16, 4, 6, 9, 0]    |0.985464309703052   |0.7916448824497333  |219       
 [9, 5, 14, 0, 0]    |1.1322913324823183  |0.94955987379637    |176       
 [16, 3, 4, 0, 0]    |0.8132882867180562  |0.7213220024329272  |120       
 [9, 12, 0, 0, 0]    |0.9395261080568884  |0.800611337552275   |160       
 [17, 3, 10, 0, 0]   |0.8105880124111976  |0.6935060236229773  |156       
 [13, 6, 10, 9, 0]   |1.7024122179237948  |1.2586581548440745  |302       
 [4, 7, 19, 10, 12]  |3.1058443908702196  |1.802700149478025   |544       
 [10, 8, 0, 0, 0]    |0.7088575726566543  |0.6243147333142012  |127       
 [9, 14, 0, 0, 0]    |0.8747966431331836  |0.7292316543070075  |182       
 [18, 6, 0, 0, 0]    |0.7014110210486632  |0.5888044060641986  |175       
 [5, 13, 3, 8, 20]   |2.248817083625941   |1.5564449420526565  |368       
 [13, 0, 0, 0, 0]    |0.6659553654016044  |0.6315787577522269  |53        
 [16, 20, 6, 9, 0]   |1.0431005788206598  |0.5799563734872776  |587       
 [8, 9, 1, 5, 0]     |1.1320026044525742  |0.9930128052827518  |131       
 [14, 8, 16, 0, 0]   |1.284076829157274   |0.9296380513095226  |323       
Increasing Epochs
Gen 2 Train time: 9.244738741715748 minutes:
 Average MSE:        0.8886903818509123
 Average Error:      1.06703300068844
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.4958967311214573  |0.4609860128575841  |73        
 [13, 0, 0, 0, 0]    |0.5791395541242527  |0.5492443775693513  |53        
 [18, 6, 0, 0, 0]    |0.5052882687438103  |0.4241677847093096  |175       
 [14, 3, 0, 0, 0]    |0.6022460508556728  |0.5498613107503691  |91        
 [3, 3, 0, 0, 0]     |4.208646834408774   |4.104734973825542   |25        
 [11, 6, 0, 0, 0]    |0.5655892731345923  |0.5056618417497833  |112       
 [16, 12, 5, 5, 0]   |1.060471641911072   |0.7450631898300362  |353       
 [15, 2, 5, 0, 0]    |0.9089521751943888  |0.8241004932047344  |98        
 [12, 11, 8, 0, 0]   |1.1091270992974862  |0.8349138850908849  |284       
 [8, 16, 0, 0, 0]    |0.880766584372607   |0.7320088813458784  |185       
 [16, 0, 0, 0, 0]    |0.6415719953428407  |0.601196242249895   |65        
 [13, 2, 5, 0, 0]    |0.8170494064472156  |0.7482218807743749  |88        
 [19, 13, 20, 5, 0]  |1.119832291214508   |0.5516612680537828  |708       
 [13, 9, 5, 0, 0]    |0.7674384922837102  |0.6152682403606088  |221       
 [13, 7, 15, 4, 9]   |1.301284454536186   |0.8934649424362234  |376       
 [11, 4, 0, 0, 0]    |0.6039837895606435  |0.554212041051332   |86        
 [11, 7, 0, 0, 0]    |0.7497253225370186  |0.6616302749281557  |125       
 [4, 11, 5, 10, 14]  |3.6116844095107887  |2.5298860417928326  |356       
 [18, 5, 5, 0, 0]    |0.6179906661533101  |0.5136146900206449  |185       
 [14, 7, 2, 0, 0]    |1.0310102691067309  |0.8733133658574559  |166       
 [9, 7, 0, 0, 0]     |0.6944563527932665  |0.6252360842855968  |105       
 [9, 11, 0, 0, 0]    |0.7624759725682029  |0.656925748817309   |149       
 [15, 5, 7, 5, 0]    |0.7634472034493113  |0.6169845429083259  |213       
 [11, 7, 2, 0, 0]    |1.2934256982914016  |1.128957091425227   |136       
 [9, 4, 0, 0, 0]     |0.9843244802517572  |0.9159443403775672  |72        
Gen 3 Train time: 9.502058144410451 minutes:
 Average MSE:        1.1086970352468906
 Average Error:      1.5917170789388582
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.6683392230249766  |0.6212886964628117  |73        
 [18, 6, 0, 0, 0]    |0.45926150080751277 |0.3855302912218696  |175       
 [11, 6, 0, 0, 0]    |0.8036343570407971  |0.7184846820423164  |112       
 [6, 9, 5, 3, 0]     |1.6801931339393945  |1.4418236666168267  |153       
 [15, 9, 4, 0, 0]    |0.7409783601315311  |0.5863819806130203  |234       
 [14, 12, 10, 3, 0]  |1.0545352159234325  |0.714694654767893   |389       
 [18, 1, 0, 0, 0]    |1.0000044283819567  |0.9277475947310683  |75        
 [13, 4, 0, 0, 0]    |0.6182167589727922  |0.5593856559755004  |100       
 [17, 9, 14, 5, 0]   |0.8748293771993169  |0.5668126749460539  |434       
 [11, 7, 1, 0, 0]    |1.2892255142625277  |1.1354643219823943  |127       
 [16, 4, 1, 0, 0]    |1.414413531841476   |1.2507144900417297  |123       
 [14, 4, 0, 0, 0]    |0.6931900855421391  |0.6228490881219579  |107       
 [17, 9, 3, 0, 0]    |0.8642383743616454  |0.6750917631252851  |247       
 [12, 2, 0, 0, 0]    |0.8088797999913844  |0.757974942355148   |65        
 [16, 8, 19, 10, 1]  |14.433540787582785  |8.178875890814982   |568       
 [14, 4, 3, 0, 0]    |0.6552102741535437  |0.5805385535741979  |121       
 [10, 9, 0, 0, 0]    |0.8051389979925516  |0.7006545228579103  |139       
 [14, 7, 6, 3, 0]    |0.8923640859510363  |0.7161389536023115  |220       
 [15, 2, 0, 0, 0]    |0.8043535255007     |0.7425118876634158  |80        
 [12, 7, 3, 0, 0]    |0.9082942426686433  |0.7778769750424106  |155       
 [18, 14, 5, 16, 15] |2.0927960921594813  |0.9767749660953843  |762       
 [11, 2, 0, 0, 0]    |0.8412978792838328  |0.7923045048891564  |60        
 [12, 5, 4, 3, 0]    |1.0091766403004914  |0.8738336884637468  |144       
 [7, 5, 18, 16, 15]  |3.4007666427787338  |1.6160758394894166  |744       
 [17, 6, 4, 3, 0]    |0.9800481436787698  |0.7975955956754591  |206       
Gen 4 Train time: 9.576294354597728 minutes:
 Average MSE:        0.8113846243525339
 Average Error:      0.9754218692820585
 Structure           |Error               |MSE                 |weights&biases
 [18, 6, 0, 0, 0]    |0.6046332043548731  |0.5075635883858811  |175       
 [13, 4, 0, 0, 0]    |0.5762762795229599  |0.5214363408389239  |100       
 [14, 4, 3, 0, 0]    |0.8045603228297182  |0.7128677685681375  |121       
 [14, 8, 7, 3, 0]    |0.9498027598077122  |0.7374913370582347  |253       
 [15, 4, 0, 0, 0]    |0.5846609676074868  |0.5216683998416871  |114       
 [15, 2, 0, 0, 0]    |0.7104728167636438  |0.6558490708178766  |80        
 [13, 7, 5, 2, 0]    |1.1927488853185308  |0.9843838474391816  |192       
 [12, 7, 2, 1, 0]    |1.4421131986673523  |1.2437232937993241  |148       
 [12, 5, 2, 0, 0]    |0.9358727847592786  |0.8333715269865462  |116       
 [12, 5, 0, 0, 0]    |0.5470252894904891  |0.4915162663821584  |107       
 [17, 5, 2, 0, 0]    |0.7923921543127285  |0.6779383900001451  |156       
 [15, 4, 10, 0, 0]   |0.7320354038018696  |0.617592514690564   |170       
 [13, 8, 7, 2, 2]    |3.6904087295056995  |2.9058827556508713  |239       
 [18, 3, 2, 2, 0]    |0.9184585187969464  |0.8081088313676776  |128       
 [13, 5, 3, 2, 5]    |0.978679926802872   |0.8373186058078328  |156       
 [9, 8, 12, 9, 15]   |1.3774599318301308  |0.8371442966008914  |498       
 [18, 3, 0, 0, 0]    |0.6184865122066906  |0.5512979374440632  |115       
 [12, 7, 0, 0, 0]    |0.5947662425123333  |0.5196567298179299  |135       
 [12, 5, 2, 4, 0]    |0.9577456580222571  |0.8409920862933504  |130       
 [18, 5, 7, 3, 0]    |0.7257340003099416  |0.5829978840514869  |219       
 [17, 8, 2, 18, 0]   |1.0460964912016817  |0.785893186513034   |286       
 [16, 9, 7, 3, 0]    |0.9547017420820892  |0.7079680600449698  |299       
 [15, 3, 10, 0, 0]   |0.7015029147101175  |0.6074227790753122  |144       
 [14, 2, 0, 0, 0]    |0.7235532031363796  |0.6712717712219365  |75        
 [14, 2, 2, 2, 0]    |1.2253587936976813  |1.1232583401153335  |87        
Increasing Epochs
Gen 5 Train time: 11.052379377683003 minutes:
 Average MSE:        1.005068524076045
 Average Error:      1.3875280553883198
 Structure           |Error               |MSE                 |weights&biases
 [12, 5, 0, 0, 0]    |0.633669731641317   |0.5693685220766006  |107       
 [13, 4, 0, 0, 0]    |0.646477505098407   |0.5849570365315714  |100       
 [15, 4, 0, 0, 0]    |0.5275916315985484  |0.4707478307507854  |114       
 [1, 17, 9, 15, 19]  |10.31816537866072   |5.2640777858670535  |673       
 [13, 4, 1, 1, 0]    |1.399631322187251   |1.2613831546182395  |104       
 [16, 3, 0, 0, 0]    |0.6227140573642427  |0.5617671479143997  |103       
 [15, 8, 1, 9, 0]    |0.9579649587705551  |0.7765113037708918  |210       
 [16, 5, 3, 1, 0]    |1.4701959729046916  |1.2565824652990554  |157       
 [14, 6, 4, 2, 0]    |1.1059636130657196  |0.9302675955990412  |173       
 [13, 6, 0, 0, 0]    |0.6662946783738454  |0.5850703127267586  |130       
 [15, 5, 0, 0, 0]    |0.5574222703192102  |0.4889807233654202  |131       
 [17, 9, 5, 11, 0]   |0.9201189315293979  |0.654258762873342   |341       
 [17, 4, 1, 1, 0]    |1.2201279293764102  |1.0692481237538587  |132       
 [16, 20, 6, 0, 0]   |0.9310056821449658  |0.5529487829626544  |521       
 [15, 6, 0, 0, 0]    |0.5583789934962268  |0.48156341792116797 |148       
 [11, 9, 6, 17, 18]  |1.2784656141898385  |0.658797299343079   |663       
 [15, 4, 7, 11, 0]   |0.8082367342111858  |0.633243486811464   |244       
 [8, 6, 4, 2, 7]     |1.3304358422789406  |1.1508566631248498  |145       
 [17, 6, 4, 2, 0]    |1.0617851587947489  |0.8693161626670494  |200       
 [14, 5, 5, 5, 0]    |0.84674429456101    |0.7051416845624764  |183       
 [13, 4, 20, 0, 0]   |0.8271924861898012  |0.6664981875676137  |216       
 [13, 6, 2, 1, 3]    |2.9869996320178864  |2.5709344088565076  |150       
 [14, 8, 6, 3, 0]    |0.882200194582329   |0.6932696357106923  |241       
 [14, 8, 7, 3, 0]    |0.8744195563610984  |0.6789587007529545  |253       
 [16, 6, 9, 2, 0]    |1.255999214989653   |0.9919639064735994  |236       
Result:  [15, 4]
Fold 0
Fold 0 Train time: 18.49719490210215 minutes, MSE: 0.6324169605669873
Fold 1
Fold 1 Train time: 18.51922341585159 minutes, MSE: 0.21418476002800013
Fold 2
Fold 2 Train time: 18.483597826957702 minutes, MSE: 0.29430006007954873
Fold 3
Fold 3 Train time: 17.98495173851649 minutes, MSE: 0.39909521606256343
Fold 4
Fold 4 Train time: 17.96849007209142 minutes, MSE: 0.30411423497717105
Total Time: 147.1449796239535 minutes
CellsPerSensor: 1
 Resulting Network Architecture: [15, 4]
 MSE after 5-Fold CV: 0.3688222463428541
 Weights and Biases: 114
 Objective Function Value: 0.4133583162933003
~/workspace/SolarCellResearch
