/tmp/tmp.iMx0NjYYjD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k28.mat
  Evaluating with: datasets/N1dataset100k28.mat
Gen 0 Train time: 8.857607328891755 minutes:
 Average MSE:        1.6070919071096668
 Average Error:      2.109807568205123
 Structure           |Error               |MSE                 |weights&biases
 [16, 10, 8, 20, 5]  |2.4615513680594767  |1.3549869029950028  |597       
 [3, 0, 0, 0, 0]     |2.6166257422058403  |2.5828297574170698  |13        
 [7, 4, 15, 0, 0]    |0.9221948106048679  |0.798517187826534   |144       
 [13, 8, 9, 3, 19]   |1.3193588818514512  |0.9223282705730653  |358       
 [14, 7, 3, 0, 0]    |0.7800211670120916  |0.6547942449968908  |175       
 [16, 4, 10, 12, 0]  |0.902970129315993   |0.6616187432453535  |311       
 [18, 3, 9, 18, 0]   |0.9246273709764895  |0.6541854108863221  |346       
 [14, 0, 0, 0, 0]    |0.663749697779186   |0.6269740280660413  |57        
 [19, 17, 15, 0, 0]  |1.0864246208246415  |0.5487524446429372  |683       
 [1, 17, 4, 18, 0]   |7.555173277084515   |6.075307048302975   |218       
 [20, 15, 0, 0, 0]   |0.9125730946375852  |0.6172463321482269  |391       
 [7, 11, 15, 6, 0]   |1.4372566580127364  |0.9711602366365065  |392       
 [8, 10, 15, 8, 0]   |1.7326581472895075  |1.1430003952609227  |416       
 [10, 12, 14, 13, 8] |2.3506207792848577  |1.2149214866572966  |660       
 [1, 12, 8, 6, 0]    |9.839908187988607   |8.120943812874543   |192       
 [16, 0, 0, 0, 0]    |0.6516855351899418  |0.6106733113801843  |65        
 [15, 0, 0, 0, 0]    |0.7238672809031137  |0.6810311603871184  |61        
 [5, 8, 19, 0, 0]    |1.7289690954658454  |1.3411471533445674  |254       
 [1, 18, 3, 3, 19]   |7.590870722968782   |6.190069439128322   |204       
 [10, 14, 8, 4, 0]   |1.0799676407148802  |0.7648550642408785  |345       
 [12, 8, 0, 0, 0]    |0.7113051716332119  |0.6128385671470781  |149       
 [17, 3, 0, 0, 0]    |0.8497929210400186  |0.7620351608712609  |109       
 [12, 15, 0, 0, 0]   |0.7919419360460195  |0.6186180731595686  |247       
 [9, 19, 0, 0, 0]    |0.9250957355332956  |0.729892475918013   |237       
 [18, 17, 11, 13, 9] |2.185979232705107   |0.9185709696349823  |867       
Gen 1 Train time: 8.745709784825642 minutes:
 Average MSE:        0.8942764167170374
 Average Error:      1.2224587733261447
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6030597443969739  |0.5651076649470975  |65        
 [14, 0, 0, 0, 0]    |0.6316097234414819  |0.5966147989170537  |57        
 [12, 8, 0, 0, 0]    |0.6008984402239719  |0.5177155372879321  |149       
 [16, 2, 9, 0, 0]    |0.932834950742291   |0.8281781460923954  |119       
 [16, 2, 5, 6, 0]    |0.9764516821650833  |0.8488863113592323  |140       
 [4, 19, 19, 11, 7]  |4.432981199808772   |1.9938597135771405  |799       
 [12, 10, 0, 0, 0]   |0.6792913121837735  |0.5690965291496636  |177       
 [12, 10, 16, 0, 0]  |0.9735490560065855  |0.6799016904975359  |359       
 [18, 3, 9, 18, 0]   |0.8587149857705446  |0.6075515752981422  |346       
 [11, 17, 0, 0, 0]   |0.8478509990683607  |0.6570137269908578  |255       
 [15, 16, 0, 0, 0]   |0.8694291979290715  |0.6325991087422577  |318       
 [15, 2, 5, 6, 0]    |1.107312590110064   |0.9674766291916533  |135       
 [13, 11, 2, 0, 0]   |1.1646396323021349  |0.9346451977745722  |220       
 [12, 13, 2, 0, 0]   |0.9163189614285046  |0.7236910068944102  |236       
 [7, 18, 4, 10, 3]   |4.342858136626677   |3.1284344014521306  |328       
 [19, 17, 13, 7, 5]  |1.985787289329752   |0.914859712453904   |775       
 [12, 8, 13, 9, 0]   |0.912189278103096   |0.6157539859594319  |393       
 [19, 4, 2, 0, 0]    |0.8354775874175676  |0.719102223614664   |150       
 [14, 4, 0, 0, 0]    |0.7059109616706647  |0.6342791219063677  |107       
 [12, 7, 4, 2, 0]    |1.377283175493875   |1.1596437493212188  |172       
 [14, 10, 8, 0, 0]   |0.9601827299303605  |0.7191885841346949  |289       
 [7, 2, 8, 0, 0]     |1.2776801242819555  |1.1913010516971592  |70        
 [15, 6, 0, 0, 0]    |0.6393278474875815  |0.5513762283222129  |148       
 [15, 6, 11, 0, 0]   |0.7437660683209042  |0.5909471336827489  |230       
 [16, 2, 5, 9, 0]    |1.1860636589135662  |1.0096865886614554  |161       
Gen 2 Train time: 8.63797069787979 minutes:
 Average MSE:        0.8926408183391021
 Average Error:      1.200411076603578
 Structure           |Error               |MSE                 |weights&biases
 [12, 8, 0, 0, 0]    |0.744917435114781   |0.6417978552446442  |149       
 [16, 0, 0, 0, 0]    |0.5838502453532946  |0.5471070684054864  |65        
 [14, 0, 0, 0, 0]    |0.7278366051748848  |0.68751014071606    |57        
 [14, 12, 0, 0, 0]   |0.6968638777356984  |0.5509202678970864  |235       
 [12, 11, 1, 0, 0]   |2.0357367037762617  |1.678428216356893   |193       
 [12, 12, 8, 0, 0]   |1.04196230502186    |0.768054770266592   |305       
 [17, 3, 1, 11, 0]   |0.896143977093936   |0.7767364384623549  |143       
 [16, 8, 1, 0, 0]    |3.228740259344455   |2.656719387249395   |195       
 [13, 6, 0, 0, 0]    |0.7419790987735837  |0.6515284564716397  |130       
 [14, 8, 0, 0, 0]    |0.724607089727095   |0.6107144875124815  |171       
 [19, 4, 2, 0, 0]    |0.8416144331369093  |0.7243842556753913  |150       
 [14, 2, 14, 9, 17]  |1.1675617482911418  |0.7542115338039201  |437       
 [17, 10, 5, 9, 0]   |1.2086509781383135  |0.8517219489209426  |350       
