/tmp/tmp.v5mXcIB2LQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k30.mat
  Evaluating with: datasets/N1dataset100k30.mat
Gen 0 Train time: 8.352920786539714 minutes:
 Average MSE:        1.7930490356600013
 Average Error:      2.3621152452217387
 Structure           |Error               |MSE                 |weights&biases
 [8, 20, 9, 0, 0]    |1.0917981412856834  |0.7296619078401961  |403       
 [1, 5, 17, 5, 0]    |7.839419843620639   |6.348158888758464   |211       
 [12, 0, 0, 0, 0]    |0.6947473462368664  |0.6615253129948578  |49        
 [12, 15, 2, 15, 17] |2.008321238066468   |1.104396650445021   |598       
 [11, 11, 11, 4, 0]  |1.2574848794057834  |0.8861346175186281  |350       
 [8, 10, 0, 0, 0]    |0.8778362680730734  |0.7746877875509078  |125       
 [15, 1, 0, 0, 0]    |1.0419814193066967  |0.9783616533633632  |63        
 [18, 6, 9, 0, 0]    |0.933000934274719   |0.7331909716122911  |241       
 [3, 15, 3, 0, 0]    |2.9554427008974082  |2.6186225986259934  |121       
 [17, 9, 2, 2, 1]    |4.271044774493305   |3.3463107661985205  |244       
 [14, 13, 5, 7, 0]   |1.2526939031207505  |0.8766007414837264  |357       
 [4, 2, 9, 15, 14]   |4.686209628982644   |3.0241318974566163  |438       
 [15, 0, 0, 0, 0]    |0.6828856163196358  |0.642474657942277   |61        
 [8, 8, 11, 3, 0]    |1.670697644384902   |1.320804856194099   |235       
 [2, 14, 16, 17, 0]  |5.994371743496017   |3.3062710596082794  |595       
 [16, 8, 12, 6, 0]   |1.0950192618438856  |0.7510913129244761  |377       
 [4, 0, 0, 0, 0]     |1.777355261184547   |1.7473956003862177  |17        
 [2, 12, 9, 15, 0]   |6.405993264354166   |4.628505360742754   |325       
 [6, 12, 0, 0, 0]    |1.0198884025835688  |0.9090939926262138  |115       
 [2, 17, 0, 0, 0]    |2.882390862049617   |2.6741193473194746  |75        
 [3, 0, 0, 0, 0]     |2.980096890403648   |2.9416063613407335  |13        
 [20, 20, 9, 5, 0]   |1.4987462638496156  |0.7258796382124251  |725       
 [16, 15, 10, 0, 0]  |0.8641957285718621  |0.5379681086740002  |474       
 [16, 11, 0, 0, 0]   |0.7657745038444163  |0.598177627021673   |247       
 [4, 9, 17, 0, 0]    |2.5054846098935384  |1.961054174658829   |245       
Gen 1 Train time: 8.641267693042755 minutes:
 Average MSE:        0.9410931631795107
 Average Error:      1.3420500601882037
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6258301318653792  |0.5887955322110334  |61        
 [12, 0, 0, 0, 0]    |0.7689119929730508  |0.7321434901078084  |49        
 [16, 11, 0, 0, 0]   |0.7800479223448192  |0.6093271750481414  |247       
 [14, 12, 11, 3, 0]  |1.2887549178621687  |0.8595696450938843  |405       
 [14, 0, 0, 0, 0]    |0.7135433848883462  |0.6740088496012463  |57        
 [12, 6, 12, 0, 0]   |0.9099715390270667  |0.7368713539041619  |211       
 [12, 10, 5, 0, 0]   |0.844852613789525   |0.6732806059010175  |227       
 [17, 10, 6, 3, 0]   |1.3883625249032934  |1.0061438093192714  |322       
 [8, 20, 2, 12, 8]   |1.6496803661128108  |1.1113567337909647  |395       
 [10, 20, 1, 8, 9]   |2.1770154245448654  |1.4917573693182005  |378       
 [15, 2, 9, 5, 17]   |1.4180725528221187  |1.0782060469577384  |274       
 [16, 11, 16, 8, 0]  |1.2640513113519585  |0.713424894799943   |572       
 [13, 15, 18, 10, 9] |2.1677476694617317  |0.9395903356778001  |836       
 [18, 18, 10, 3, 3]  |4.724573459572195   |2.503719143390615   |635       
 [12, 6, 6, 2, 0]    |1.2160287159365093  |1.0228474937054053  |173       
 [16, 6, 4, 0, 0]    |1.0050963426527086  |0.8370122276089915  |183       
 [12, 11, 19, 0, 0]  |1.1743094106756486  |0.7661940895040861  |427       
 [17, 3, 5, 0, 0]    |0.7576736656169579  |0.6646448066672115  |131       
 [11, 12, 3, 4, 0]   |1.165030609817351   |0.9191990014197332  |237       
 [12, 18, 10, 0, 0]  |1.046706897215541   |0.6535403177899615  |471       
 [9, 6, 0, 0, 0]     |0.7749622847275024  |0.7054348091741667  |94        
 [16, 15, 10, 4, 0]  |1.5657328456039135  |0.9383370992618341  |512       
 [5, 14, 2, 18, 0]   |1.7753035337551641  |1.450591512989274   |202       
