/tmp/tmp.Xo0Vjb18Qu ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k32.mat
  Evaluating with: datasets/N1dataset100k32.mat
Gen 0 Train time: 8.496092891693115 minutes:
 Average MSE:        1.8644853415097031
 Average Error:      2.7276648910333985
 Structure           |Error               |MSE                 |weights&biases
 [14, 10, 2, 11, 0]  |1.0689033164329793  |0.8250041890307424  |259       
 [8, 0, 0, 0, 0]     |1.1384174904163844  |1.101462818888429   |33        
 [17, 1, 4, 7, 0]    |1.644285881429279   |1.4583507520451122  |120       
 [20, 2, 19, 15, 8]  |1.7981818317860843  |0.9908184709914423  |596       
 [19, 10, 0, 0, 0]   |0.8022857411813673  |0.6136746060975062  |268       
 [20, 11, 6, 4, 0]   |1.2869704257360772  |0.8661397139937689  |396       
 [5, 4, 17, 18, 13]  |6.579068927317151   |3.2377972416937846  |709       
 [16, 19, 19, 0, 0]  |1.4218246652682     |0.657665406517555   |771       
 [17, 0, 0, 0, 0]    |0.5859198754369511  |0.5468546521334032  |69        
 [2, 10, 0, 0, 0]    |2.139208353194895   |2.040991730603301   |47        
 [1, 1, 0, 0, 0]     |6.8576191912536     |6.809783477242869   |7         
 [20, 11, 0, 0, 0]   |0.8141738256889461  |0.6013480519423544  |303       
 [16, 16, 8, 0, 0]   |1.008976769480403   |0.6337737292314769  |465       
 [5, 1, 1, 14, 2]    |8.951782823857153   |8.230548926029744   |84        
 [4, 3, 13, 9, 10]   |2.4228564346930335  |1.7664063801123924  |316       
 [19, 1, 9, 3, 0]    |1.7041959939641744  |1.497943910881587   |129       
 [11, 7, 13, 11, 6]  |1.8898992482815475  |1.2002423801580702  |454       
 [1, 18, 20, 15, 1]  |17.465317447510962  |8.23354822068688    |752       
 [16, 3, 0, 0, 0]    |0.652524532450026   |0.5886599815815835  |103       
 [15, 0, 0, 0, 0]    |0.5950361848610124  |0.5598238712248944  |61        
 [17, 18, 20, 12, 9] |3.3669332044697944  |1.0832895610686726  |1134      
 [18, 6, 4, 12, 11]  |1.168843535921363   |0.774927989401849   |411       
 [20, 0, 0, 0, 0]    |0.6215574617129517  |0.5731963700620075  |81        
 [20, 10, 18, 0, 0]  |0.9259373116236055  |0.5689579525660848  |487       
 [5, 13, 0, 0, 0]    |1.2809018018670242  |1.1509231535570628  |107       
Gen 1 Train time: 8.072872404257456 minutes:
 Average MSE:        0.8825142135996132
 Average Error:      1.1919267161515537
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6565875762463488  |0.6128107027185979  |69        
 [15, 0, 0, 0, 0]    |0.8288986676985546  |0.7798471299901722  |61        
 [20, 0, 0, 0, 0]    |0.6196902509804996  |0.5714744401039425  |81        
 [9, 1, 18, 0, 0]    |1.3191069884315758  |1.2031642769493565  |92        
 [19, 0, 0, 0, 0]    |0.6969978438192035  |0.6453432315778052  |77        
 [19, 13, 18, 20, 18]|3.0560550079504325  |0.7954278532756144  |1346      
 [16, 2, 0, 0, 0]    |0.8709916350457682  |0.8000165164004489  |85        
 [17, 5, 2, 13, 6]   |1.3097985796924079  |0.9869591479087821  |283       
 [20, 11, 3, 2, 0]   |1.2962259457731997  |0.9244622365769404  |338       
 [13, 0, 0, 0, 0]    |0.6953648216644126  |0.6594700982498466  |53        
 [20, 11, 9, 0, 0]   |0.7855961043801126  |0.5218826729965986  |409       
 [3, 6, 0, 0, 0]     |1.8619993094344076  |1.7889892722134977  |40        
 [11, 15, 4, 0, 0]   |1.4077712402621307  |1.0618448003722336  |282       
 [18, 9, 14, 8, 4]   |4.349699201254624   |2.5705160941035463  |526       
 [16, 2, 12, 0, 0]   |0.8000601900220077  |0.7018270192699809  |131       
 [13, 5, 0, 0, 0]    |0.6441232713859052  |0.5741496766159078  |115       
 [17, 5, 0, 0, 0]    |0.7192247159975447  |0.6209023657296431  |147       
 [11, 7, 0, 0, 0]    |0.9775210097809678  |0.8626592633430701  |125       
 [20, 11, 0, 0, 0]   |0.8734887003460682  |0.6451579647654332  |303       
 [12, 0, 0, 0, 0]    |0.7172683987811757  |0.6829694342484975  |49        
 [17, 7, 2, 6, 6]    |1.3915297008192877  |1.072941182509474   |260       
 [16, 0, 0, 0, 0]    |0.7175430355238921  |0.6723862321624956  |65        
 [18, 15, 10, 0, 0]  |1.0693997511949034  |0.6421698225754767  |510       
 [17, 10, 1, 6, 0]   |1.242895513355029   |0.9573786990125676  |261       
 [11, 15, 0, 0, 0]   |0.8903304439483744  |0.7081052063203999  |229       
Increasing Epochs
Gen 2 Train time: 9.319148755073547 minutes:
 Average MSE:        1.0242076560292626
 Average Error:      1.2395600496022652
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.5626462601698017  |0.5188688316434927  |81        
 [13, 5, 0, 0, 0]    |0.6278307699826036  |0.5596270924654502  |115       
 [17, 0, 0, 0, 0]    |0.6986320554417806  |0.6520519369016874  |69        
 [20, 10, 0, 0, 0]   |0.7610588020800301  |0.5746209605370461  |281       
 [15, 8, 0, 0, 0]    |0.5778399032643543  |0.48168811790686455 |182       
 [18, 7, 5, 0, 0]    |0.8896858397308194  |0.7047678172567486  |233       
 [14, 2, 0, 0, 0]    |0.628993585112158   |0.5835447015302488  |75        
 [17, 6, 1, 3, 3]    |3.6743949548852872  |3.044657699799511   |188       
 [10, 1, 0, 0, 0]    |1.7760987922881453  |1.7013452630171115  |43        
 [9, 1, 9, 0, 0]     |1.2153897517896688  |1.1389021917244369  |65        
 [20, 9, 14, 17, 11] |1.5194707517997457  |0.6468518986620724  |854       
 [18, 13, 6, 3, 0]   |1.078720577891489   |0.7158931813448817  |410       
 [5, 5, 7, 0, 0]     |1.7299616685510493  |1.5731803190478257  |95        
 [16, 0, 0, 0, 0]    |0.5886574790027437  |0.5516117706472381  |65        
 [12, 1, 9, 0, 0]    |0.8966553451758661  |0.8302040862803641  |77        
 [7, 3, 16, 5, 8]    |1.6950860157153473  |1.3188148419432786  |251       
 [18, 3, 0, 0, 0]    |0.661091675199413   |0.5892747372914082  |115       
 [16, 10, 5, 0, 0]   |0.6779915070267013  |0.5129276291066047  |279       
 [16, 4, 0, 0, 0]    |0.6517550771413716  |0.5774771316843296  |121       
 [1, 11, 0, 0, 0]    |4.937590539200501   |4.758238168752787   |37        
 [20, 6, 0, 0, 0]    |0.6240719457838073  |0.5145360698646679  |193       
 [17, 4, 0, 0, 0]    |0.7838536303001427  |0.6896762653743769  |128       
 [14, 3, 0, 0, 0]    |0.6231329031250674  |0.5689313767972629  |91        
 [12, 7, 13, 19, 5]  |1.8355507972596035  |1.0043540499117927  |603       
 [12, 17, 7, 3, 13]  |1.272840612139133   |0.7931452612400716  |473       
Gen 3 Train time: 9.120167779922486 minutes:
 Average MSE:        0.7650993558834375
 Average Error:      0.9095348871555139
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.6255091567694611  |0.5768405983136333  |81        
 [15, 8, 0, 0, 0]    |0.7266780774496889  |0.6057598194127902  |182       
 [16, 0, 0, 0, 0]    |0.6515719975316667  |0.6105669189347467  |65        
 [15, 7, 9, 10, 3]   |1.8157375178503257  |1.2592190548908497  |366       
 [14, 1, 5, 0, 0]    |1.2648855094225686  |1.1758386194468176  |73        
 [16, 1, 0, 0, 0]    |2.1204933783434554  |1.9830752318932092  |67        
 [15, 2, 5, 0, 0]    |0.7229274132397613  |0.6554413467074873  |98        
 [16, 6, 3, 0, 0]    |0.7391289959664     |0.6204670249180897  |175       
 [15, 5, 0, 0, 0]    |0.5773168546721248  |0.5064326063739188  |131       
 [12, 2, 0, 0, 0]    |0.9201998256051779  |0.862289316380173   |65        
 [19, 7, 0, 0, 0]    |0.5714919613416186  |0.4655643926576455  |205       
 [18, 8, 3, 0, 0]    |0.8115015867283478  |0.6402676821411332  |237       
 [15, 1, 5, 0, 0]    |1.1001842901457595  |1.0186494713432233  |77        
 [12, 2, 5, 0, 0]    |0.7493411189498075  |0.6896569584846672  |83        
 [19, 7, 3, 0, 0]    |0.9086257141359739  |0.7255523695193965  |225       
 [19, 0, 0, 0, 0]    |0.604583753165983   |0.5597779627117175  |77        
 [15, 2, 0, 0, 0]    |0.6928732907597185  |0.6396026606749965  |80        
 [16, 9, 3, 0, 0]    |0.8030197824316467  |0.6348440316656694  |235       
 [16, 6, 0, 0, 0]    |0.5922824343393199  |0.5062262005962358  |157       
 [20, 3, 0, 0, 0]    |0.6231363460891584  |0.5488171626198775  |127       
 [14, 4, 0, 0, 0]    |0.7300856640145906  |0.656000712599284   |107       
 [17, 20, 9, 0, 0]   |1.1121775181305766  |0.6043026210413691  |610       
 [18, 4, 12, 0, 0]   |0.8262201575941919  |0.6744255372713772  |203       
 [8, 7, 5, 10, 13]   |1.6087791933606894  |1.1405101090175502  |344       
 [17, 2, 0, 0, 0]    |0.8396206408498325  |0.7673554874700755  |90        
Increasing Epochs
Gen 4 Train time: 10.36861420472463 minutes:
 Average MSE:        0.7409350350155229
 Average Error:      0.849196514676154
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 0, 0, 0]    |0.5663872212321994  |0.46140582982652945 |205       
 [15, 5, 0, 0, 0]    |0.5606984809194345  |0.4918546735365853  |131       
 [16, 6, 0, 0, 0]    |0.5547674508533288  |0.4741619919442807  |157       
 [16, 1, 0, 0, 0]    |1.2676893916358225  |1.1855370358433588  |67        
 [20, 2, 0, 0, 0]    |0.9445977210681296  |0.8504444922567382  |105       
 [18, 2, 0, 0, 0]    |0.8325129776538144  |0.7570647694719345  |95        
 [17, 4, 0, 0, 0]    |0.5658805531124419  |0.49789191684822215 |128       
 [18, 3, 6, 0, 0]    |0.5572399886637117  |0.483473259128606   |142       
 [17, 3, 9, 0, 0]    |0.7208320844060229  |0.6198058088962369  |151       
 [17, 6, 6, 0, 0]    |0.6182261305348516  |0.5021276134996002  |208       
 [17, 3, 12, 0, 0]   |1.4281244655934493  |1.20968745053468    |166       
 [13, 8, 4, 5, 7]    |1.4797117947317104  |1.1386545379561728  |262       
 [12, 15, 3, 5, 7]   |0.9459223616183604  |0.667247135654323   |349       
 [18, 3, 0, 0, 0]    |0.6365858034372267  |0.5674310328756729  |115       
 [16, 1, 3, 0, 0]    |1.4859979058893538  |1.3786248778867178  |75        
 [18, 4, 0, 0, 0]    |0.6795250858199485  |0.5937118798720661  |135       
 [15, 2, 3, 0, 0]    |0.8520293782470175  |0.7786962195472042  |90        
 [16, 3, 0, 0, 0]    |0.5727677852265197  |0.5167092685941115  |103       
 [16, 4, 2, 0, 0]    |0.7883048278009915  |0.6928994205509657  |129       
 [20, 3, 0, 0, 0]    |0.7487924606463359  |0.6594867338781095  |127       
 [17, 1, 3, 0, 0]    |1.5084089484506804  |1.3938300907586594  |79        
 [13, 3, 3, 0, 0]    |0.6833663874445441  |0.620193269314893   |97        
 [13, 3, 0, 0, 0]    |0.685762662352506   |0.6298814295546256  |85        
 [18, 5, 0, 0, 0]    |0.5759629983332665  |0.4932634534415786  |155       
 [14, 4, 3, 0, 0]    |0.9698180012321859  |0.8592916837162019  |121       
Gen 5 Train time: 11.04099662701289 minutes:
 Average MSE:        0.8575169840964211
 Average Error:      1.2239692378095581
