/tmp/tmp.IsR18hsn7W ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k35.mat
  Evaluating with: datasets/N1dataset100k35.mat
Gen 0 Train time: 8.425350685914358 minutes:
 Average MSE:        1.3451136781387132
 Average Error:      1.7504225498519468
 Structure           |Error               |MSE                 |weights&biases
 [7, 4, 0, 0, 0]     |1.0831101810451547  |1.0220768654115215  |58        
 [2, 7, 6, 2, 0]     |3.4602756162448043  |3.156135208422197   |92        
 [4, 18, 0, 0, 0]    |1.4433183653873292  |1.278829086237252   |121       
 [4, 3, 8, 0, 0]     |2.118262053188618   |1.979008508972639   |68        
 [7, 17, 3, 0, 0]    |1.0474784335647334  |0.8448347643619905  |215       
 [16, 3, 2, 0, 0]    |0.8550141031612999  |0.7659508197718397  |110       
 [16, 8, 0, 0, 0]    |0.588006519198968   |0.48480077575583047 |193       
 [10, 0, 0, 0, 0]    |0.6806662418711512  |0.6533232867200252  |41        
 [6, 16, 1, 3, 13]   |2.760380558164673   |2.217473652742712   |219       
 [18, 15, 17, 4, 0]  |1.6006225018205977  |0.8044412171457601  |688       
 [5, 4, 8, 3, 0]     |2.636227860432942   |2.3616229057955613  |110       
 [11, 0, 0, 0, 0]    |0.7820650471354497  |0.7476522156911745  |45        
 [14, 17, 2, 0, 0]   |1.0326865549723692  |0.737981673248839   |336       
 [6, 19, 17, 9, 0]   |2.348056164163579   |1.209960629748418   |663       
 [13, 16, 18, 0, 0]  |1.1005089653768285  |0.6112634517946152  |588       
 [18, 0, 0, 0, 0]    |0.755441771862183   |0.7022592981592408  |73        
 [5, 6, 0, 0, 0]     |1.0981678490299678  |1.0362860330139112  |58        
 [10, 10, 6, 15, 0]  |1.3517317495230805  |0.9747117895140069  |327       
 [14, 9, 0, 0, 0]    |0.6852643873777144  |0.5683882538784263  |187       
 [5, 15, 13, 3, 3]   |6.7066580219641985  |4.6278887361630465  |371       
 [11, 2, 16, 7, 0]   |1.2053648579078022  |0.9557893912481035  |232       
 [10, 3, 12, 0, 0]   |1.0399417299829294  |0.9186635599596528  |124       
