/tmp/tmp.lLEWMew7qe ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k36.mat
  Evaluating with: datasets/N1dataset100k36.mat
Gen 0 Train time: 8.893496882915496 minutes:
 Average MSE:        1.0915994325689848
 Average Error:      1.5892721087872872
 Structure           |Error               |MSE                 |weights&biases
 [7, 0, 0, 0, 0]     |1.0287026943403237  |0.9992987343233478  |29        
 [9, 14, 13, 7, 3]   |2.7891940099815704  |1.7121547565010027  |488       
 [16, 17, 10, 4, 0]  |1.312562868498268   |0.7452627890235143  |566       
 [10, 16, 1, 20, 0]  |1.7020704192869334  |1.2812618385802934  |284       
 [12, 13, 6, 0, 0]   |0.9341067338032883  |0.6947768450318784  |296       
 [6, 14, 0, 0, 0]    |1.4383013603074963  |1.2617035181925522  |131       
 [16, 15, 7, 0, 0]   |0.8565862549816263  |0.5611313530557249  |423       
 [9, 20, 20, 7, 0]   |1.8717565833140566  |0.8393540587148494  |802       
 [15, 19, 16, 5, 0]  |1.4445091582230614  |0.6755484368092708  |760       
 [12, 14, 0, 0, 0]   |0.6681080932115939  |0.5292442135380796  |233       
 [16, 18, 0, 0, 0]   |0.845074501915182   |0.5819734286319088  |373       
 [11, 18, 1, 0, 0]   |1.487621404856254   |1.1356196758038464  |270       
 [12, 15, 13, 0, 0]  |1.0597881804149876  |0.6737265640927494  |453       
 [11, 7, 12, 20, 18] |2.7503727734633197  |1.1522729344509834  |870       
 [8, 17, 6, 3, 18]   |1.7252917763497797  |1.1599723653841656  |397       
 [11, 0, 0, 0, 0]    |0.7266642140140461  |0.6946891587356568  |45        
 [12, 9, 0, 0, 0]    |0.711175132779354   |0.6042081262289154  |163       
 [5, 18, 0, 0, 0]    |1.193571253911371   |1.0355677910240515  |142       
 [15, 12, 3, 0, 0]   |0.9232997925019992  |0.697814971662456   |280       
 [6, 6, 12, 0, 0]    |0.9675992849607528  |0.8270110361650452  |157       
