/tmp/tmp.o049hNzo3o ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k37.mat
  Evaluating with: datasets/N1dataset100k37.mat
Gen 0 Train time: 8.625524099667867 minutes:
 Average MSE:        1.7807683185574594
 Average Error:      2.4503636159546747
 Structure           |Error               |MSE                 |weights&biases
 [17, 20, 13, 0, 0]  |1.1640002937151208  |0.5791826471687138  |698       
 [10, 9, 14, 12, 0]  |1.9235259224161616  |1.2118643025795552  |462       
 [18, 3, 18, 17, 16] |1.8471220075097485  |0.8208858279309302  |811       
 [5, 20, 9, 0, 0]    |2.1231645933689376  |1.5203000373727211  |334       
 [13, 16, 6, 3, 15]  |2.0510096216546843  |1.2921818810782602  |462       
 [11, 0, 0, 0, 0]    |0.763566180789204   |0.7299673460473965  |45        
 [6, 20, 4, 0, 0]    |1.4332757133856209  |1.1195899847757222  |247       
 [17, 0, 0, 0, 0]    |0.7077686794810337  |0.6605793918833662  |69        
 [15, 6, 1, 0, 0]    |1.2264969511365509  |1.0556557089042438  |150       
 [4, 18, 0, 0, 0]    |1.5838090401273244  |1.4033085950630049  |121       
 [3, 4, 18, 15, 1]   |12.970787650778002  |8.539476662191435   |418       
 [12, 13, 9, 0, 0]   |0.9394279121337024  |0.6679885855404174  |341       
 [11, 14, 14, 0, 0]  |1.0478683156845645  |0.6843799213640561  |426       
 [10, 0, 0, 0, 0]    |0.7554431927588895  |0.7250963824307523  |41        
 [14, 12, 15, 9, 0]  |1.253819387313586   |0.7083580467166714  |571       
 [16, 0, 0, 0, 0]    |0.6720917933334407  |0.6297953519357373  |65        
 [12, 13, 14, 0, 0]  |1.134488391401881   |0.7483996089013922  |416       
 [1, 19, 9, 0, 0]    |9.073850125179295   |7.202272953243634   |231       
 [14, 17, 11, 15, 0] |1.5455319419198528  |0.7744270216798929  |691       
 [8, 3, 16, 1, 3]    |8.48706724190963    |7.363559944306074   |142       
 [3, 12, 4, 4, 0]    |2.9078723988070783  |2.543196309130934   |134       
 [20, 18, 5, 13, 0]  |1.3151541253793773  |0.7039512758732087  |625       
 [9, 11, 1, 17, 0]   |1.640955589283449   |1.342157976102722   |201       
