/tmp/tmp.qXPhGfEODP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k38.mat
  Evaluating with: datasets/N1dataset100k38.mat
Gen 0 Train time: 8.466734687487284 minutes:
 Average MSE:        1.4730869281092842
 Average Error:      1.8603650470912647
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 0, 0, 0]    |1.00759330295946    |0.9208709416450909  |90        
 [12, 14, 13, 4, 0]  |1.4778124303885052  |0.9199489558515243  |474       
 [5, 18, 18, 8, 0]   |2.350299858212725   |1.2567674634981798  |626       
 [18, 19, 0, 0, 0]   |0.786432640956509   |0.5090300615280143  |435       
 [4, 19, 8, 3, 11]   |3.404366360262644   |2.399016427116132   |350       
 [1, 16, 0, 0, 0]    |5.057613300065279   |4.801338303080499   |52        
 [14, 4, 0, 0, 0]    |0.7166243729064253  |0.6439053969470014  |107       
 [7, 5, 15, 11, 0]   |1.6638314107531251  |1.1854506784049115  |339       
 [4, 0, 0, 0, 0]     |2.461168365902046   |2.419682135759817   |17        
 [6, 3, 16, 2, 7]    |3.536946836821905   |2.9959574986581035  |166       
 [16, 0, 0, 0, 0]    |0.6371661488820933  |0.5970676668828921  |65        
 [17, 2, 2, 11, 19]  |1.2024419679889882  |0.8272523117906246  |374       
 [9, 9, 16, 11, 0]   |1.3481119668824564  |0.8375327350048696  |476       
 [6, 19, 2, 0, 0]    |1.3385791336932842  |1.1025312839554575  |194       
 [3, 16, 6, 6, 0]    |5.445691019478634   |4.352823248968609   |224       
 [4, 9, 0, 0, 0]     |1.9768255483262671  |1.848717766674667   |67        
 [10, 19, 5, 0, 0]   |0.8804394774244845  |0.6235451579085735  |345       
 [5, 1, 0, 0, 0]     |1.8325768031620528  |1.7909085583634394  |23        
 [5, 7, 0, 0, 0]     |0.9837061963969745  |0.9217990701663468  |65        
 [18, 18, 6, 6, 11]  |1.4979527488747097  |0.7890696717179952  |641       
 [12, 12, 8, 1, 0]   |2.0312322385437147  |1.4942772168668692  |307       
 [5, 11, 12, 15, 0]  |1.965700259903637   |1.2710566319295924  |436       
 [19, 7, 0, 0, 0]    |0.8632151893384629  |0.7032159374801499  |205       
 [16, 0, 0, 0, 0]    |0.6592127507188461  |0.6177268201421497  |65        
 [20, 12, 1, 0, 0]   |1.3835858484383852  |0.9976812623905946  |327       
Gen 1 Train time: 8.792161456743877 minutes:
 Average MSE:        1.0981973320736893
 Average Error:      1.615319797004504
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7575111746632864  |0.709839074921763   |65        
 [16, 0, 0, 0, 0]    |0.8413924650016676  |0.7884415028839734  |65        
 [14, 4, 0, 0, 0]    |0.7495377020236257  |0.6734788681423853  |107       
 [15, 16, 10, 5, 6]  |2.2168978388342278  |1.2549664620467067  |569       
 [12, 12, 8, 0, 0]   |0.8022443576615554  |0.5913530680061296  |305       
 [6, 8, 14, 13, 0]   |1.5166790676359927  |1.00755149049578    |409       
 [17, 1, 0, 0, 0]    |1.453752031959867   |1.3541146183736692  |71        
 [4, 16, 15, 2, 18]  |3.422726742090682   |2.178066434158968   |452       
 [14, 8, 6, 18, 20]  |2.276187910058425   |1.0827478055717532  |743       
 [17, 10, 14, 11, 0] |1.0562513075352107  |0.6021348458017313  |562       
 [8, 15, 12, 17, 12] |2.7711964419701305  |1.2439342701910685  |801       
 [13, 10, 3, 0, 0]   |1.1360561332540298  |0.9153605314726537  |216       
 [17, 10, 0, 0, 0]   |0.7723607769388765  |0.6063465992345956  |242       
 [13, 10, 3, 13, 0]  |1.1187589601861385  |0.8472326045896459  |278       
 [4, 7, 20, 2, 16]   |2.563093705011805   |1.8723887224667632  |314       
 [13, 8, 8, 6, 0]    |1.109041648830586   |0.8348495608296279  |284       
 [3, 7, 7, 8, 0]     |1.7921313984300824  |1.5180181522127838  |166       
 [9, 3, 18, 18, 16]  |2.482467479926884   |1.124403887140512   |792       
 [11, 18, 3, 3, 0]   |1.1946229222471336  |0.865741069879118   |322       
 [10, 0, 0, 0, 0]    |0.7751771081117165  |0.7440375692343197  |41        
 [19, 13, 0, 0, 0]   |0.7136529706602178  |0.5125492524293269  |331       
 [17, 9, 6, 3, 6]    |1.1545164677435784  |0.8341697281749605  |325       
 [17, 6, 0, 0, 0]    |0.5795604218545574  |0.4909144728171226  |166       
 [13, 10, 3, 1, 0]   |3.7972176703343212  |3.053439336261651   |218       
 [5, 17, 6, 14, 20]  |3.329960222147999   |1.7488533745052244  |644       
Gen 2 Train time: 8.274887291590373 minutes:
 Average MSE:        1.0622942868069751
 Average Error:      1.3093299168378218
 Structure           |Error               |MSE                 |weights&biases
 [17, 6, 0, 0, 0]    |0.6439309014609731  |0.5454392451607026  |166       
 [19, 13, 0, 0, 0]   |0.7628346120417827  |0.5478717614914664  |331       
 [14, 4, 0, 0, 0]    |0.7166184314034115  |0.6439000583540074  |107       
 [18, 7, 0, 0, 0]    |0.6439500751862051  |0.5298644399209884  |195       
 [16, 13, 5, 8, 3]   |4.106117871935086   |2.7033129123421924  |418       
 [16, 7, 0, 0, 0]    |0.6143498861030384  |0.5157203250979585  |175       
 [17, 5, 3, 2, 3]    |1.6535164610410953  |1.381133043985814   |180       
 [16, 13, 1, 0, 0]   |1.4903205139835487  |1.1207422700202174  |285       
 [16, 12, 2, 0, 0]   |1.1023003686810053  |0.8322680125644389  |281       
 [17, 3, 0, 0, 0]    |0.6651538435393984  |0.5964636838176407  |109       
 [8, 5, 3, 2, 3]     |2.049195973477231   |1.8394148562872918  |108       
 [11, 12, 2, 0, 0]   |0.9685097151646095  |0.7882052409023095  |206       
 [7, 4, 4, 4, 0]     |0.901549811837543   |0.817389148582062   |98        
 [14, 7, 2, 0, 0]    |0.9033392362609476  |0.765170098270364   |166       
 [14, 6, 4, 10, 0]   |1.1139461333791725  |0.8930691960748494  |221       
 [5, 4, 10, 1, 8]    |4.933655951097166   |4.3539360952613055  |125       
 [4, 7, 0, 0, 0]     |1.2077893863079012  |1.1431547159962814  |55        
 [14, 3, 0, 0, 0]    |0.6673314099662165  |0.6092853963385345  |91        
 [16, 5, 0, 0, 0]    |0.6899446838172258  |0.6004092019435161  |139       
 [17, 6, 7, 6, 0]    |0.9961069262841273  |0.7657491284364482  |263       
 [18, 12, 7, 6, 0]   |1.2342448465623836  |0.8044948796458711  |428       
 [18, 7, 1, 0, 0]    |1.2489402788003556  |1.0256180585177517  |197       
