/tmp/tmp.kREpHPi1ef ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k40.mat
  Evaluating with: datasets/N1dataset100k40.mat
Gen 0 Train time: 8.251583182811737 minutes:
 Average MSE:        1.432428525361525
 Average Error:      1.7579108418907645
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7393579365060662  |0.6956051291777425  |61        
 [1, 0, 0, 0, 0]     |5.809430697329571   |5.78045604084797    |5         
 [14, 3, 9, 12, 18]  |1.8095261022570372  |1.101931984794688   |496       
 [14, 5, 0, 0, 0]    |0.7070926414438984  |0.6252563288929869  |123       
 [1, 0, 0, 0, 0]     |6.584901722366206   |6.552059388011763   |5         
 [4, 6, 0, 0, 0]     |2.0510354466397427  |1.9529572486331077  |49        
 [14, 9, 13, 0, 0]   |1.034926022150915   |0.7507593995230115  |321       
 [8, 17, 0, 0, 0]    |1.1906563107176056  |0.9797132782915614  |195       
 [20, 19, 2, 15, 0]  |1.5909478428897434  |0.9087638279693417  |560       
 [9, 17, 0, 0, 0]    |0.9285680332323247  |0.7489285988258272  |215       
 [13, 17, 0, 0, 0]   |0.8567408404996704  |0.6378706180240971  |295       
 [12, 10, 18, 16, 0] |2.0272561516239063  |1.0219200188790722  |685       
 [12, 17, 10, 0, 0]  |1.0015531268900564  |0.6398969840768691  |448       
 [14, 17, 0, 0, 0]   |0.7945260456385208  |0.5798362684239813  |315       
 [18, 9, 5, 0, 0]    |0.7602395707172683  |0.5740024176448469  |281       
 [16, 13, 1, 13, 0]  |1.6609580303200324  |1.2024901871541345  |323       
 [7, 12, 11, 1, 3]   |4.769151143755405   |3.5972452052955846  |282       
 [12, 2, 18, 16, 0]  |1.6671310487885307  |1.0769190299350229  |437       
 [13, 2, 0, 0, 0]    |0.8591377312008773  |0.8010547110197157  |70        
 [15, 0, 0, 0, 0]    |0.5829102902974203  |0.5484155478163933  |61        
 [20, 2, 15, 14, 0]  |1.0432409130920206  |0.709164423903781   |386       
 [8, 16, 2, 1, 0]    |2.3384768638747655  |1.9012276413714946  |207       
 [8, 7, 17, 9, 0]    |1.5625218099646212  |1.0526397542641777  |395       
 [12, 8, 3, 5, 0]    |0.9469293893999816  |0.7807262123428371  |193       
 [16, 0, 0, 0, 0]    |0.6305553356729252  |0.5908728889181152  |65        
Gen 1 Train time: 8.20787535905838 minutes:
 Average MSE:        1.1989434723764163
 Average Error:      1.5445442484982288
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7621427366703125  |0.7170415986859178  |61        
 [16, 0, 0, 0, 0]    |0.645956035620855   |0.6053043837525582  |65        
 [14, 5, 0, 0, 0]    |0.5968007993561776  |0.5277292606579191  |123       
 [16, 20, 0, 0, 0]   |0.9176605143409146  |0.6096149401167953  |409       
 [12, 11, 0, 0, 0]   |0.8500279981287272  |0.7022358300950636  |191       
 [17, 18, 1, 8, 11]  |2.0921676055931977  |1.2425934164024959  |521       
 [14, 9, 0, 0, 0]    |0.6756961996264956  |0.5604519804796183  |187       
 [13, 17, 5, 0, 0]   |1.363215021570599   |0.9387987902462948  |373       
 [11, 10, 9, 8, 0]   |1.2063776515288793  |0.8578055757807375  |341       
 [17, 18, 1, 15, 0]  |1.6387018764575854  |1.0553836917359714  |440       
 [1, 9, 6, 13, 15]   |8.971663039296907   |6.0259253884744695  |398       
 [14, 4, 2, 3, 0]    |1.0683722339879473  |0.9428351873017482  |125       
 [14, 17, 8, 0, 0]   |0.9042985239446353  |0.5766061963371156  |450       
 [14, 1, 0, 0, 0]    |1.3226652352991057  |1.2468854706452352  |59        
 [13, 9, 0, 0, 0]    |0.7976984947530568  |0.6696336018774822  |175       
 [12, 8, 1, 1, 0]    |2.3372733907242105  |2.00568376457934    |153       
 [2, 4, 2, 3, 0]     |3.073714175261969   |2.9502404025499125  |41        
 [8, 0, 0, 0, 0]     |0.8786666032577626  |0.850143819675003   |33        
 [12, 9, 0, 0, 0]    |0.9424320426704237  |0.8006819591323552  |163       
 [14, 4, 2, 3, 0]    |1.474863262703278   |1.3015622610714532  |125       
 [9, 20, 0, 0, 0]    |1.0288037742519682  |0.8028372549194935  |248       
 [18, 9, 5, 0, 0]    |0.9714618363694131  |0.733481213296544   |281       
 [15, 6, 12, 8, 0]   |1.1337608399370225  |0.8085928886466831  |338       
 [11, 9, 1, 1, 0]    |2.1299838846190022  |1.8241505265832196  |155       
 [13, 17, 0, 0, 0]   |0.8292024364852729  |0.6173674063669802  |295       
Increasing Epochs
Gen 2 Train time: 9.79928955634435 minutes:
 Average MSE:        0.7721135976583596
 Average Error:      1.0720053656958757
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 0, 0, 0]    |0.5681998050559841  |0.502438440685149   |123       
 [16, 0, 0, 0, 0]    |0.7686071959177976  |0.7202367954123096  |65        
 [14, 9, 0, 0, 0]    |0.7190729523994364  |0.5964305563718721  |187       
