/tmp/tmp.pTA3eRCGAN ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k41.mat
  Evaluating with: datasets/N1dataset100k41.mat
Gen 0 Train time: 8.483761715888978 minutes:
 Average MSE:        1.7088509525292994
 Average Error:      2.4010991887802176
 Structure           |Error               |MSE                 |weights&biases
 [18, 14, 0, 0, 0]   |0.8080174267592135  |0.5780056397974556  |335       
 [2, 18, 0, 0, 0]    |3.167325299228249   |2.9267350301918826  |79        
 [9, 16, 14, 0, 0]   |0.9573780004819679  |0.6165863010541406  |440       
 [12, 17, 0, 0, 0]   |0.8206728258589714  |0.6233602008107337  |275       
 [14, 13, 8, 7, 1]   |11.725898587880202  |7.689070846548539   |422       
 [7, 18, 0, 0, 0]    |1.1256521715509322  |0.9364703441684634  |184       
 [4, 6, 14, 0, 0]    |3.4191549983666487  |2.928216234770158   |155       
 [5, 17, 10, 0, 0]   |1.9580639202507915  |1.4390111686331941  |308       
 [15, 14, 5, 0, 0]   |1.1553026413689378  |0.8141280113932605  |350       
 [9, 2, 13, 18, 15]  |2.2974399436189126  |1.212634705554398   |639       
 [4, 18, 4, 13, 5]   |5.074833998279938   |3.688772750138211   |319       
 [10, 0, 0, 0, 0]    |0.7899589659223484  |0.7582256269557106  |41        
 [20, 6, 13, 0, 0]   |0.7761732694000354  |0.5802016877350858  |291       
 [19, 0, 0, 0, 0]    |0.592220235667657   |0.5483307073051311  |77        
 [11, 1, 2, 1, 0]    |2.3717326590607106  |2.247055669233      |54        
 [19, 15, 0, 0, 0]   |0.7534488991486336  |0.5188740615682159  |373       
 [8, 12, 8, 0, 0]    |0.9121558537394749  |0.7139485263057728  |245       
 [7, 6, 8, 0, 0]     |1.673651580385489   |1.4637590438128167  |134       
 [9, 20, 14, 0, 0]   |1.7795433807596808  |1.041182205621091   |536       
 [3, 16, 15, 0, 0]   |2.018498116047272   |1.4309717056793496  |344       
 [6, 1, 8, 12, 15]   |2.77132014408303    |1.9334844564904892  |360       
 [4, 13, 16, 9, 17]  |2.4316021773651637  |1.279603638220523   |642       
 [7, 4, 13, 17, 7]   |5.729338043537905   |3.509943706676224   |490       
 [8, 7, 0, 0, 0]     |0.7570174000988521  |0.6884111345714045  |95        
 [3, 9, 10, 11, 17]  |4.161079180644432   |2.5542904099972352  |488       
Gen 1 Train time: 8.367965054512023 minutes:
 Average MSE:        0.8267251041432034
 Average Error:      1.1615477375131928
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6358601167647016  |0.5887364304254785  |77        
 [19, 15, 0, 0, 0]   |0.6626110417889682  |0.45631718737857596 |373       
 [8, 7, 0, 0, 0]     |0.7385185844512953  |0.6715888123017988  |95        
 [14, 6, 4, 0, 0]    |0.6786455170244043  |0.5754192611924809  |165       
 [11, 17, 7, 0, 0]   |0.8686861129120631  |0.5994315893312232  |371       
 [9, 12, 7, 0, 0]    |1.1941781819899937  |0.9337544610190773  |246       
 [13, 11, 4, 0, 0]   |0.8519993279607494  |0.6661972101540805  |246       
 [14, 9, 11, 0, 0]   |0.9693869353230733  |0.718858003272193   |299       
 [10, 15, 4, 0, 0]   |0.996917664913715   |0.7656063878700838  |264       
 [12, 13, 9, 7, 17]  |1.5497292349899574  |0.8896565661729078  |555       
 [6, 9, 0, 0, 0]     |1.0058799881972245  |0.9183862442632102  |91        
 [11, 20, 5, 20, 5]  |4.983357762912087   |2.710420837466109   |609       
 [13, 9, 0, 0, 0]    |0.7921197544515197  |0.6649504891643089  |175       
 [19, 10, 0, 0, 0]   |0.7522788196218456  |0.5754239226876275  |268       
 [19, 7, 0, 0, 0]    |0.5985116515112966  |0.48757591074464146 |205       
 [20, 3, 7, 0, 0]    |0.9111524004668551  |0.7772096800642114  |159       
 [16, 20, 10, 7, 16] |1.9094087385543084  |0.8409640498496869  |820       
 [9, 9, 11, 6, 8]    |1.665916745855384   |1.1576308778696696  |364       
 [10, 18, 0, 0, 0]   |0.9858973744729834  |0.7701245588465894  |247       
 [14, 12, 7, 0, 0]   |1.160703205772019   |0.8420010929658168  |321       
 [6, 8, 10, 4, 20]   |1.6592567444767299  |1.194072529153165   |329       
 [16, 9, 0, 0, 0]    |0.7018005725608306  |0.5682999037821921  |211       
 [10, 12, 0, 0, 0]   |0.7766179196975472  |0.6519373651452826  |175       
 [15, 8, 2, 0, 0]    |1.108607914857582   |0.9131136718071527  |194       
 [8, 7, 11, 0, 0]    |0.8806511263026916  |0.7304505606525188  |187       
Increasing Epochs
Gen 2 Train time: 9.492658698558808 minutes:
 Average MSE:        0.7565690519201175
 Average Error:      0.9748873979993528
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 0, 0, 0]    |0.572763047522409   |0.466599879603754   |205       
 [19, 0, 0, 0, 0]    |0.6011212204859556  |0.5565720388354992  |77        
 [19, 15, 0, 0, 0]   |0.7754265553424526  |0.5340093092882967  |373       
