/tmp/tmp.9gAlIKVvjv ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k42.mat
  Evaluating with: datasets/N1dataset100k42.mat
Gen 0 Train time: 8.594346018632253 minutes:
 Average MSE:        1.6243309814167772
 Average Error:      2.356918982449884
 Structure           |Error               |MSE                 |weights&biases
 [7, 6, 11, 13, 16]  |2.211200734278246   |1.2847134362439865  |543       
 [6, 14, 2, 3, 9]    |1.994958562604137   |1.6317014087887418  |201       
 [13, 20, 6, 8, 15]  |1.715908173638822   |0.8939928404985903  |652       
 [15, 14, 3, 0, 0]   |1.253896130363708   |0.9123383208349051  |318       
 [1, 13, 12, 7, 0]   |7.9685184693477185  |5.926883857447438   |296       
 [16, 20, 9, 0, 0]   |0.9388703471410391  |0.5220051189294518  |587       
 [3, 4, 11, 12, 6]   |3.5359972706633678  |2.596061198986397   |309       
 [12, 14, 17, 1, 0]  |4.951997303212914   |3.024636717240252   |493       
 [19, 16, 18, 13, 17]|3.1282129078674608  |0.9554831841539988  |1186      
 [8, 9, 11, 8, 0]    |1.184247651685812   |0.8599402919284321  |320       
 [3, 0, 0, 0, 0]     |2.1502652414137158  |2.1224927058850476  |13        
 [11, 1, 4, 8, 20]   |2.6268656876655854  |1.957741243196169   |294       
 [11, 2, 3, 6, 20]   |1.3007089683385002  |1.0119806762547248  |251       
 [8, 7, 0, 0, 0]     |0.7643766690734699  |0.6951034545943936  |95        
 [1, 17, 16, 19, 0]  |10.007408973845548  |5.131129015946735   |668       
 [7, 0, 0, 0, 0]     |1.1365606638117904  |1.104073741691867   |29        
 [3, 0, 0, 0, 0]     |3.3954219602581857  |3.3515671486703402  |13        
 [6, 11, 0, 0, 0]    |1.0622827745286538  |0.9544883448893675  |107       
 [17, 15, 10, 0, 0]  |0.9569242181619785  |0.5850657309065617  |492       
 [7, 9, 0, 0, 0]     |0.8849289314059368  |0.7983182586354702  |103       
 [18, 0, 0, 0, 0]    |0.564447870806996   |0.5247112092084749  |73        
 [10, 4, 4, 0, 0]    |0.8476871165806935  |0.7677864245284708  |99        
 [15, 8, 19, 0, 0]   |0.9344393028888541  |0.6493336435991683  |364       
 [15, 13, 12, 20, 0] |1.4687850179832358  |0.7279197580328491  |702       
 [5, 9, 10, 0, 0]    |1.9380636136807279  |1.6188068043275954  |180       
Gen 1 Train time: 8.688062612215678 minutes:
 Average MSE:        1.4495667479454166
 Average Error:      1.9307669846360591
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.8102131255805723  |0.7531747940374919  |73        
 [8, 7, 0, 0, 0]     |0.9769172426361341  |0.8883820996686346  |95        
 [10, 4, 4, 0, 0]    |0.8073669921079069  |0.7312667658006424  |99        
 [12, 9, 15, 4, 0]   |1.005953739094477   |0.6934584778278824  |372       
 [18, 15, 0, 0, 0]   |0.8060302294259614  |0.5651669912967969  |355       
 [14, 9, 7, 3, 10]   |1.620987768642796   |1.1747269024823415  |322       
 [15, 1, 2, 3, 10]   |1.900748703822272   |1.6774048437148394  |125       
 [11, 16, 5, 0, 0]   |1.0772393020710218  |0.785371493266854   |316       
 [12, 6, 19, 0, 0]   |0.8317324438545676  |0.6368351349235285  |267       
 [7, 9, 0, 0, 0]     |0.9457134327348411  |0.8531535968538979  |103       
 [9, 6, 2, 0, 0]     |0.9354239716237972  |0.8430277470415813  |104       
 [17, 9, 10, 7, 17]  |1.491003909133758   |0.865411344421749   |544       
 [17, 20, 5, 0, 0]   |1.0526736782448358  |0.624585710598105   |522       
 [12, 11, 2, 3, 10]  |1.3301708034126791  |1.0225580271633734  |263       
 [1, 15, 7, 16, 0]   |9.059332340086035   |6.778768336672648   |290       
 [9, 7, 2, 3, 10]    |1.481802694479425   |1.2463999841047595  |173       
 [14, 2, 2, 0, 0]    |0.9874058975161569  |0.910579489584601   |81        
 [13, 6, 8, 20, 0]   |1.3834365741409873  |0.9460788851479695  |380       
 [11, 18, 17, 12, 13]|3.605527949116518   |1.3654283775983909  |971       
 [4, 3, 3, 12, 4]    |9.459105225668566   |8.190523322509211   |144       
 [13, 0, 0, 0, 0]    |0.6060693801554535  |0.5747840863169676  |53        
 [13, 6, 12, 0, 0]   |0.9315419127794086  |0.747579896095399   |220       
 [10, 17, 4, 6, 12]  |1.5984391792492598  |1.0544587901199964  |416       
 [8, 5, 6, 4, 0]     |1.0507250992691235  |0.9152852593578077  |138       
 [14, 14, 10, 11, 5] |2.513613021054919   |1.394758342029935   |589       
Increasing Epochs
Gen 2 Train time: 9.675834790865581 minutes:
 Average MSE:        1.0754038637924321
 Average Error:      1.3380890217460313
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.6067272410252784  |0.5754079884169039  |53        
 [18, 15, 0, 0, 0]   |0.8322870770323328  |0.5835775955407592  |355       
