/tmp/tmp.U9ZK6jmAMU ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k45.mat
  Evaluating with: datasets/N1dataset100k45.mat
Gen 0 Train time: 8.625017313162486 minutes:
 Average MSE:        1.7520684297499107
 Average Error:      2.45747900369725
 Structure           |Error               |MSE                 |weights&biases
 [9, 16, 3, 0, 0]    |0.9297713403681216  |0.7299227344666386  |242       
 [1, 8, 17, 0, 0]    |8.514345587756775   |7.041015853345831   |190       
 [18, 19, 6, 0, 0]   |1.053458425791532   |0.6126744814494998  |542       
 [13, 18, 10, 19, 2] |14.616742385040519  |7.022839408554039   |733       
 [1, 0, 0, 0, 0]     |6.26988513517498    |6.238613952603804   |5         
 [19, 0, 0, 0, 0]    |0.6304456082209062  |0.5837231919025128  |77        
 [9, 2, 18, 0, 0]    |1.1283275861770237  |1.000736795492142   |120       
 [4, 14, 0, 0, 0]    |1.6471022047365822  |1.4948374986240405  |97        
 [9, 15, 12, 17, 0]  |1.9411581944165053  |1.0568415627981835  |608       
 [6, 2, 0, 0, 0]     |1.2642913279428265  |1.2208065539890645  |35        
 [12, 12, 9, 7, 0]   |1.1285941526353036  |0.7664182388409082  |387       
 [17, 5, 2, 0, 0]    |0.8148073499212853  |0.69711591660701    |156       
 [5, 12, 18, 0, 0]   |1.5876056277224004  |1.1300105700637086  |340       
 [14, 10, 8, 12, 12] |1.6250528820594674  |0.9310338515548515  |557       
 [9, 15, 5, 5, 19]   |2.029044525794529   |1.3318447420499946  |421       
 [11, 19, 0, 0, 0]   |1.1356374313481727  |0.8574384394998298  |281       
 [15, 0, 0, 0, 0]    |0.6220385063004604  |0.5852282827630291  |61        
 [11, 15, 8, 5, 0]   |1.1525662811565365  |0.7787937777897712  |392       
 [14, 9, 18, 0, 0]   |1.0153728490834675  |0.697157367088517   |376       
 [6, 4, 18, 1, 0]    |3.744081009276411   |3.2000812351707637  |157       
 [3, 8, 0, 0, 0]     |2.497159380672704   |2.3753714805638553  |50        
 [11, 3, 9, 11, 12]  |1.5516336433240898  |1.0696252348687774  |372       
 [13, 5, 11, 13, 13] |1.640401108298689   |0.9684492386596499  |527       
 [20, 20, 8, 0, 0]   |1.0002297495868429  |0.5185233198083498  |657       
 [16, 11, 7, 16, 17] |1.897222799625089   |0.8926070151929963  |754       
