/tmp/tmp.QwOrAFOVE0 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k46.mat
  Evaluating with: datasets/N1dataset100k46.mat
Gen 0 Train time: 9.11164828936259 minutes:
 Average MSE:        1.5731078978574025
 Average Error:      2.426765693056136
 Structure           |Error               |MSE                 |weights&biases
 [19, 1, 0, 0, 0]    |1.5989872831917507  |1.4775280883491597  |79        
 [13, 0, 0, 0, 0]    |0.6929392420322688  |0.6571697270080372  |53        
 [19, 3, 16, 0, 0]   |0.840203674135027   |0.6892777647560181  |198       
 [13, 0, 0, 0, 0]    |0.7631549733067595  |0.7237609231105925  |53        
 [10, 1, 11, 16, 8]  |5.201954396350432   |3.486974310436918   |400       
 [2, 1, 0, 0, 0]     |3.391773852496988   |3.3546687920936775  |11        
 [8, 1, 0, 0, 0]     |1.3813741489688318  |1.3338623601224904  |35        
 [3, 10, 4, 7, 16]   |5.583410166850179   |4.249493208363735   |273       
 [7, 5, 16, 12, 0]   |1.7175478616635433  |1.1816332737857518  |374       
 [2, 6, 18, 16, 8]   |8.973370861169993   |4.929617497106922   |599       
 [7, 6, 20, 2, 14]   |1.3638247473288594  |1.0022956978918265  |308       
 [15, 12, 11, 0, 0]  |1.0575234098953177  |0.7145729186759355  |392       
 [17, 16, 15, 3, 0]  |1.3243801100066914  |0.6941581299068261  |646       
 [18, 16, 18, 0, 0]  |1.1136386246922076  |0.5624982221820304  |683       
 [10, 10, 3, 0, 0]   |0.8217315156813388  |0.6884300521432652  |177       
 [19, 15, 15, 5, 20] |1.9918224652614416  |0.8790179428786246  |818       
 [5, 13, 1, 8, 0]    |1.758012845446438   |1.540618726340852   |132       
 [6, 18, 3, 9, 14]   |1.739955245010245   |1.1756949171607916  |392       
 [16, 12, 20, 14, 16]|2.553944922258996   |0.8821785481588502  |1063      
 [7, 12, 3, 14, 0]   |1.3260438879982197  |1.0567519325745995  |227       
 [15, 1, 12, 17, 18] |2.1905585046002964  |1.144715959867137   |649       
 [6, 13, 17, 19, 4]  |10.032496726323654  |4.626633495626845   |774       
 [16, 10, 15, 17, 0] |1.7042053686271441  |0.8694442562530387  |673       
 [19, 6, 0, 0, 0]    |0.6332127214998255  |0.5267923344542318  |184       
 [9, 0, 0, 0, 0]     |0.9130747716069538  |0.8799083671869088  |37        
Gen 1 Train time: 9.04005670150121 minutes:
