/tmp/tmp.pvzo1S39uv ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k47.mat
  Evaluating with: datasets/N1dataset100k47.mat
Gen 0 Train time: 8.606794667243957 minutes:
 Average MSE:        1.8313001222454575
 Average Error:      2.663211617305069
 Structure           |Error               |MSE                 |weights&biases
 [14, 13, 17, 19, 6] |3.9316626061856903  |1.5296858559706485  |944       
 [11, 9, 4, 2, 0]    |1.345485466514902   |1.1082197395734925  |194       
 [16, 5, 14, 1, 0]   |3.4104717263853503  |2.6989170984528577  |234       
 [1, 0, 0, 0, 0]     |5.6321631980708     |5.604072666930214   |5         
 [11, 10, 20, 1, 19] |2.6228912228298564  |1.6690877663831116  |452       
 [10, 5, 0, 0, 0]    |0.7002695461505899  |0.6393584980388793  |91        
 [16, 17, 7, 0, 0]   |1.2144814972894742  |0.7582950163030667  |471       
 [6, 0, 0, 0, 0]     |1.6427310381231661  |1.6021718642781166  |25        
 [9, 3, 16, 0, 0]    |0.9616313096790617  |0.8376757758032294  |138       
 [20, 7, 10, 14, 3]  |4.629086421625246   |2.8359005228483163  |490       
 [4, 20, 17, 18, 0]  |4.265488551698757   |1.8937457071727857  |812       
 [7, 5, 13, 7, 19]   |2.1770581332194645  |1.446250702490527   |409       
 [10, 9, 9, 18, 3]   |5.143393637567146   |3.246940285800517   |460       
 [1, 11, 3, 13, 8]   |8.82772018043712    |6.9859206722088105  |234       
 [18, 5, 8, 1, 7]    |1.255844776362314   |0.9998084930496682  |228       
 [8, 10, 10, 11, 0]  |1.560123715684827   |1.0917316692997736  |357       
 [14, 0, 0, 0, 0]    |0.6660789189518078  |0.6291741965719428  |57        
 [6, 5, 2, 0, 0]     |1.240279283239189   |1.1587439105270516  |68        
 [11, 6, 8, 9, 7]    |1.4682345343749645  |1.0661570933347193  |320       
 [4, 18, 20, 15, 6]  |8.785184871958064   |3.5717896241502487  |900       
 [6, 0, 0, 0, 0]     |1.0665031395438953  |1.0401710832064972  |25        
 [9, 3, 20, 0, 0]    |0.9044425073282106  |0.7722580376852196  |158       
 [20, 3, 0, 0, 0]    |0.7945357508864016  |0.6997743898879203  |127       
 [20, 9, 5, 12, 0]   |1.238433478403225   |0.8435359626117194  |384       
 [7, 2, 0, 0, 0]     |1.096094920117191   |1.0531164235571064  |40        
Gen 1 Train time: 8.257461007436117 minutes:
 Average MSE:        1.2202604316945258
 Average Error:      1.508050192830646
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7107162803409779  |0.6713383834123231  |57        
 [10, 5, 0, 0, 0]    |0.9332936643798038  |0.852113645048836   |91        
 [20, 3, 0, 0, 0]    |0.6894690150997567  |0.6072385778107534  |127       
 [11, 7, 2, 1, 0]    |2.218551923794826   |1.9325776783877973  |138       
 [8, 5, 1, 0, 0]     |1.633718937293417   |1.512643787684761   |77        
 [13, 4, 1, 0, 0]    |1.2484956966488112  |1.127428509205298   |102       
 [3, 5, 0, 0, 0]     |1.6892715028232548  |1.6311697126556939  |35        
 [8, 3, 0, 0, 0]     |0.9636704318864392  |0.912099751302434   |55        
 [14, 2, 0, 0, 0]    |1.0704521672998335  |0.9931050256387028  |75        
 [15, 6, 13, 20, 0]  |1.55252688866376    |0.9110876752036429  |533       
 [20, 5, 1, 0, 0]    |1.4675632893897457  |1.2344226848708202  |173       
 [15, 7, 8, 14, 0]   |1.2613348652579637  |0.8782452266231962  |362       
 [10, 4, 8, 0, 0]    |0.9769352762446762  |0.8638683654569848  |123       
 [10, 4, 8, 17, 0]   |0.9830893892775581  |0.7392972340068601  |285       
 [9, 17, 1, 6, 0]    |1.6806189974734034  |1.329977701669168   |234       
 [12, 3, 0, 0, 0]    |0.775450595191148   |0.7165473093913259  |79        
 [10, 6, 0, 0, 0]    |0.6965979249880528  |0.6284197778029765  |103       
 [17, 2, 0, 0, 0]    |0.9006136497713176  |0.8230989004069471  |90        
 [14, 12, 0, 0, 0]   |0.7295120351991838  |0.5767309494818068  |235       
 [16, 3, 4, 1, 4]    |1.6702894969581716  |1.4622801483027987  |133       
 [9, 4, 4, 5, 4]     |2.525963306743107   |2.193772133646886   |141       
 [7, 11, 13, 11, 3]  |6.636350361289136   |4.1936109637928825  |459       
 [18, 10, 4, 0, 0]   |0.8666101300017588  |0.6465103443338095  |293       
 [10, 5, 12, 5, 4]   |2.1543313668473387  |1.6761179991584165  |251       
 [9, 5, 10, 1, 10]   |1.6658276279027104  |1.392808307068026   |179       
Increasing Epochs
Gen 2 Train time: 9.48879827260971 minutes:
 Average MSE:        0.9762150572385124
 Average Error:      1.2052594903496316
 Structure           |Error               |MSE                 |weights&biases
 [20, 3, 0, 0, 0]    |0.6287496133358181  |0.5537609560972975  |127       
 [10, 6, 0, 0, 0]    |0.7019871467307712  |0.6332815401031558  |103       
 [14, 0, 0, 0, 0]    |0.7346680021525944  |0.6939630377866929  |57        
 [10, 5, 9, 11, 5]   |1.7722219838831894  |1.2933478865729873  |315       
 [10, 4, 8, 16, 17]  |2.0877890646984074  |1.186616099210775   |565       
 [17, 9, 4, 7, 0]    |1.0432195453988884  |0.7759335825326202  |296       
 [12, 5, 4, 7, 0]    |1.0260721081711868  |0.8673939913054847  |168       
 [11, 7, 1, 1, 0]    |3.4476294832348975  |3.0303765586108478  |129       
 [10, 4, 4, 0, 0]    |0.8156001560085673  |0.7387238939676284  |99        
 [15, 4, 2, 3, 2]    |2.1391740728047832  |1.8615692359059146  |139       
 [18, 10, 15, 13, 20]|2.079470033130977   |0.8303674788967788  |918       
