/tmp/tmp.ZgrD8x0oNQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k48.mat
  Evaluating with: datasets/N1dataset100k48.mat
Gen 0 Train time: 8.41567907333374 minutes:
 Average MSE:        2.4561338486199897
 Average Error:      3.364304960547355
 Structure           |Error               |MSE                 |weights&biases
 [3, 18, 16, 7, 4]   |10.451277039805788  |6.084376010810095   |541       
 [14, 8, 4, 0, 0]    |0.885697205796393   |0.7229753575830562  |203       
 [13, 0, 0, 0, 0]    |0.8325817910945307  |0.7896039294307651  |53        
 [8, 0, 0, 0, 0]     |1.0146993093574848  |0.9817607081917263  |33        
 [4, 18, 15, 11, 13] |7.881627113891296   |3.786849356776865   |733       
 [17, 0, 0, 0, 0]    |0.7553795101978508  |0.7050158504520583  |69        
 [2, 4, 5, 8, 19]    |6.487509786293291   |4.893357909951913   |282       
 [6, 2, 19, 10, 0]   |2.745353409308353   |2.033807827826302   |300       
 [1, 12, 13, 0, 0]   |8.60776107403157    |6.977315519685409   |210       
 [18, 15, 13, 16, 0] |1.5102354280262906  |0.6867846853773921  |788       
 [12, 9, 9, 15, 0]   |0.984846292440784   |0.6542474087181809  |409       
 [8, 0, 0, 0, 0]     |0.8174482800906688  |0.7909127314574572  |33        
 [16, 4, 4, 13, 6]   |1.2843123995804488  |0.959084090367121   |292       
 [1, 9, 5, 5, 0]     |5.945021092173862   |5.34175407778708    |107       
 [18, 1, 0, 0, 0]    |1.1987689925928722  |1.1121501244906784  |75        
 [8, 1, 2, 0, 0]     |1.9793724621691053  |1.901760157801008   |40        
 [11, 0, 0, 0, 0]    |0.8157961136076768  |0.7798990302981685  |45        
 [11, 19, 17, 5, 0]  |1.3239170038772903  |0.6594130021781759  |697       
 [14, 0, 0, 0, 0]    |0.734984939648119   |0.6942624150653252  |57        
 [1, 14, 4, 13, 12]  |12.972340084758262  |9.261068260733325   |337       
 [12, 0, 0, 0, 0]    |0.6448992559014813  |0.6140609020259977  |49        
 [19, 0, 0, 0, 0]    |0.6921102943048378  |0.6408178990734547  |77        
 [1, 6, 17, 3, 0]    |10.496637554575624  |8.662947069859      |192       
 [17, 14, 10, 7, 19] |1.5108790494777051  |0.7487812706741981  |702       
 [20, 9, 7, 7, 15]   |1.5341685306822759  |0.920340618884994   |511       
Gen 1 Train time: 8.061062741279603 minutes:
 Average MSE:        0.8406829438270955
 Average Error:      1.0655856333852156
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.5993925098071464  |0.5707302371209909  |49        
 [19, 0, 0, 0, 0]    |0.7581451267713488  |0.701958880438802   |77        
 [14, 0, 0, 0, 0]    |0.7109486458766512  |0.6715578745192452  |57        
 [13, 0, 0, 0, 0]    |0.6738466848454645  |0.6390627273848968  |53        
 [17, 5, 4, 4, 8]    |0.9987082096893816  |0.7903395423696165  |234       
 [13, 2, 0, 0, 0]    |1.024016621725842   |0.9547867695781422  |70        
 [19, 12, 10, 12, 8] |1.6635672819897982  |0.8495608260122328  |672       
 [15, 17, 15, 19, 0] |1.8163493189088702  |0.7303938410081248  |911       
 [11, 4, 2, 0, 0]    |0.9343571605822726  |0.850529217054271   |94        
 [9, 13, 9, 18, 5]   |3.6186053141246637  |2.0587287471192908  |564       
 [10, 0, 0, 0, 0]    |0.9969892629358306  |0.9569393368109956  |41        
 [13, 5, 5, 8, 0]    |0.7760216228836826  |0.6378992683852089  |196       
 [18, 0, 0, 0, 0]    |0.609270690245309   |0.5663785393624269  |73        
 [16, 5, 5, 8, 0]    |0.9611231667752882  |0.7713194084943951  |220       
 [11, 1, 1, 0, 0]    |1.8238494780565273  |1.7366350564158928  |49        
 [10, 9, 0, 0, 0]    |0.6230018300015282  |0.5421536542481127  |139       
 [13, 2, 18, 0, 0]   |0.8660249063515836  |0.7528858843972287  |140       
 [16, 6, 10, 0, 0]   |0.6500065730550083  |0.5159358702160803  |231       
 [12, 4, 0, 0, 0]    |0.7048963511825251  |0.6422969735799826  |93        
 [12, 10, 0, 0, 0]   |0.7780264496695656  |0.6518148313573586  |177       
 [15, 6, 4, 7, 3]    |1.7136208671884874  |1.3588090234545487  |232       
 [6, 0, 0, 0, 0]     |1.104490663024506   |1.0772206913905458  |25        
 [11, 0, 0, 0, 0]    |0.7346506642581621  |0.702324185057817   |45        
 [15, 0, 0, 0, 0]    |0.7105268750119237  |0.668480196496642   |61        
 [19, 5, 5, 8, 0]    |0.7892045596690205  |0.618332013404545   |244       
Gen 2 Train time: 8.414807013670604 minutes:
 Average MSE:        1.0445837538357206
 Average Error:      1.3228393744659042
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.6551980006437124  |0.6238671724291318  |49        
 [18, 0, 0, 0, 0]    |0.6650576559478291  |0.61823814898411    |73        
 [10, 9, 0, 0, 0]    |1.0180923139420326  |0.8859724671502743  |139       
 [14, 3, 3, 4, 0]    |0.824729535008939   |0.7314694793636664  |120       
 [19, 3, 3, 4, 0]    |0.9427451940179714  |0.8114283082276568  |150       
 [15, 5, 5, 6, 4]    |1.2556689833026076  |1.0036752221119678  |224       
 [13, 8, 5, 0, 0]    |0.6584190077352953  |0.53799083168127    |202       
 [16, 0, 0, 0, 0]    |0.6254597043288337  |0.586097938580201   |65        
 [18, 5, 14, 0, 0]   |0.8308860970902485  |0.6483902275958536  |248       
 [14, 8, 2, 4, 2]    |4.282537789617205   |3.4887579177421273  |205       
 [7, 3, 3, 2, 0]     |1.650947051347312   |1.542414574042644   |68        
 [15, 9, 16, 10, 0]  |1.1576164213623934  |0.6813787785951776  |530       
 [12, 3, 3, 4, 0]    |0.902087756077313   |0.8097388642570028  |108       
 [16, 3, 3, 4, 0]    |0.873058269440951   |0.7650967526041585  |132       
 [14, 2, 0, 0, 0]    |0.6877512033291937  |0.6380566991032837  |75        
 [20, 2, 13, 15, 3]  |5.681273220493922   |3.7968636328190173  |403       
 [9, 0, 0, 0, 0]     |0.8254022305562838  |0.7954204316509679  |37        
 [13, 4, 12, 4, 0]   |0.9889288679872059  |0.8000085426060511  |212       
 [12, 6, 9, 0, 0]    |0.8156800854041519  |0.6765607377327851  |187       
 [14, 1, 7, 8, 14]   |1.8428666350302685  |1.398391032329425   |276       
 [13, 8, 3, 4, 0]    |0.9244676680295211  |0.7576473787233325  |199       
 [18, 9, 10, 6, 4]   |1.7914358340633678  |1.172358392718383   |424       
 [12, 2, 15, 0, 0]   |1.2945861719473324  |1.1447555099067408  |123       
 [14, 8, 0, 0, 0]    |0.6146142452668788  |0.5180101452739029  |171       
 [16, 18, 13, 0, 0]  |1.2614744196768335  |0.6820046596638838  |615       
Increasing Epochs
Gen 3 Train time: 9.73431457678477 minutes:
 Average MSE:        1.7873441176066514
 Average Error:      2.2408428151262045
 Structure           |Error               |MSE                 |weights&biases
 [14, 8, 0, 0, 0]    |0.6055678793934967  |0.510385672954299   |171       
 [16, 0, 0, 0, 0]    |0.5376108744011439  |0.5037776583591878  |65        
 [12, 0, 0, 0, 0]    |0.5910081959838888  |0.5627468517130146  |49        
 [14, 6, 4, 2, 0]    |1.082002662935448   |0.9101131391570536  |173       
 [1, 12, 11, 10, 2]  |12.69812128347982   |9.266947636802687   |315       
 [3, 9, 18, 7, 10]   |5.227435216157944   |3.3364946815915486  |449       
 [15, 6, 10, 7, 0]   |0.9201287916190662  |0.6843802273656611  |296       
 [14, 0, 0, 0, 0]    |0.5542677888688861  |0.5235580662064461  |57        
 [13, 4, 3, 16, 0]   |0.9286828087874079  |0.7672151323950617  |191       
 [16, 5, 8, 5, 0]    |0.7851869963164005  |0.6226109847999092  |232       
 [16, 6, 5, 3, 2]    |4.956233252500587   |4.001406912202061   |214       
 [16, 4, 0, 0, 0]    |0.5753523382878335  |0.5097817104541887  |121       
 [17, 3, 3, 3, 2]    |2.1998038097822636  |1.912417558295879   |140       
 [17, 9, 7, 0, 0]    |0.6708101468345399  |0.5014411017324363  |291       
 [13, 4, 3, 0, 0]    |0.713463222418462   |0.636593236432373   |114       
 [16, 3, 3, 4, 0]    |0.7757961115923027  |0.679861936411507   |132       
 [14, 5, 8, 5, 0]    |0.8343009044711281  |0.6722256911173616  |216       
 [3, 3, 13, 3, 14]   |3.7395932953203066  |3.104885569075923   |186       
 [14, 5, 0, 0, 0]    |0.6494416341550172  |0.5742776380374002  |123       
 [17, 3, 3, 2, 2]    |2.0619551358377404  |1.8033654754615056  |134       
 [18, 2, 2, 2, 0]    |1.1688070459584208  |1.050203137565601   |107       
 [4, 5, 8, 8, 0]     |3.7348221187448467  |3.163567011050097   |166       
 [15, 2, 6, 2, 0]    |1.4139027571327933  |1.264091640678496   |112       
 [12, 9, 1, 2, 1]    |7.57984749624106    |6.382073727628371   |172       
 [16, 15, 0, 0, 0]   |1.0169286109343127  |0.7391805426782102  |319       
Gen 4 Train time: 9.832718984285991 minutes:
 Average MSE:        1.5262591015502567
 Average Error:      1.9199281990064292
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7213778923792089  |0.6759797517483228  |65        
 [14, 0, 0, 0, 0]    |0.7850391980694323  |0.7415433707166372  |57        
 [16, 4, 0, 0, 0]    |0.6750102948652814  |0.5980820443254398  |121       
 [16, 2, 0, 0, 0]    |0.784886833364407   |0.7209281983101674  |85        
 [15, 4, 2, 0, 0]    |1.009077674766564   |0.8931834575120485  |122       
 [9, 8, 18, 2, 1]    |9.117394555889598   |6.673764400480566   |312       
 [14, 6, 2, 1, 0]    |1.9916754097489142  |1.7125375175487338  |151       
 [17, 7, 8, 3, 0]    |1.0612670357942997  |0.8085308133740684  |272       
 [8, 6, 1, 1, 20]    |1.8683244240216679  |1.611301116082462   |148       
 [15, 8, 0, 0, 0]    |0.6199339899785533  |0.516777805015397   |182       
 [16, 4, 5, 0, 0]    |0.7447383914727829  |0.6429281681091706  |147       
 [17, 5, 4, 0, 0]    |0.6193749260519792  |0.5225448333920417  |170       
 [7, 12, 3, 9, 15]   |1.875100329403994   |1.3108321532221994  |358       
 [14, 6, 0, 0, 0]    |0.5423243237076104  |0.4719458270050284  |139       
 [15, 5, 6, 11, 0]   |0.759219740521195   |0.5912809284411755  |250       
 [15, 4, 2, 8, 0]    |0.7073652611229814  |0.6076184695080256  |152       
 [15, 5, 4, 3, 7]    |1.7082226537722778  |1.3985744197478456  |200       
 [6, 5, 4, 0, 0]     |0.8537969772793848  |0.7865792135872007  |82        
 [14, 3, 4, 3, 0]    |1.291521928668227   |1.1431885280460472  |122       
 [14, 5, 7, 4, 0]    |0.7945109310242444  |0.6530977058874857  |196       
 [15, 4, 3, 1, 0]    |3.384541830057874   |2.971950716733334   |130       
 [4, 16, 7, 17, 11]  |5.493624560882227   |3.1474363021543446  |557       
 [14, 2, 2, 2, 19]   |1.1582964694310056  |0.9860486004180217  |161       
 [4, 5, 18, 5, 8]    |2.216527509488614   |1.6469774941610376  |297       
 [15, 4, 3, 1, 1]    |7.215051833398403   |6.322845703229612   |132       
Increasing Epochs
Gen 5 Train time: 11.25481227238973 minutes:
 Average MSE:        0.9102179845349022
 Average Error:      1.142140094446641
 Structure           |Error               |MSE                 |weights&biases
 [14, 6, 0, 0, 0]    |0.6100285847973483  |0.5308639726513738  |139       
 [17, 5, 4, 0, 0]    |0.6894694798123965  |0.5816811422347296  |170       
 [15, 8, 0, 0, 0]    |0.5167346518557664  |0.4307506984262252  |182       
 [16, 4, 4, 4, 0]    |0.631379440879369   |0.5374883118806731  |161       
 [6, 12, 4, 0, 0]    |0.9245482946160043  |0.7886363289985716  |159       
 [17, 3, 4, 2, 0]    |0.9084396206999216  |0.7945122665561726  |134       
 [14, 1, 1, 1, 10]   |2.3288253562391024  |2.124133599816865   |92        
 [16, 5, 3, 0, 0]    |0.6203953428098293  |0.5313159876224873  |155       
 [11, 5, 5, 6, 0]    |0.8336966869578364  |0.706179639143814   |166       
 [4, 8, 4, 5, 14]    |1.973547877427641   |1.5965305617962593  |212       
 [15, 5, 4, 10, 0]   |0.6777083349629317  |0.549339699683639   |210       
 [20, 20, 7, 12, 8]  |1.9447029839318333  |0.8429136634338279  |836       
 [10, 7, 9, 3, 4]    |1.3687797259186296  |1.087541486667655   |230       
 [16, 3, 2, 16, 0]   |0.7051074899665407  |0.5936858213969443  |172       
 [16, 20, 3, 4, 0]   |0.8914317371767513  |0.5560336775903729  |472       
 [16, 1, 0, 0, 0]    |1.3208288953997056  |1.2352328447647598  |67        
 [16, 4, 1, 4, 0]    |1.0414464977772009  |0.910838759771878   |134       
 [16, 11, 18, 6, 12] |1.3278988971113586  |0.6849550361459669  |662       
 [15, 2, 1, 1, 10]   |1.342280407246097   |1.1988586317926457  |113       
 [16, 5, 4, 2, 4]    |0.8745789834194724  |0.7275935695809922  |184       
 [16, 3, 0, 0, 0]    |0.5973351272400151  |0.5388721304912314  |103       
 [15, 5, 11, 1, 0]   |3.3916065069103696  |2.7629631391780243  |205       
 [15, 7, 17, 0, 0]   |0.8060183581429553  |0.5905808352167605  |311       
 [15, 1, 13, 0, 0]   |1.0172235180047096  |0.9195019397528255  |101       
 [12, 8, 4, 5, 8]    |1.2094895618622414  |0.9344458687778652  |258       
Gen 6 Train time: 11.15974250237147 minutes:
 Average MSE:        0.8868843102077056
 Average Error:      1.1190328709283626
 Structure           |Error               |MSE                 |weights&biases
 [15, 8, 0, 0, 0]    |0.5257283548620151  |0.4382478613075351  |182       
 [16, 3, 0, 0, 0]    |0.651154098287942   |0.587423675958587   |103       
 [14, 6, 0, 0, 0]    |0.7505327724676715  |0.6531346548778472  |139       
 [15, 7, 4, 3, 6]    |1.0235996712802413  |0.8092280618037149  |235       
 [16, 6, 1, 8, 0]    |0.998953542605047   |0.8327290121286145  |182       
 [16, 4, 3, 10, 0]   |0.713379782899769   |0.5946743432507337  |182       
 [17, 5, 4, 1, 2]    |1.9815567162316956  |1.6601081587446813  |177       
 [17, 4, 4, 1, 0]    |1.2602232118141805  |1.0846841704844703  |150       
 [6, 14, 10, 12, 13] |3.1815614943469464  |1.779570623107147   |581       
 [15, 7, 17, 0, 0]   |0.6633279054974396  |0.48602956060931524 |311       
 [16, 7, 2, 1, 2]    |3.5241711961993847  |2.905615625046651   |193       
 [15, 6, 2, 0, 0]    |0.825145845186348   |0.7045506000045618  |158       
 [16, 20, 3, 4, 0]   |1.1002936747228496  |0.6863120448495599  |472       
 [17, 3, 12, 9, 0]   |1.064729482607138   |0.8047052320030417  |280       
 [13, 8, 11, 0, 0]   |0.8628837591844871  |0.663998564870696   |262       
 [13, 7, 3, 3, 0]    |1.1426765264206156  |0.9573112940841465  |177       
 [12, 9, 4, 0, 0]    |0.7196627174924786  |0.590389597858077   |198       
 [17, 3, 4, 2, 0]    |0.8962871216238916  |0.7838838116041755  |134       
 [14, 8, 2, 3, 4]    |1.1200687866319012  |0.9079101128467622  |210       
 [15, 7, 0, 0, 0]    |0.5733065578910237  |0.48610302094811325 |165       
 [14, 4, 5, 4, 0]    |0.8327097380806162  |0.7124324693263149  |156       
 [17, 4, 2, 0, 0]    |0.7733245519353846  |0.6749906376794405  |136       
 [16, 4, 2, 0, 0]    |0.9062212745956366  |0.7965449073930996  |129       
 [15, 7, 9, 0, 0]    |0.7404277349652039  |0.5830238178331018  |239       
 [15, 5, 2, 2, 0]    |1.1438952553791515  |0.988505896572258   |146       
Result:  [15, 8]
Fold 0
Fold 0 Train time: 18.543285858631133 minutes, MSE: 0.3241721017237827
Fold 1
Fold 1 Train time: 18.349252053101857 minutes, MSE: 0.5104935423959559
Fold 2
Fold 2 Train time: 18.279652003447215 minutes, MSE: 0.1346317062895638
Fold 3
Fold 3 Train time: 18.2729336420695 minutes, MSE: 0.30781520991649164
Fold 4
Fold 4 Train time: 18.26877104441325 minutes, MSE: 0.8317074188976002
Total Time: 158.59238007863362 minutes
CellsPerSensor: 1
 Resulting Network Architecture: [15, 8]
 MSE after 5-Fold CV: 0.4217639958446789
 Weights and Biases: 182
 Objective Function Value: 0.5059540758827666
~/workspace/SolarCellResearch
