/tmp/tmp.rqLh6FesZM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k50.mat
  Evaluating with: datasets/N1dataset100k50.mat
Gen 0 Train time: 8.594959696133932 minutes:
 Average MSE:        2.0169393856456064
 Average Error:      3.3972630269758826
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.7430247657906771  |0.707494160884534   |49        
 [18, 19, 11, 0, 0]  |1.0025916941542603  |0.5249713136796313  |647       
 [3, 19, 19, 0, 0]   |4.176077449533424   |2.5711991791482744  |485       
 [9, 6, 18, 5, 0]    |1.076123239567463   |0.7861285031485951  |314       
 [7, 2, 15, 3, 0]    |1.045954086339602   |0.9147810519438737  |134       
 [17, 7, 0, 0, 0]    |0.6942855105901504  |0.5770236620679344  |185       
 [11, 0, 0, 0, 0]    |0.7855020607596855  |0.75093799206097    |45        
 [17, 17, 0, 0, 0]   |0.7703150620766501  |0.5294292834564839  |375       
 [3, 17, 0, 0, 0]    |1.9281300704637006  |1.7533893002140133  |95        
 [10, 0, 0, 0, 0]    |0.6720956491576211  |0.6450969821726606  |41        
 [13, 8, 17, 17, 0]  |1.2935892482956688  |0.6903343163970956  |628       
 [8, 20, 10, 7, 7]   |1.9506198731649775  |1.119796761322524   |555       
 [7, 0, 0, 0, 0]     |1.09223210304166    |1.0610122479136537  |29        
 [6, 3, 12, 1, 13]   |2.034706634775706   |1.76888896956285    |140       
 [4, 9, 8, 11, 0]    |2.169867191787463   |1.693277438704132   |248       
 [9, 9, 17, 0, 0]    |1.0851715175076928  |0.7999052907789539  |305       
 [20, 7, 3, 3, 4]    |1.0971092199327948  |0.842550851021796   |264       
 [18, 20, 12, 2, 20] |1.7861010502169212  |0.8081844716048032  |793       
 [17, 3, 16, 2, 2]   |6.0221220008864496  |4.871684103155672   |212       
 [16, 16, 18, 19, 1] |23.323396822133734  |8.50332286331801    |1009      
 [1, 16, 19, 16, 3]  |17.6976850023492    |8.50312582657789    |733       
 [6, 6, 17, 11, 0]   |1.4093704678142192  |0.9551786651833188  |389       
 [2, 5, 3, 20, 3]    |8.29194486907062    |6.884582875835255   |186       
 [10, 18, 1, 8, 0]   |1.876780555198731   |1.4298332631087043  |272       
 [9, 17, 0, 0, 0]    |0.9067795297879967  |0.7313552678785302  |215       
Gen 1 Train time: 8.433909376462301 minutes:
 Average MSE:        0.9623064912902328
 Average Error:      1.2881874757390583
 Structure           |Error               |MSE                 |weights&biases
 [10, 0, 0, 0, 0]    |0.7059310786449928  |0.6775732130189347  |41        
 [17, 7, 0, 0, 0]    |0.5799681757218774  |0.4820140353403547  |185       
 [12, 0, 0, 0, 0]    |0.7516061794214502  |0.7156652210098937  |49        
 [13, 12, 5, 0, 0]   |0.92133276882028    |0.6977223773846002  |278       
 [12, 5, 8, 2, 16]   |1.3084410109914275  |1.0375232272411303  |232       
 [9, 16, 13, 8, 6]   |2.1624864772534456  |1.2095624788722188  |581       
 [18, 19, 6, 1, 10]  |2.478547695007616   |1.3974830285043742  |573       
 [15, 8, 9, 9, 0]    |1.3089301684308705  |0.9187053192379077  |354       
 [11, 0, 0, 0, 0]    |0.7760801804937922  |0.741930698252643   |45        
 [14, 3, 20, 0, 0]   |0.9833189897888225  |0.8147925768402005  |188       
 [17, 5, 0, 0, 0]    |0.7276731567456214  |0.6281958537460163  |147       
 [14, 18, 6, 0, 0]   |0.911664393625352   |0.5912695074907436  |433       
 [15, 9, 0, 0, 0]    |0.6592557354153069  |0.5402929676387342  |199       
 [11, 5, 9, 0, 0]    |0.8000978451087271  |0.6838468756657126  |157       
 [14, 10, 6, 0, 0]   |0.8424171503272766  |0.6463074500927914  |265       
 [8, 3, 9, 3, 0]     |1.19904699618683    |1.0623963577693605  |121       
 [11, 13, 7, 0, 0]   |1.0677540945084416  |0.7949766510075946  |295       
 [14, 4, 0, 0, 0]    |0.6230338448001109  |0.5598119046947572  |107       
 [8, 10, 8, 2, 0]    |2.0611936334016643  |1.649191633356067   |223       
 [12, 12, 9, 6, 0]   |1.148346368105768   |0.7884572954820733  |376       
 [18, 10, 9, 16, 16] |1.6305453990245315  |0.7385359927761306  |792       
 [13, 7, 9, 3, 0]    |1.240355153276389   |0.9727752136744245  |243       
