/tmp/tmp.p9v03PX35b ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k51.mat
  Evaluating with: datasets/N1dataset100k51.mat
Gen 0 Train time: 8.024927361806233 minutes:
 Average MSE:        1.95169237772981
 Average Error:      2.430468302701993
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |1.08607121714482    |1.0592560232500186  |25        
 [13, 12, 11, 7, 16] |2.222967548145302   |1.2458811575590265  |579       
 [1, 0, 0, 0, 0]     |5.585288896048108   |5.557432151464188   |5         
 [3, 0, 0, 0, 0]     |5.113019575533947   |5.046980505057724   |13        
 [17, 3, 8, 4, 0]    |1.1517904223300097  |0.96398226741603    |178       
 [6, 17, 18, 1, 1]   |14.431283997111548  |8.894190847965405   |484       
 [13, 4, 0, 0, 0]    |0.719742664162182   |0.6512500938908315  |100       
 [7, 0, 0, 0, 0]     |0.9952966836660421  |0.9668475855422034  |29        
 [5, 17, 0, 0, 0]    |1.1592130581841422  |1.0128228939720323  |135       
 [13, 0, 0, 0, 0]    |0.7267923437041193  |0.6892753319941514  |53        
 [14, 5, 5, 19, 0]   |0.8433527133388495  |0.6367551953749485  |281       
 [11, 11, 10, 7, 20] |1.723334380557166   |1.0012618029297387  |543       
 [3, 10, 15, 0, 0]   |2.3466145595798555  |1.8644641197097571  |230       
 [18, 7, 0, 0, 0]    |0.681514113251627   |0.5607734323377531  |195       
 [1, 20, 0, 0, 0]    |6.15810709526462    |5.776335243003873   |64        
 [11, 1, 13, 1, 9]   |4.392311918023945   |3.922996289018529   |113       
 [5, 0, 0, 0, 0]     |1.2052417852127268  |1.1801956129718536  |21        
 [3, 15, 12, 11, 0]  |3.0964435822743925  |2.0426627398944217  |416       
 [11, 18, 2, 15, 0]  |1.5126045658433673  |1.0680483840987485  |348       
 [9, 0, 0, 0, 0]     |0.9313411433148243  |0.8975112336811988  |37        
 [16, 0, 0, 0, 0]    |0.5892907062711483  |0.5522051473173835  |65        
 [19, 10, 2, 3, 20]  |1.2729896102312446  |0.8627486842254422  |389       
 [12, 0, 0, 0, 0]    |0.7798890467150037  |0.7425956335405823  |49        
 [11, 12, 9, 0, 0]   |0.7770805498115284  |0.5733773277858362  |304       
 [19, 6, 1, 8, 0]    |1.260125391829298   |1.0224597392435795  |209       
Gen 1 Train time: 8.223895565668743 minutes:
 Average MSE:        1.300977881358856
 Average Error:      1.622620213266287
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.621636736798248   |0.5825155600937408  |65        
 [18, 7, 0, 0, 0]    |0.7005258612915218  |0.5764169575352072  |195       
 [13, 4, 0, 0, 0]    |0.609019839285238   |0.5510639389115297  |100       
 [11, 9, 0, 0, 0]    |0.7505529469278145  |0.6453612241377661  |151       
 [14, 6, 5, 0, 0]    |0.8922918297407492  |0.7505402214134784  |173       
 [13, 20, 3, 10, 0]  |1.3724584969330054  |0.8901223577527881  |433       
 [12, 4, 0, 0, 0]    |0.8065111221105049  |0.734887692383639   |93        
 [11, 11, 10, 7, 20] |2.249956344121334   |1.3072305473878993  |543       
 [10, 11, 3, 10, 0]  |1.257357748635326   |0.9910527611419685  |238       
 [9, 0, 0, 0, 0]     |0.7346484775009     |0.7079632056381333  |37        
 [13, 3, 3, 10, 0]   |1.0152784442391793  |0.8791171657353161  |144       
 [8, 7, 8, 0, 0]     |1.0014865258349162  |0.8534105227235729  |160       
 [4, 8, 14, 11, 10]  |5.170565840588431   |3.218714735645036   |474       
 [4, 0, 0, 0, 0]     |1.580213177535868   |1.5535766058712521  |17        
 [7, 11, 5, 4, 8]    |1.6403847869598878  |1.2877942105649016  |242       
 [5, 0, 0, 0, 0]     |1.4175753709429322  |1.3881166869339059  |21        
 [15, 4, 4, 2, 0]    |1.0796302629031143  |0.9367101652402177  |142       
 [15, 8, 3, 10, 15]  |1.2048346468883935  |0.7908415360523556  |421       
 [14, 4, 3, 16, 1]   |10.863694780825936  |8.89444100911496    |200       
 [17, 2, 2, 2, 0]    |0.9961894204076589  |0.8995884856880064  |102       
 [11, 2, 0, 0, 0]    |0.9892988497935249  |0.9316865698512327  |60        
 [16, 4, 0, 0, 0]    |0.7335744225888932  |0.6499718503024944  |121       
 [14, 5, 3, 10, 0]   |0.9027657571966642  |0.7495425706542609  |186       
 [13, 3, 1, 4, 0]    |1.1718533588523057  |1.062459563163793   |98        
 [14, 3, 3, 10, 0]   |0.8032002827548301  |0.6913208900339441  |150       
Increasing Epochs
Gen 2 Train time: 9.6383642911911 minutes:
