/tmp/tmp.kjIYJ6oM7l ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k52.mat
  Evaluating with: datasets/N1dataset100k52.mat
Gen 0 Train time: 8.179513374964396 minutes:
 Average MSE:        1.6760742641721762
 Average Error:      2.129864662811109
 Structure           |Error               |MSE                 |weights&biases
 [15, 17, 0, 0, 0]   |0.7536910455406203  |0.5391439102180874  |335       
 [15, 11, 7, 7, 17]  |1.4561251146537117  |0.8700356218441421  |515       
 [8, 0, 0, 0, 0]     |0.9318622520781563  |0.9016126611110907  |33        
 [4, 17, 0, 0, 0]    |1.8363942318001167  |1.6368996450924178  |115       
 [16, 1, 16, 11, 0]  |2.5299160133004253  |1.8817197246397899  |296       
 [4, 3, 12, 17, 17]  |2.4276536572560916  |1.3059427813272828  |620       
 [4, 0, 0, 0, 0]     |2.198492135812093   |2.1614336590431735  |17        
 [17, 7, 9, 0, 0]    |0.7558859781526102  |0.5834102007340943  |259       
 [11, 0, 0, 0, 0]    |0.7163945444639805  |0.6848713805065362  |45        
 [3, 5, 11, 4, 5]    |5.400469739613777   |4.537997968095693   |174       
 [13, 18, 1, 0, 0]   |3.5539308240289964  |2.601411715790451   |312       
 [3, 0, 0, 0, 0]     |3.157962364482468   |3.117174548971799   |13        
 [2, 11, 18, 1, 0]   |9.280172700476731   |7.041915044819213   |276       
 [5, 0, 0, 0, 0]     |1.2131634065278905  |1.1879526147937993  |21        
 [9, 5, 1, 0, 0]     |1.3041922726467636  |1.1979166236475072  |85        
 [8, 16, 12, 1, 0]   |4.338441542333297   |2.946197017258325   |387       
 [19, 14, 10, 0, 0]  |0.8358139228447835  |0.5079616781298979  |498       
 [9, 17, 0, 0, 0]    |0.8061308833338857  |0.6501779636155329  |215       
 [6, 14, 9, 13, 12]  |2.6720480349721125  |1.523248511064321   |562       
 [19, 1, 2, 9, 0]    |1.7972588553732205  |1.5972168502968465  |118       
 [20, 5, 4, 3, 10]   |1.216217243223476   |0.9424668068786162  |255       
 [13, 0, 0, 0, 0]    |0.6565633360695349  |0.6226715448570448  |53        
 [6, 7, 7, 5, 15]    |1.8510406797764114  |1.4144602513816023  |269       
 [15, 0, 0, 0, 0]    |0.6163835073869443  |0.579907928364285   |61        
 [15, 2, 0, 0, 0]    |0.9404122841296245  |0.8681099518228498  |80        
Gen 1 Train time: 8.183953074614207 minutes:
 Average MSE:        1.0040945009519926
 Average Error:      1.2633370273639268
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.5817148711288761  |0.5472908696813532  |61        
 [13, 0, 0, 0, 0]    |0.692736478978474   |0.6569774305805485  |53        
 [11, 0, 0, 0, 0]    |0.7666506603646117  |0.732916100754252   |45        
 [14, 9, 0, 0, 0]    |0.6384634494751419  |0.5295695090781752  |187       
 [6, 4, 4, 3, 8]     |4.039610090654101   |3.5756542811292262  |122       
 [16, 5, 5, 0, 0]    |0.7587421802485248  |0.6407645265944104  |169       
 [12, 9, 0, 0, 0]    |0.8185216359214931  |0.6954087694055959  |163       
 [15, 7, 4, 4, 9]    |1.445546163042113   |1.1101412035686216  |264       
 [12, 2, 7, 0, 0]    |0.8397560291948342  |0.7667121274893245  |91        
 [9, 12, 0, 0, 0]    |0.8973492806735818  |0.7646706160592902  |160       
 [6, 11, 5, 19, 16]  |2.18816705359977    |1.1937077643691443  |606       
 [14, 1, 0, 0, 0]    |1.4846616111159001  |1.3996005507066447  |59        
 [15, 6, 4, 4, 9]    |1.3541875024116492  |1.0609891626128376  |244       
 [12, 0, 0, 0, 0]    |0.6803185627321441  |0.6477864976171561  |49        
 [14, 0, 0, 0, 0]    |0.6166533728942096  |0.5824871188907336  |57        
 [17, 16, 5, 0, 0]   |0.9716505823986107  |0.6320675407435035  |430       
 [19, 6, 7, 19, 5]   |1.9984223844153535  |1.231654098512219   |484       
 [18, 11, 10, 20, 0] |1.2978711518375565  |0.6953954145989197  |624       
 [5, 7, 7, 7, 8]     |3.8342149955146265  |3.010074168290618   |242       
 [18, 12, 10, 5, 0]  |1.2274871095660251  |0.7648841299535348  |473       
 [8, 4, 5, 0, 0]     |0.787757951832291   |0.7192369619246124  |91        
 [14, 5, 0, 0, 0]    |0.7886814429420601  |0.6974023413296991  |123       
 [10, 1, 16, 0, 0]   |1.1790313893466124  |1.0775535551375324  |90        
 [13, 9, 8, 0, 0]    |1.0857852202767693  |0.8422346941519171  |254       
 [13, 7, 0, 0, 0]    |0.6094445135328459  |0.5271830906199426  |145       
Gen 2 Train time: 8.335330581665039 minutes:
 Average MSE:        1.1272421262767685
 Average Error:      1.5432291153592368
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6402775413065449  |0.6023879907678416  |61        
 [13, 7, 0, 0, 0]    |0.7450475901481882  |0.6444827749066175  |145       
 [14, 0, 0, 0, 0]    |0.6874385557785081  |0.6493503828422666  |57        
 [13, 8, 0, 0, 0]    |0.6255821618196372  |0.5330859536826592  |160       
 [16, 9, 12, 0, 0]   |0.8219766641000502  |0.5885794992313447  |334       
 [16, 13, 3, 6, 0]   |1.2289520349862733  |0.8729838717261892  |342       
 [17, 8, 4, 10, 3]   |1.6534818889107639  |1.203078032964504   |318       
 [15, 12, 3, 1, 0]   |1.843306187250919   |1.3903573495803907  |282       
 [13, 3, 0, 0, 0]    |0.6451191769799471  |0.5925498889590393  |85        
 [12, 7, 0, 0, 0]    |0.8747019855326293  |0.7642410427449751  |135       
 [15, 8, 3, 0, 0]    |0.8309947168518529  |0.6776449222481249  |204       
