/tmp/tmp.fgHTMlzDjT ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k53.mat
  Evaluating with: datasets/N1dataset100k53.mat
Gen 0 Train time: 8.012511189778646 minutes:
 Average MSE:        1.5912043249140593
 Average Error:      2.203340293635951
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 19, 2, 0]   |1.2713624587829975  |1.0388238166477581  |202       
 [14, 13, 8, 0, 0]   |1.1011635235013897  |0.7697937704591371  |358       
 [2, 0, 0, 0, 0]     |4.186253239354963   |4.148745995969554   |9         
 [9, 0, 0, 0, 0]     |0.7426921692314422  |0.7157147193989614  |37        
 [10, 6, 0, 0, 0]    |0.7220114704747204  |0.6513460226782988  |103       
 [1, 7, 16, 15, 0]   |8.306591473109744   |5.4796945097843555  |416       
 [15, 19, 0, 0, 0]   |0.8362730343850346  |0.5782204260481976  |369       
 [4, 19, 10, 0, 0]   |3.757619577092759   |2.7340544820939643  |318       
 [8, 15, 0, 0, 0]    |0.7806760533959348  |0.6553439939696141  |175       
 [11, 6, 18, 14, 13] |2.523466395225071   |1.2456201395706494  |706       
 [18, 7, 8, 17, 0]   |1.2151659646431783  |0.7968256865288995  |422       
 [2, 7, 3, 0, 0]     |4.747104747962509   |4.493064139725981   |55        
 [20, 11, 2, 15, 0]  |0.9684480581980957  |0.6649386961890986  |376       
 [16, 0, 0, 0, 0]    |0.7044124822731208  |0.6600820179350535  |65        
 [5, 0, 0, 0, 0]     |1.207455432818693   |1.1823632586884893  |21        
 [16, 17, 6, 17, 1]  |14.562771158647791  |8.121122239743755   |584       
 [17, 14, 0, 0, 0]   |0.7726481865064035  |0.5621809749655396  |318       
 [14, 16, 0, 0, 0]   |0.7810087672758732  |0.5791644002246621  |299       
 [13, 10, 0, 0, 0]   |0.7960488409466786  |0.6582998600858827  |190       
 [20, 16, 14, 0, 0]  |1.0148176979590637  |0.5303113396742332  |649       
 [20, 7, 3, 0, 0]    |0.8676993640752438  |0.685977823479279   |235       
 [11, 0, 0, 0, 0]    |0.7408723175993511  |0.7082720699848323  |45        
 [8, 8, 0, 0, 0]     |0.7679705978870183  |0.6914227619029187  |105       
 [15, 0, 0, 0, 0]    |0.7123831221033169  |0.6702265968989913  |61        
 [18, 6, 13, 0, 0]   |0.9965912074483747  |0.758498380203369   |273       
Gen 1 Train time: 8.11190242767334 minutes:
 Average MSE:        1.432207172419723
 Average Error:      2.0528007587880266
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6568894249181048  |0.6155497071274497  |65        
 [15, 0, 0, 0, 0]    |0.7568155947992955  |0.7120296998120811  |61        
 [10, 6, 0, 0, 0]    |0.7186326478001022  |0.6482978956049148  |103       
 [5, 17, 9, 16, 5]   |5.735596790256004   |3.376000774815907   |530       
 [15, 19, 17, 0, 0]  |1.466691179718207   |0.7232567267528378  |707       
