/tmp/tmp.zpDMkZn9pB ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k54.mat
  Evaluating with: datasets/N1dataset100k54.mat
Gen 0 Train time: 8.07617120742798 minutes:
 Average MSE:        1.4100396103431467
 Average Error:      1.8964477561435822
 Structure           |Error               |MSE                 |weights&biases
 [3, 12, 0, 0, 0]    |3.1118330487060404  |2.9014539031925977  |70        
 [10, 17, 9, 15, 0]  |1.924264923063017   |1.115769204607172   |545       
 [7, 7, 14, 2, 0]    |1.7679454767148974  |1.4159746956069248  |222       
 [12, 10, 0, 0, 0]   |0.7879100284607937  |0.6600950938673897  |177       
 [10, 1, 15, 19, 3]  |13.432577473208397  |8.659724517865696   |439       
 [2, 7, 3, 0, 0]     |4.342828883633165   |4.110423038462199   |55        
 [16, 2, 0, 0, 0]    |0.9360168709022432  |0.8597429943307233  |85        
 [4, 9, 17, 11, 14]  |4.0751297485351055  |2.218658172443171   |608       
 [11, 2, 5, 5, 0]    |1.0752264314851165  |0.9651529173124587  |108       
 [19, 13, 7, 14, 20] |1.8503625273531565  |0.7924559016567132  |848       
 [13, 17, 0, 0, 0]   |0.7652883386754443  |0.5697813416631771  |295       
 [8, 11, 2, 0, 0]    |1.3918072564635369  |1.1979396072844424  |150       
 [11, 8, 0, 0, 0]    |0.6674232356247602  |0.5813915073934763  |138       
 [9, 13, 0, 0, 0]    |0.9316023085976707  |0.7851745235820824  |171       
 [18, 7, 1, 0, 0]    |1.4291641174773988  |1.173616186738991   |197       
 [10, 0, 0, 0, 0]    |0.8292551347124687  |0.7959432344558137  |41        
 [17, 0, 0, 0, 0]    |0.6202956703153368  |0.5789384986422962  |69        
 [4, 0, 0, 0, 0]     |1.4696793511915252  |1.4449059725622795  |17        
 [14, 14, 0, 0, 0]   |0.7303367440429646  |0.5591991780153973  |267       
 [10, 0, 0, 0, 0]    |0.8710383765630461  |0.8360480071276518  |41        
 [16, 11, 0, 0, 0]   |0.6829681540444389  |0.5334942175101169  |247       
 [18, 11, 0, 0, 0]   |0.7077657810022299  |0.5375991570218418  |275       
 [19, 11, 11, 0, 0]  |0.9205285671686164  |0.6042258395538472  |421       
 [13, 5, 19, 0, 0]   |0.8982732892779776  |0.7044901523625946  |243       
 [15, 16, 17, 0, 0]  |1.1916721663702021  |0.648792395319614   |608       
Gen 1 Train time: 7.771622304121653 minutes:
 Average MSE:        0.8796054910470904
 Average Error:      1.0249584637509717
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.747552984175998   |0.6977111449035368  |69        
 [11, 8, 0, 0, 0]    |0.7713391379719444  |0.6719125139796926  |138       
 [16, 11, 0, 0, 0]   |0.7164292856369487  |0.5596320690486347  |247       
 [15, 10, 6, 0, 0]   |0.965737054932169   |0.7313496021187469  |278       
 [17, 11, 0, 0, 0]   |0.8604566116226823  |0.6627933100895947  |261       
 [10, 0, 0, 0, 0]    |1.0799871084706496  |1.0366030866782228  |41        
 [17, 1, 9, 0, 0]    |0.9583449818537431  |0.8697517442290467  |97        
 [12, 10, 3, 3, 17]  |1.431641873205329   |1.0637729217318512  |297       
 [2, 14, 0, 0, 0]    |3.446796708023778   |3.2363472741321155  |63        
 [14, 9, 5, 8, 0]    |0.8801971742924521  |0.6625830735720042  |284       
 [12, 9, 0, 0, 0]    |0.7432792203294457  |0.6314834761235639  |163       
 [14, 10, 0, 0, 0]   |0.745664780777532   |0.6086699359460968  |203       
 [11, 4, 0, 0, 0]    |0.7898237744735894  |0.7247377391374912  |86        
 [12, 7, 0, 0, 0]    |0.746869647791874   |0.6525518952325984  |135       
 [14, 0, 0, 0, 0]    |0.6344009578750903  |0.5992513824092519  |57        
 [12, 9, 3, 0, 0]    |0.8898090099142067  |0.7380465098526365  |187       
 [14, 12, 0, 0, 0]   |0.6656084695001494  |0.5262106532528155  |235       
 [16, 12, 1, 0, 0]   |1.4939482751902033  |1.1438759644752807  |267       
 [14, 4, 0, 0, 0]    |0.6167188010158889  |0.5541376757285759  |107       
 [13, 11, 1, 0, 0]   |1.3510991791160876  |1.0984701817034561  |207       
 [11, 1, 3, 3, 0]    |1.7910700687374406  |1.6750001335411848  |67        
 [10, 9, 0, 0, 0]    |0.6755560050336825  |0.5878877703735942  |139       
 [17, 7, 0, 0, 0]    |0.7869017357287819  |0.6539974035348639  |185       
 [14, 7, 6, 0, 0]    |0.8849379557466763  |0.7230783151841808  |202       
 [7, 6, 0, 0, 0]     |0.9497907923579471  |0.8802814991982224  |76        
Gen 2 Train time: 8.17894759575526 minutes:
 Average MSE:        1.3710057956510258
 Average Error:      1.9308087050539586
 Structure           |Error               |MSE                 |weights&biases
 [14, 4, 0, 0, 0]    |0.6687743692628718  |0.600910940220589   |107       
 [14, 0, 0, 0, 0]    |0.6547723396973638  |0.6184940688633724  |57        
 [14, 12, 0, 0, 0]   |0.7867541719456238  |0.6219849141640041  |235       
 [12, 6, 3, 0, 0]    |0.9897534321658108  |0.8613111779334413  |139       
 [7, 9, 12, 4, 3]    |2.244667642815935   |1.689710929963118   |284       
 [12, 10, 0, 0, 0]   |0.8099697725204897  |0.6785763014923543  |177       
 [13, 20, 15, 16, 8] |2.7066348361056933  |0.9614680973152249  |1035      
 [14, 5, 0, 0, 0]    |0.7577883118943409  |0.6700846681214716  |123       
 [13, 4, 0, 0, 0]    |0.7380582569574652  |0.6678227275855135  |100       
 [14, 7, 3, 4, 0]    |0.9953658853043964  |0.8214823018040226  |192       
 [16, 4, 8, 16, 0]   |1.2634748685765027  |0.920227605112671   |317       
 [1, 8, 19, 12, 10]  |12.698178137557461  |7.17396520853995    |571       
 [3, 1, 1, 19, 7]    |10.507342651104455  |8.59408617693442    |201       
 [11, 9, 0, 0, 0]    |0.6008360039552967  |0.5166274552725552  |151       
 [14, 5, 2, 0, 0]    |0.8728700453715108  |0.7649318041358475  |132       
 [13, 1, 2, 2, 0]    |1.9959583958941394  |1.8684782582384938  |66        
 [15, 11, 10, 0, 0]  |0.9842968746929296  |0.6922364260949747  |352       
 [12, 5, 0, 0, 0]    |0.6554380983870016  |0.5889279584566667  |107       
 [12, 8, 0, 0, 0]    |0.7597259681715356  |0.6545564299633041  |149       
 [14, 10, 3, 0, 0]   |0.8975285783715983  |0.7138300880151951  |229       
 [17, 12, 15, 18, 8] |2.6211359159447283  |1.054016157311242   |911       
 [15, 8, 0, 0, 0]    |0.7971907569419309  |0.6645392835538282  |182       
 [14, 10, 0, 0, 0]   |0.7455315939477368  |0.6085612184348905  |203       
 [16, 6, 0, 0, 0]    |0.6854960939481001  |0.5858962938011103  |157       
 [15, 9, 0, 0, 0]    |0.8326746248140429  |0.6824183999473827  |199       
Gen 3 Train time: 7.888246691226959 minutes:
 Average MSE:        0.7864109597505216
 Average Error:      0.9376555241348054
 Structure           |Error               |MSE                 |weights&biases
 [11, 9, 0, 0, 0]    |0.8152730963532375  |0.7010106956780959  |151       
 [14, 0, 0, 0, 0]    |0.7658773925200706  |0.7234432428363555  |57        
 [12, 5, 0, 0, 0]    |1.016422455311465   |0.9132816707011926  |107       
 [15, 5, 0, 0, 0]    |0.6596846884583895  |0.5786871342093173  |131       
 [15, 10, 5, 0, 0]   |0.9869241337089755  |0.7564172719496063  |266       
 [16, 17, 0, 0, 0]   |0.9021010516452782  |0.6325293005041939  |355       
 [12, 7, 0, 0, 0]    |0.8825519722815601  |0.7710997010740561  |135       
 [14, 7, 0, 0, 0]    |0.7819675319834624  |0.6696888626900402  |155       
 [15, 6, 0, 0, 0]    |0.5876159302066167  |0.5067782618457997  |148       
 [14, 5, 0, 0, 0]    |0.6470688410961806  |0.5721794633566945  |123       
 [19, 9, 0, 0, 0]    |0.7996570000023518  |0.624644623569057   |247       
 [6, 7, 1, 0, 0]     |1.6511272031658344  |1.5287619244249164  |77        
 [13, 3, 0, 0, 0]    |0.7387074959545401  |0.6785119096136849  |85        
 [14, 20, 0, 0, 0]   |0.7906963252501211  |0.5499976368615722  |363       
 [14, 2, 0, 0, 0]    |0.9642626466824008  |0.8945883895695281  |75        
 [13, 9, 7, 2, 0]    |1.429605865523986   |1.108933550044513   |254       
 [20, 2, 18, 3, 20]  |1.3753586197743757  |1.0047256422882649  |314       
 [13, 4, 0, 0, 0]    |0.7884236300680956  |0.7133952017493541  |100       
 [13, 10, 2, 0, 0]   |1.151769971313369   |0.93922507186952    |204       
 [9, 6, 0, 0, 0]     |0.7329367034550623  |0.6671796469687161  |94        
 [14, 7, 2, 0, 0]    |0.9665187316918998  |0.8186860519531385  |166       
 [14, 5, 1, 0, 0]    |1.3874749895889529  |1.2244423807258447  |125       
 [13, 7, 18, 0, 0]   |1.0350527884299272  |0.7667859650363091  |300       
 [12, 7, 2, 0, 0]    |0.8369565439218998  |0.7232624446609055  |146       
 [15, 11, 0, 0, 0]   |0.7473524949820809  |0.5920179495823673  |233       
Gen 4 Train time: 8.067952255407969 minutes:
 Average MSE:        0.9429928997703121
 Average Error:      1.1587344638901182
 Structure           |Error               |MSE                 |weights&biases
 [15, 6, 0, 0, 0]    |0.6634584784638117  |0.5721872352992982  |148       
 [14, 5, 0, 0, 0]    |0.6622903497023954  |0.5856392903065271  |123       
 [15, 5, 0, 0, 0]    |0.8215390099916084  |0.72066862192026    |131       
 [13, 19, 1, 0, 0]   |1.7997136666924594  |1.2977442671547381  |327       
 [14, 4, 0, 0, 0]    |0.6939669718777353  |0.6235471404394864  |107       
 [17, 5, 0, 0, 0]    |0.653189401483916   |0.563894476413235   |147       
 [14, 6, 1, 0, 0]    |1.4678112107112868  |1.2747783480927661  |141       
 [11, 5, 0, 0, 0]    |0.693670713684786   |0.6282871906894856  |99        
 [10, 9, 18, 0, 0]   |1.0695083156326897  |0.7704342398490949  |328       
 [15, 10, 0, 0, 0]   |0.8037224381386425  |0.6475875413161283  |216       
 [16, 19, 2, 8, 19]  |1.717670210122683   |0.9184836673324964  |626       
 [13, 10, 1, 0, 0]   |3.0925660065011704  |2.552315966429309   |192       
 [13, 8, 0, 0, 0]    |1.0336384387334783  |0.8808085756034651  |160       
 [13, 10, 2, 1, 0]   |1.942625313510673   |1.5809727349594644  |206       
 [14, 5, 18, 0, 0]   |0.9721512609657428  |0.7616684915997085  |244       
 [14, 8, 1, 13, 0]   |1.2772912166937491  |1.0343173031338309  |211       
 [13, 9, 2, 0, 0]    |1.0121170052858108  |0.8386550360201197  |188       
 [15, 8, 3, 5, 0]    |1.063567690643388   |0.8484271991729887  |226       
 [13, 7, 7, 0, 0]    |0.957083940106067   |0.7828108526533015  |201       
 [14, 3, 0, 0, 0]    |0.790549657631973   |0.7217858387633422  |91        
 [14, 5, 1, 10, 0]   |1.0677363547545975  |0.9153405027478803  |154       
 [13, 7, 0, 0, 0]    |0.7885696046925976  |0.6821302877286216  |145       
 [14, 6, 15, 0, 0]   |1.1741659302165406  |0.9117021327448359  |253       
