/tmp/tmp.3n4z91mvzY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k55.mat
  Evaluating with: datasets/N1dataset100k55.mat
Gen 0 Train time: 8.251299397150676 minutes:
 Average MSE:        1.6835756952994256
 Average Error:      2.0508130884680056
 Structure           |Error               |MSE                 |weights&biases
 [18, 10, 12, 0, 0]  |0.8378384566847504  |0.5678318348308715  |389       
 [19, 11, 18, 14, 0] |1.605089163418198   |0.7402104869322571  |774       
 [13, 12, 16, 6, 0]  |1.5482829557383506  |0.9168114412129855  |524       
 [13, 0, 0, 0, 0]    |0.6086315488002951  |0.5772139958483443  |53        
 [14, 3, 0, 0, 0]    |0.771851222792227   |0.7047138365885582  |91        
 [17, 5, 7, 13, 0]   |1.0995430785448976  |0.8137473926085661  |301       
 [8, 4, 16, 1, 0]    |3.7424969312188465  |3.1923362557828248  |159       
 [4, 9, 16, 0, 0]    |2.017241746151603   |1.5963680913349108  |234       
 [1, 2, 9, 18, 5]    |10.34350173824601   |7.548572489554587   |315       
 [1, 0, 0, 0, 0]     |6.636751204249682   |6.603650269525497   |5         
 [12, 10, 6, 3, 0]   |1.0838072964841936  |0.8381821129479412  |257       
 [4, 0, 0, 0, 0]     |1.419008534360152   |1.3950892789992226  |17        
 [20, 5, 12, 0, 0]   |1.0645945572423887  |0.829107074833928   |250       
 [20, 17, 0, 0, 0]   |0.7523766690406831  |0.48698683420389843 |435       
 [18, 2, 2, 0, 0]    |1.0156817020843685  |0.9181082414117998  |101       
 [9, 15, 1, 0, 0]    |1.3507859368756432  |1.1114734844759484  |195       
 [19, 0, 0, 0, 0]    |0.6137670956079272  |0.5682807263009075  |77        
 [12, 16, 2, 5, 0]   |1.4515156537241318  |1.0763850909613404  |299       
 [15, 14, 6, 2, 13]  |1.6168691221317735  |1.0560036467345717  |426       
 [7, 6, 7, 17, 0]    |1.0918894393263368  |0.8318606219897633  |272       
 [16, 3, 0, 0, 0]    |0.6780286411390387  |0.6116679259645462  |103       
 [6, 15, 13, 0, 0]   |1.416221447225898   |1.0029968539430048  |345       
 [3, 8, 0, 0, 0]     |1.8807097432350892  |1.7889864467103993  |50        
 [6, 15, 0, 0, 0]    |1.0967158674350876  |0.9543928870969174  |139       
 [1, 9, 0, 0, 0]     |5.527127459942565   |5.358415061692058   |31        
Gen 1 Train time: 8.226960456371307 minutes:
 Average MSE:        0.8119326393617748
 Average Error:      1.00548382938251
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.672552380272881   |0.6378352347981942  |53        
 [19, 0, 0, 0, 0]    |0.6879958765645732  |0.6370084014342451  |77        
 [16, 3, 0, 0, 0]    |0.6211551454048511  |0.5603608113865496  |103       
 [18, 2, 0, 0, 0]    |1.0760256783232487  |0.9785086286599819  |95        
 [17, 3, 6, 0, 0]    |0.6865535011380296  |0.5992531652776647  |136       
 [12, 10, 6, 3, 0]   |0.9802169319480801  |0.7580686177633355  |257       
 [16, 6, 8, 3, 6]    |1.0622269917845424  |0.8157622227996699  |264       
 [19, 10, 1, 0, 0]   |1.8755201344387546  |1.4317336118464434  |270       
 [20, 17, 0, 0, 0]   |0.7078697543232301  |0.45817908086663567 |435       
 [18, 8, 10, 7, 0]   |1.03998823166484    |0.7104969653383166  |381       
 [16, 7, 6, 0, 0]    |0.9176450385316649  |0.7349560103654807  |222       
 [10, 8, 7, 0, 0]    |0.7979922920864145  |0.6605672518355366  |189       
 [17, 7, 6, 0, 0]    |0.7036834044832162  |0.5579830276202153  |232       
 [15, 3, 0, 0, 0]    |0.7117012833532628  |0.6459087742800117  |97        
 [16, 11, 9, 3, 0]   |1.127175651145973   |0.7731478972252359  |377       
 [19, 1, 1, 0, 0]    |3.0591984019721394  |2.821173467176133   |81        
 [18, 4, 6, 13, 0]   |0.9833273559372347  |0.7544145982490725  |265       
 [13, 8, 3, 0, 0]    |1.0111112598810181  |0.8428637015462597  |182       
 [13, 16, 7, 4, 0]   |1.24804621642772    |0.8208452324326372  |419       
 [15, 10, 9, 2, 0]   |1.2561123043155402  |0.9057621620576262  |327       
 [13, 8, 7, 0, 0]    |0.956818283583485   |0.7663304641983301  |222       
 [17, 9, 0, 0, 0]    |0.615531295695857   |0.49249572989177226 |223       
 [18, 4, 6, 0, 0]    |0.7806948565206198  |0.6606236841606904  |167       
 [14, 13, 7, 0, 0]   |0.8172662793745455  |0.5799633808638184  |343       
 [16, 0, 0, 0, 0]    |0.7406871853910232  |0.6940738619705147  |65        
Increasing Epochs
Gen 2 Train time: 9.614962887763976 minutes:
 Average MSE:        0.7613452714238044
 Average Error:      0.9628318837565187
 Structure           |Error               |MSE                 |weights&biases
 [17, 9, 0, 0, 0]    |0.5672743480083459  |0.4538846294653641  |223       
 [16, 3, 0, 0, 0]    |0.7547395599493879  |0.680870914983913   |103       
 [13, 0, 0, 0, 0]    |0.6753720178149237  |0.6405093226855122  |53        
 [15, 8, 4, 0, 0]    |0.882971286342559   |0.7128654420500646  |214       
 [19, 12, 3, 0, 0]   |0.8064988207878475  |0.5740419259798304  |340       
 [17, 16, 11, 9, 11] |1.7844353246186764  |0.8378652595390632  |756       
 [17, 8, 3, 19, 0]   |0.8029281758905623  |0.5842127796746179  |318       
 [18, 5, 1, 0, 0]    |2.8892686252707462  |2.4694696210335     |157       
 [17, 8, 3, 1, 0]    |1.3434776000199724  |1.0695751099214124  |228       
 [16, 4, 5, 4, 0]    |0.7559196622419708  |0.6377428232069726  |170       
 [14, 7, 3, 2, 0]    |0.9671883880993107  |0.8062495367541198  |182       
 [18, 0, 0, 0, 0]    |0.6296582516042959  |0.5853308333239429  |73        
 [17, 3, 3, 0, 0]    |0.9116801791759986  |0.8077795990376524  |121       
 [14, 2, 0, 0, 0]    |0.9106415996107694  |0.8448418124187054  |75        
 [20, 17, 0, 0, 0]   |0.6917733975045187  |0.4477604778292032  |435       
 [17, 10, 3, 0, 0]   |0.7958824299883435  |0.6087766635411392  |268       
 [15, 8, 17, 0, 0]   |0.8411073057170309  |0.5962853006165868  |344       
 [13, 3, 3, 0, 0]    |0.9267328095223906  |0.8410619273628077  |97        
 [19, 2, 3, 7, 0]    |0.7269949971476999  |0.6307563128842608  |142       
 [17, 2, 3, 7, 0]    |0.7323567816066809  |0.641794270746326   |132       
 [18, 8, 8, 4, 0]    |0.9571178005557143  |0.6957055270298091  |319       
 [17, 5, 6, 5, 0]    |0.9615766017041508  |0.7732282095415799  |218       
 [17, 2, 3, 0, 0]    |0.8735590606553     |0.7904289249452597  |100       
 [15, 8, 17, 9, 0]   |1.0816475057064827  |0.6573657929430272  |498       
 [18, 7, 3, 0, 0]    |0.7999945643692883  |0.645228768080439   |215       
Gen 3 Train time: 9.66777571439743 minutes:
 Average MSE:        0.8394706050288108
 Average Error:      1.0428564893206143
 Structure           |Error               |MSE                 |weights&biases
 [17, 9, 0, 0, 0]    |0.5660870980198331  |0.4529346931197303  |223       
 [18, 0, 0, 0, 0]    |0.579473420786706   |0.5386789729412074  |73        
 [13, 0, 0, 0, 0]    |0.6103007909803051  |0.5787970717678581  |53        
 [18, 8, 6, 12, 0]   |0.8220605732780375  |0.5752553806519185  |357       
 [16, 6, 10, 5, 0]   |0.7915955054575936  |0.5976770368592608  |281       
 [13, 5, 0, 0, 0]    |0.6129197613459676  |0.5463359241952505  |115       
 [17, 6, 7, 4, 0]    |0.8625316582477147  |0.6751074432877704  |245       
 [11, 1, 2, 4, 0]    |1.585580705461293   |1.4843110362075949  |66        
 [17, 7, 3, 3, 0]    |0.9464602104580385  |0.7618341881523942  |217       
 [15, 2, 18, 0, 0]   |0.8983711490628982  |0.7732352137885811  |150       
 [15, 5, 2, 0, 0]    |0.8701608989137969  |0.756481543592737   |140       
 [17, 6, 2, 0, 0]    |0.8466775865363584  |0.7100390501578218  |176       
 [15, 8, 11, 0, 0]   |0.824626301209995   |0.6207511738983291  |284       
 [8, 4, 14, 12, 2]   |2.728732001932274   |1.9441736596447594  |339       
 [14, 1, 0, 0, 0]    |1.1373442923109225  |1.0721821632236979  |59        
 [18, 2, 2, 12, 0]   |1.0245103101805582  |0.8844535805798011  |147       
 [17, 6, 12, 4, 0]   |0.9050000032229442  |0.6704404921045704  |300       
 [13, 17, 9, 1, 2]   |2.8649020249607524  |1.8158145453517776  |456       
 [17, 4, 3, 3, 0]    |0.9822575912328664  |0.8420619503900453  |154       
 [17, 3, 2, 9, 0]    |0.9702983386933219  |0.8351435196253245  |150       
 [17, 6, 3, 0, 0]    |0.6210863299225551  |0.5167039551298783  |184       
 [17, 10, 2, 18, 0]  |1.027946476121074   |0.7419770988663436  |326       
 [18, 4, 2, 0, 0]    |0.7050076314846122  |0.611068233191659   |143       
 [16, 8, 3, 0, 0]    |0.9730726775301147  |0.7848234387323464  |215       
 [18, 1, 2, 4, 0]    |1.3144088956648219  |1.1964837602596101  |94        
Gen 4 Train time: 9.726041475931803 minutes:
 Average MSE:        0.8131901461607347
 Average Error:      0.9947340913999787
 Structure           |Error               |MSE                 |weights&biases
 [17, 9, 0, 0, 0]    |0.7210713645416018  |0.5769399061708222  |223       
 [18, 0, 0, 0, 0]    |0.5558453817784829  |0.5167143282672814  |73        
 [13, 0, 0, 0, 0]    |0.7245866963803351  |0.6871835401576893  |53        
 [17, 8, 6, 0, 0]    |0.7167498386871081  |0.5548661312527642  |256       
 [15, 3, 2, 0, 0]    |0.8081564593898752  |0.7283310454765082  |104       
