/tmp/tmp.mf3SNMWBLn ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k56.mat
  Evaluating with: datasets/N1dataset100k56.mat
Gen 0 Train time: 8.31091494957606 minutes:
 Average MSE:        1.5594943943822963
 Average Error:      2.048666342001425
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 20, 0, 0]   |0.9945631229550211  |0.7745665389713124  |250       
 [11, 20, 6, 3, 6]   |1.7400994280757962  |1.1084274001634271  |451       
 [16, 4, 9, 17, 0]   |0.93743840639504    |0.6612626119222749  |349       
 [4, 18, 0, 0, 0]    |1.4603393887704164  |1.2939102909816917  |121       
 [16, 0, 0, 0, 0]    |0.6847245921688435  |0.6416331366957853  |65        
 [19, 11, 7, 3, 0]   |1.0889571697752716  |0.7380235925341238  |389       
 [16, 0, 0, 0, 0]    |0.7003169670928963  |0.6562442439138968  |65        
 [3, 7, 15, 0, 0]    |2.854685924404288   |2.4011837095839415  |173       
 [2, 15, 19, 0, 0]   |4.17557041826269    |2.869824781308682   |375       
 [18, 8, 18, 7, 0]   |1.1392402721906474  |0.6847931975704415  |509       
 [6, 17, 16, 16, 0]  |2.2727108399567655  |1.1129045635976182  |714       
 [9, 13, 6, 12, 7]   |1.5969645256363998  |1.0450917241377116  |424       
 [8, 15, 0, 0, 0]    |0.9656657050898632  |0.8106348558537325  |175       
 [5, 0, 0, 0, 0]     |1.5857416673639928  |1.5527883135908176  |21        
 [14, 0, 0, 0, 0]    |0.6697668018161939  |0.6326577488541603  |57        
 [1, 2, 15, 0, 0]    |6.479555645080633   |6.05359272554294    |68        
 [1, 9, 0, 0, 0]     |7.984327531299011   |7.740610509032801   |31        
 [20, 14, 0, 0, 0]   |0.7367322570357434  |0.5093954032129211  |369       
 [17, 19, 9, 0, 0]   |0.9599930176126097  |0.5358884432344857  |583       
 [4, 11, 0, 0, 0]    |1.581922623271655   |1.4617596612859134  |79        
 [11, 2, 0, 0, 0]    |0.7344326638750839  |0.6916626351433557  |60        
 [10, 18, 8, 9, 0]   |1.25894603671799    |0.7860576777566222  |471       
 [5, 15, 20, 14, 5]  |5.834996132583827   |2.6218327678818847  |800       
 [19, 0, 0, 0, 0]    |0.5740547340786953  |0.5315114536982388  |77        
 [17, 16, 19, 1, 13] |2.2049126785262603  |1.0711018730886273  |722       
Gen 1 Train time: 8.463844660917918 minutes:
 Average MSE:        1.2252450677344549
 Average Error:      1.7085963195105272
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6728925345621071  |0.6230243703186129  |77        
 [14, 0, 0, 0, 0]    |0.78213895302893    |0.738803816451669   |57        
 [16, 0, 0, 0, 0]    |0.7601847006210333  |0.7123443491092625  |65        
 [3, 4, 18, 12, 8]   |8.842998652293778   |5.604814907267617   |456       
 [15, 3, 10, 0, 0]   |0.7270558319587805  |0.6295487370481002  |144       
 [13, 7, 0, 0, 0]    |0.67517713431498    |0.584043272981083   |145       
 [20, 13, 4, 19, 0]  |1.3502121131801625  |0.8156758064177809  |504       
 [15, 5, 15, 9, 0]   |1.2741390228478016  |0.8809720968432962  |369       
 [12, 11, 4, 2, 0]   |3.034868592704146   |2.3873121896969236  |240       
 [10, 8, 3, 6, 4]    |1.9020013278796268  |1.5541156379498422  |202       
 [19, 6, 4, 2, 0]    |1.3389860719250852  |1.076712766472131   |218       
 [15, 0, 0, 0, 0]    |0.6873672326915471  |0.6466910667767317  |61        
 [15, 5, 0, 0, 0]    |0.6886350245084936  |0.6040828835670624  |131       
 [14, 16, 3, 6, 4]   |1.37396494882386    |0.9302524139207135  |390       
 [12, 16, 0, 0, 0]   |0.7453514683466319  |0.5741300144744932  |261       
 [3, 8, 5, 2, 14]    |2.8881553806635867  |2.4734601029312593  |155       
 [13, 9, 8, 15, 4]   |2.056247855395785   |1.3124332966108962  |449       
 [14, 20, 8, 2, 3]   |2.4649474760436707  |1.435008108006837   |541       
 [16, 8, 16, 0, 0]   |1.3124230479308296  |0.9294847149048595  |345       
 [11, 8, 11, 16, 18] |2.920771865724281   |1.3865905869588082  |745       
 [17, 0, 0, 0, 0]    |0.5978023328189718  |0.5579448666329353  |69        
 [18, 13, 0, 0, 0]   |0.7420149772145934  |0.5415142749122179  |315       
 [12, 9, 14, 0, 0]   |1.078615907610061   |0.7926913527508882  |308       
 [12, 4, 10, 0, 0]   |0.8094931493438615  |0.6974342961969611  |149       
 [15, 1, 5, 19, 7]   |2.9884623853305703  |2.142040764160396   |333       
Increasing Epochs
Gen 2 Train time: 9.436849955717722 minutes:
 Average MSE:        1.185540061418814
 Average Error:      1.4606275197980272
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6938655501685008  |0.6476032303594019  |69        
 [19, 0, 0, 0, 0]    |0.6169678850447878  |0.5712443047640277  |77        
 [13, 7, 0, 0, 0]    |0.5808994807505484  |0.5024910009056783  |145       
 [17, 2, 5, 0, 0]    |0.9372513167785845  |0.8413026467312209  |108       
 [14, 4, 10, 0, 0]   |0.8294092291269579  |0.7046587726560014  |163       
 [14, 8, 2, 3, 2]    |1.9882990899532262  |1.627881611261671   |200       
 [5, 6, 4, 4, 6]     |3.3687805854506547  |2.9404153144816383  |136       
 [15, 4, 5, 0, 0]    |0.7084938578003541  |0.6159349700082083  |140       
 [17, 6, 2, 15, 0]   |0.8958797271318233  |0.7089650076870798  |234       
 [14, 4, 0, 0, 0]    |0.6822479344988682  |0.6130172844918415  |107       
 [17, 11, 0, 0, 0]   |0.6657822364301534  |0.5128393533408027  |261       
 [15, 5, 4, 8, 2]    |5.393837079743274   |4.372159362169738   |210       
 [17, 19, 0, 0, 0]   |0.8663409672624739  |0.5732251421061747  |413       
 [19, 7, 0, 0, 0]    |0.6140819017307853  |0.5002601733018022  |205       
 [16, 3, 1, 0, 0]    |1.4911728893509835  |1.3425395196985066  |105       
 [15, 8, 0, 0, 0]    |0.9737408926790131  |0.8117117133548399  |182       
 [17, 7, 0, 0, 0]    |0.6275684321137105  |0.5215748123400668  |185       
 [16, 0, 0, 0, 0]    |0.65174023084785    |0.6107245649015982  |65        
 [16, 3, 0, 0, 0]    |0.6624146022544047  |0.5975820803217287  |103       
 [15, 4, 5, 9, 0]    |0.8217152070681737  |0.6741103837436401  |198       
 [17, 8, 2, 3, 2]    |4.0857540145478835  |3.2365446431654177  |233       
 [14, 7, 4, 5, 2]    |1.81245789042622    |1.4559867866182885  |219       
 [18, 11, 0, 0, 0]   |0.9288122984413087  |0.705499929604528   |275       
 [8, 16, 5, 13, 3]   |4.837986064557285   |3.3184524069647905  |377       
 [14, 7, 7, 0, 0]    |0.7801886307928482  |0.6317765204916592  |211       
Increasing Epochs
Gen 3 Train time: 10.931210589408874 minutes:
 Average MSE:        1.0306151142186857
 Average Error:      1.3918177672026102
 Structure           |Error               |MSE                 |weights&biases
 [13, 7, 0, 0, 0]    |0.5793335930637974  |0.5011364731481311  |145       
 [19, 7, 0, 0, 0]    |0.6064058640509687  |0.49400690980526674 |205       
 [19, 0, 0, 0, 0]    |0.5856726945369228  |0.5422684054061131  |77        
 [16, 4, 3, 5, 0]    |0.8572932366519755  |0.7327320089633937  |157       
 [16, 10, 0, 0, 0]   |0.6341002753332707  |0.5043180420759865  |229       
 [17, 6, 13, 2, 1]   |7.827708774386408   |5.898333455103293   |283       
 [16, 12, 5, 17, 7]  |1.5553010063815018  |0.8946426628070705  |553       
