/tmp/tmp.2c9HKs4bpR ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k57.mat
  Evaluating with: datasets/N1dataset100k57.mat
Gen 0 Train time: 8.51168849070867 minutes:
 Average MSE:        1.5239609134541001
 Average Error:      2.1374818392043275
 Structure           |Error               |MSE                 |weights&biases
 [8, 0, 0, 0, 0]     |0.8601038372300702  |0.8321836277705813  |33        
 [19, 4, 0, 0, 0]    |0.5769185526700943  |0.5005467995576621  |142       
 [5, 0, 0, 0, 0]     |1.8935261589054673  |1.8541767247085978  |21        
 [18, 14, 9, 14, 0]  |1.134056075667764   |0.6161903542932963  |610       
 [19, 18, 2, 9, 16]  |1.5500037874587123  |0.8019230482355555  |659       
 [12, 19, 12, 0, 0]  |1.0343144791044463  |0.6051607633189973  |536       
 [14, 12, 0, 0, 0]   |0.7068065542300153  |0.5587806581007821  |235       
 [14, 0, 0, 0, 0]    |0.6504412510484913  |0.6144029482117468  |57        
 [3, 7, 0, 0, 0]     |1.3447903907391336  |1.2856162271399623  |45        
 [13, 12, 0, 0, 0]   |0.675189950582      |0.5418526275374119  |220       
 [11, 12, 15, 0, 0]  |0.8941662887075029  |0.6066134471898245  |388       
 [8, 3, 12, 13, 2]   |11.848679072287199  |8.786499455430263   |299       
 [17, 11, 1, 12, 16] |1.6207108500464842  |0.9732296999859831  |510       
 [8, 7, 19, 18, 16]  |3.3976863725141504  |1.3540427150802605  |920       
 [4, 12, 0, 0, 0]    |1.3693288465957896  |1.2577453669835115  |85        
 [7, 19, 13, 14, 0]  |1.3403675549580438  |0.7039442411277875  |644       
 [19, 7, 4, 1, 0]    |1.6153111642352935  |1.2757415399009304  |236       
 [5, 18, 5, 18, 1]   |12.432241982746827  |8.787174875595145   |347       
 [10, 17, 8, 10, 0]  |1.0452072367793144  |0.658503909039924   |462       
 [11, 8, 19, 11, 0]  |1.5731291560477665  |0.924101586586534   |532       
 [9, 7, 0, 0, 0]     |0.8297756789225791  |0.7470673919796654  |105       
 [14, 5, 9, 10, 15]  |1.5305762933631917  |0.9739886063640351  |452       
 [20, 0, 0, 0, 0]    |0.6166783657680552  |0.568696898561671   |81        
 [3, 13, 10, 0, 0]   |2.1848097537917606  |1.7674339617164907  |212       
 [14, 19, 0, 0, 0]   |0.7122263257080474  |0.5034053619358873  |347       
Gen 1 Train time: 8.4391610622406 minutes:
 Average MSE:        1.0311960224652712
 Average Error:      1.6094428666781122
 Structure           |Error               |MSE                 |weights&biases
 [19, 4, 0, 0, 0]    |0.5482792228942304  |0.4756987082726127  |142       
 [20, 0, 0, 0, 0]    |0.6152010838761318  |0.5673345585204539  |81        
 [14, 0, 0, 0, 0]    |0.6258592233097026  |0.5911829105966836  |57        
 [14, 2, 0, 0, 0]    |0.8482615955827106  |0.7869691700045249  |75        
 [12, 13, 0, 0, 0]   |0.6891619934012301  |0.5536187966252544  |219       
 [20, 10, 0, 0, 0]   |0.5675590324233287  |0.4285231515373432  |281       
 [13, 16, 12, 5, 0]  |1.1953090814854266  |0.6979588008967295  |538       
 [10, 6, 8, 1, 0]    |3.955843515094945   |3.3608497931716648  |163       
 [17, 12, 1, 0, 0]   |1.6518183051887785  |1.2459230792339422  |282       
 [16, 8, 11, 0, 0]   |1.021462540521329   |0.7605111268313058  |295       
 [12, 4, 0, 0, 0]    |0.6488221403566536  |0.5912025171412131  |93        
 [13, 12, 0, 0, 0]   |0.8766850321406968  |0.7035562181852488  |220       
 [12, 9, 4, 5, 0]    |0.9552101811067495  |0.763513954262327   |224       
 [16, 8, 0, 0, 0]    |0.6168758002142508  |0.5086029775592876  |193       
 [14, 9, 5, 5, 8]    |1.371455570811916   |1.0018743907533503  |314       
 [2, 15, 16, 17, 17] |10.444688121458892  |4.162407094590613   |920       
 [16, 13, 5, 7, 0]   |1.2933596873372095  |0.8765541835629816  |389       
 [12, 11, 13, 0, 0]  |1.113016104557506   |0.78511391403469    |349       
 [7, 12, 4, 5, 0]    |1.294843345732668   |1.0601280675697209  |200       
 [7, 12, 1, 9, 19]   |1.9030449599644301  |1.3303674920380046  |358       
 [17, 12, 0, 0, 0]   |0.6620728885624442  |0.5003839248341236  |280       
 [12, 13, 8, 0, 0]   |1.132442972902651   |0.8174032123117275  |326       
 [16, 8, 14, 0, 0]   |0.7721506192923734  |0.5578999435704057  |325       
 [6, 8, 18, 20, 8]   |4.27819981668884    |1.935822532465627   |793       
