/tmp/tmp.51BVXVOKEI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k58.mat
  Evaluating with: datasets/N1dataset100k58.mat
Gen 0 Train time: 8.678261498610178 minutes:
 Average MSE:        1.647030931845947
 Average Error:      2.0156108537346835
 Structure           |Error               |MSE                 |weights&biases
 [9, 6, 0, 0, 0]     |0.8642582382610481  |0.7867193764136058  |94        
 [7, 1, 0, 0, 0]     |1.2701135796860217  |1.2313440905377486  |31        
 [2, 0, 0, 0, 0]     |4.254407431737463   |4.216289552603266   |9         
 [18, 10, 20, 0, 0]  |1.0112494307426068  |0.6226234397377021  |485       
 [11, 13, 9, 6, 0]   |1.2842649361727732  |0.8765044659430536  |382       
 [5, 0, 0, 0, 0]     |1.1937846087751027  |1.1689765285237137  |21        
 [15, 7, 12, 12, 0]  |1.1503583219406939  |0.7543291091960325  |422       
 [10, 14, 4, 19, 0]  |1.4050068949621353  |0.9812207789136697  |359       
 [5, 6, 0, 0, 0]     |3.227469913805962   |3.0456018145168446  |58        
 [8, 3, 11, 15, 15]  |2.217175449046993   |1.3037360997727325  |531       
 [1, 9, 11, 0, 0]    |7.324803012412487   |6.348802814866458   |143       
 [8, 0, 0, 0, 0]     |0.8595393916393526  |0.8316375048967719  |33        
 [3, 7, 17, 5, 0]    |4.129420799047608   |3.155469053325626   |269       
 [15, 0, 0, 0, 0]    |0.7256012030877863  |0.6826624746744215  |61        
 [18, 7, 10, 0, 0]   |0.9354395506127107  |0.7084053983978043  |278       
 [11, 18, 4, 0, 0]   |1.1884542446385264  |0.8544079625685491  |330       
 [14, 11, 2, 15, 0]  |1.2098108393765636  |0.9034486693259348  |292       
 [14, 18, 0, 0, 0]   |0.9103566079639009  |0.6538228215099137  |331       
 [9, 15, 0, 0, 0]    |0.9391092501240069  |0.7742786484745388  |193       
 [5, 19, 7, 6, 0]    |2.4588600547706134  |1.7783711305909589  |324       
 [19, 1, 7, 7, 14]   |2.407000793274719   |1.8301199083051565  |274       
 [1, 11, 0, 0, 0]    |4.781101032897728   |4.607432966096249   |37        
 [6, 12, 0, 0, 0]    |1.3854405234993472  |1.234934777043875   |115       
 [15, 6, 8, 18, 19]  |2.478368549569466   |1.182464122789275   |740       
 [9, 15, 0, 0, 0]    |0.7788766853214681  |0.642169787124769   |193       
Gen 1 Train time: 8.819037206967671 minutes:
 Average MSE:        1.111627922723307
 Average Error:      1.4448759784232714
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7008162431265429  |0.6593442083459659  |61        
 [9, 15, 0, 0, 0]    |1.046389686992259   |0.8627294348501813  |193       
 [8, 0, 0, 0, 0]     |1.1683398599404073  |1.1304138651971931  |33        
 [8, 14, 19, 0, 0]   |1.2677643196275994  |0.8043304964249984  |455       
 [12, 8, 16, 0, 0]   |0.9877851185807718  |0.7310378105116001  |301       
 [10, 14, 11, 3, 0]  |1.3791878257575636  |0.9347228543019585  |389       
 [10, 9, 6, 0, 0]    |0.8824157242715562  |0.7253565214236325  |196       
 [10, 12, 2, 0, 0]   |1.1321146410510585  |0.9352767984953708  |191       
 [14, 11, 5, 0, 0]   |1.0410760249452158  |0.7923554539592041  |273       
 [20, 7, 5, 3, 0]    |1.0345859782478561  |0.7905718976662935  |269       
 [9, 15, 18, 0, 0]   |1.2782045825218078  |0.7877743589529769  |484       
 [9, 11, 0, 0, 0]    |0.866187752538407   |0.7462806152908332  |149       
 [11, 6, 1, 8, 0]    |1.422826346229642   |1.240662210868584   |137       
 [11, 9, 0, 0, 0]    |0.9588040710830719  |0.8244254739858565  |151       
 [12, 20, 0, 0, 0]   |0.9485180924382446  |0.6908348985159368  |317       
 [12, 13, 15, 8, 0]  |1.167418541198341   |0.6721961683532941  |552       
 [15, 6, 7, 8, 18]   |1.372691784954105   |0.8884948911890718  |435       
 [9, 14, 0, 0, 0]    |0.8298579952834368  |0.6917707372229879  |182       
 [14, 4, 11, 10, 1]  |9.351098046441747   |6.997085985007454   |290       
 [12, 8, 0, 0, 0]    |0.7551074684406377  |0.6505772732379933  |149       
 [5, 10, 2, 10, 0]   |2.077434025388304   |1.8096500617039595  |138       
 [11, 2, 20, 3, 12]  |1.6381697547388145  |1.2873419843641472  |241       
 [17, 4, 5, 0, 0]    |0.8302354547448153  |0.7117376262044541  |154       
 [16, 13, 7, 0, 0]   |0.8350904857447413  |0.5739487376727059  |375       
 [12, 11, 6, 6, 0]   |1.1497796362948485  |0.8517777043360223  |300       
Gen 2 Train time: 8.808353312810262 minutes:
 Average MSE:        0.9219873102111125
 Average Error:      1.2030384291991525
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7388799232074647  |0.6951554031574962  |61        
 [12, 8, 0, 0, 0]    |0.7473493391732653  |0.6438931086718316  |149       
 [9, 14, 0, 0, 0]    |1.0742303669604139  |0.8954798738134881  |182       
 [13, 9, 3, 0, 0]    |1.087855876123393   |0.891552167238523   |199       
 [9, 13, 10, 0, 0]   |1.3760577475046583  |1.0112859171062287  |308       
 [9, 8, 0, 0, 0]     |1.1033452562679074  |0.9825016134493719  |116       
 [10, 10, 3, 0, 0]   |0.8690480469697776  |0.728070885530469   |177       
 [14, 4, 8, 0, 0]    |0.9268210366651325  |0.7969249354454533  |151       
 [16, 17, 16, 7, 13] |2.4423120309935404  |1.0314289226258935  |862       
 [11, 7, 4, 5, 0]    |1.5437437080976066  |1.289443133427509   |180       
 [16, 8, 11, 2, 0]   |1.488164323736421   |1.0914895936060558  |310       
 [14, 7, 6, 0, 0]    |0.9984837657702589  |0.8158560206435428  |202       
 [13, 10, 3, 0, 0]   |0.9364725713816615  |0.7545490099984368  |216       
 [14, 10, 8, 0, 0]   |1.084606440998003   |0.8123834623658543  |289       
 [19, 10, 11, 8, 0]  |1.6557611064157591  |1.0214884069298638  |483       
 [5, 4, 5, 0, 0]     |1.5243572710128814  |1.4213012988211071  |70        
 [16, 17, 10, 6, 0]  |1.3547456788265433  |0.7509724936497243  |590       
 [19, 6, 5, 2, 0]    |1.0247522661552027  |0.8166463775979974  |227       
 [12, 13, 1, 20, 0]  |1.4561763356276203  |1.1005543991599311  |280       
 [15, 6, 1, 0, 0]    |1.6790131011022795  |1.445139968640904   |150       
 [10, 12, 0, 0, 0]   |0.9195783664914238  |0.7719465158987049  |175       
 [18, 4, 3, 2, 0]    |1.2248565191440395  |1.0479372518395382  |156       
 [10, 11, 10, 0, 0]  |0.9092513436467187  |0.6858243611390723  |282       
 [12, 9, 0, 0, 0]    |0.8741793876425693  |0.7426951048347893  |163       
 [15, 8, 6, 3, 0]    |1.0359189200642704  |0.8051625296860194  |252       
Increasing Epochs
Gen 3 Train time: 10.2822602947553 minutes:
 Average MSE:        1.12037733917633
 Average Error:      1.567478510301551
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.638863564970572   |0.6010576889704649  |61        
 [12, 8, 0, 0, 0]    |0.7562740366877962  |0.6515823524101669  |149       
 [10, 10, 3, 0, 0]   |0.9941011124183049  |0.832837815755876   |177       
 [12, 15, 5, 0, 0]   |0.9046972049250557  |0.6589187984231775  |317       
 [9, 8, 0, 0, 0]     |0.7340609699660532  |0.6536631061444805  |116       
 [15, 12, 2, 1, 0]   |1.9636241055729835  |1.5019913575139268  |268       
 [12, 9, 9, 0, 0]    |0.720949100892176   |0.5597938212724761  |253       
 [13, 8, 3, 0, 0]    |0.8390669370054873  |0.6994473233862996  |182       
 [12, 4, 9, 0, 0]    |0.692192767569805   |0.5999608977511579  |143       
 [12, 8, 2, 3, 0]    |1.0669728111524304  |0.899267703546929   |171       
 [13, 10, 2, 0, 0]   |0.8428646340260207  |0.6873243930527686  |204       
 [1, 7, 5, 13, 0]    |6.729732203917308   |5.7981294184360515  |149       
 [14, 5, 2, 0, 0]    |1.0224527784065391  |0.8960172852504564  |132       
 [5, 5, 4, 13, 17]   |4.015058860651429   |2.7184232031188182  |390       
 [14, 7, 20, 16, 17] |2.183950615843032   |0.8446232963452223  |950       
 [13, 4, 14, 9, 6]   |1.383001754323141   |0.9581569545083864  |367       
 [13, 9, 2, 0, 0]    |1.1993902930273745  |0.993832436514597   |188       
 [11, 10, 2, 0, 0]   |1.5294091801056757  |1.280027425703614   |178       
 [7, 8, 19, 20, 17]  |5.210163901230106   |1.8582056433892624  |1031      
 [13, 9, 4, 0, 0]    |0.9677770793611262  |0.7844648541411685  |210       
 [10, 9, 2, 0, 0]    |0.9471683731482283  |0.8136065324229635  |152       
 [14, 7, 6, 0, 0]    |0.6784172489980288  |0.5543312931848148  |202       
 [12, 4, 0, 0, 0]    |0.6739395840967529  |0.6140893686212455  |93        
 [16, 13, 17, 4, 12] |1.6040964631021493  |0.8357386342191777  |652       
 [12, 11, 3, 0, 0]   |0.888737176141191   |0.7139418753247437  |219       
Gen 4 Train time: 10.206755157311758 minutes:
 Average MSE:        0.8144366387128928
 Average Error:      1.0330739405105034
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6861843424938104  |0.6455781761885978  |61        
 [12, 4, 0, 0, 0]    |0.6541872136942172  |0.596091137095013   |93        
 [14, 7, 6, 0, 0]    |0.7592535560060263  |0.620382229634631   |202       
 [15, 4, 3, 0, 0]    |1.0517698860475364  |0.925403288321502   |128       
 [12, 9, 5, 0, 0]    |0.7808198633168174  |0.6335535169910054  |209       
 [13, 5, 1, 0, 0]    |1.247943508346671   |1.1101520669295986  |117       
 [13, 9, 5, 0, 0]    |0.880087541683132   |0.7055808622829595  |221       
 [9, 8, 0, 0, 0]     |1.0393662367728325  |0.9255298817781418  |116       
 [12, 4, 10, 0, 0]   |1.0502824382339182  |0.9048909107031168  |149       
 [11, 8, 2, 14, 0]   |0.9592797191001268  |0.7822565143692695  |204       
 [13, 8, 2, 9, 0]    |1.0604133782472975  |0.8629994817505626  |206       
 [13, 7, 6, 0, 0]    |0.7019117630022056  |0.5792925990808263  |192       
 [11, 1, 3, 6, 17]   |2.4205883826238797  |1.9581705488823098  |212       
 [14, 8, 5, 0, 0]    |0.7428234359699729  |0.6003173186473728  |213       
 [18, 17, 4, 2, 16]  |1.2897627289723599  |0.7637294087552895  |524       
 [13, 7, 7, 0, 0]    |0.8441169694626741  |0.6904137630090906  |201       
 [11, 9, 6, 0, 0]    |0.6863894691168452  |0.5574903567416738  |208       
 [14, 7, 6, 0, 0]    |0.7785391254894909  |0.6361403706420475  |202       
 [13, 9, 7, 0, 0]    |0.7915321980018316  |0.6207761551258237  |243       
 [13, 10, 2, 0, 0]   |0.9968794666752118  |0.8129176936828919  |204       
 [15, 11, 10, 2, 6]  |1.4011364020241133  |0.9505482297298145  |388       
 [14, 6, 2, 0, 0]    |0.8866971239392649  |0.7639508562558045  |149       
 [12, 11, 3, 0, 0]   |0.8924090392449613  |0.7168915627020894  |219       
 [11, 11, 19, 6, 8]  |2.357245236949626   |1.3224600346738467  |578       
 [13, 12, 3, 0, 0]   |0.8672294873477603  |0.6753990038490487  |250       
Increasing Epochs
Gen 5 Train time: 11.418160808086395 minutes:
 Average MSE:        0.8135363475091077
 Average Error:      0.982399061920906
 Structure           |Error               |MSE                 |weights&biases
 [12, 4, 0, 0, 0]    |0.92928159490325    |0.8467553492206725  |93        
 [15, 0, 0, 0, 0]    |0.7282375927235049  |0.6851428513128102  |61        
 [11, 9, 6, 0, 0]    |0.8062719149623008  |0.6548597228355908  |208       
 [14, 7, 6, 0, 0]    |0.7354455142543559  |0.6009287994751041  |202       
