/tmp/tmp.dZ7tjigLEY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k59.mat
  Evaluating with: datasets/N1dataset100k59.mat
Gen 0 Train time: 8.214443198839824 minutes:
 Average MSE:        1.9388487580895215
 Average Error:      2.9333970850427336
 Structure           |Error               |MSE                 |weights&biases
 [9, 8, 0, 0, 0]     |0.7039855913154559  |0.6268817266248339  |116       
 [4, 16, 18, 10, 0]  |2.473853402626848   |1.3590378919518702  |599       
 [8, 0, 0, 0, 0]     |0.8611956146124478  |0.8332399644865187  |33        
 [16, 8, 3, 0, 0]    |0.9336814997412095  |0.7530528214682016  |215       
 [13, 17, 6, 10, 0]  |1.3199131573751053  |0.8282551205628026  |466       
 [1, 1, 18, 20, 19]  |18.182818472099775  |7.849714080006135   |840       
 [8, 19, 5, 3, 0]    |1.352389433716781   |0.9849868174829632  |317       
 [8, 6, 0, 0, 0]     |0.767902977668138   |0.7053283182166427  |85        
 [19, 7, 6, 1, 10]   |1.6476591249971138  |1.2415437543329524  |283       
 [16, 10, 0, 0, 0]   |0.6095339257375353  |0.48477972327843677 |229       
 [17, 12, 9, 2, 0]   |1.742668078950191   |1.1599968823771074  |407       
 [5, 0, 0, 0, 0]     |1.501395259061853   |1.4701947109880433  |21        
 [6, 11, 1, 13, 0]   |1.9832722212776708  |1.7121469642060991  |147       
 [2, 3, 0, 0, 0]     |4.802677631616828   |4.712288175647589   |19        
 [2, 0, 0, 0, 0]     |4.027120963473601   |3.9910394850050976  |9         
 [2, 9, 17, 15, 5]   |14.359092420306856  |8.210249885250434   |559       
 [4, 3, 16, 17, 0]   |2.2974118202965874  |1.5430842815950747  |398       
 [3, 13, 18, 0, 0]   |3.7013874946921335  |2.655698604413574   |332       
 [4, 18, 17, 8, 0]   |3.86647506042538    |2.1691670693934597  |578       
 [19, 0, 0, 0, 0]    |0.6940003947221963  |0.6425679238721843  |77        
 [8, 18, 0, 0, 0]    |0.935310274507366   |0.7619480051394492  |205       
 [7, 6, 18, 12, 0]   |1.7377361756990488  |1.1236510142062666  |436       
 [7, 6, 0, 0, 0]     |1.2414328687450111  |1.1505801021083826  |76        
 [6, 3, 0, 0, 0]     |0.8668135956576893  |0.8303306163454582  |43        
 [19, 0, 0, 0, 0]    |0.725199666745495   |0.6714550132784655  |77        
Gen 1 Train time: 8.353230138619741 minutes:
 Average MSE:        1.5541848892686516
 Average Error:      1.9972497451068074
 Structure           |Error               |MSE                 |weights&biases
 [16, 10, 0, 0, 0]   |0.7816988807424189  |0.6217074244634414  |229       
