/tmp/tmp.6SEDAF3LYm ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k61.mat
  Evaluating with: datasets/N1dataset100k61.mat
Gen 0 Train time: 8.430846607685089 minutes:
 Average MSE:        1.7826048248889073
 Average Error:      2.3988719754366947
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 17, 13, 6]  |2.1327230220812865  |1.0880635725381804  |673       
 [16, 8, 15, 14, 6]  |2.42482814891101    |1.2785935125271046  |640       
 [2, 0, 0, 0, 0]     |5.51892568455112    |5.469478200836938   |9         
 [7, 5, 6, 3, 18]    |1.6992224499424422  |1.378741000181623   |209       
 [8, 1, 14, 0, 0]    |1.4928050505040935  |1.3835559140408908  |76        
 [11, 0, 0, 0, 0]    |0.668890910625986   |0.6394580261794918  |45        
 [6, 14, 0, 0, 0]    |1.180455819218612   |1.0355168265019068  |131       
 [10, 0, 0, 0, 0]    |0.8793604087165076  |0.8440357360089064  |41        
 [9, 2, 18, 6, 0]    |1.3359600714534787  |1.0699909473647202  |222       
 [9, 4, 18, 5, 0]    |2.0651057114939824  |1.5954908264970362  |258       
 [16, 8, 2, 9, 0]    |0.9850554713525804  |0.7756473381056648  |239       
 [12, 0, 0, 0, 0]    |0.7453498233805971  |0.709708036847118   |49        
 [5, 0, 0, 0, 0]     |2.0401219886353386  |1.9977261413068834  |21        
 [9, 14, 12, 12, 0]  |2.0203353377237234  |1.2059450174271853  |516       
 [18, 1, 4, 7, 0]    |1.6990891966937003  |1.500941144220882   |124       
 [6, 2, 9, 15, 6]    |5.384596909096699   |3.941425474414051   |312       
 [16, 10, 3, 14, 0]  |1.2379261581932717  |0.897122846604713   |322       
 [14, 3, 7, 13, 0]   |1.2313111914156936  |0.9753875604004222  |233       
 [3, 18, 0, 0, 0]    |2.0814153576729844  |1.8833424980972162  |100       
 [11, 0, 0, 0, 0]    |0.7509630644896388  |0.7179187986017624  |45        
 [7, 10, 10, 18, 0]  |1.78461188461879    |1.1632303973800049  |428       
 [2, 17, 17, 14, 0]  |6.007218703044074   |3.1993954280965604  |630       
 [19, 0, 0, 0, 0]    |0.6887532510170832  |0.6377096467552048  |77        
 [11, 16, 2, 16, 11] |2.482164220242621   |1.4965026948462612  |506       
 [1, 15, 20, 2, 0]   |11.434609550842042  |7.680193036441949   |398       
Gen 1 Train time: 8.679804249604542 minutes:
 Average MSE:        1.5788544012765584
 Average Error:      2.516701427456818
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.7887412168985631  |0.7540346171730012  |45        
 [19, 0, 0, 0, 0]    |0.8047129012908942  |0.7450755103714841  |77        
 [12, 0, 0, 0, 0]    |0.7724311657346592  |0.7354943800035609  |49        
 [15, 0, 0, 0, 0]    |0.6806218297032233  |0.6403448348836621  |61        
 [17, 15, 11, 14, 3] |6.369211513867289   |3.1188853573806354  |714       
 [10, 9, 10, 11, 6]  |1.893744820640719   |1.2331307432953578  |429       
 [15, 19, 11, 14, 3] |10.938317499765652  |4.984195427673454   |786       
 [14, 15, 2, 7, 0]   |1.2419652879637637  |0.894665865206741   |328       
 [10, 1, 9, 3, 0]    |2.0472910730698115  |1.8654783189955233  |93        
 [1, 4, 2, 17, 20]   |9.844691540973777   |6.258448932555598   |453       
 [14, 4, 15, 5, 0]   |1.397997511597074   |1.0746992595014155  |263       
 [7, 0, 0, 0, 0]     |1.031825991343936   |1.002332756456076   |29        
 [20, 20, 12, 15, 3] |7.1737433663512515  |2.6950792378505257  |979       
 [7, 5, 7, 7, 4]     |2.359998602757509   |1.9399477252900978  |196       
 [16, 8, 17, 12, 3]  |2.529232651921201   |1.3936357184017616  |596       
 [16, 0, 0, 0, 0]    |0.6169999284605377  |0.5781705578665555  |65        
 [9, 1, 7, 17, 0]    |1.9411691074933342  |1.5813682041201853  |205       
 [13, 2, 4, 7, 0]    |1.129525593481992   |0.9997977362525468  |122       
 [16, 2, 4, 7, 0]    |1.1577875849430332  |1.0095563022557257  |137       
 [15, 10, 0, 0, 0]   |0.6453608648100065  |0.5199900312250205  |216       
 [13, 5, 2, 7, 0]    |1.6184325685419791  |1.3929978210501757  |150       
 [17, 8, 10, 11, 3]  |1.943926350546215   |1.2444701037027077  |446       
 [14, 5, 2, 3, 0]    |1.186178268557535   |1.0291534797821744  |142       
 [19, 10, 11, 13, 12]|1.710626169722386   |0.8368248284605639  |715       
 [6, 5, 5, 9, 0]     |1.0930022759841072  |0.9435822821594094  |147       
Gen 2 Train time: 8.335650030771891 minutes:
 Average MSE:        1.0596439942505356
 Average Error:      1.2939517023678062
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6434631972526612  |0.602968426026265   |65        
 [15, 10, 0, 0, 0]   |1.01834948490691    |0.8205201296341716  |216       
 [15, 0, 0, 0, 0]    |0.6867680313953867  |0.6461273242720001  |61        
 [14, 0, 0, 0, 0]    |0.8008051540613341  |0.7564357992444812  |57        
 [14, 4, 3, 5, 0]    |0.8427847509231046  |0.7304871120656721  |143       
 [10, 4, 5, 8, 0]    |1.1955893105431217  |1.0228974225445173  |156       
 [13, 11, 12, 8, 13] |1.9304930327921612  |1.0895616154685432  |572       
 [20, 4, 19, 12, 14] |2.3365455705109137  |1.1884781067238541  |676       
 [15, 8, 1, 4, 0]    |1.4861776489626908  |1.222878477594713   |195       
 [15, 8, 1, 2, 0]    |1.5365650021199093  |1.2719477754142257  |189       
 [14, 4, 3, 7, 0]    |1.0529581753314763  |0.9035747060762327  |153       
 [17, 5, 18, 0, 0]   |0.946473586566327   |0.7239650109729185  |268       
 [16, 6, 2, 4, 0]    |1.123202889371761   |0.9372402058810726  |181       
 [15, 10, 10, 0, 0]  |0.9901421489388186  |0.7146897393988259  |326       
 [9, 0, 0, 0, 0]     |0.8222903360092183  |0.792421573140238   |37        
 [2, 1, 2, 4, 0]     |4.739916061899416   |4.5998303716651225  |30        
 [16, 10, 0, 0, 0]   |0.7148223265925305  |0.5685185927255366  |229       
 [13, 8, 1, 20, 0]   |1.3796436063228177  |1.1060832920447226  |221       
 [19, 3, 3, 5, 0]    |0.9880592306121527  |0.8461889213490295  |155       
 [12, 6, 4, 9, 0]    |0.9019349993536295  |0.7406605733260587  |197       
 [11, 3, 3, 5, 0]    |1.320647230230523   |1.1866354413256635  |107       
 [16, 10, 0, 0, 0]   |0.6513778459799127  |0.5180593870009109  |229       
 [15, 1, 2, 4, 0]    |2.0425606234656235  |1.88175382633621    |82        
 [20, 8, 8, 11, 6]   |1.2982689355448611  |0.8049555576899994  |478       
 [11, 5, 0, 0, 0]    |0.8989533795079006  |0.8142204683424066  |99        
Increasing Epochs
Gen 3 Train time: 9.56870181163152 minutes:
 Average MSE:        1.0658373305870688
 Average Error:      1.6290058019392717
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.5845361281795701  |0.5477497868856785  |65        
