/tmp/tmp.DIEvZqg8sm ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k63.mat
  Evaluating with: datasets/N1dataset100k63.mat
Gen 0 Train time: 8.48906279404958 minutes:
 Average MSE:        2.441448604436257
 Average Error:      3.701403078020458
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 15, 17, 2]  |12.949525936736201  |8.398550910170924   |433       
 [10, 14, 1, 4, 0]   |1.6550121821139667  |1.338846429372698   |212       
 [8, 16, 20, 7, 3]   |13.866515777492857  |7.0039690611975445  |683       
 [16, 1, 4, 0, 0]    |1.2508762203298456  |1.1570160058143455  |78        
 [2, 19, 16, 0, 0]   |8.560364418687582   |5.738183871216509   |400       
 [18, 15, 17, 17, 0] |1.730267270163557   |0.6792784738580175  |935       
 [19, 15, 16, 0, 0]  |1.1007176955820428  |0.5862332198902017  |630       
 [14, 0, 0, 0, 0]    |0.6861590045220783  |0.6481417263139926  |57        
 [1, 11, 16, 13, 14] |11.906530888021184  |6.221973029045316   |649       
 [20, 3, 8, 0, 0]    |0.6803068851428583  |0.5774050411951751  |164       
 [9, 14, 17, 0, 0]   |1.2690389997892244  |0.8173073356391815  |440       
 [8, 12, 0, 0, 0]    |0.7767542234297167  |0.6719097195346266  |145       
 [13, 13, 9, 9, 0]   |1.3807720230935245  |0.8830643360857362  |447       
 [7, 17, 15, 1, 0]   |7.000549280691126   |4.486121924627461   |445       
 [2, 0, 0, 0, 0]     |3.7891762753306804  |3.7552266911409418  |9         
 [10, 0, 0, 0, 0]    |0.7947199849751247  |0.7627953917308019  |41        
 [12, 13, 6, 3, 2]   |6.644103511783449   |4.8197871694329635  |321       
 [9, 9, 4, 2, 0]     |1.3885492942848547  |1.17147018569787    |170       
 [1, 10, 1, 0, 0]    |6.418867278728583   |6.191898015581955   |36        
 [9, 13, 10, 15, 0]  |1.4847473395886417  |0.9205763074549201  |478       
 [18, 16, 18, 0, 0]  |0.9626108927788636  |0.48621420255679515 |683       
 [12, 0, 0, 0, 0]    |0.8182212944359132  |0.7790948764793608  |49        
 [8, 6, 19, 0, 0]    |1.0798923672588017  |0.8571531909635356  |231       
 [13, 18, 10, 20, 19]|2.8422152671183905  |0.9273574136298557  |1120      
 [6, 10, 10, 5, 0]   |1.4985826384323817  |1.15664058227569    |259       
Gen 1 Train time: 8.65584586461385 minutes:
 Average MSE:        1.0991233805909837
 Average Error:      1.7568104928276458
 Structure           |Error               |MSE                 |weights&biases
 [20, 3, 8, 0, 0]    |0.9986804704575708  |0.8476220817084347  |164       
