/tmp/tmp.GiHmWh7TXD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k67.mat
  Evaluating with: datasets/N1dataset100k67.mat
Gen 0 Train time: 8.260390345255534 minutes:
 Average MSE:        1.8687296746898738
 Average Error:      2.8369006509082686
 Structure           |Error               |MSE                 |weights&biases
 [10, 13, 8, 15, 3]  |5.125651359917703   |3.1971430417403206  |472       
 [7, 16, 6, 0, 0]    |1.8043727471826392  |1.3940497814169865  |258       
 [19, 1, 0, 0, 0]    |1.2158137725234517  |1.1234604665018662  |79        
 [5, 3, 0, 0, 0]     |1.2043528488368065  |1.1606060989636764  |37        
 [15, 0, 0, 0, 0]    |0.633310490345766   |0.595833227311237   |61        
 [17, 18, 15, 3, 4]  |2.1499991432700565  |1.0371405379685865  |729       
 [10, 0, 0, 0, 0]    |0.8701529359457751  |0.8351981354303563  |41        
 [2, 9, 11, 18, 0]   |8.025084086003673   |5.499032386138006   |378       
 [19, 11, 0, 0, 0]   |0.6799690810581506  |0.5093051410089918  |289       
 [4, 1, 3, 6, 0]     |1.769252014010604   |1.6762461625666156  |54        
 [15, 19, 20, 2, 11] |2.375544117398008   |1.0296577992574432  |836       
 [3, 11, 16, 12, 0]  |4.025253436893505   |2.53599958917087    |462       
 [17, 16, 14, 0, 0]  |0.9882767807199173  |0.5467342217812818  |592       
 [5, 13, 11, 4, 15]  |3.4147043029054807  |2.321215339028913   |386       
 [9, 16, 0, 0, 0]    |0.966805640199865   |0.7883936198346305  |204       
 [16, 11, 20, 13, 2] |16.744054887806772  |7.683254828676719   |779       
 [12, 0, 0, 0, 0]    |0.7992611806502586  |0.7610414139157241  |49        
 [8, 10, 15, 11, 0]  |1.97015100469839    |1.2350484399513622  |467       
 [13, 0, 0, 0, 0]    |0.8849796267196685  |0.8392969894349787  |53        
 [2, 12, 14, 7, 11]  |7.29969414183682    |4.753268320441662   |429       
 [2, 0, 0, 0, 0]     |4.3413497313689415  |4.3024528821614325  |9         
 [14, 18, 0, 0, 0]   |0.745949441266115   |0.535744744560249   |331       
 [14, 0, 0, 0, 0]    |0.6608489950663652  |0.6242340414865154  |57        
 [5, 15, 19, 0, 0]   |1.3322201919624088  |0.8674884058517837  |429       
 [8, 0, 0, 0, 0]     |0.8954643141195756  |0.8663962526466346  |33        
Gen 1 Train time: 8.117199198404949 minutes:
 Average MSE:        1.261871355758005
 Average Error:      1.6469006292454202
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7506268808722845  |0.7062072139252237  |61        
 [14, 0, 0, 0, 0]    |0.6874737732395345  |0.6493836490470903  |57        
 [19, 11, 0, 0, 0]   |0.741103060016216   |0.5550952374134127  |289       
 [12, 8, 10, 13, 0]  |1.2305514693545334  |0.8356565446875518  |387       
 [13, 0, 0, 0, 0]    |0.6976107575884892  |0.6616000989895569  |53        
 [5, 8, 13, 1, 16]   |2.7825816124004503  |2.1822994933501993  |243       
 [1, 17, 0, 0, 0]    |5.552513910258408   |5.255371949864706   |55        
 [11, 9, 0, 0, 0]    |0.7154664455737633  |0.615192176694482   |151       
 [14, 6, 0, 0, 0]    |0.6695508485173869  |0.582661914857835   |139       
 [1, 8, 7, 0, 0]     |7.505424857497288   |6.859441835976635   |90        
 [14, 19, 20, 18, 15]|3.4730079707381174  |0.851310007013625   |1406      
 [9, 8, 6, 16, 19]   |1.8310494016399939  |0.9889507424755216  |616       
 [13, 12, 0, 0, 0]   |0.7579574644257646  |0.6082751132576527  |220       
 [14, 9, 0, 0, 0]    |0.7568913472804649  |0.6277987871260912  |187       
 [11, 8, 0, 0, 0]    |0.8367081896511074  |0.728855409378075   |138       
 [12, 0, 0, 0, 0]    |0.6902228040673184  |0.657217129320489   |49        
 [14, 9, 10, 0, 0]   |0.992860331568734   |0.7444085430679565  |288       
 [14, 14, 4, 0, 0]   |1.128304943827972   |0.8217791917502894  |317       
 [15, 9, 0, 0, 0]    |0.6545847681456811  |0.5364648769111509  |199       
 [13, 14, 3, 0, 0]   |0.8575815591541479  |0.6455587928463763  |284       
 [14, 9, 3, 0, 0]    |1.0468245039398236  |0.8476913358663257  |211       
 [17, 6, 20, 10, 0]  |1.1538290839315275  |0.685975099242919   |520       
 [17, 15, 1, 0, 0]   |1.8157759856820013  |1.2937085212760533  |339       
 [11, 0, 0, 0, 0]    |0.6265370073855631  |0.5989678013358446  |45        
 [3, 16, 12, 9, 7]   |3.217476754378932   |2.0069124282750663  |472       
Gen 2 Train time: 8.125272130966186 minutes:
 Average MSE:        1.0346055617124306
 Average Error:      1.2315209851558477
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.7478529005266275  |0.7149454896850356  |45        
 [15, 9, 0, 0, 0]    |0.8437264298335098  |0.691475905572223   |199       
 [14, 6, 0, 0, 0]    |0.7361361846253018  |0.6406063406232558  |139       
 [14, 3, 0, 0, 0]    |0.6940818525367596  |0.633709024179834   |91        
 [15, 9, 0, 0, 0]    |0.6449318903093981  |0.5285538619100694  |199       
 [15, 9, 12, 0, 0]   |1.004417589059348   |0.7278996091268335  |322       
 [14, 10, 3, 8, 10]  |1.569657151958866   |1.0973050519258698  |358       
 [17, 7, 2, 0, 0]    |0.8727243963272838  |0.717390131283162   |196       
 [14, 5, 0, 0, 0]    |0.7257879991369213  |0.6417879543595039  |123       
 [1, 8, 0, 0, 0]     |6.098184257677523   |5.92980343077612    |28        
 [2, 16, 0, 0, 0]    |2.3159702649341214  |2.1572380450867774  |71        
 [13, 10, 10, 9, 8]  |1.5257450479337158  |0.9469422656065181  |477       
 [14, 3, 9, 0, 0]    |0.8484344110584754  |0.7427747098255592  |133       
 [19, 8, 0, 0, 0]    |0.6235460447047152  |0.49741396708298513 |226       
 [14, 7, 11, 0, 0]   |0.7929173511169981  |0.6193800095645938  |247       
 [17, 3, 20, 1, 9]   |1.8440514550015268  |1.4593119080349017  |234       
 [13, 6, 0, 0, 0]    |0.8801510625794697  |0.7728566265709095  |130       
 [16, 8, 7, 5, 0]    |0.9639396514795764  |0.7191203222997272  |293       
 [13, 5, 2, 0, 0]    |0.9795417036672559  |0.8653073943235992  |124       
 [14, 12, 1, 0, 0]   |1.5828063756859334  |1.2488204410349293  |237       
 [13, 4, 5, 7, 0]    |0.7609153538433862  |0.6419575124456528  |170       
 [14, 0, 0, 0, 0]    |0.6643672988577275  |0.6275574103820659  |57        
 [13, 11, 7, 7, 0]   |1.2521880324282375  |0.8903794552075549  |341       
 [14, 18, 0, 0, 0]   |0.8286686370373378  |0.5951540985420202  |331       
 [14, 12, 3, 0, 0]   |0.9872812865761769  |0.7574480773610608  |265       
Gen 3 Train time: 8.264846285184225 minutes:
 Average MSE:        1.0662798392177784
 Average Error:      1.4745270024426336
 Structure           |Error               |MSE                 |weights&biases
 [19, 8, 0, 0, 0]    |0.6575984657949545  |0.524578199792211   |226       
 [15, 9, 0, 0, 0]    |0.668206805781208   |0.547628816402324   |199       
 [14, 0, 0, 0, 0]    |0.5698692503330873  |0.5382951141789809  |57        
 [14, 15, 0, 0, 0]   |0.7178422614423974  |0.540908348558815   |283       
 [16, 3, 10, 1, 5]   |1.6121649182775255  |1.365578222919239   |166       
 [14, 7, 4, 8, 5]    |1.1468878495243404  |0.875510666630972   |270       
 [3, 8, 9, 6, 0]     |3.5090777122652588  |2.904767181156406   |189       
 [14, 3, 0, 0, 0]    |0.8468111090564986  |0.7731535403548329  |91        
 [2, 16, 20, 8, 18]  |9.980562399319322   |4.74760101680602    |743       
 [11, 20, 0, 0, 0]   |1.0151018868856623  |0.7565315727156083  |294       
 [17, 7, 0, 0, 0]    |0.7686592084123447  |0.6388359609338836  |185       
 [17, 8, 0, 0, 0]    |0.577438580987492   |0.4708794344670858  |204       
 [15, 8, 14, 0, 0]   |1.5096426156016522  |1.1028226564173713  |314       
 [15, 9, 13, 0, 0]   |0.8786813934372129  |0.6298126329749911  |333       
 [10, 15, 4, 8, 5]   |2.171216003023986   |1.530030057537673   |350       
 [14, 8, 0, 0, 0]    |0.5866596206816205  |0.49444938459514703 |171       
 [17, 6, 8, 0, 0]    |1.0457907654918155  |0.8359163862413317  |224       
 [11, 2, 10, 4, 5]   |1.5261972272107769  |1.2979410082750966  |162       
 [18, 2, 9, 3, 5]    |1.252366356389996   |1.0513077304467335  |175       
 [17, 13, 0, 0, 0]   |0.7469608990678603  |0.553915883183807   |299       
 [14, 2, 2, 0, 0]    |0.9627849696847941  |0.8878742252610052  |81        
 [16, 5, 1, 0, 0]    |1.3095779346300138  |1.1373544390612742  |141       
 [13, 6, 2, 0, 0]    |1.0624027081417613  |0.923608543633034   |140       
 [14, 4, 0, 0, 0]    |0.7572105946459905  |0.680373159149678   |107       
 [14, 6, 2, 0, 0]    |0.9834635249782686  |0.8473217987509365  |149       
Gen 4 Train time: 8.55608298778534 minutes:
 Average MSE:        1.3558815829348858
 Average Error:      1.8108456657158591
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7676975506281007  |0.7251625533905102  |57        
 [17, 8, 0, 0, 0]    |0.7445677803212903  |0.6071670076504587  |204       
 [14, 8, 0, 0, 0]    |0.8082707792117171  |0.6812280499263517  |171       
 [15, 5, 5, 1, 3]    |3.950001015316331   |3.3291460709434064  |171       
 [17, 9, 0, 0, 0]    |0.6742531430758508  |0.5394799519585138  |223       
 [17, 8, 7, 0, 0]    |0.648628890303256   |0.4971345607559817  |266       
 [16, 6, 0, 0, 0]    |0.8030226490549328  |0.6863467174697806  |157       
 [16, 8, 0, 0, 0]    |0.6880731069075781  |0.5673038735351896  |193       
 [14, 5, 1, 0, 0]    |1.4501306277072972  |1.2797357872947448  |125       
 [16, 7, 1, 0, 0]    |1.4118071694806509  |1.1827835062355176  |177       
 [13, 8, 15, 20, 9]  |2.5031451376081106  |1.1191259694503453  |805       
 [17, 12, 7, 12, 0]  |1.4071159227050054  |0.8820929568460091  |467       
 [14, 7, 1, 0, 0]    |3.7208660710328907  |3.180239333228825   |157       
 [7, 5, 16, 11, 5]   |2.402087298887249   |1.5941458367557984  |410       
 [16, 8, 5, 0, 0]    |0.7604145265505273  |0.6011615583250831  |235       
 [16, 17, 2, 16, 11] |1.6888028041630165  |0.9084820746937832  |620       
 [16, 6, 13, 0, 0]   |0.8543685728292946  |0.6620643024248837  |255       
 [17, 8, 2, 4, 3]    |3.314424873160882   |2.596810902814808   |244       
 [14, 5, 5, 2, 3]    |1.8453726597106974  |1.5537653462109684  |172       
 [17, 9, 7, 0, 0]    |0.8181763079415522  |0.6115996175692678  |291       
 [8, 18, 15, 2, 3]   |4.931536194887576   |2.943650685824788   |516       
 [14, 11, 5, 0, 0]   |0.7147068308299753  |0.5439582142138271  |273       
 [14, 12, 14, 0, 0]  |1.1293774053513508  |0.7427962575402652  |419       
 [13, 3, 5, 2, 3]    |5.222690498841003   |4.6044014839329135  |126       
 [14, 11, 15, 4, 3]  |2.0116038263903446  |1.2572569543801255  |470       
Increasing Epochs
Gen 5 Train time: 9.565624491373699 minutes:
 Average MSE:        0.894092730414321
 Average Error:      1.1756203927032223
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 7, 0, 0]    |0.8475162662661871  |0.6495696276599778  |266       
 [17, 9, 0, 0, 0]    |0.6123027833606698  |0.4899125492312583  |223       
 [16, 8, 0, 0, 0]    |0.6315352872255848  |0.5206894603502589  |193       
 [17, 9, 8, 0, 0]    |1.2760580762475315  |0.9434383087795087  |302       
 [15, 3, 7, 10, 0]   |0.8824152505617495  |0.7138427862987529  |212       
 [14, 10, 3, 0, 0]   |0.9782215528117465  |0.7780075130408421  |229       
 [2, 18, 4, 0, 0]    |4.990271142945656   |4.333997150121608   |141       
 [16, 10, 3, 0, 0]   |0.9574323843291408  |0.7419301502988656  |255       
 [15, 10, 8, 0, 0]   |0.7571403265133388  |0.5597826638542003  |302       
 [15, 7, 14, 10, 5]  |2.181659164445458   |1.3499744575405117  |480       
 [16, 9, 4, 0, 0]    |0.8530280285213758  |0.6670015739852276  |246       
 [17, 9, 10, 6, 0]   |1.194264408478642   |0.8118257447528242  |386       
 [14, 7, 0, 0, 0]    |0.6185508832161423  |0.5297363644321984  |155       
 [14, 10, 7, 0, 0]   |0.82751921226755    |0.6273046603047616  |277       
 [17, 8, 10, 0, 0]   |0.801261975972582   |0.5959685842790137  |296       
 [16, 4, 0, 0, 0]    |0.5886239535158988  |0.5215408122449046  |121       
 [15, 9, 9, 0, 0]    |1.0217076551931081  |0.76527150409298    |289       
 [12, 15, 7, 20, 12] |2.3733532396035963  |1.1010935520396203  |768       
 [7, 9, 9, 14, 0]    |1.2141140586171502  |0.8659004255768104  |338       
 [15, 8, 0, 0, 0]    |0.5982696695302152  |0.49871839845046634 |182       
 [17, 9, 20, 0, 0]   |0.9656552192720707  |0.6256598511397681  |434       
 [4, 8, 4, 0, 0]     |2.025100193980332   |1.8452581342033318  |93        
 [16, 8, 3, 0, 0]    |0.8521744423121368  |0.6873140019847412  |215       
 [16, 5, 0, 0, 0]    |0.6200344700546655  |0.5395713744518283  |139       
 [15, 8, 3, 0, 0]    |0.722300172338034   |0.5890086112437634  |204       
Increasing Epochs
Gen 6 Train time: 10.839445662498473 minutes:
 Average MSE:        0.6795180431170712
 Average Error:      0.8771870925015786
 Structure           |Error               |MSE                 |weights&biases
 [16, 4, 0, 0, 0]    |0.7938555927244842  |0.703383014166624   |121       
 [15, 8, 0, 0, 0]    |0.6362037930757544  |0.5303403346855239  |182       
 [17, 9, 0, 0, 0]    |0.608241239709962   |0.48666284784526903 |223       
 [16, 6, 0, 0, 0]    |0.5175039641205023  |0.442312738588035   |157       
 [15, 7, 7, 5, 0]    |0.8999412992579474  |0.6945954141551471  |259       
 [15, 7, 8, 5, 0]    |0.9381318920104431  |0.7147197793924274  |272       
 [16, 10, 3, 7, 0]   |1.2023000640375292  |0.9023402996417236  |287       
 [16, 2, 10, 0, 0]   |0.8212758122187602  |0.7262243576851739  |123       
 [11, 9, 2, 0, 0]    |0.9219580977567314  |0.7825045799788775  |164       
 [16, 8, 2, 0, 0]    |0.9963845729545188  |0.811702018471132   |205       
 [16, 9, 9, 0, 0]    |0.8030030064127355  |0.5942846764948475  |301       
 [18, 2, 13, 1, 11]  |1.287584837044404   |1.0765572782269968  |179       
 [15, 6, 7, 0, 0]    |0.6783031145962837  |0.5564594265042866  |198       
 [16, 7, 2, 0, 0]    |0.8332176737398882  |0.6917986333785     |186       
 [12, 9, 5, 7, 0]    |0.8684692678214734  |0.6743384928143519  |253       
 [16, 15, 2, 0, 0]   |1.1656142838447756  |0.8313106147450249  |338       
 [16, 7, 4, 0, 0]    |0.7979292755474271  |0.6506812990776636  |204       
 [16, 8, 12, 0, 0]   |0.7732399939784887  |0.5699732735759855  |305       
 [11, 10, 9, 7, 0]   |1.278521841395709   |0.919159695490464   |330       
 [11, 9, 9, 7, 0]    |1.0905452065288495  |0.800657319477801   |309       
