/tmp/tmp.A6BRIR0WfC ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k76.mat
  Evaluating with: datasets/N1dataset100k76.mat
Gen 0 Train time: 8.507945891221365 minutes:
 Average MSE:        1.4816288313383634
 Average Error:      1.8299555110946153
 Structure           |Error               |MSE                 |weights&biases
 [7, 17, 7, 12, 0]   |1.2436104308257965  |0.8403126842733372  |392       
 [11, 3, 0, 0, 0]    |0.6292901057390553  |0.5849886046220447  |73        
 [16, 16, 20, 6, 0]  |1.9457568728363577  |0.8804263845842781  |793       
 [13, 5, 17, 0, 0]   |0.8072103655661845  |0.6419974362758644  |229       
 [4, 5, 11, 1, 10]   |2.1112298719535163  |1.824435557042158   |146       
 [9, 20, 13, 0, 0]   |0.9708632595943346  |0.5806717564179094  |514       
 [7, 2, 14, 0, 0]    |1.1502769504055304  |1.047077279757032   |94        
 [13, 9, 0, 0, 0]    |0.6848579085324638  |0.5749087795468923  |175       
 [7, 9, 15, 8, 0]    |1.587202620388647   |1.085426620684524   |380       
 [1, 0, 0, 0, 0]     |5.120556737075832   |5.095017853804616   |5         
 [10, 13, 17, 3, 7]  |1.7927481256520523  |1.086269890144147   |501       
 [16, 7, 7, 14, 13]  |1.2137652063566493  |0.7044959256047247  |544       
 [15, 5, 3, 4, 1]    |5.746314048858375   |4.867393675555128   |166       
 [2, 0, 0, 0, 0]     |3.7749890431262636  |3.7411665711633377  |9         
 [14, 20, 0, 0, 0]   |0.8056830304345451  |0.5604221856707081  |363       
 [2, 1, 0, 0, 0]     |4.9577376678607274  |4.903501399869478   |11        
 [20, 10, 14, 0, 0]  |0.7690346782160392  |0.49578187591466955 |439       
 [19, 9, 0, 0, 0]    |0.7466335119481623  |0.5832258193369547  |247       
 [6, 14, 0, 0, 0]    |1.108389477327091   |0.9722989504593228  |131       
 [19, 14, 6, 0, 0]   |0.8744479616622322  |0.5665655511451442  |434       
 [8, 20, 13, 3, 0]   |1.8405500610670333  |1.0909670155608588  |523       
 [13, 4, 14, 0, 0]   |1.0338506795915667  |0.8635446757101353  |180       
 [8, 14, 1, 0, 0]    |1.6066944291204366  |1.3595842014593391  |167       
 [19, 4, 16, 0, 0]   |0.7980663417242108  |0.6315592293920169  |234       
 [14, 11, 4, 20, 7]  |2.4291283915022737  |1.4586808594644662  |510       
Gen 1 Train time: 8.563397657871246 minutes:
 Average MSE:        0.7200571453800342
 Average Error:      1.0121908796485948
 Structure           |Error               |MSE                 |weights&biases
 [11, 3, 0, 0, 0]    |0.668606090844272   |0.6215367770091359  |73        
 [13, 9, 0, 0, 0]    |0.6550206825296524  |0.5498617106985548  |175       
 [19, 9, 0, 0, 0]    |0.6061810512120136  |0.4735126867493311  |247       
 [13, 12, 0, 0, 0]   |0.6606228486270257  |0.530162254386709   |220       
 [13, 6, 7, 3, 0]    |1.116767771711791   |0.9143321187468143  |200       
 [18, 9, 11, 7, 7]   |1.3999264800173021  |0.8636563960530262  |483       
 [19, 7, 8, 0, 0]    |0.8392043412851096  |0.6406313856955189  |270       
 [16, 10, 12, 0, 0]  |0.780682803361686   |0.5430323668844306  |363       
 [16, 7, 8, 0, 0]    |0.7423336652721215  |0.5839403433107038  |240       
 [18, 12, 7, 17, 0]  |1.0837121170873656  |0.6397948461568566  |527       
 [17, 15, 7, 0, 0]   |1.011004977890849   |0.6504732290839251  |441       
 [14, 17, 10, 0, 0]  |1.1041715996638117  |0.677798908785914   |488       
 [10, 10, 16, 0, 0]  |0.9140815411505228  |0.6551864037246007  |333       
 [14, 6, 14, 0, 0]   |0.8394735153529472  |0.6570597302006064  |245       
 [16, 12, 4, 0, 0]   |1.05244378052623    |0.7726839851960993  |309       
 [12, 17, 9, 2, 4]   |2.214732997295661   |1.4037284191647332  |456       
 [4, 19, 16, 0, 0]   |2.1521111502108274  |1.3805048846371557  |444       
 [14, 14, 11, 6, 0]  |1.1251459736300307  |0.6851707385483059  |496       
 [16, 7, 7, 0, 0]    |0.7676445235579662  |0.6093097542337784  |231       
 [9, 17, 7, 0, 0]    |1.1327239551738912  |0.8135281997019679  |331       
 [18, 11, 7, 7, 7]   |1.182436948781292   |0.7412461813589516  |467       
 [12, 6, 0, 0, 0]    |0.5994566090647395  |0.5311389129337496  |121       
 [14, 20, 0, 0, 0]   |0.7741242965469362  |0.5384703585200792  |363       
 [11, 10, 9, 0, 0]   |0.8644878034648715  |0.6652328946269669  |262       
 [8, 7, 9, 0, 0]     |1.017674466955951   |0.8594351480929371  |169       
Gen 2 Train time: 8.601236542065939 minutes:
 Average MSE:        1.0810849138441077
 Average Error:      1.493374308436536
 Structure           |Error               |MSE                 |weights&biases
 [12, 6, 0, 0, 0]    |0.5780285004752135  |0.5121528810335858  |121       
 [19, 9, 0, 0, 0]    |0.6928562829856961  |0.5412182374090183  |247       
 [13, 9, 0, 0, 0]    |0.6252046225000705  |0.5248324097750461  |175       
 [16, 10, 6, 0, 0]   |0.9584092163769746  |0.7164259151988215  |291       
 [6, 11, 17, 3, 0]   |1.7469665219129686  |1.2224791264977841  |357       
 [14, 9, 9, 0, 0]    |0.8090057676706374  |0.6132704603710658  |277       
 [16, 7, 8, 2, 0]    |1.0426398097451481  |0.8103863058256234  |252       
 [16, 11, 1, 8, 0]   |1.2566622532075764  |0.9573934923569485  |272       
 [13, 12, 10, 3, 0]  |1.267567849179985   |0.8720574144125477  |374       
 [16, 8, 4, 2, 0]    |1.2435325062527636  |0.985068718621773   |233       
 [14, 9, 2, 3, 0]    |1.1175711153677603  |0.905885539868437   |210       
 [18, 10, 9, 7, 7]   |1.7591206269991824  |1.0917850752730298  |477       
 [15, 10, 4, 0, 0]   |0.9141169558144928  |0.7090730287369829  |254       
 [7, 12, 14, 16, 8]  |2.9122317272083116  |1.4694963217619843  |684       
 [15, 9, 12, 0, 0]   |1.088213984959177   |0.7886267055916076  |322       
 [15, 5, 4, 0, 0]    |0.8603840746209853  |0.7375831944964046  |154       
 [11, 7, 9, 0, 0]    |0.7868466018333506  |0.6448600486018975  |199       
 [12, 14, 10, 0, 0]  |0.8047416485599524  |0.5508823648515434  |379       
 [13, 10, 5, 0, 0]   |0.8390922317095654  |0.6600533274672562  |240       
 [15, 6, 0, 0, 0]    |0.6525948284501821  |0.5628180855057034  |148       
 [20, 1, 15, 17, 5]  |6.772007769807412   |4.1945984389776525  |479       
 [3, 18, 1, 9, 5]    |5.884497873775222   |4.9447253076109545  |174       
 [16, 11, 4, 9, 0]   |1.0436526033656173  |0.7443281189231332  |338       
 [13, 12, 5, 0, 0]   |0.8100131358693665  |0.6134203731787309  |278       
 [12, 11, 8, 0, 0]   |0.8683992022657884  |0.6537019537551549  |284       
Gen 3 Train time: 8.230329183737437 minutes:
 Average MSE:        1.2849496339087283
 Average Error:      1.6451849184179752
 Structure           |Error               |MSE                 |weights&biases
 [12, 6, 0, 0, 0]    |0.5442023531943869  |0.48218176582058325 |121       
 [13, 9, 0, 0, 0]    |0.5941039784977983  |0.498724755816895   |175       
 [15, 6, 0, 0, 0]    |0.6994682284070767  |0.6032431640916525  |148       
 [14, 9, 4, 0, 0]    |0.9910096251679635  |0.7937148350005535  |222       
 [13, 11, 3, 0, 0]   |0.737262047577572   |0.5840247656124264  |233       
 [14, 10, 5, 0, 0]   |0.8802673637265249  |0.6834993353513006  |253       
 [14, 8, 5, 0, 0]    |0.9567900157468258  |0.7732357232532578  |213       
 [13, 6, 7, 0, 0]    |0.808628809393835   |0.6754235565756337  |180       
 [11, 10, 11, 3, 1]  |8.799010559271618   |6.415001800361682   |316       
 [12, 10, 6, 0, 0]   |0.6223934633503236  |0.4900818757335249  |239       
 [4, 12, 11, 0, 0]   |2.115337380611957   |1.6857563201648553  |227       
 [13, 8, 1, 2, 0]    |1.5162910757036316  |1.2830849189344602  |167       
 [6, 8, 6, 0, 0]     |1.1297144931763003  |0.987049528352717   |135       
 [16, 10, 8, 5, 0]   |1.0403386498308362  |0.728000375481977   |357       
 [16, 11, 7, 14, 0]  |0.9262528289614225  |0.5929720299272951  |446       
 [13, 9, 3, 0, 0]    |0.768417868347689   |0.6297567820394626  |199       
 [14, 8, 6, 16, 0]   |1.3769907610615668  |0.9752128835209177  |345       
 [17, 8, 0, 0, 0]    |0.720020541242699   |0.5871496578653292  |204       
 [16, 8, 0, 0, 0]    |0.624608281521749   |0.5149782690126874  |193       
 [1, 6, 0, 0, 0]     |6.771825058238186   |6.624471736696597   |22        
 [17, 19, 13, 18, 18]|2.999422240612868   |0.8457086903331422  |1266      
 [15, 1, 4, 0, 0]    |0.994249709875082   |0.9233315621709007  |74        
 [13, 12, 7, 0, 0]   |0.8562252808917954  |0.630512840088759   |306       
 [5, 9, 4, 0, 0]     |1.3599518900046514  |1.2134278934739682  |114       
 [16, 7, 2, 1, 0]    |2.2968404560350155  |1.9031957820376313  |188       
Gen 4 Train time: 8.394289640585582 minutes:
 Average MSE:        1.0835609606688075
 Average Error:      1.4467050869353772
 Structure           |Error               |MSE                 |weights&biases
 [12, 6, 0, 0, 0]    |0.7975835965846917  |0.7066861521882611  |121       
 [13, 9, 0, 0, 0]    |0.6417334588865842  |0.5387076575248506  |175       
 [12, 10, 6, 0, 0]   |0.8886401897109474  |0.6997285104528888  |239       
 [9, 9, 6, 15, 0]    |1.3477956232535795  |1.0004704968473186  |298       
 [13, 10, 3, 0, 0]   |1.0655462059120513  |0.8585481938806876  |216       
 [5, 17, 5, 15, 18]  |2.6043548141197626  |1.423594444771572   |604       
 [15, 9, 2, 0, 0]    |1.0033584590700437  |0.8116815723923873  |212       
 [15, 10, 0, 0, 0]   |0.6133103618311739  |0.49416580953217404 |216       
 [13, 8, 3, 0, 0]    |0.7487275195204001  |0.6241402638783541  |182       
 [15, 10, 2, 0, 0]   |1.2139320332838845  |0.964509791599242   |230       
 [15, 10, 4, 0, 0]   |0.7708805251827623  |0.5979657037415508  |254       
 [14, 10, 5, 8, 0]   |1.184641180348314   |0.874100367764858   |304       
 [13, 12, 5, 0, 0]   |0.8055445793903696  |0.6100363495604293  |278       
 [14, 11, 7, 7, 1]   |9.129671288943664   |6.388692881360074   |357       
 [13, 10, 6, 0, 0]   |0.7362855651685251  |0.5722740812433562  |252       
 [14, 10, 3, 0, 0]   |0.9932894430879755  |0.7899914361172511  |229       
 [14, 8, 4, 3, 0]    |1.2016530405330246  |0.9672465450315093  |217       
 [15, 12, 7, 7, 6]   |1.2452398604386177  |0.802782204053673   |439       
 [14, 9, 3, 1, 0]    |3.9533035865881803  |3.1948865557811934  |213       
 [16, 8, 2, 0, 0]    |0.8165415497023625  |0.6651933822034473  |205       
 [15, 10, 7, 15, 0]  |1.0694273078563752  |0.7040705455386869  |418       
 [14, 8, 3, 0, 0]    |0.7861451690772825  |0.6481625209607609  |193       
 [13, 8, 2, 0, 0]    |1.0257383576174892  |0.8636503342339885  |172       
 [12, 8, 3, 0, 0]    |0.9250807921336157  |0.7796780488144265  |171       
 [15, 7, 0, 0, 0]    |0.5992026651427612  |0.5080601672472469  |165       
Increasing Epochs
Gen 5 Train time: 9.62206730445226 minutes:
 Average MSE:        1.1359516440623023
 Average Error:      1.6444332873099057
 Structure           |Error               |MSE                 |weights&biases
 [15, 7, 0, 0, 0]    |0.4795933424285129  |0.406644175567616   |165       
 [15, 10, 0, 0, 0]   |0.5656100395018857  |0.4557319759207227  |216       
 [13, 9, 0, 0, 0]    |0.6643126627819127  |0.5576619287581636  |175       
 [13, 5, 2, 0, 0]    |0.9686389056201953  |0.85567608231961    |124       
 [15, 10, 2, 0, 0]   |0.9433741737919765  |0.7495424808115454  |230       
 [15, 8, 2, 0, 0]    |0.9838175213373762  |0.8103290778074491  |194       
 [15, 8, 3, 2, 0]    |1.1459321116396282  |0.9279461064122705  |211       
