/tmp/tmp.SarVFGohiy ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k77.mat
  Evaluating with: datasets/N1dataset100k77.mat
Gen 0 Train time: 8.84351320664088 minutes:
 Average MSE:        1.7811531370265457
 Average Error:      2.645258425141094
 Structure           |Error               |MSE                 |weights&biases
 [3, 6, 16, 6, 6]    |3.7713864278481437  |2.8051098112393835  |296       
 [11, 18, 0, 0, 0]   |0.8562031504911233  |0.6549164520154466  |268       
 [7, 10, 13, 18, 0]  |1.577787996281366   |0.9427292659596336  |515       
 [11, 16, 16, 8, 2]  |8.706334445210654   |4.526961020086767   |654       
 [15, 1, 12, 11, 16] |2.633582959138773   |1.7012193538535012  |437       
 [3, 19, 18, 0, 0]   |3.4384582800977057  |2.1619772500810592  |464       
 [14, 8, 18, 16, 3]  |3.984737895507739   |2.012688795437531   |683       
 [8, 13, 3, 17, 11]  |1.9948688848426015  |1.2580694032840571  |461       
 [19, 19, 4, 4, 0]   |1.2601533386951014  |0.7328849192617879  |542       
 [11, 0, 0, 0, 0]    |0.8085270140599139  |0.772949789435313   |45        
 [2, 6, 18, 1, 0]    |7.319379868959947   |6.1689312579933215  |171       
 [16, 9, 8, 3, 0]    |1.1361504952728037  |0.831641175827141   |312       
 [7, 20, 6, 5, 0]    |1.1156169427573457  |0.7877358695666891  |348       
 [6, 13, 17, 3, 0]   |2.187543281214633   |1.4590406413194188  |405       
 [17, 17, 14, 17, 20]|3.054658714225643   |0.8795612042037027  |1245      
 [14, 8, 9, 17, 0]   |1.7668818310681382  |1.1482239022056353  |431       
 [2, 0, 0, 0, 0]     |4.708723130470158   |4.666534754757784   |9         
 [11, 14, 1, 17, 10] |2.1204351289898486  |1.364272496753154   |441       
 [9, 9, 10, 4, 0]    |1.2245496858733886  |0.938542792822447   |266       
 [19, 0, 0, 0, 0]    |0.7414572071254611  |0.6865077049608741  |77        
 [8, 6, 17, 8, 0]    |1.5555440027394785  |1.0961733317638842  |350       
 [2, 20, 9, 11, 0]   |7.283732030879079   |4.996028877931264   |377       
 [11, 0, 0, 0, 0]    |0.6890483718685884  |0.6587285083675679  |45        
 [19, 18, 11, 10, 0] |1.2973489814754542  |0.6085494754416761  |757       
 [18, 12, 0, 0, 0]   |0.8983505634342526  |0.6688503710945982  |295       
Gen 1 Train time: 8.55768594344457 minutes:
 Average MSE:        1.1546425985582913
 Average Error:      1.5972115589755942
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.7274504840329605  |0.69544083089378    |45        
 [19, 0, 0, 0, 0]    |0.7010257205408594  |0.6490726017659643  |77        
 [11, 0, 0, 0, 0]    |0.7361290574870948  |0.7037375252618359  |45        
 [9, 0, 0, 0, 0]     |0.8285713048580904  |0.7984743929267668  |37        
 [7, 12, 18, 4, 14]  |1.9764292549577513  |1.184465727470876   |512       
 [9, 5, 7, 9, 0]     |1.501823752642775   |1.2283603172893938  |201       
 [15, 17, 3, 11, 5]  |1.6811181449017907  |1.0392082596921108  |481       
 [5, 7, 17, 9, 2]    |12.59653416688691   |8.631529413830659   |378       
 [19, 6, 0, 0, 0]    |0.6020368090560714  |0.5008559766753072  |184       
 [13, 9, 9, 4, 0]    |1.4375112135090151  |1.0649344994017655  |300       
 [19, 3, 0, 0, 0]    |0.6946137871973082  |0.615451404258234   |121       
 [9, 10, 3, 3, 12]   |1.8085402779461683  |1.4326416440377132  |233       
 [19, 6, 13, 0, 0]   |1.0395838459949465  |0.7841307378996876  |282       
 [9, 5, 7, 20, 0]    |1.0280027753668697  |0.7615631869031521  |300       
 [11, 17, 14, 5, 14] |2.020615917124094   |1.0412296540760353  |663       
 [15, 18, 6, 10, 0]  |1.7783235813288636  |1.048825652718246   |528       
 [6, 4, 0, 0, 0]     |0.9672681059064504  |0.9191742497292005  |51        
 [15, 15, 0, 0, 0]   |0.8940546329216104  |0.6616699614465007  |301       
 [10, 3, 9, 4, 0]    |0.9711753339681298  |0.8409288229003102  |144       
 [9, 10, 3, 3, 0]    |1.0569907597347241  |0.886411459334656   |176       
 [15, 13, 6, 5, 0]   |0.9889825829941034  |0.677681030494875   |378       
 [13, 13, 5, 9, 0]   |1.0730177223255295  |0.7523715309868113  |355       
 [15, 15, 17, 9, 0]  |1.4858269884687503  |0.7167497749812645  |729       
 [15, 0, 0, 0, 0]    |0.635544860519078   |0.5979353746965512  |61        
 [11, 5, 0, 0, 0]    |0.6991178937199155  |0.6332209342855957  |99        
Gen 2 Train time: 8.237238645553589 minutes:
 Average MSE:        0.8579709986164374
 Average Error:      1.0937693201718315
 Structure           |Error               |MSE                 |weights&biases
 [19, 6, 0, 0, 0]    |0.7404795105965462  |0.6160314168653181  |184       
 [15, 0, 0, 0, 0]    |0.7199568257490864  |0.6773521133001076  |61        
 [19, 3, 0, 0, 0]    |0.7015739171730728  |0.6216183157799419  |121       
 [7, 0, 0, 0, 0]     |0.8746404364464244  |0.8496401204523139  |29        
 [10, 8, 2, 2, 0]    |1.453419963821932   |1.2572406699581784  |145       
 [16, 8, 16, 8, 12]  |1.6083005410736857  |0.8959936589878413  |585       
 [17, 0, 0, 0, 0]    |0.5696263086669212  |0.5316474315532986  |69        
 [14, 12, 13, 7, 0]  |1.274449306781447   |0.7753150384965786  |497       
 [10, 5, 0, 0, 0]    |0.752295222887769   |0.6868588623214437  |91        
 [12, 7, 3, 3, 0]    |1.0993347800160402  |0.9302566635790267  |167       
 [13, 3, 0, 0, 0]    |0.7478672217930662  |0.6869252303181206  |85        
 [13, 9, 3, 3, 0]    |1.2321040106275933  |0.9977258755066376  |211       
 [13, 8, 9, 2, 7]    |1.5133190100283929  |1.1425987331922935  |281       
