/tmp/tmp.GKd7PHpDRd ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k78.mat
  Evaluating with: datasets/N1dataset100k78.mat
Gen 0 Train time: 8.473203059037527 minutes:
 Average MSE:        1.9552298633495497
 Average Error:      2.49962519716492
 Structure           |Error               |MSE                 |weights&biases
 [7, 15, 0, 0, 0]    |1.2196596828093398  |1.0424480812734331  |157       
 [17, 1, 7, 16, 0]   |2.0897000038984355  |1.6636608688817869  |228       
 [4, 14, 0, 0, 0]    |1.513126494513171   |1.3732470381348127  |97        
 [8, 9, 0, 0, 0]     |0.8093797987498897  |0.7214537501677765  |115       
 [15, 1, 12, 13, 3]  |8.287100977725109   |6.1392354009280385  |300       
 [6, 2, 7, 6, 13]    |1.6541015213950525  |1.346162529641195   |206       
 [9, 15, 1, 15, 0]   |1.4885998352834093  |1.1721456641996884  |239       
 [8, 6, 6, 8, 0]     |1.1678291686222018  |0.9705878248493784  |185       
 [17, 13, 8, 0, 0]   |0.7927624192501641  |0.5282256602987347  |406       
 [7, 0, 0, 0, 0]     |0.9121992959046712  |0.886125414916642   |29        
 [10, 5, 0, 0, 0]    |0.7539685815478109  |0.6883866684147486  |91        
 [3, 12, 9, 9, 0]    |5.0915017534984     |3.8712320944318583  |274       
 [17, 3, 10, 5, 18]  |1.4350992723363711  |1.0348267549110706  |327       
 [1, 7, 6, 20, 3]    |11.450967270793704  |8.723968208854451   |272       
 [10, 20, 0, 0, 0]   |1.1614928148398445  |0.8857735810528196  |271       
 [20, 0, 0, 0, 0]    |0.6360392701636677  |0.586551402455967   |81        
 [17, 10, 2, 4, 0]   |1.0002144807571567  |0.7635432245487965  |270       
 [19, 5, 0, 0, 0]    |0.6174563302121051  |0.5245854573790141  |163       
 [3, 16, 4, 8, 11]   |5.2853501096354085  |3.9469331634790565  |292       
 [7, 7, 18, 17, 16]  |3.011343762377347   |1.288381026321221   |849       
 [11, 14, 13, 7, 15] |1.6843940046861923  |0.8970944365610392  |630       
 [12, 1, 0, 0, 0]    |1.119152936294937   |1.0635071644248149  |51        
 [12, 1, 10, 0, 0]   |1.2037953643634534  |1.1112431785483599  |80        
 [1, 12, 0, 0, 0]    |6.7089224433977     |6.44586183170851    |40        
 [4, 4, 19, 0, 0]    |1.3964723360674536  |1.205566157355531   |147       
Gen 1 Train time: 8.553314598401387 minutes:
 Average MSE:        1.0706319142558842
 Average Error:      1.4660478703373427
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.6148361335734094  |0.5223593614028647  |163       
 [20, 0, 0, 0, 0]    |0.7021718543074282  |0.6475384543522728  |81        
 [10, 5, 0, 0, 0]    |0.7050171192177886  |0.6436931163330201  |91        
 [12, 2, 10, 0, 0]   |0.8050040241408087  |0.7262158439385894  |103       
 [12, 7, 4, 0, 0]    |0.7991188698581012  |0.6782457653259906  |164       
 [14, 5, 0, 0, 0]    |0.8426227127071775  |0.7451006460953831  |123       
 [15, 7, 9, 0, 0]    |0.8663400205123716  |0.6821690253465011  |239       
 [4, 18, 8, 17, 14]  |6.529426196778489   |3.327825433047728   |674       
 [13, 9, 6, 10, 9]   |1.6612578184716362  |1.1091290164146335  |404       
 [14, 10, 1, 8, 0]   |1.4434848707155494  |1.1491933242820924  |228       
 [20, 3, 6, 0, 0]    |0.6800719252452996  |0.5830066337881907  |154       
 [14, 9, 4, 0, 0]    |0.9610269750060874  |0.7697012698224358  |222       
 [15, 3, 0, 0, 0]    |0.688082169743811   |0.6244731058642097  |97        
 [17, 7, 2, 17, 14]  |1.4343498274436335  |0.8604598396370358  |511       
 [14, 13, 0, 0, 0]   |0.7659899167506724  |0.5959572916206064  |251       
 [15, 5, 1, 12, 14]  |1.9750551678628927  |1.3890170393646177  |352       
 [19, 7, 4, 0, 0]    |0.7103175280287685  |0.5621181688433085  |234       
 [13, 10, 7, 4, 0]   |1.1789744289396784  |0.8795410273048632  |293       
 [4, 7, 17, 8, 18]   |2.888031813474127   |1.7377223069454661  |508       
 [16, 1, 13, 0, 0]   |1.1636393514345413  |1.0476530435428952  |105       
 [7, 6, 4, 3, 7]     |2.674719884766103   |2.3067616523764896  |148       
 [13, 10, 1, 2, 0]   |3.39576024907163    |2.788566509513081   |197       
 [15, 7, 18, 12, 0]  |1.411606836886224   |0.8209678385267207  |542       
 [7, 8, 0, 0, 0]     |0.9140645599406763  |0.83205721248919    |94        
 [7, 5, 10, 0, 0]    |0.8402265035566738  |0.7363249302189181  |132       
Gen 2 Train time: 8.496143440405527 minutes:
 Average MSE:        1.1487961234843425
 Average Error:      1.6341228176411529
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.7789768520784478  |0.661811869504785   |163       
 [20, 3, 6, 0, 0]    |0.7324237640086456  |0.6278864004085103  |154       
 [15, 3, 0, 0, 0]    |0.8597982187160568  |0.7803150374584465  |97        
 [14, 9, 16, 0, 0]   |1.2160992207006005  |0.8535496008301541  |354       
 [17, 16, 4, 19, 5]  |1.67708370467413    |0.9130692019276389  |608       
 [18, 2, 4, 0, 0]    |0.9445694146652546  |0.8470241255688375  |109       
 [20, 18, 0, 0, 0]   |0.7166473049928155  |0.4537669842804113  |457       
 [17, 4, 4, 0, 0]    |0.7952032549321778  |0.6858080297567017  |148       
 [16, 5, 5, 0, 0]    |0.893583737045317   |0.7546394218557351  |169       
