/tmp/tmp.CJT4gWsUkK ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k79.mat
  Evaluating with: datasets/N1dataset100k79.mat
Gen 0 Train time: 8.607117581367493 minutes:
 Average MSE:        1.683617391225414
 Average Error:      2.2108153128777683
 Structure           |Error               |MSE                 |weights&biases
 [7, 13, 0, 0, 0]    |0.9980581833917983  |0.8685382052196686  |139       
 [7, 9, 11, 4, 20]   |1.9053926695570285  |1.3134905204336913  |372       
 [11, 19, 0, 0, 0]   |0.9590788336379068  |0.724131695355928   |281       
 [8, 4, 5, 3, 0]     |0.9690714520771353  |0.8707355786533005  |107       
 [14, 0, 0, 0, 0]    |0.6152842901946087  |0.5811938914922182  |57        
 [16, 4, 11, 0, 0]   |0.7825133268886115  |0.6516521800727244  |183       
 [11, 13, 5, 5, 19]  |1.5007292970258417  |0.9830956965665303  |423       
 [1, 18, 5, 19, 0]   |6.738703693512711   |5.154486889714482   |268       
 [3, 5, 18, 11, 10]  |6.844408428777318   |4.247930958753676   |477       
 [2, 10, 2, 2, 1]    |8.792250554365204   |8.206042020321405   |69        
 [2, 0, 0, 0, 0]     |3.719304047838355   |3.6859804923412427  |9         
 [16, 0, 0, 0, 0]    |0.6175113614223897  |0.5786498050548057  |65        
 [4, 11, 6, 10, 19]  |3.09860886711466    |1.9996121929393227  |438       
 [10, 12, 10, 9, 14] |2.2837537898743667  |1.3228923162469433  |546       
 [19, 0, 0, 0, 0]    |0.5948033725177275  |0.5507224075050884  |77        
 [10, 5, 10, 3, 14]  |1.505447658007384   |1.173616845161456   |249       
 [13, 15, 0, 0, 0]   |0.8295071593441132  |0.6364028281963738  |265       
 [20, 14, 5, 20, 11] |2.0047679189631835  |0.9080355972933793  |792       
 [19, 19, 11, 0, 0]  |1.1109672323603204  |0.5690602382414929  |669       
 [18, 13, 15, 6, 7]  |2.1885545564985445  |1.1266417509667477  |664       
 [10, 4, 14, 0, 0]   |0.8724910828573679  |0.7442317169103697  |159       
 [3, 2, 18, 7, 0]    |3.778866665739788   |3.056969729394315   |212       
 [12, 3, 4, 12, 0]   |0.8245810987765939  |0.6998566289798488  |164       
 [15, 10, 14, 0, 0]  |0.8443448168644304  |0.5808897396251961  |374       
 [10, 0, 0, 0, 0]    |0.8913824643368199  |0.8555748551951348  |41        
Gen 1 Train time: 8.361257644494374 minutes:
 Average MSE:        0.807842171938183
 Average Error:      0.9923003406311242
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6127134189519663  |0.5673051377761713  |77        
 [14, 0, 0, 0, 0]    |0.6737117801706818  |0.6363841520115888  |57        
 [16, 0, 0, 0, 0]    |0.7026159838650796  |0.6583985777288688  |65        
 [15, 5, 7, 0, 0]    |0.8010517122488904  |0.6724484838465259  |175       
 [15, 8, 0, 0, 0]    |0.7928777294350388  |0.660943938042833   |182       
 [11, 4, 9, 6, 0]    |0.9463533129809216  |0.7802512477195955  |193       
 [12, 0, 0, 0, 0]    |0.7653136441311126  |0.7287172102424424  |49        
 [13, 2, 2, 6, 0]    |1.1022541168373934  |0.9993574866888689  |98        
 [17, 0, 0, 0, 0]    |0.5926635745182155  |0.5531487264083661  |69        
 [14, 2, 3, 2, 0]    |1.133415013468137   |1.0337936703560058  |92        
 [9, 2, 3, 2, 0]     |1.1722744028510201  |1.0963053961962093  |67        
 [14, 2, 2, 6, 0]    |0.9918708530960572  |0.8947934507880759  |103       
 [16, 16, 6, 0, 0]   |0.8706481679612006  |0.5669311993912111  |429       
 [16, 9, 11, 0, 0]   |1.0514990395972237  |0.7612578125613632  |323       
 [19, 2, 0, 0, 0]    |0.8257755698950094  |0.7471926345409734  |100       
 [11, 4, 13, 8, 7]   |1.6125077806342003  |1.1604299637837272  |329       
 [14, 8, 17, 0, 0]   |1.1199106227018978  |0.8027185544710689  |333       
 [17, 5, 7, 0, 0]    |0.9213454105002927  |0.7611534685578311  |191       
 [20, 7, 3, 10, 6]   |1.2436235446806443  |0.881640706427582   |344       
 [16, 2, 2, 6, 0]    |0.9381716749437374  |0.837928650778147   |113       
 [16, 5, 7, 0, 0]    |0.6753285306390708  |0.5623920949769385  |183       
 [14, 2, 4, 2, 11]   |1.0910610462863253  |0.9494719032373459  |139       
 [18, 7, 3, 10, 6]   |1.3254608646321162  |0.9586398916101736  |324       
 [11, 13, 9, 13, 8]  |1.771112374012859   |1.005623562276341   |566       
 [10, 4, 5, 8, 0]    |1.073948346739012   |0.918826378036323   |156       
Gen 2 Train time: 8.323264900843302 minutes:
 Average MSE:        1.2397106080707005
 Average Error:      1.5434339790166962
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6305337529294661  |0.5884939742989078  |69        
 [19, 0, 0, 0, 0]    |0.5485552342805494  |0.5079017255630947  |77        
 [14, 0, 0, 0, 0]    |0.6851894349554282  |0.6472258766514966  |57        
 [16, 4, 0, 0, 0]    |0.8180280241955091  |0.7248006093358836  |121       
 [16, 11, 7, 0, 0]   |0.8278451290077703  |0.5969456642712674  |327       
 [18, 1, 1, 20, 3]   |6.790872107524313   |5.660880091424096   |182       
 [4, 3, 9, 13, 20]   |3.235359093434643   |1.9741539452115024  |494       
 [14, 1, 0, 0, 0]    |1.119004251100583   |1.0548928822280907  |59        
 [16, 4, 5, 1, 0]    |1.4899329403963268  |1.2836802047160658  |149       
