/tmp/tmp.VSHZXPoCNh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k80.mat
  Evaluating with: datasets/N1dataset100k80.mat
Gen 0 Train time: 8.039100138346354 minutes:
 Average MSE:        1.274631624926563
 Average Error:      1.59244861789741
 Structure           |Error               |MSE                 |weights&biases
 [5, 0, 0, 0, 0]     |1.0286190868356209  |1.0072433171475599  |21        
 [14, 0, 0, 0, 0]    |0.6060747961276094  |0.5724946580146645  |57        
 [15, 15, 9, 13, 19] |1.6974397885665615  |0.7291477512984479  |845       
 [17, 5, 19, 0, 0]   |0.8672640028781486  |0.6587495600627405  |275       
 [18, 8, 4, 10, 0]   |1.005005201620814   |0.7422959337647679  |303       
 [5, 7, 12, 0, 0]    |1.7029475559085558  |1.4424753142543842  |166       
 [20, 16, 0, 0, 0]   |0.734894882196366   |0.4862522253925502  |413       
 [4, 0, 0, 0, 0]     |1.3839544829358348  |1.3606261097205379  |17        
 [8, 3, 0, 0, 0]     |0.834054027224005   |0.7894197493583114  |55        
 [17, 17, 15, 2, 0]  |2.2364702084237846  |1.153613076855976   |662       
 [9, 0, 0, 0, 0]     |0.8466808414508215  |0.8159261211634122  |37        
 [1, 14, 6, 0, 0]    |6.925345018588468   |6.09328821634759    |128       
 [18, 13, 0, 0, 0]   |0.8736455591258775  |0.6375768091046348  |315       
 [8, 1, 0, 0, 0]     |1.3551909850570898  |1.3085797552345526  |35        
 [2, 0, 0, 0, 0]     |3.3764113267259157  |3.346159960131506   |9         
 [19, 10, 1, 20, 0]  |1.360483790450962   |0.9790626591956262  |329       
 [12, 10, 5, 0, 0]   |0.8968786629824373  |0.7147412457232984  |227       
 [18, 12, 0, 0, 0]   |0.8614595782837093  |0.6413838673572829  |295       
 [10, 0, 0, 0, 0]    |0.7357164780084753  |0.7061621069751338  |41        
 [7, 1, 19, 17, 0]   |1.707033671460607   |1.1160070366002153  |425       
 [11, 0, 0, 0, 0]    |0.701698509777092   |0.6708220083529388  |45        
 [7, 15, 12, 0, 0]   |1.1064095882478862  |0.7827985995397423  |346       
 [6, 8, 11, 18, 14]  |3.078671095841096   |1.5753824079253833  |670       
 [3, 3, 5, 10, 0]    |2.191843705925148   |1.9596052786206806  |112       
 [3, 6, 5, 0, 0]     |1.6970226027923643  |1.575976855022135   |74        
Gen 1 Train time: 8.169034453233083 minutes:
 Average MSE:        0.9496056175421661
 Average Error:      1.2630752255969728
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7032373600661316  |0.6642738396754382  |57        
 [11, 0, 0, 0, 0]    |0.8102851664812895  |0.7746305787228268  |45        
 [20, 16, 0, 0, 0]   |0.7669235978032799  |0.5074444184770648  |413       
 [20, 5, 3, 0, 0]    |0.7148256636368274  |0.5929076693111061  |187       
 [17, 13, 5, 17, 10] |2.071415734583113   |1.0835387480179681  |648       
 [12, 0, 0, 0, 0]    |0.7697400463848783  |0.732931946940933   |49        
 [14, 6, 0, 0, 0]    |0.7596711780063438  |0.661087151513018   |139       
 [8, 9, 6, 0, 0]     |0.9747016940396113  |0.820678526433408   |172       
 [13, 4, 10, 0, 0]   |0.8821818485808781  |0.7547587881318645  |156       
 [11, 7, 0, 0, 0]    |0.7806990284392639  |0.6889644744484533  |125       
 [15, 7, 15, 0, 0]   |0.8457749298489432  |0.630966823713951   |293       
 [15, 9, 5, 5, 0]    |1.0448145584535866  |0.7936120125409487  |275       
 [12, 10, 6, 6, 0]   |0.9787133234936667  |0.7389562915497254  |281       
 [10, 0, 0, 0, 0]    |0.7068843355661256  |0.6784881767801624  |41        
 [2, 13, 9, 17, 4]   |9.488680955586585   |6.246989138732202   |418       
 [15, 8, 12, 0, 0]   |1.2061538437739716  |0.898918104828702   |294       
 [18, 12, 0, 0, 0]   |0.7041448502273486  |0.5242580831457129  |295       
 [7, 6, 5, 0, 0]     |0.8820355385866809  |0.7901575440106069  |110       
 [9, 3, 9, 0, 0]     |0.9160254835127337  |0.8263712970732853  |103       
