/tmp/tmp.Xg9a3S1fhc ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k81.mat
  Evaluating with: datasets/N1dataset100k81.mat
Gen 0 Train time: 7.986498506863912 minutes:
 Average MSE:        1.646232664709916
 Average Error:      1.9612413178345014
 Structure           |Error               |MSE                 |weights&biases
 [5, 0, 0, 0, 0]     |2.403441332552279   |2.3534953330652852  |21        
 [15, 13, 7, 1, 12]  |2.0811479507678725  |1.4006265061031484  |396       
 [11, 6, 0, 0, 0]    |0.6137676509998278  |0.5487354438158795  |112       
 [2, 11, 3, 0, 0]    |6.371123146584472   |5.887172151000259   |79        
 [13, 5, 7, 0, 0]    |0.774514043623864   |0.6606576591816151  |159       
 [4, 15, 5, 11, 0]   |4.118451255666132   |3.223530488337802   |245       
 [13, 9, 0, 0, 0]    |0.6721855021719125  |0.5642708390574873  |175       
 [13, 0, 0, 0, 0]    |0.6336838931929651  |0.6009731385361755  |53        
 [2, 17, 13, 0, 0]   |6.254720686457761   |4.6105008182788625  |305       
 [10, 20, 0, 0, 0]   |0.8295179679928318  |0.6326040864557426  |271       
 [12, 16, 0, 0, 0]   |0.7103457096639826  |0.5471657464845985  |261       
 [13, 0, 0, 0, 0]    |0.6194126458225603  |0.587438572776893   |53        
 [11, 12, 1, 9, 0]   |1.3173706278602213  |1.0593312379666535  |218       
 [14, 7, 20, 0, 0]   |1.058746096327866   |0.7626815350519415  |328       
 [4, 0, 0, 0, 0]     |1.2486037043078286  |1.227556846501996   |17        
 [15, 15, 18, 6, 12] |1.8025801676945004  |0.8230149320952872  |784       
 [8, 2, 6, 0, 0]     |0.8957194792676643  |0.8376725587549959  |67        
 [17, 1, 0, 0, 0]    |1.2148426133164358  |1.131579599236956   |71        
 [2, 2, 4, 20, 0]    |4.196298152995839   |3.629891450880829   |145       
 [10, 0, 0, 0, 0]    |0.8503815422809216  |0.8162209758511644  |41        
 [2, 4, 0, 0, 0]     |3.5497980818417547  |3.4690844903542875  |23        
 [3, 0, 0, 0, 0]     |2.2485772794194605  |2.2195349588820297  |13        
 [16, 10, 2, 1, 0]   |1.5084874222182982  |1.1806999512510392  |245       
 [7, 19, 5, 0, 0]    |1.5697693067904965  |1.1875931194292342  |279       
 [5, 11, 7, 6, 0]    |1.4875466860447846  |1.193784178397729   |220       
Gen 1 Train time: 8.261695802211761 minutes:
 Average MSE:        0.9945003463794919
 Average Error:      1.4801772388357648
 Structure           |Error               |MSE                 |weights&biases
