/tmp/tmp.ydH25v1cKG ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k82.mat
  Evaluating with: datasets/N1dataset100k82.mat
Gen 0 Train time: 8.270982627073924 minutes:
 Average MSE:        2.0878294811636815
 Average Error:      2.8510768015673187
 Structure           |Error               |MSE                 |weights&biases
 [1, 11, 2, 0, 0]    |6.223549009885677   |5.908194729295958   |52        
 [16, 20, 5, 0, 0]   |1.0452079109113024  |0.6345849114666443  |499       
 [17, 2, 19, 14, 3]  |10.908423321103381  |6.797366600515173   |473       
 [14, 16, 9, 0, 0]   |0.9645745751716134  |0.6181228038135306  |445       
 [7, 1, 0, 0, 0]     |1.1224432411718517  |1.088181304480393   |31        
 [17, 18, 0, 0, 0]   |0.8540471000031046  |0.5759301261074818  |394       
 [12, 2, 19, 0, 0]   |1.2475562257553598  |1.085658394729904   |139       
 [15, 4, 20, 0, 0]   |0.9195260961003956  |0.7305943817304742  |230       
 [5, 19, 16, 13, 4]  |11.137307612202546  |5.36180417774676    |731       
 [6, 2, 0, 0, 0]     |1.1089198359067438  |1.0707789997470036  |35        
 [15, 14, 3, 8, 16]  |2.0018347198526745  |1.2057045923122973  |507       
 [9, 0, 0, 0, 0]     |0.8031313774513371  |0.7739585419998664  |37        
 [2, 1, 0, 0, 0]     |4.827218503928056   |4.774410079204702   |11        
 [18, 0, 0, 0, 0]    |1.0074193035332477  |0.9364978207485131  |73        
 [5, 9, 10, 18, 8]   |3.2888959468035734  |1.9397360943451063  |528       
 [11, 0, 0, 0, 0]    |0.8004596026785615  |0.7652373644698285  |45        
 [12, 14, 0, 0, 0]   |0.6717229121991191  |0.5321077053166912  |233       
 [9, 6, 0, 0, 0]     |0.7869579244765964  |0.7163542332598171  |94        
 [16, 20, 19, 1, 4]  |2.986015656955644   |1.3151358161737925  |820       
 [6, 8, 17, 12, 11]  |3.724761893392047   |2.0482851452230104  |598       
 [14, 19, 4, 0, 0]   |0.952499967734937   |0.6308638515697119  |412       
 [7, 4, 17, 13, 0]   |1.3940521703625983  |0.9476355766731759  |386       
 [1, 0, 0, 0, 0]     |5.178009870734976   |5.1521844387641895  |5         
 [5, 1, 14, 2, 6]    |6.485757486298084   |5.845128719590797   |104       
 [12, 6, 0, 0, 0]    |0.8366277745695323  |0.7412806198072184  |121       
Gen 1 Train time: 8.091688267389934 minutes:
 Average MSE:        1.1096350722999855
 Average Error:      1.5848066088911708
 Structure           |Error               |MSE                 |weights&biases
 [12, 14, 0, 0, 0]   |0.8261286120529271  |0.6544207322284078  |233       
 [9, 6, 0, 0, 0]     |0.727599227876356   |0.6623210349555386  |94        
 [11, 0, 0, 0, 0]    |0.9504630082455335  |0.9086402424582429  |45        
 [12, 10, 0, 0, 0]   |0.6488316592468925  |0.5435780476755582  |177       
 [11, 1, 10, 0, 0]   |1.284530433472221   |1.1905236235608028  |76        
 [9, 1, 0, 0, 0]     |1.2370690558708368  |1.1897520417468037  |39        
 [13, 1, 7, 9, 0]    |1.5609376136671718  |1.3448556382197174  |149       
 [12, 13, 2, 4, 0]   |1.1819139545176078  |0.9204755133013339  |250       
 [16, 19, 2, 0, 0]   |1.29966648403826    |0.8590807822777136  |414       
 [15, 9, 5, 0, 0]    |0.7967892994783498  |0.6236506007242634  |245       
 [15, 12, 0, 0, 0]   |0.7156222663234242  |0.5573271813960162  |250       
 [15, 3, 1, 0, 0]    |1.1284384706401067  |1.0220749162355218  |99        
 [11, 4, 19, 7, 0]   |1.080291193536657   |0.7813208675661965  |324       
 [12, 11, 5, 0, 0]   |0.9686988748416089  |0.7582050055283187  |245       
 [11, 10, 0, 0, 0]   |0.7475071386625866  |0.6344407202383717  |164       
 [15, 2, 10, 0, 0]   |1.014099810067231   |0.9012264981639813  |118       
 [12, 8, 8, 0, 0]    |1.0459831435599443  |0.8385821334943813  |221       
 [13, 1, 0, 0, 0]    |1.5237333698685247  |1.4421910040216712  |55        
 [12, 3, 10, 0, 0]   |0.6825864398878386  |0.6017783396181542  |126       
 [11, 12, 19, 7, 0]  |1.814922138626912   |1.02433392077663    |572       
 [11, 16, 0, 0, 0]   |0.9320984770998362  |0.7317496675338788  |242       
 [1, 16, 11, 16, 18] |13.981102761585502  |6.67725259696527    |739       
 [8, 2, 9, 7, 0]     |1.2144526795923234  |1.0484296841491638  |147       
 [17, 18, 0, 0, 0]   |0.7954877745118725  |0.536440407431765   |394       
 [7, 3, 16, 0, 0]    |1.4612113350087543  |1.2882256072319336  |126       
Gen 2 Train time: 8.557898207505543 minutes:
 Average MSE:        0.8213365056690773
 Average Error:      1.1678440191283006
 Structure           |Error               |MSE                 |weights&biases
 [12, 10, 0, 0, 0]   |0.7882463707066978  |0.6603768746016893  |177       
 [12, 3, 10, 0, 0]   |0.8079213375333028  |0.7122754462024752  |126       
 [15, 12, 0, 0, 0]   |0.7279825888037781  |0.5669534102227309  |250       
 [15, 11, 3, 0, 0]   |0.8369314724214539  |0.6446723442315998  |261       
 [15, 13, 4, 0, 0]   |0.900645052842139   |0.6579383487188333  |314       
 [20, 14, 16, 16, 17]|2.6227473257545     |0.8115756824140107  |1173      
 [12, 8, 10, 4, 0]   |1.394466822290664   |1.0549697947723735  |279       
 [11, 9, 3, 0, 0]    |1.068604876792484   |0.8970478662516645  |175       
 [12, 8, 19, 8, 6]   |2.096945370455467   |1.2318063881617773  |532       
 [12, 12, 6, 2, 0]   |1.3262585431736214  |0.9953725921221658  |287       
 [13, 8, 10, 4, 0]   |1.2209743300652665  |0.9136106081364849  |290       
 [12, 2, 5, 12, 0]   |0.9264816843797159  |0.7879181996483495  |162       
 [13, 6, 0, 0, 0]    |0.6262050056528751  |0.5498677542833739  |130       
 [16, 15, 0, 0, 0]   |0.793013583241684   |0.5764221839261867  |319       
 [10, 3, 13, 20, 0]  |1.261081756765598   |0.8319107544060582  |416       
 [14, 8, 5, 0, 0]    |0.7783903137288817  |0.6290609091898636  |213       
 [13, 10, 10, 4, 0]  |1.121775845985498   |0.8000452474349664  |338       
 [11, 5, 5, 0, 0]    |0.6448441464072018  |0.5668012165263948  |129       
 [12, 8, 12, 4, 0]   |0.9106808361472567  |0.6712841309346549  |305       
 [15, 11, 3, 0, 0]   |1.4161260804618805  |1.090814899549075   |261       
 [14, 15, 1, 0, 0]   |1.5425286661266064  |1.160003544623472   |285       
 [13, 2, 5, 0, 0]    |0.8943298003361048  |0.8189922420355881  |88        
 [10, 6, 5, 4, 0]    |1.1869337602227252  |1.0114382316881056  |160       
 [14, 16, 10, 13, 4] |2.181042812370382   |1.1317930179451938  |656       
 [16, 15, 2, 13, 0]  |1.1209420955417289  |0.7604609536998395  |388       
Gen 3 Train time: 8.545392938454945 minutes:
 Average MSE:        1.0084220948052554
 Average Error:      1.2789897972685358
 Structure           |Error               |MSE                 |weights&biases
 [13, 6, 0, 0, 0]    |0.5743443024902077  |0.5043291077919082  |130       
 [11, 5, 5, 0, 0]    |0.7751601308393554  |0.6813455741367014  |129       
 [15, 12, 0, 0, 0]   |0.8002821382904702  |0.6232603559786766  |250       
 [11, 7, 4, 0, 0]    |1.0295429794401434  |0.8825983907028091  |154       
 [14, 10, 8, 2, 0]   |1.7116032558962397  |1.2667195254497023  |301       
 [15, 10, 3, 0, 0]   |0.8129994166314533  |0.6382502143725559  |242       
