/tmp/tmp.Jz0qiiae7M ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k83.mat
  Evaluating with: datasets/N1dataset100k83.mat
Gen 0 Train time: 8.423057369391124 minutes:
 Average MSE:        1.094571926702417
 Average Error:      1.439102084189037
 Structure           |Error               |MSE                 |weights&biases
 [11, 2, 13, 2, 0]   |3.086487013024245   |2.7183730424042727  |127       
 [11, 10, 13, 5, 5]  |1.8931175446918158  |1.266459186727409   |402       
 [9, 13, 3, 4, 0]    |1.31890566704604    |1.0584465905436888  |220       
 [7, 4, 10, 6, 0]    |1.5138394154915473  |1.2695329577156962  |176       
 [18, 0, 0, 0, 0]    |0.8048027505219966  |0.748145304892289   |73        
 [18, 7, 2, 12, 0]   |1.1795649132023576  |0.9168106219972856  |252       
 [15, 9, 0, 0, 0]    |0.7815840988573075  |0.6405471648492171  |199       
 [10, 17, 10, 0, 0]  |1.1530917218588101  |0.7667816403810644  |408       
 [18, 12, 0, 0, 0]   |0.7082203391459597  |0.5272924133799861  |295       
 [10, 5, 0, 0, 0]    |0.732251990514092   |0.6685590361806071  |91        
 [16, 3, 14, 7, 20]  |1.4118192010046668  |0.9083541769260611  |441       
 [11, 18, 13, 7, 0]  |1.2381512833660124  |0.678154166011008   |602       
 [17, 9, 6, 0, 0]    |0.9818929484213996  |0.7420987262669191  |280       
 [8, 4, 3, 0, 0]     |0.9807020681509125  |0.9062078649573095  |79        
 [15, 19, 12, 16, 20]|2.1815677772303466  |0.6852605022171495  |1158      
 [11, 11, 11, 0, 0]  |1.0273067863049263  |0.7542288874225568  |309       
 [14, 10, 18, 18, 0] |1.4597157492223312  |0.688831720191035   |751       
 [4, 4, 0, 0, 0]     |1.7524569256529947  |1.6888009174789613  |37        
 [5, 17, 19, 0, 0]   |2.2997842478780717  |1.424492077393038   |479       
 [4, 9, 0, 0, 0]     |2.1482194381204147  |2.009004509948598   |67        
 [19, 6, 0, 0, 0]    |0.6067690815554816  |0.5047929236010309  |184       
 [19, 6, 5, 11, 10]  |1.4594742731614236  |0.9695495313692565  |409       
 [4, 8, 10, 0, 0]    |1.8440666479773584  |1.5824483996304801  |153       
