/tmp/tmp.GesK7KyueT ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k84.mat
  Evaluating with: datasets/N1dataset100k84.mat
Gen 0 Train time: 8.435463114579518 minutes:
 Average MSE:        1.924592382417573
 Average Error:      2.660419439464793
 Structure           |Error               |MSE                 |weights&biases
 [20, 20, 15, 11, 0] |1.6382662798718013  |0.6130177032597863  |983       
 [5, 0, 0, 0, 0]     |1.635500479744099   |1.6015130863278713  |21        
 [4, 15, 6, 2, 15]   |3.014180671808972   |2.328741615748469   |258       
 [15, 1, 1, 4, 0]    |1.9593940423907248  |1.815998153523625   |76        
 [15, 17, 16, 0, 0]  |1.396456246179161   |0.7497149396670856  |622       
 [3, 10, 5, 0, 0]    |2.43286029664711    |2.179439300144119   |110       
 [13, 0, 0, 0, 0]    |0.7235589788939968  |0.6862088734351676  |53        
 [15, 20, 8, 0, 0]   |0.9981899864180201  |0.5805312457938097  |542       
 [16, 6, 7, 0, 0]    |0.8386948837816303  |0.6818754208585076  |207       
 [7, 6, 0, 0, 0]     |0.8409289989310882  |0.7793866247750899  |76        
 [20, 8, 20, 16, 8]  |2.059084939366441   |0.8464210737608024  |889       
 [4, 15, 0, 0, 0]    |2.485888203404561   |2.242586801350761   |103       
 [1, 14, 4, 8, 16]   |8.417622502064043   |6.286015632242753   |292       
 [18, 0, 0, 0, 0]    |0.817487900230629   |0.7599374305904352  |73        
 [1, 0, 0, 0, 0]     |5.624927165615596   |5.596872724337443   |5         
 [14, 0, 0, 0, 0]    |0.6718463881690873  |0.6346221137898389  |57        
 [4, 6, 16, 20, 6]   |8.275203877313247   |4.420547506651248   |627       
 [17, 19, 20, 4, 0]  |1.7482850649217432  |0.7237099014894521  |882       
 [17, 10, 4, 20, 2]  |8.280183021080505   |5.440467921487576   |420       
 [14, 17, 0, 0, 0]   |0.8813686525614274  |0.6432130367688395  |315       
 [19, 7, 0, 0, 0]    |0.6691130541574012  |0.5450911539451724  |205       
 [7, 0, 0, 0, 0]     |0.9772080866384393  |0.9492760245704883  |29        
 [11, 2, 16, 8, 3]   |5.421276230428164   |4.130222396696749   |272       
 [7, 20, 14, 0, 0]   |1.8309828030609248  |1.1217083924528892  |490       
 [4, 8, 7, 15, 15]   |2.871977232941015   |1.7576904867713545  |491       
Gen 1 Train time: 8.585815219084422 minutes:
 Average MSE:        1.143653846736437
 Average Error:      1.6440912000386103
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 0, 0, 0]    |0.6608725821613776  |0.5383780755476483  |205       
 [14, 0, 0, 0, 0]    |0.8613944515646953  |0.8136680903332401  |57        
 [13, 0, 0, 0, 0]    |0.6769806843734019  |0.6420349498963216  |53        
 [11, 10, 4, 0, 0]   |0.9211445428498277  |0.7526625338642645  |202       
 [20, 8, 10, 8, 4]   |1.5441438143411075  |0.9875477699620703  |447       
 [4, 13, 4, 18, 3]   |9.713865034717438   |7.312273589313084   |284       
 [17, 3, 4, 0, 0]    |0.8541733611519943  |0.7530519169184908  |126       
 [15, 3, 4, 0, 0]    |0.7988546410904849  |0.712784409106571   |114       
 [12, 10, 10, 1, 0]  |1.8061288142494292  |1.352812526402273   |289       
 [14, 9, 0, 0, 0]    |0.726155559165382   |0.6023051801911666  |187       
 [5, 20, 17, 14, 13] |4.6933509056293055  |1.8096741585152831  |953       
 [17, 13, 14, 2, 0]  |1.9517794269607178  |1.167356140829942   |514       
 [12, 12, 2, 1, 5]   |1.8647634359390282  |1.4712821051696774  |237       
 [12, 3, 4, 0, 0]    |0.7833031026652247  |0.7116026824463282  |96        
 [18, 19, 16, 6, 0]  |2.424500534716929   |1.0425040276228448  |844       
 [17, 14, 18, 3, 12] |1.525763792428313   |0.7645217012399675  |691       
 [14, 14, 7, 0, 0]   |0.9446765867634955  |0.6557913226940589  |365       
 [13, 7, 0, 0, 0]    |0.7826875071353054  |0.6770421422113116  |145       
 [12, 3, 4, 0, 0]    |0.8385915827627944  |0.761830277118101   |96        
 [14, 10, 7, 6, 0]   |0.8190218506659893  |0.5923577520085639  |324       
 [18, 10, 10, 2, 0]  |1.5081799602642927  |1.0324179749101234  |379       
 [11, 9, 0, 0, 0]    |0.7216499212081903  |0.6205090239884593  |151       
 [10, 11, 4, 0, 0]   |0.8031845553858005  |0.6549667820359163  |204       
 [10, 3, 4, 0, 0]    |0.9368678388570909  |0.8613855738755     |84        
 [9, 5, 6, 10, 18]   |1.9402455139176373  |1.3005854622097133  |400       
Gen 2 Train time: 8.256557170550028 minutes:
 Average MSE:        1.1084659967576342
 Average Error:      1.3830255447547863
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 0, 0, 0]    |0.8467748630702783  |0.6898228698048452  |205       
 [13, 0, 0, 0, 0]    |0.6908737879163177  |0.6552108916077699  |53        
 [11, 9, 0, 0, 0]    |0.7351785259477317  |0.6321415636398241  |151       
 [15, 7, 6, 3, 0]    |1.2003400868007483  |0.9537105333949633  |230       
 [15, 11, 4, 0, 0]   |0.8977873750922019  |0.6826165380468738  |274       
 [12, 5, 0, 0, 0]    |0.6422541184804827  |0.5770818140384711  |107       
 [3, 4, 1, 14, 17]   |6.4294531380558055  |4.617666477855795   |331       
 [13, 9, 0, 0, 0]    |0.6516664330406421  |0.5470459624155936  |175       
 [10, 3, 4, 0, 0]    |0.7062673388029396  |0.6493642664545477  |84        
 [16, 6, 7, 4, 2]    |4.500641488251838   |3.5261969522957215  |244       
 [17, 8, 5, 4, 2]    |1.943035513164138   |1.472926808799499   |277       
 [13, 5, 2, 0, 0]    |0.9189061820859394  |0.8117431969172533  |124       
 [12, 2, 2, 7, 0]    |1.071787961877643   |0.9727076021033938  |97        
 [14, 7, 4, 0, 0]    |0.7384476970308695  |0.6143410784133311  |184       
 [14, 14, 7, 0, 0]   |1.234285372338342   |0.8568367717049561  |365       
 [16, 4, 0, 0, 0]    |0.7456862655909353  |0.6607033545155611  |121       
 [12, 2, 2, 0, 0]    |0.9553927724553939  |0.8899119595563272  |71        
 [12, 16, 1, 0, 0]   |3.437172225202474   |2.642298297787373   |263       
 [13, 3, 4, 0, 0]    |0.876589743564324   |0.7915864431284272  |102       
 [12, 7, 0, 0, 0]    |0.7547715434307444  |0.6594559071847776  |135       
 [13, 7, 6, 3, 0]    |0.9766710654934206  |0.7916741791838836  |210       
 [17, 5, 2, 17, 0]   |0.8922585220660764  |0.7146235592812561  |222       
 [14, 11, 1, 0, 0]   |1.3240418342081295  |1.0615064238866827  |221       
 [14, 5, 2, 0, 0]    |0.8125836774388149  |0.7121003884719875  |132       
 [13, 5, 0, 0, 0]    |0.5927710874634269  |0.5283760784517338  |115       
Gen 3 Train time: 8.461693207422892 minutes:
 Average MSE:        0.9957473956579573
 Average Error:      1.3068135856209262
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 0, 0, 0]    |0.6926465871462241  |0.6174017174747568  |115       
 [12, 5, 0, 0, 0]    |0.6086426485311301  |0.5468810453820356  |107       
 [13, 9, 0, 0, 0]    |0.8440675003309098  |0.7085583891558975  |175       
 [18, 6, 1, 9, 0]    |1.1444733069757733  |0.9342086583767365  |203       
 [13, 4, 2, 4, 0]    |0.8492000897670489  |0.7516680739895877  |122       
 [14, 4, 3, 17, 13]  |1.3487764315457     |0.8747631057782399  |433       
 [12, 7, 1, 0, 0]    |1.342970749142849   |1.1710305078188985  |137       
 [12, 2, 2, 0, 0]    |0.9132895200205361  |0.8506943843786289  |71        
 [17, 11, 10, 8, 15] |1.5661474845760264  |0.8526712351072968  |608       
 [12, 6, 2, 0, 0]    |0.9181076994603374  |0.8053803927718782  |131       
 [9, 19, 13, 8, 17]  |5.290741331032922   |2.4743020945178182  |760       
 [12, 5, 1, 10, 0]   |1.310993138100174   |1.1420044074867803  |138       
 [13, 5, 11, 0, 0]   |0.9834886093032843  |0.8157484667930008  |187       
 [16, 5, 1, 4, 0]    |1.4994828692172155  |1.2880382118296627  |152       
 [14, 6, 1, 0, 0]    |1.8400711900163158  |1.5980821612919789  |141       
 [7, 18, 2, 15, 10]  |2.2948117310304075  |1.5093073028485002  |419       
 [12, 8, 2, 6, 0]    |1.1099921556724677  |0.9243661203619989  |183       
 [14, 5, 1, 5, 0]    |1.1604538616516313  |1.0098594761418638  |139       
 [15, 5, 1, 0, 0]    |1.3679913235472445  |1.1976286500732882  |133       
 [14, 7, 1, 0, 0]    |1.3109288546168876  |1.1204562128622728  |157       
 [12, 3, 4, 0, 0]    |0.9026440330019547  |0.8200196233014095  |96        
 [13, 0, 0, 0, 0]    |0.6379022372001822  |0.6049737316783947  |53        
 [16, 6, 3, 9, 0]    |0.8838464189581073  |0.7114344708822848  |217       
 [13, 7, 8, 0, 0]    |0.8494754192948586  |0.6885713922193315  |210       
 [13, 6, 1, 0, 0]    |0.9991944503829633  |0.8756350589263935  |132       
Increasing Epochs
Gen 4 Train time: 9.82224843899409 minutes:
 Average MSE:        1.0999437130581327
 Average Error:      1.309315152861564
 Structure           |Error               |MSE                 |weights&biases
 [12, 5, 0, 0, 0]    |0.5624543121595742  |0.5053796393594807  |107       
 [13, 0, 0, 0, 0]    |0.7278749749763986  |0.6903020778536694  |53        
 [13, 5, 0, 0, 0]    |0.6543110653170143  |0.5832307312071979  |115       
 [15, 7, 1, 18, 0]   |1.1399851512909263  |0.9148595133090683  |220       
 [14, 7, 1, 3, 0]    |1.033180973493312   |0.8760276426084029  |165       
 [13, 7, 7, 3, 0]    |0.8153526871467198  |0.6536818496049585  |221       
 [18, 13, 14, 14, 4] |1.5550331788187417  |0.7185621211255727  |772       
 [19, 4, 16, 0, 0]   |0.8291820772954365  |0.656183034396589   |234       
 [13, 5, 3, 9, 7]    |1.3364496439291236  |1.0502377617713878  |241       
 [14, 7, 1, 0, 0]    |1.12718004906523    |0.9634053629543695  |157       
 [13, 4, 18, 0, 0]   |0.8582610523207235  |0.6998795928231583  |204       
 [12, 4, 1, 0, 0]    |2.9225345011930903  |2.65767377543461    |95        
 [13, 7, 1, 17, 0]   |1.2023568774105005  |0.9873642056285586  |197       
 [16, 6, 1, 5, 0]    |0.964005338764483   |0.8108611513458402  |173       
 [13, 5, 1, 2, 2]    |4.891909220618098   |4.304162858229675   |128       
 [13, 4, 4, 5, 0]    |1.0229912496475906  |0.8840257686734494  |146       
 [13, 3, 1, 0, 0]    |2.9060206981224566  |2.663882613404719   |87        
 [14, 6, 1, 3, 0]    |1.0155104774790658  |0.8749324632522573  |149       
 [14, 7, 6, 3, 0]    |0.9447021235626915  |0.758141212634132   |220       
 [15, 8, 5, 4, 8]    |1.1962110995370547  |0.8941865511232077  |291       
 [14, 4, 3, 20, 0]   |0.8591807266293481  |0.6908890812722203  |218       
