/tmp/tmp.yc8WS6rR3p ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k85.mat
  Evaluating with: datasets/N1dataset100k85.mat
Gen 0 Train time: 7.9769930958747866 minutes:
 Average MSE:        1.9302361936173855
 Average Error:      2.436391752167264
 Structure           |Error               |MSE                 |weights&biases
 [5, 7, 6, 20, 0]    |1.372177644263365   |1.0516906364456173  |266       
 [9, 7, 0, 0, 0]     |0.8693264209177173  |0.7826758948843708  |105       
 [10, 18, 0, 0, 0]   |0.9391542081265559  |0.7336115694688885  |247       
 [5, 16, 19, 0, 0]   |1.9241211751342238  |1.22197613500061    |454       
 [8, 0, 0, 0, 0]     |1.0689472642775526  |1.0342476963557394  |33        
 [16, 4, 0, 0, 0]    |0.6412957673085555  |0.5682098279785508  |121       
 [5, 17, 13, 0, 0]   |2.1100578628564284  |1.4647951015536782  |365       
 [20, 3, 0, 0, 0]    |0.7489593490282894  |0.6596337180956613  |127       
 [20, 0, 0, 0, 0]    |0.6745691158372163  |0.6220833830684479  |81        
 [7, 11, 8, 2, 0]    |1.4648983786571734  |1.1685759537555245  |226       
 [11, 17, 1, 16, 6]  |6.325238876773161   |4.25692811747181    |396       
 [18, 16, 0, 0, 0]   |0.8883390525184417  |0.6105459067272554  |375       
 [3, 1, 16, 6, 0]    |5.161268469317572   |4.424611051674586   |154       
 [7, 13, 0, 0, 0]    |0.9666067945668233  |0.8411683251302368  |139       
 [18, 6, 14, 4, 0]   |1.4204553461928164  |1.0201783720269935  |331       
 [10, 6, 0, 0, 0]    |0.758986104704203   |0.6847018375513281  |103       
 [6, 0, 0, 0, 0]     |0.9492872677740382  |0.9258492816223134  |25        
 [15, 1, 17, 0, 0]   |1.173104830306572   |1.0477593535736012  |113       
 [1, 0, 0, 0, 0]     |4.553616688125556   |4.530905430144982   |5         
 [11, 0, 0, 0, 0]    |0.7243053404655011  |0.6924340815632851  |45        
 [2, 13, 0, 0, 0]    |2.5107381177436014  |2.3668898191776484  |59        
 [7, 8, 11, 16, 1]   |12.011406365923126  |8.09184471202919    |395       
 [19, 0, 0, 0, 0]    |0.6050794923200034  |0.5602369625644604  |77        
 [2, 11, 4, 16, 3]   |10.10373499486672   |8.092236594554524   |222       
 [10, 11, 0, 0, 0]   |0.9441188761763941  |0.8021150780153501  |163       
Gen 1 Train time: 8.136205490430196 minutes:
 Average MSE:        1.2773115890166375
 Average Error:      1.6590713629262288
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6746554132765652  |0.6246566018334685  |77        
 [16, 4, 0, 0, 0]    |0.8141551988908726  |0.721369154596405   |121       
 [20, 0, 0, 0, 0]    |0.761747777640025   |0.7024789950115811  |81        
 [15, 3, 0, 0, 0]    |0.7217871483906301  |0.655062261671724   |97        
 [4, 10, 17, 14, 4]  |9.630699087394259   |5.46823457708314    |566       
 [10, 2, 4, 2, 10]   |1.7862920343262385  |1.5922402425288684  |115       
 [11, 3, 13, 0, 0]   |0.9202736090081657  |0.8040576952970072  |135       
 [17, 10, 0, 0, 0]   |0.7361941280314561  |0.5779537480884771  |242       
 [10, 9, 0, 0, 0]    |0.8317029957961141  |0.7237712582944738  |139       
 [13, 2, 0, 0, 0]    |0.7197904750300723  |0.6711281905452061  |70        
 [6, 6, 4, 3, 0]     |2.9130808920502362  |2.617477969004638   |107       
 [15, 4, 0, 0, 0]    |0.5750844329464626  |0.5131236606006047  |114       
 [7, 14, 20, 1, 20]  |2.9150674301484996  |1.741754522865986   |515       
 [10, 6, 0, 0, 0]    |0.6160576093150347  |0.5557621865816308  |103       
 [14, 17, 6, 0, 0]   |1.2199003630856609  |0.8079696248364314  |412       
 [7, 1, 4, 11, 6]    |3.758245225080524   |3.1675301540945697  |171       
 [12, 8, 10, 7, 0]   |1.503904067752958   |1.0975324566140865  |315       
 [15, 0, 0, 0, 0]    |0.6231388754348448  |0.5862635356169901  |61        
 [15, 3, 1, 0, 0]    |1.3987842481664625  |1.266938632874975   |99        
 [20, 4, 1, 0, 0]    |1.9755765404840322  |1.6986949418603097  |151       
 [15, 17, 9, 0, 0]   |1.0346293988933704  |0.6344754362655022  |489       
 [13, 5, 0, 0, 0]    |0.7280478480463852  |0.6489572028927731  |115       
 [9, 6, 4, 1, 0]     |2.992697921670173   |2.6489816827875563  |122       
 [10, 8, 0, 0, 0]    |0.7488699709863103  |0.6595549998444994  |127       
 [9, 12, 0, 0, 0]    |0.8764013813103587  |0.7468199937250304  |160       
Gen 2 Train time: 7.786932869752248 minutes:
 Average MSE:        0.9485101696405586
 Average Error:      1.1202765809762811
 Structure           |Error               |MSE                 |weights&biases
 [15, 4, 0, 0, 0]    |0.7041970565623988  |0.6283254262267747  |114       
 [10, 6, 0, 0, 0]    |0.7081898241943032  |0.638877142750814   |103       
 [15, 0, 0, 0, 0]    |0.7055469647762437  |0.6637949812149159  |61        
 [14, 11, 3, 0, 0]   |0.8574135249282433  |0.66976059550563    |247       
 [1, 13, 10, 4, 0]   |7.292888391860079   |5.8643970991294125  |218       
 [18, 2, 0, 0, 0]    |0.9697140852458629  |0.8818317432952071  |95        
 [16, 4, 0, 0, 0]    |0.6801072166177825  |0.6025980900875434  |121       
 [9, 4, 0, 0, 0]     |0.8239012027195897  |0.7666655242265896  |72        
 [16, 1, 0, 0, 0]    |1.0018789405395676  |0.9369523775129773  |67        
 [12, 1, 0, 0, 0]    |1.0909612541508675  |1.0367172101968756  |51        
