/tmp/tmp.r5Ge7WWeXs ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k86.mat
  Evaluating with: datasets/N1dataset100k86.mat
Gen 0 Train time: 8.331019322077433 minutes:
 Average MSE:        1.6206632932827318
 Average Error:      2.319976410867519
 Structure           |Error               |MSE                 |weights&biases
 [20, 17, 18, 17, 0] |1.9698575046586209  |0.6676182221687877  |1082      
 [6, 16, 11, 0, 0]   |1.5426688449990595  |1.1101708614568497  |329       
 [10, 19, 5, 0, 0]   |0.9944597234694277  |0.7042966168650087  |345       
 [8, 0, 0, 0, 0]     |1.0295893210839762  |0.9961673686898397  |33        
 [1, 12, 20, 0, 0]   |8.265515278325715   |6.074453789279558   |308       
 [13, 5, 10, 18, 2]  |13.593062865894295  |9.039099704324814   |408       
 [4, 0, 0, 0, 0]     |1.997380258531046   |1.963711786989241   |17        
 [18, 9, 11, 0, 0]   |0.8598494386024332  |0.6077461647036344  |347       
 [8, 0, 0, 0, 0]     |0.8735440787588254  |0.8451875796998418  |33        
 [1, 4, 8, 14, 15]   |9.267951034543108   |6.101668896033983   |418       
 [14, 12, 8, 0, 0]   |0.9681271827167438  |0.6925382462304907  |335       
 [13, 0, 0, 0, 0]    |0.7021146962517413  |0.6658715443952313  |53        
 [14, 3, 12, 13, 0]  |0.91882921462688    |0.6685426986393107  |318       
 [18, 10, 14, 10, 0] |0.953521383176779   |0.545204989121707   |559       
 [12, 0, 0, 0, 0]    |0.6452224587711403  |0.6143686496995514  |49        
 [10, 15, 13, 7, 0]  |1.539180690467136   |0.9251959331080283  |509       
 [18, 10, 9, 0, 0]   |1.150476197281169   |0.8082983377331254  |353       
 [9, 1, 0, 0, 0]     |1.6751398384965328  |1.6110669275933707  |39        
 [12, 15, 0, 0, 0]   |0.77895442108173    |0.6084729967131144  |247       
 [8, 0, 0, 0, 0]     |1.0251371476952191  |0.991859719262241   |33        
 [18, 0, 0, 0, 0]    |0.6319910251736903  |0.5874993815703142  |73        
 [11, 0, 0, 0, 0]    |0.7422753509819151  |0.7096133663654912  |45        
 [15, 1, 10, 15, 0]  |1.713312032686283   |1.318412496202929   |262       
 [19, 16, 20, 9, 17] |2.054833494177856   |0.6881109565027749  |1094      
 [15, 10, 20, 8, 18] |2.1064167892366603  |0.971405098719061   |774       
Gen 1 Train time: 8.376037100950876 minutes:
 Average MSE:        0.8521897439487858
 Average Error:      1.083596730934948
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.6375897118487889  |0.5927039253505402  |73        
 [12, 0, 0, 0, 0]    |0.8546864972920956  |0.8138163545296457  |49        
 [13, 0, 0, 0, 0]    |0.7048528622264965  |0.6684683662765483  |53        
 [10, 0, 0, 0, 0]    |0.9627560167148822  |0.924081269875454   |41        
 [11, 0, 0, 0, 0]    |0.8154550666774779  |0.7795729902917115  |45        
 [15, 13, 7, 5, 0]   |1.5315996235092002  |1.0297465405314028  |397       
 [6, 5, 7, 15, 11]   |2.171103047153085   |1.4509744352906568  |403       
 [14, 10, 3, 0, 0]   |0.9895299715747994  |0.7870014211519225  |229       
 [12, 8, 0, 0, 0]    |0.8280242069490388  |0.7134000830959952  |149       
 [7, 10, 4, 7, 8]    |2.405828245399434   |1.8680483617370183  |253       
 [16, 7, 11, 7, 0]   |1.2101180316817133  |0.855317872613415   |347       
 [15, 5, 6, 0, 0]    |0.8238568178174113  |0.696450520173049   |168       
 [18, 10, 13, 5, 0]  |1.157881744763407   |0.7287622394697855  |463       
 [15, 0, 0, 0, 0]    |0.6979272813652085  |0.6566262059820782  |61        
 [14, 8, 7, 4, 0]    |1.2562521618544746  |0.966699887103492   |262       
 [11, 14, 0, 0, 0]   |0.856632154811188   |0.690218767851322   |216       
 [15, 5, 7, 5, 0]    |0.8942293810277259  |0.7226769623568583  |213       
 [15, 13, 7, 10, 0]  |1.111220315325038   |0.7142364525859486  |442       
