/tmp/tmp.9EIlw76rgd ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k87.mat
  Evaluating with: datasets/N1dataset100k87.mat
Gen 0 Train time: 8.771940652529398 minutes:
 Average MSE:        1.8637719776320032
 Average Error:      2.4291861026188255
 Structure           |Error               |MSE                 |weights&biases
 [5, 19, 0, 0, 0]    |1.1313988261228873  |0.9747782852204164  |149       
 [15, 0, 0, 0, 0]    |0.7113427299078816  |0.6692477717430443  |61        
 [13, 18, 20, 0, 0]  |1.1463131205024977  |0.5738144516029088  |692       
 [19, 0, 0, 0, 0]    |0.7124889648866576  |0.6596863033951508  |77        
 [4, 20, 0, 0, 0]    |1.2950232391155927  |1.1337476393153314  |133       
 [11, 0, 0, 0, 0]    |0.7668352969383644  |0.7330926128538138  |45        
 [11, 9, 4, 0, 0]    |0.9870871193415033  |0.8195523711360299  |186       
 [3, 5, 13, 0, 0]    |3.1364919139557914  |2.7790383497532867  |121       
 [1, 17, 1, 9, 11]   |10.856222600140791  |8.932876210966867   |195       
 [3, 9, 4, 3, 0]     |3.190718178743792   |2.875555939625619   |104       
 [20, 9, 8, 5, 0]    |0.9768471505060549  |0.668028068930145   |380       
 [11, 18, 1, 0, 0]   |1.5542872476825234  |1.186511013190104   |270       
 [17, 19, 15, 0, 0]  |1.311694200112455   |0.6455320517217482  |709       
 [10, 12, 9, 1, 0]   |4.780802022560232   |3.5737244653643727  |291       
 [19, 17, 13, 9, 0]  |1.1356917707863945  |0.5274200204906112  |767       
 [18, 12, 20, 5, 18] |1.7983937573687647  |0.8293557449499955  |774       
 [14, 8, 20, 0, 0]   |0.9792570337740506  |0.6811579076017947  |363       
 [14, 15, 6, 2, 0]   |1.6069698932678902  |1.0989446957720086  |380       
 [10, 0, 0, 0, 0]    |0.8538207827625691  |0.8195220590503454  |41        
 [2, 5, 6, 17, 0]    |7.952728540843602   |6.550327723168138   |194       
 [20, 0, 0, 0, 0]    |0.71846419817681    |0.6625631510874628  |81        
 [1, 14, 16, 0, 0]   |8.668281742121064   |6.499144720949299   |288       
 [20, 19, 1, 18, 14] |2.7665264029003858  |1.2480627225057837  |796       
 [5, 7, 3, 0, 0]     |1.028024688537268   |0.9442533050894626  |85        
 [14, 14, 0, 0, 0]   |0.6639411444148321  |0.5083618553163399  |267       
Gen 1 Train time: 8.870082354545593 minutes:
 Average MSE:        1.1700505264633407
 Average Error:      1.59035436215955
 Structure           |Error               |MSE                 |weights&biases
 [14, 14, 0, 0, 0]   |0.6691896637393665  |0.5123805052282016  |267       
 [15, 0, 0, 0, 0]    |0.6880155953642837  |0.6473010614470456  |61        
 [19, 0, 0, 0, 0]    |0.6937217159851855  |0.6423098980571701  |77        
 [8, 4, 2, 0, 0]     |1.109958745172737   |1.0318185708069638  |73        
 [2, 1, 4, 10, 14]   |7.606701737731774   |6.007626024831622   |236       
 [10, 10, 0, 0, 0]   |0.6369471550357224  |0.547677545424994   |151       
 [5, 14, 2, 0, 0]    |1.4545403032794544  |1.2746732967589705  |132       
 [18, 0, 0, 0, 0]    |0.5850682366503716  |0.5438799184119123  |73        
 [15, 7, 0, 0, 0]    |0.5444560809999063  |0.46164088323220087 |165       
 [9, 19, 10, 16, 0]  |1.2024197613193397  |0.6533358223052158  |610       
 [16, 14, 18, 0, 0]  |1.161749926992116   |0.653722340254589   |575       
 [14, 18, 17, 2, 4]  |2.185159897948411   |1.0982181532274544  |688       
 [17, 4, 10, 0, 0]   |0.7017072155931064  |0.5837753564554267  |184       
 [10, 6, 4, 2, 3]    |2.2324996769567638  |1.9273035257006526  |147       
 [7, 20, 3, 14, 5]   |7.157772400014751   |4.890031842621642   |381       
 [14, 16, 10, 4, 0]  |1.3883124684764057  |0.8412124442016081  |501       
