/tmp/tmp.lke7g038kV ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k89.mat
  Evaluating with: datasets/N1dataset100k89.mat
Gen 0 Train time: 8.423941918214162 minutes:
 Average MSE:        1.944495165927643
 Average Error:      3.0684017878789005
 Structure           |Error               |MSE                 |weights&biases
 [12, 18, 0, 0, 0]   |0.7533771213948218  |0.56428865919585    |289       
 [7, 19, 8, 16, 20]  |3.1857606908457194  |1.378079820683038   |838       
 [4, 20, 15, 5, 9]   |5.407259361651361   |3.0548863083992366  |571       
 [12, 11, 0, 0, 0]   |0.7071376872265215  |0.5841894877276956  |191       
 [14, 15, 0, 0, 0]   |0.849000614399657   |0.6397387628551992  |283       
 [4, 20, 0, 0, 0]    |1.4454708696077496  |1.265459288001694   |133       
 [6, 13, 12, 3, 9]   |2.104258222890645   |1.4651578979848152  |362       
 [6, 3, 14, 16, 0]   |1.6783279612050712  |1.1803346932726062  |352       
 [11, 8, 18, 10, 6]  |2.309901233473417   |1.3273769377109375  |554       
 [10, 0, 0, 0, 0]    |0.7333329509666116  |0.7038743282883347  |41        
 [14, 20, 7, 11, 3]  |7.219850322947646   |3.895547451403303   |617       
 [4, 14, 0, 0, 0]    |1.6027806980239012  |1.4546132490060706  |97        
 [14, 10, 11, 17, 18]|1.9629226978416563  |0.8306344562474486  |860       
 [14, 0, 0, 0, 0]    |0.9924175177499667  |0.9374317016020649  |57        
 [11, 0, 0, 0, 0]    |1.0481199094413312  |1.0019999940850493  |45        
 [1, 19, 1, 0, 0]    |6.862327097824438   |6.443337242822347   |63        
 [20, 3, 5, 0, 0]    |0.7047856463808845  |0.6072215455458689  |149       
 [17, 8, 0, 0, 0]    |0.612237066933845   |0.4992562903306266  |204       
 [10, 20, 10, 17, 1] |17.085282721830666  |8.768953161294325   |667       
 [13, 0, 0, 0, 0]    |0.7636005444190946  |0.7241834938476706  |53        
 [14, 4, 1, 15, 0]   |1.2515953572357972  |1.0740311757251868  |153       
 [16, 17, 0, 0, 0]   |0.7700317862807691  |0.5399258389665343  |355       
 [6, 0, 0, 0, 0]     |1.6402255800661754  |1.5997282662009624  |25        
 [3, 17, 15, 16, 3]  |14.332313007734289  |7.422505279841056   |658       
 [14, 0, 0, 0, 0]    |0.6877280286004921  |0.6496238171531555  |57        
Gen 1 Train time: 8.126584414641062 minutes:
 Average MSE:        1.1162075946264252
 Average Error:      1.4275124816417302
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 0, 0, 0]    |0.6448415789270143  |0.5258440429919808  |204       
 [14, 0, 0, 0, 0]    |0.6198015946263541  |0.5854609104679681  |57        
 [20, 3, 5, 0, 0]    |0.6957027727192989  |0.5993960221245176  |149       
 [2, 13, 19, 8, 0]   |8.97170717399776    |5.551543395417821   |480       
 [17, 2, 3, 0, 0]    |0.9364694599602362  |0.8473526082199495  |100       
 [12, 11, 0, 0, 0]   |0.7893242917512426  |0.6520865200350622  |191       
 [18, 11, 3, 0, 0]   |0.8858528561663933  |0.6542901190817092  |303       
 [1, 18, 0, 0, 0]    |6.777994651290573   |6.39605429641725    |58        
 [12, 6, 0, 0, 0]    |0.6675425296342242  |0.5914653507284562  |121       
 [16, 11, 3, 0, 0]   |1.001218500319451   |0.7604976620997641  |275       
 [14, 11, 3, 0, 0]   |0.8834216018691312  |0.6900765627646527  |247       
 [14, 5, 6, 9, 9]    |2.0145110398249066  |1.4686983110513547  |316       
 [16, 18, 0, 0, 0]   |0.9476095613641545  |0.6525857592220043  |373       
 [19, 10, 0, 0, 0]   |0.7001381405989661  |0.5355411115910401  |268       
 [12, 11, 0, 0, 0]   |0.7825451511311861  |0.6464860510491739  |191       
 [10, 2, 3, 19, 0]   |1.143131720538949   |0.9770393213078835  |157       
 [10, 2, 7, 8, 0]    |0.8834939807018715  |0.7634781291407864  |146       
 [15, 10, 0, 0, 0]   |0.815986330298421   |0.6574689921676312  |216       
 [12, 18, 4, 8, 10]  |1.3702653222352172  |0.8419828669007924  |487       
 [13, 6, 0, 0, 0]    |0.6654327672029683  |0.584313472465752   |130       
 [13, 0, 0, 0, 0]    |0.6363048990690532  |0.6034588481216561  |53        
 [14, 4, 0, 0, 0]    |0.6314687462312514  |0.5673908801797796  |107       
 [15, 9, 0, 0, 0]    |0.6631951591151659  |0.5435215219117469  |199       
 [14, 9, 0, 0, 0]    |0.7734003583811803  |0.6414920829774966  |187       
 [17, 8, 13, 0, 0]   |0.7864518530882822  |0.5676650272244078  |326       
Increasing Epochs
Gen 2 Train time: 9.59962645371755 minutes:
 Average MSE:        0.7119996695038658
 Average Error:      0.8916801343735726
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6661009100035473  |0.6291949691889951  |57        
 [14, 4, 0, 0, 0]    |0.7069705885714006  |0.63523122388047    |107       
 [13, 0, 0, 0, 0]    |0.5214239017168448  |0.49450800641878984 |53        
 [15, 7, 0, 0, 0]    |0.7487507972301417  |0.6348610869022449  |165       
 [19, 6, 9, 0, 0]    |0.687841385022976   |0.5356914092848134  |250       
 [19, 6, 3, 0, 0]    |0.9052163427750771  |0.7396476823719367  |202       
 [17, 13, 7, 0, 0]   |0.7912508239006524  |0.5351863557361394  |391       
 [13, 20, 2, 4, 5]   |1.6718160453898048  |1.116178154547572   |404       
 [13, 12, 0, 0, 0]   |0.6866719990421537  |0.5510671872658014  |220       
 [13, 9, 6, 0, 0]    |0.9255807253596707  |0.7339356479813393  |232       
 [16, 9, 7, 0, 0]    |0.7826642429258966  |0.5921167305930362  |279       
 [13, 7, 5, 4, 0]    |0.9308086245269788  |0.7575228463294652  |206       
 [15, 10, 8, 4, 5]   |1.1173229787167875  |0.7795297908258692  |360       
 [15, 3, 4, 17, 17]  |1.0377194452405973  |0.6181806590042855  |518       
 [16, 6, 2, 0, 0]    |0.9423665913540613  |0.7974302433409577  |167       
 [15, 10, 0, 0, 0]   |0.6793976812531434  |0.5474146957966436  |216       
 [15, 9, 2, 0, 0]    |0.7957894111377838  |0.6437655403077003  |212       
 [16, 14, 0, 0, 0]   |0.6564263341934432  |0.4858065393821695  |301       
 [15, 11, 0, 0, 0]   |0.6863495269226131  |0.5436942304384703  |233       
 [17, 7, 3, 0, 0]    |0.7685355074285197  |0.6260853886935284  |205       
 [15, 11, 2, 4, 0]   |1.013152285617001   |0.7796318524768087  |262       
 [12, 1, 2, 10, 0]   |1.9374198041765072  |1.7635998509657569  |94        
 [15, 4, 2, 0, 0]    |0.8271589463551094  |0.7321583918585771  |122       
 [14, 5, 0, 0, 0]    |0.7287941136802288  |0.6444461522156464  |123       
 [17, 3, 3, 16, 0]   |1.0764743467983762  |0.8831071017896264  |198       
Gen 3 Train time: 9.46371689637502 minutes:
 Average MSE:        0.7758522798453853
 Average Error:      0.9468443942880126
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.6039508270668902  |0.5727748929123916  |53        
 [16, 14, 0, 0, 0]   |0.7354760383389898  |0.5443094683624917  |301       
 [14, 0, 0, 0, 0]    |0.6625560714407979  |0.6258465357057602  |57        
 [15, 8, 1, 0, 0]    |1.2572232721578054  |1.0459290535122023  |184       
 [16, 3, 4, 17, 9]   |1.4084470305707493  |0.9709189358945892  |372       
 [15, 9, 4, 0, 0]    |0.7034285958496254  |0.5566665309644403  |234       
 [16, 7, 4, 0, 0]    |0.6908365600466141  |0.5633512193584844  |204       
 [15, 6, 0, 0, 0]    |0.562263405206838   |0.48491345544364445 |148       
 [17, 10, 5, 0, 0]   |0.7639649851834001  |0.5705050135203151  |292       
 [16, 9, 2, 0, 0]    |0.8094746372843514  |0.6470253284695344  |224       
 [7, 3, 12, 0, 0]    |1.0291744589736675  |0.9256648755711204  |106       
 [17, 9, 2, 0, 0]    |1.1348750871181108  |0.8963024111336898  |236       
 [14, 5, 0, 0, 0]    |0.6751431872649903  |0.5970045875239265  |123       
 [18, 10, 5, 0, 0]   |0.8221866294315927  |0.6060529826662944  |305       
 [16, 6, 2, 0, 0]    |0.9151677760493016  |0.774414616401238   |167       
 [16, 4, 2, 0, 0]    |0.9119848966464922  |0.8016109811230461  |129       
 [17, 8, 5, 0, 0]    |1.0188777262200719  |0.7966831386130098  |246       
 [16, 9, 2, 7, 0]    |1.0158822770652003  |0.7911699128867399  |250       
 [16, 7, 5, 0, 0]    |0.671171212830545   |0.542411134772039   |213       
 [14, 7, 3, 0, 0]    |0.9822996459990054  |0.8245983343329721  |175       
 [14, 8, 0, 0, 0]    |0.7413961322252877  |0.6248646547278901  |171       
 [16, 3, 5, 0, 0]    |0.9684406847919892  |0.8546459046658349  |125       
 [15, 13, 8, 0, 0]   |0.7775966533725086  |0.5349685442357679  |374       
 [18, 7, 6, 0, 0]    |0.7430294518743307  |0.5833198612968931  |242       
 [4, 1, 1, 4, 19]    |3.066262614191156   |2.6603546220403143  |142       
Increasing Epochs
Gen 4 Train time: 10.688838720321655 minutes:
 Average MSE:        0.6541522242541408
